energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
2.27813907,1.19720187,0.00017412,0.13945914,0.23614737,1.02248243,0.25325005,0.00372050,0.06617001,0.15798202
2.28414207,1.19446415,0.00017301,0.13893579,0.23593054,1.01785652,0.25420623,0.00318258,0.06438059,0.16101552
2.29014507,1.19371817,0.00017399,0.13839378,0.23629862,1.01544023,0.25522311,0.00274172,0.06252073,0.16464698
2.29614807,1.19404174,0.00017687,0.13777352,0.23702764,1.01440056,0.25613312,0.00238680,0.06059672,0.16864715
2.30215108,1.19457120,0.00018146,0.13702037,0.23790663,1.01395753,0.25677745,0.00210759,0.05861665,0.17279785
2.30815408,1.19452463,0.00018768,0.13608609,0.23874319,1.01340551,0.25700998,0.00189501,0.05659011,0.17689803
2.31415708,1.19322354,0.00019549,0.13493035,0.23936860,1.01213292,0.25670101,0.00174126,0.05452792,0.18076963
2.32016008,1.19011264,0.00020496,0.13352215,0.23964232,1.00964002,0.25574080,0.00163992,0.05244198,0.18426265
2.32616308,1.18477715,0.00021624,0.13184113,0.23945602,1.00555439,0.25404276,0.00158603,0.05034510,0.18725963
2.33216608,1.17695705,0.00022957,0.12987873,0.23873672,0.99964339,0.25154621,0.00157610,0.04825100,0.18967920
2.33816908,1.16655752,0.00024532,0.12763913,0.23744908,0.99182330,0.24821847,0.00160808,0.04617430,0.19147859
2.34417209,1.15365502,0.00026393,0.12513987,0.23559665,0.98216435,0.24405629,0.00168131,0.04413056,0.19265507
2.35017509,1.13849836,0.00028597,0.12241208,0.23322204,0.97089136,0.23908634,0.00179646,0.04213631,0.19324609
2.35617809,1.12150427,0.00031210,0.11950027,0.23040575,0.95837930,0.23336481,0.00195541,0.04020910,0.19332814
2.36218109,1.10324712,0.00034306,0.11646162,0.22726385,0.94514383,0.22697601,0.00216109,0.03836746,0.19301424
2.36818409,1.08444276,0.00037965,0.11336482,0.22394426,0.93182637,0.22002994,0.00241734,0.03663079,0.19245011
2.37418709,1.06592653,0.00042276,0.11028824,0.22062190,0.91917408,0.21265893,0.00272866,0.03501915,0.19180912
