energy_ev,total_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
2.61430715,4.42070032,0.22287252,0.00000000,0.13815126,0.00000000,0.90241651,4.23619260
2.62031016,4.51306351,0.22790293,0.00000000,0.13779767,0.00000000,0.92328194,4.32685566
2.62631316,4.59313549,0.23240009,0.00000000,0.13740797,0.00000000,0.94072419,4.40584278
2.63231616,4.66021156,0.23629055,0.00000000,0.13698676,0.00000000,0.95460482,4.47250471
2.63831916,4.71390218,0.23951224,0.00000000,0.13654069,0.00000000,0.96486997,4.52648688
2.64432216,4.75413187,0.24201559,0.00000000,0.13607724,0.00000000,0.97155181,4.56772609
2.65032516,4.78112763,0.24376427,0.00000000,0.13560359,0.00000000,0.97476743,4.59643738
2.65632816,4.79539802,0.24473564,0.00000000,0.13512564,0.00000000,0.97471528,4.61309229
2.66233117,4.79770462,0.24492096,0.00000000,0.13464735,0.00000000,0.97166938,4.61839005
2.66833417,4.78902753,0.24432538,0.00000000,0.13417037,0.00000000,0.96597156,4.61322361
2.67433717,4.77052682,0.24296775,0.00000000,0.13369410,0.00000000,0.95802218,4.59864233
2.68034017,4.74350185,0.24088024,0.00000000,0.13321609,0.00000000,0.94826966,4.57581328
2.68634317,4.70935040,0.23810783,0.00000000,0.13273282,0.00000000,0.93719916,4.54598286
2.69234617,4.66952893,0.23470775,0.00000000,0.13224072,0.00000000,0.92532097,4.51044036
2.69834917,4.62551556,0.23074871,0.00000000,0.13173743,0.00000000,0.91315869,4.47048466
2.70435218,4.57877661,0.22631003,0.00000000,0.13122315,0.00000000,0.90123779,4.42739497
2.71035518,4.53073729,0.22148065,0.00000000,0.13070197,0.00000000,0.89007453,4.38240623
2.71635818,4.48275686,0.21635793,0.00000000,0.13018306,0.00000000,0.88016555,4.33668911
2.72236118,4.43610823,0.21104625,0.00000000,0.12968161,0.00000000,0.87197816,4.29133465
2.72836418,4.39196148,0.20565544,0.00000000,0.12921942,0.00000000,0.86594151,4.24734291
2.73436718,4.35137084,0.20029894,0.00000000,0.12882508,0.00000000,0.86243845,4.20561499
2.74037019,4.31526457,0.19509169,0.00000000,0.12853363,0.00000000,0.86179827,4.16694759
2.74637319,4.28443669,0.19014784,0.00000000,0.12838578,0.00000000,0.86429018,4.13202923
2.75237619,4.25954035,0.18557823,0.00000000,0.12842659,0.00000000,0.87011765,4.10143742
2.75837919,4.24108189,0.18148773,0.00000000,0.12870378,0.00000000,0.87941347,4.07563598
2.76438219,4.22941563,0.17797243,0.00000000,0.12926564,0.00000000,0.89223585,4.05497224
2.77038519,4.22473916,0.17511690,0.00000000,0.13015872,0.00000000,0.90856545,4.03967383
2.77638819,4.22708935,0.17299149,0.00000000,0.13142539,0.00000000,0.92830369,4.02984517
2.78239120,4.23633958,0.17164985,0.00000000,0.13310150,0.00000000,0.95127251,4.02546410
2.78839420,4.25219885,0.17112675,0.00000000,0.13521412,0.00000000,0.97721576,4.02637927
2.79439720,4.27421365,0.17143642,0.00000000,0.13777968,0.00000000,1.00580255,4.03230903
2.80040020,4.30177347,0.17257135,0.00000000,0.14080260,0.00000000,1.03663289,4.04284288
2.80640320,4.33412083,0.17450186,0.00000000,0.14427438,0.00000000,1.06924549,4.05744633
2.81240620,4.37036669,0.17717629,0.00000000,0.14817347,0.00000000,1.10312827,4.07547020
2.81840920,4.40951166,0.18052211,0.00000000,0.15246575,0.00000000,1.13773117,4.09616481
2.82441221,4.45047344,0.18444776,0.00000000,0.15710577,0.00000000,1.17248149,4.11869978
2.83041521,4.49212013,0.18884531,0.00000000,0.16203861,0.00000000,1.20680117,4.14218930
2.83641821,4.53330891,0.19359386,0.00000000,0.16720238,0.00000000,1.24012596,4.16572269
2.84242121,4.57292913,0.19856361,0.00000000,0.17253116,0.00000000,1.27192552,4.18839933
2.84842421,4.60994812,0.20362033,0.00000000,0.17795821,0.00000000,1.30172411,4.20936698
2.85442721,4.64345807,0.20863031,0.00000000,0.18341945,0.00000000,1.32912080,4.22786172
2.86043022,4.67272160,0.21346537,0.00000000,0.18885680,0.00000000,1.35380843,4.24324781
2.86643322,4.69721374,0.21800779,0.00000000,0.19422130,0.00000000,1.37559038,4.25505519
2.87243622,4.71665785,0.22215498,0.00000000,0.19947580,0.00000000,1.39439417,4.26301251
2.87843922,4.73105309,0.22582364,0.00000000,0.20459711,0.00000000,1.41028108,4.26707354
2.88444222,4.74069135,0.22895320,0.00000000,0.20957731,0.00000000,1.42345103,4.26743488
