energy_ev,total_up,Au_p_up,Au_d_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up
-4.50525263,0.08071197,0.02993871,0.03718690,0.01651863,0.00000000,0.00846678,0.00000000
-4.49924962,0.09546223,0.03511572,0.04388430,0.01959994,0.00000000,0.01000158,0.00000000
-4.49324662,0.11269870,0.04132814,0.05175147,0.02316171,0.00000000,0.01182913,0.00000000
-4.48724362,0.13260400,0.04864597,0.06087189,0.02723914,0.00000000,0.01397310,0.00000000
-4.48124062,0.15536505,0.05714783,0.07133253,0.03186654,0.00000000,0.01645939,0.00000000
-4.47523762,0.18116700,0.06691827,0.08322100,0.03707618,0.00000000,0.01931552,0.00000000
-4.46923462,0.21018720,0.07804498,0.09662260,0.04289707,0.00000000,0.02256987,0.00000000
-4.46323162,0.24258900,0.09061599,0.11161734,0.04935389,0.00000000,0.02625091,0.00000000
-4.45722861,0.27851562,0.10471673,0.12827694,0.05646589,0.00000000,0.03038631,0.00000000
-4.45122561,0.31808411,0.12042705,0.14666186,0.06424586,0.00000000,0.03500215,0.00000000
-4.44522261,0.36137945,0.13781807,0.16681833,0.07269931,0.00000000,0.04012182,0.00000000
-4.43921961,0.40844892,0.15694900,0.18877543,0.08182369,0.00000000,0.04576513,0.00000000
-4.43321661,0.45929665,0.17786386,0.21254230,0.09160778,0.00000000,0.05194710,0.00000000
-4.42721361,0.51387866,0.20058820,0.23810538,0.10203128,0.00000000,0.05867693,0.00000000
-4.42121061,0.57209826,0.22512577,0.26542593,0.11306448,0.00000000,0.06595678,0.00000000
-4.41520760,0.63380192,0.25145535,0.29443761,0.12466823,0.00000000,0.07378069,0.00000000
-4.40920460,0.69877585,0.27952780,0.32504442,0.13679391,0.00000000,0.08213342,0.00000000
-4.40320160,0.76674323,0.30926333,0.35711895,0.14938371,0.00000000,0.09098953,0.00000000
-4.39719860,0.83736231,0.34054940,0.39050103,0.16237091,0.00000000,0.10031249,0.00000000
-4.39119560,0.91022558,0.37323909,0.42499693,0.17568043,0.00000000,0.11005408,0.00000000
-4.38519260,0.98486013,0.40715047,0.46037916,0.18922941,0.00000000,0.12015409,0.00000000
-4.37918959,1.06072951,0.44206688,0.49638706,0.20292795,0.00000000,0.13054037,0.00000000
-4.37318659,1.13723721,0.47773841,0.53272831,0.21668001,0.00000000,0.14112929,0.00000000
-4.36718359,1.21373209,0.51388488,0.56908137,0.23038439,0.00000000,0.15182679,0.00000000
-4.36118059,1.28951591,0.55020013,0.60509916,0.24393593,0.00000000,0.16252985,0.00000000
-4.35517759,1.36385301,0.58635807,0.64041379,0.25722683,0.00000000,0.17312860,0.00000000
-4.34917459,1.43598249,0.62202020,0.67464265,0.27014812,0.00000000,0.18350902,0.00000000
-4.34317159,1.50513248,0.65684470,0.70739563,0.28259144,0.00000000,0.19355607,0.00000000
-4.33716858,1.57053675,0.69049688,0.73828347,0.29445093,0.00000000,0.20315738,0.00000000
-4.33116558,1.63145295,0.72266066,0.76692709,0.30562532,0.00000000,0.21220721,0.00000000
-4.32516258,1.68718247,0.75305084,0.79296758,0.31602021,0.00000000,0.22061067,0.00000000
-4.31915958,1.73709092,0.78142553,0.81607670,0.32555055,0.00000000,0.22828796,0.00000000
-4.31315658,1.78062876,0.80759837,0.83596726,0.33414306,0.00000000,0.23517840,0.00000000
