energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
3.86293147,0.17943598,-0.17977428,0.00254163,-0.00254620,0.01135780,-0.01138227,0.00063912,-0.00064009,0.00000000,-0.00000000,0.02136230,-0.02140812,0.00165220,-0.00165602,0.00226942,-0.00227402,0.03364354,-0.03370955
3.86893447,0.15491380,-0.15521251,0.00214248,-0.00214644,0.00983781,-0.00985934,0.00055984,-0.00056072,0.00000000,-0.00000000,0.01796341,-0.01800322,0.00142005,-0.00142341,0.00190094,-0.00190493,0.02908385,-0.02914208
3.87493747,0.13330301,-0.13356438,0.00179756,-0.00180095,0.00849778,-0.00851656,0.00048838,-0.00048918,0.00000000,-0.00000000,0.01501957,-0.01505384,0.00121550,-0.00121843,0.00158306,-0.00158649,0.02506316,-0.02511408
3.88094047,0.11444690,-0.11467317,0.00150330,-0.00150615,0.00732810,-0.00734432,0.00042456,-0.00042527,0.00000000,-0.00000000,0.01249447,-0.01252365,0.00103674,-0.00103928,0.00131152,-0.00131443,0.02155265,-0.02159674
3.88694347,0.09819084,-0.09838416,0.00125607,-0.00125841,0.00631943,-0.00633329,0.00036817,-0.00036879,0.00000000,-0.00000000,0.01035134,-0.01037591,0.00088196,-0.00088413,0.00108200,-0.00108445,0.01852394,-0.01856165
3.89294647,0.08438701,-0.08454941,0.00105237,-0.00105424,0.00546294,-0.00547462,0.00031899,-0.00031953,0.00000000,-0.00000000,0.00855420,-0.00857460,0.00074939,-0.00075123,0.00089035,-0.00089237,0.01594989,-0.01598164
3.89894947,0.07289903,-0.07303233,0.00088899,-0.00089041,0.00475050,-0.00476014,0.00027679,-0.00027725,0.00000000,-0.00000000,0.00706878,-0.00708542,0.00063734,-0.00063889,0.00073261,-0.00073425,0.01380534,-0.01383151
3.90495248,0.06360619,-0.06371194,0.00076313,-0.00076412,0.00417484,-0.00418261,0.00024135,-0.00024173,0.00000000,-0.00000000,0.00586337,-0.00587662,0.00054426,-0.00054553,0.00060515,-0.00060645,0.01206782,-0.01208876
3.91095548,0.05640725,-0.05648671,0.00067253,-0.00067311,0.00372979,-0.00373580,0.00021247,-0.00021277,0.00000000,-0.00000000,0.00490941,-0.00491961,0.00046871,-0.00046973,0.00050472,-0.00050571,0.01071820,-0.01073420
3.91695848,0.05122372,-0.05127780,0.00061559,-0.00061575,0.00341032,-0.00341468,0.00018997,-0.00019020,0.00000000,-0.00000000,0.00418205,-0.00418947,0.00040944,-0.00041024,0.00042849,-0.00042921,0.00974116,-0.00975244
3.92296148,0.04800249,-0.04803174,0.00059140,-0.00059115,0.00321267,-0.00321546,0.00017372,-0.00017388,0.00000000,-0.00000000,0.00366039,-0.00366525,0.00036538,-0.00036597,0.00037409,-0.00037455,0.00912563,-0.00913236
3.92896448,0.04671770,-0.04672227,0.00059985,-0.00059916,0.00313437,-0.00313567,0.00016364,-0.00016372,0.00000000,-0.00000000,0.00332770,-0.00333017,0.00033565,-0.00033605,0.00033962,-0.00033983,0.00886503,-0.00886730
3.93496748,0.04737181,-0.04735143,0.00064162,-0.00064046,0.00317426,-0.00317409,0.00015971,-0.00015971,0.00000000,-0.00000000,0.00317150,-0.00317168,0.00031958,-0.00031980,0.00032363,-0.00032362,0.00895739,-0.00895523
3.94097049,0.04999566,-0.04994969,0.00071824,-0.00071658,0.00333234,-0.00333074,0.00016195,-0.00016188,0.00000000,-0.00000000,0.00318344,-0.00318139,0.00031670,-0.00031675,0.00032515,-0.00032491,0.00940527,-0.00939865
3.94697349,0.05464765,-0.05457505,0.00083206,-0.00082984,0.00360974,-0.00360672,0.00017047,-0.00017033,0.00000000,-0.00000000,0.00335919,-0.00335491,0.00032673,-0.00032661,0.00034362,-0.00034316,0.01021557,-0.01020438
3.95297649,0.06141171,-0.06131108,0.00098622,-0.00098337,0.00400845,-0.00400400,0.00018543,-0.00018520,0.00000000,-0.00000000,0.00369818,-0.00369161,0.00034957,-0.00034930,0.00037889,-0.00037820,0.01139904,-0.01138314
3.95897949,0.07039415,-0.07026379,0.00118462,-0.00118108,0.00453112,-0.00452523,0.00020703,-0.00020672,0.00000000,-0.00000000,0.00420318,-0.00419423,0.00038528,-0.00038485,0.00043117,-0.00043024,0.01296971,-0.01294890
3.96498249,0.08171936,-0.08155735,0.00143182,-0.00142750,0.00518073,-0.00517337,0.00023552,-0.00023512,0.00000000,-0.00000000,0.00487993,-0.00486848,0.00043407,-0.00043347,0.00050097,-0.00049978,0.01494406,-0.01491811
3.97098549,0.09552430,-0.09532851,0.00173293,-0.00172775,0.00596022,-0.00595137,0.00027118,-0.00027069,0.00000000,-0.00000000,0.00573661,-0.00572249,0.00049622,-0.00049546,0.00058903,-0.00058758,0.01734001,-0.01730866
3.97698849,0.11195175,-0.11172002,0.00209349,-0.00208735,0.00687212,-0.00686178,0.00031431,-0.00031373,0.00000000,-0.00000000,0.00678316,-0.00676619,0.00057210,-0.00057118,0.00069629,-0.00069455,0.02017575,-0.02013875
3.98299150,0.13114262,-0.13087280,0.00251925,-0.00251207,0.00791813,-0.00790628,0.00036518,-0.00036449,0.00000000,-0.00000000,0.00803068,-0.00801067,0.00066210,-0.00066101,0.00082377,-0.00082174,0.02346844,-0.02342553
3.98899450,0.15322714,-0.15291727,0.00301601,-0.00300769,0.00909863,-0.00908526,0.00042402,-0.00042324,0.00000000,-0.00000000,0.00949062,-0.00946739,0.00076658,-0.00076531,0.00097254,-0.00097018,0.02723270,-0.02718367
3.99499750,0.17831550,-0.17796388,0.00358933,-0.00357979,0.01041226,-0.01039741,0.00049104,-0.00049014,0.00000000,-0.00000000,0.01117397,-0.01114733,0.00088582,-0.00088438,0.00114358,-0.00114089,0.03147915,-0.03142383
4.00100050,0.20648780,-0.20609319,0.00424430,-0.00423346,0.01185550,-0.01183921,0.00056630,-0.00056530,0.00000000,-0.00000000,0.01309039,-0.01306020,0.00102000,-0.00101838,0.00133772,-0.00133468,0.03621280,-0.03615110
4.00700350,0.23778402,-0.23734575,0.00498518,-0.00497299,0.01342229,-0.01340463,0.00064980,-0.00064869,0.00000000,-0.00000000,0.01524732,-0.01521346,0.00116910,-0.00116730,0.00155554,-0.00155214,0.04143155,-0.04136348
4.01300650,0.27219413,-0.27171226,0.00581515,-0.00580157,0.01510370,-0.01508478,0.00074136,-0.00074015,0.00000000,-0.00000000,0.01764905,-0.01761146,0.00133290,-0.00133094,0.00179728,-0.00179353,0.04712476,-0.04705043
4.01900950,0.30964895,-0.30912435,0.00673596,-0.00672097,0.01688771,-0.01686768,0.00084065,-0.00083934,0.00000000,-0.00000000,0.02029586,-0.02025455,0.00151091,-0.00150879,0.00206276,-0.00205865,0.05327198,-0.05319162
4.02501251,0.35001209,-0.34944663,0.00774760,-0.00773124,0.01875909,-0.01873813,0.00094715,-0.00094574,0.00000000,-0.00000000,0.02318321,-0.02313826,0.00170233,-0.00170006,0.00235125,-0.00234680,0.05984189,-0.05975589
4.03101551,0.39307365,-0.39247022,0.00884806,-0.00883036,0.02069940,-0.02067771,0.00106013,-0.00105864,0.00000000,-0.00000000,0.02630101,-0.02625260,0.00190604,-0.00190364,0.00266150,-0.00265672,0.06679164,-0.06670054
4.03701851,0.43854597,-0.43790857,0.01003300,-0.01001405,0.02268711,-0.02266494,0.00117866,-0.00117710,0.00000000,-0.00000000,0.02963307,-0.02958144,0.00212056,-0.00211805,0.00299156,-0.00298650,0.07406650,-0.07397100
4.04302151,0.48606196,-0.48539574,0.01129560,-0.01127553,0.02469789,-0.02467551,0.00130159,-0.00129997,0.00000000,-0.00000000,0.03315667,-0.03310220,0.00234406,-0.00234147,0.00333886,-0.00333355,0.08159995,-0.08150090
4.04902451,0.53517644,-0.53448763,0.01262640,-0.01260539,0.02670505,-0.02668276,0.00142758,-0.00142593,0.00000000,-0.00000000,0.03684244,-0.03678559,0.00257435,-0.00257171,0.00370012,-0.00369461,0.08931425,-0.08921265
4.05502751,0.58537061,-0.58466649,0.01401329,-0.01399154,0.02868009,-0.02865821,0.00155510,-0.00155342,0.00000000,-0.00000000,0.04065442,-0.04059576,0.00280893,-0.00280627,0.00407140,-0.00406576,0.09712153,-0.09701853
