energy_ev,total_up,Bi_p_up,Bi_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-5.21360680,1.43106001,0.31999421,0.02152886,0.26986361,1.03890426,0.00986892,0.04894891
-5.20760380,1.36628894,0.29645414,0.02056272,0.25343943,0.99482335,0.00958612,0.04734141
-5.20160080,1.30294424,0.27320037,0.01959988,0.23719683,0.95161557,0.00933408,0.04605267
-5.19559780,1.24181670,0.25045406,0.01865239,0.22133911,0.90983969,0.00911422,0.04509300
-5.18959480,1.18363220,0.22841681,0.01773132,0.20606039,0.87000858,0.00892719,0.04447049
-5.18359180,1.12904125,0.20726741,0.01684655,0.19154226,0.83258184,0.00877292,0.04419139
-5.17758879,1.07861182,0.18715947,0.01600663,0.17795118,0.79796063,0.00865069,0.04426055
-5.17158579,1.03282523,0.16822004,0.01521871,0.16543623,0.76648479,0.00855921,0.04468185
-5.16558279,0.99207480,0.15054906,0.01448846,0.15412772,0.73843189,0.00849673,0.04545860
-5.15957979,0.95666715,0.13421975,0.01382012,0.14413609,0.71401817,0.00846115,0.04659388
-5.15357679,0.92682537,0.11927966,0.01321652,0.13555155,0.69340092,0.00845016,0.04809082
-5.14757379,0.90269388,0.10575241,0.01267914,0.12844394,0.67668198,0.00846132,0.04995277
-5.14157079,0.88434424,0.09363988,0.01220828,0.12286304,0.66391200,0.00849223,0.05218332
-5.13556778,0.87178157,0.08292484,0.01180312,0.11883913,0.65509521,0.00854058,0.05478623
-5.12956478,0.86495107,0.07357371,0.01146187,0.11638363,0.65019421,0.00860424,0.05776517
-5.12356178,0.86374429,0.06553953,0.01118196,0.11548993,0.64913467,0.00868137,0.06112335
-5.11755878,0.86800499,0.05876486,0.01096010,0.11613420,0.65180975,0.00877038,0.06486302
-5.11155578,0.87753433,0.05318461,0.01079249,0.11827625,0.65808410,0.00887004,0.06898487
-5.10555278,0.89209544,0.04872860,0.01067492,0.12186030,0.66779742,0.00897938,0.07348730
-5.09954977,0.91141747,0.04532399,0.01060288,0.12681585,0.68076771,0.00909775,0.07836576
-5.09354677,0.93519924,0.04289733,0.01057169,0.13305844,0.69679421,0.00922473,0.08361192
-5.08754377,0.96311279,0.04137626,0.01057663,0.14049060,0.71566033,0.00936007,0.08921306
-5.08154077,0.99480705,0.04069096,0.01061300,0.14900274,0.73713660,0.00950366,0.09515145
-5.07553777,1.02991196,0.04077523,0.01067624,0.15847436,0.76098397,0.00965546,0.10140383
-5.06953477,1.06804315,0.04156723,0.01076203,0.16877531,0.78695748,0.00981540,0.10794120
-5.06353177,1.10880757,0.04300995,0.01086639,0.17976737,0.81481050,0.00998335,0.11472865
-5.05752876,1.15180994,0.04505144,0.01098575,0.19130604,0.84429951,0.01015908,0.12172556
-5.05152576,1.19666006,0.04764475,0.01111705,0.20324264,0.87518940,0.01034216,0.12888597
-5.04552276,1.24298092,0.05074774,0.01125785,0.21542661,0.90725916,0.01053203,0.13615923
-5.03951976,1.29041720,0.05432265,0.01140637,0.22770801,0.94030770,0.01072789,0.14349084
-5.03351676,1.33864387,0.05833561,0.01156157,0.23994022,0.97415959,0.01092879,0.15082356
-5.02751376,1.38737440,0.06275599,0.01172317,0.25198263,1.00867028,0.01113357,0.15809867
-5.02151076,1.43636814,0.06755567,0.01189172,0.26370335,1.04373049,0.01134094,0.16525738
-5.01550775,1.48543616,0.07270831,0.01206853,0.27498173,1.07926932,0.01154953,0.17224223
-5.00950475,1.53444526,0.07818854,0.01225566,0.28571062,1.11525579,0.01175788,0.17899865
-5.00350175,1.58331950,0.08397113,0.01245579,0.29579836,1.15169834,0.01196454,0.18547633
-4.99749875,1.63203897,0.09003020,0.01267218,0.30517010,1.18864230,0.01216811,0.19163056
-4.99149575,1.68063557,0.09633846,0.01290840,0.31376883,1.22616496,0.01236730,0.19742335
-4.98549275,1.72918573,0.10286651,0.01316824,0.32155555,1.26436833,0.01256098,0.20282433
-4.97948974,1.77780007,0.10958214,0.01345538,0.32850897,1.30336979,0.01274822,0.20781134
-4.97348674,1.82661041,0.11644981,0.01377325,0.33462449,1.34329079,0.01292836,0.21237074
-4.96748374,1.87575448,0.12343019,0.01412467,0.33991258,1.38424396,0.01310102,0.21649730
-4.96148074,1.92535900,0.13047989,0.01451166,0.34439662,1.42631941,0.01326615,0.22019382
-4.95547774,1.97552186,0.13755123,0.01493519,0.34811029,1.46957047,0.01342401,0.22347037
-4.94947474,2.02629424,0.14459232,0.01539493,0.35109463,1.51399990,0.01357524,0.22634315
-4.94347174,2.07766365,0.15154723,0.01588910,0.35339491,1.55954707,0.01372079,0.22883319
-4.93746873,2.12953883,0.15835641,0.01641436,0.35505750,1.60607703,0.01386193,0.23096476
-4.93146573,2.18173737,0.16495729,0.01696573,0.35612684,1.65337200,0.01400021,0.23276367
-4.92546273,2.23397692,0.17128513,0.01753659,0.35664275,1.70112608,0.01413743,0.23425551
-4.91945973,2.28587079,0.17727399,0.01811881,0.35663818,1.74894356,0.01427553,0.23546398
-4.91345673,2.33692828,0.18285800,0.01870285,0.35613750,1.79634123,0.01441655,0.23640926
-4.90745373,2.38656028,0.18797272,0.01927805,0.35515550,1.84275500,0.01456252,0.23710674
-4.90145073,2.43409010,0.19255667,0.01983287,0.35369708,1.88755068,0.01471537,0.23756600
-4.89544772,2.47876945,0.19655291,0.02035526,0.35175776,1.93003879,0.01487680,0.23779014
-4.88944472,2.51979904,0.19991075,0.02083306,0.34932477,1.96949304,0.01504819,0.23777561
-4.88344172,2.55635326,0.20258742,0.02125441,0.34637898,2.00517187,0.01523048,0.23751249
-4.87743872,2.58760807,0.20454964,0.02160813,0.34289723,2.03634224,0.01542407,0.23698521
-4.87143572,2.61277076,0.20577510,0.02188419,0.33885519,2.06230484,0.01562871,0.23617375
-4.86543272,2.63111079,0.20625380,0.02207405,0.33423036,2.08241965,0.01584346,0.23505514
-4.85942971,2.64198991,0.20598908,0.02217099,0.32900527,2.09613086,0.01606662,0.23360538
-4.85342671,2.64489068,0.20499837,0.02217041,0.32317046,2.10298999,0.01629572,0.23180147
-4.84742371,2.63944169,0.20331363,0.02207001,0.31672726,2.10267625,0.01652757,0.22962362
-4.84142071,2.62543864,0.20098135,0.02186991,0.30969002,2.09501317,0.01675826,0.22705733
-4.83541771,2.60285993,0.19806221,0.02157270,0.30208788,2.07998068,0.01698331,0.22409537
-4.82941471,2.57187619,0.19463032,0.02118333,0.29396568,2.05772206,0.01719777,0.22073946
-4.82341171,2.53285311,0.19077197,0.02070907,0.28538429,2.02854541,0.01739641,0.21700159
-4.81740870,2.48634723,0.18658412,0.02015919,0.27641997,1.99291931,0.01757391,0.21290478
-4.81140570,2.43309496,0.18217242,0.01954473,0.26716313,1.95146293,0.01772509,0.20848333
-4.80540270,2.37399493,0.17764906,0.01887815,0.25771627,1.90493085,0.01784516,0.20378248
-4.79939970,2.31008456,0.17313022,0.01817296,0.24819135,1.85419312,0.01792993,0.19885752
-4.79339670,2.24251162,0.16873353,0.01744328,0.23870670,1.80021142,0.01797611,0.19377219
-4.78739370,2.17250200,0.16457537,0.01670347,0.22938357,1.74401219,0.01798146,0.18859679
-4.78139070,2.10132502,0.16076812,0.01596771,0.22034253,1.68665782,0.01794504,0.18340566
-4.77538769,2.03025754,0.15741769,0.01524959,0.21169991,1.62921712,0.01786735,0.17827453
-4.76938469,1.96054854,0.15462103,0.01456181,0.20356431,1.57273613,0.01775042,0.17327760
-4.76338169,1.89338539,0.15246405,0.01391584,0.19603358,1.51821040,0.01759791,0.16848467
-4.75737869,1.82986312,0.15101983,0.01332171,0.18919215,1.46655994,0.01741508,0.16395835
-4.75137569,1.77095790,0.15034716,0.01278780,0.18310890,1.41860747,0.01720871,0.15975156
-4.74537269,1.71750549,0.15048960,0.01232073,0.17783576,1.37506084,0.01698703,0.15590544
-4.73936968,1.67018540,0.15147494,0.01192530,0.17340679,1.33650014,0.01675950,0.15244775
-4.73336668,1.62951095,0.15331505,0.01160451,0.16983813,1.30336954,0.01653659,0.14939189
-4.72736368,1.59582541,0.15600623,0.01135958,0.16712831,1.27597409,0.01632952,0.14673655
-4.72136068,1.56930378,0.15952985,0.01119009,0.16525933,1.25448111,0.01614992,0.14446601
-4.71535768,1.54995992,0.16385344,0.01109407,0.16419805,1.23892579,0.01600954,0.14255114
-4.70935468,1.53765793,0.16893184,0.01106823,0.16389798,1.22922031,0.01591984,0.14095089
-4.70335168,1.53212727,0.17470872,0.01110810,0.16430131,1.22516583,0.01589167,0.13961441
-4.69734867,1.53298025,0.18111806,0.01120822,0.16534099,1.22646650,0.01593492,0.13848350
-4.69134567,1.53973105,0.18808568,0.01136236,0.16694288,1.23274452,0.01605816,0.13749530
-4.68534267,1.55181514,0.19553076,0.01156366,0.16902774,1.24355559,0.01626837,0.13658520
-4.67933967,1.56860823,0.20336720,0.01180483,0.17151306,1.25840398,0.01657064,0.13568966
-4.67333667,1.58944394,0.21150487,0.01207830,0.17431471,1.27675651,0.01696797,0.13474889
-4.66733367,1.61362965,0.21985065,0.01237630,0.17734819,1.29805509,0.01746107,0.13370926
-4.66133067,1.64046014,0.22830936,0.01269103,0.18052978,1.32172754,0.01804825,0.13252531
-4.65532766,1.66922889,0.23678453,0.01301469,0.18377732,1.34719660,0.01872539,0.13116127
-4.64932466,1.69923714,0.24517901,0.01333959,0.18701090,1.37388710,0.01948591,0.12959205
-4.64332166,1.72980099,0.25339564,0.01365821,0.19015333,1.40123179,0.02032088,0.12780369
