energy_ev,total_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-5.53176588,0.49492053,0.16696582,0.05742891,0.00121423,0.08125853,0.04353768,0.00000000
-5.52576288,0.49976566,0.17310442,0.05674846,0.00141630,0.08281085,0.04577410,0.00000000
-5.51975988,0.50393117,0.17934145,0.05591221,0.00164790,0.08451430,0.04804100,0.00000000
-5.51375688,0.50753647,0.18566615,0.05493077,0.00191135,0.08630541,0.05035261,0.00000000
-5.50775388,0.51072012,0.19206600,0.05381822,0.00220869,0.08812004,0.05272533,0.00000000
-5.50175088,0.51363245,0.19852545,0.05259141,0.00254158,0.08989447,0.05517690,0.00000000
-5.49574787,0.51642760,0.20502469,0.05126919,0.00291119,0.09156650,0.05772533,0.00000000
-5.48974487,0.51925517,0.21153853,0.04987162,0.00331811,0.09307651,0.06038772,0.00000000
-5.48374187,0.52225202,0.21803546,0.04841915,0.00376225,0.09436862,0.06317897,0.00000000
-5.47773887,0.52553454,0.22447694,0.04693183,0.00424278,0.09539166,0.06611045,0.00000000
-5.47173587,0.52919177,0.23081700,0.04542865,0.00475809,0.09610027,0.06918873,0.00000000
-5.46573287,0.53327964,0.23700215,0.04392688,0.00530573,0.09645580,0.07241432,0.00000000
-5.45972986,0.53781663,0.24297164,0.04244159,0.00588244,0.09642717,0.07578070,0.00000000
-5.45372686,0.54278106,0.24865808,0.04098533,0.00648423,0.09599161,0.07927341,0.00000000
-5.44772386,0.54811010,0.25398841,0.03956790,0.00710642,0.09513520,0.08286961,0.00000000
-5.44172086,0.55370056,0.25888513,0.03819625,0.00774382,0.09385324,0.08653777,0.00000000
-5.43571786,0.55941143,0.26326792,0.03687454,0.00839092,0.09215038,0.09023791,0.00000000
-5.42971486,0.56506812,0.26705539,0.03560432,0.00904212,0.09004055,0.09392207,0.00000000
-5.42371186,0.57046814,0.27016706,0.03438476,0.00969200,0.08754654,0.09753527,0.00000000
-5.41770885,0.57538819,0.27252545,0.03321299,0.01033567,0.08469952,0.10101673,0.00000000
-5.41170585,0.57959215,0.27405822,0.03208451,0.01096908,0.08153812,0.10430153,0.00000000
-5.40570285,0.58283984,0.27470030,0.03099358,0.01158944,0.07810749,0.10732242,0.00000000
-5.39969985,0.58489621,0.27439594,0.02993366,0.01219553,0.07445810,0.11001195,0.00000000
-5.39369685,0.58554048,0.27310058,0.02889787,0.01278812,0.07064444,0.11230459,0.00000000
-5.38769385,0.58457503,0.27078261,0.02787934,0.01337026,0.06672373,0.11413903,0.00000000
-5.38169085,0.58183357,0.26742470,0.02687163,0.01394756,0.06275446,0.11546026,0.00000000
-5.37568784,0.57718832,0.26302495,0.02586899,0.01452843,0.05879514,0.11622162,0.00000000
-5.36968484,0.57055592,0.25759755,0.02486672,0.01512418,0.05490302,0.11638654,0.00000000
-5.36368184,0.56190178,0.25117310,0.02386127,0.01574905,0.05113294,0.11592991,0.00000000
-5.35767884,0.55124266,0.24379847,0.02285046,0.01642008,0.04753632,0.11483919,0.00000000
-5.35167584,0.53864742,0.23553616,0.02183351,0.01715689,0.04416037,0.11311495,0.00000000
-5.34567284,0.52423589,0.22646329,0.02081109,0.01798127,0.04104731,0.11077104,0.00000000
-5.33966983,0.50817573,0.21667012,0.01978522,0.01891667,0.03823391,0.10783421,0.00000000
-5.33366683,0.49067762,0.20625815,0.01875921,0.01998749,0.03575105,0.10434337,0.00000000
-5.32766383,0.47198876,0.19533799,0.01773748,0.02121827,0.03362348,0.10034836,0.00000000
-5.32166083,0.45238508,0.18402681,0.01672537,0.02263279,0.03186960,0.09590844,0.00000000
-5.31565783,0.43216231,0.17244577,0.01572890,0.02425302,0.03050143,0.09109040,0.00000000
-5.30965483,0.41162648,0.16071726,0.01475454,0.02609811,0.02952455,0.08596657,0.00000000
-5.30365183,0.39108398,0.14896217,0.01380894,0.02818328,0.02893813,0.08061264,0.00000000
-5.29764882,0.37083189,0.13729732,0.01289868,0.03051880,0.02873502,0.07510555,0.00000000
-5.29164582,0.35114869,0.12583299,0.01203002,0.03310911,0.02890184,0.06952133,0.00000000
-5.28564282,0.33228595,0.11467082,0.01120865,0.03595200,0.02941918,0.06393322,0.00000000
-5.27963982,0.31446119,0.10390204,0.01043957,0.03903812,0.03026177,0.05840992,0.00000000
-5.27363682,0.29785233,0.09360612,0.00972687,0.04235062,0.03139887,0.05301416,0.00000000
-5.26763382,0.28259379,0.08384981,0.00907368,0.04586523,0.03279463,0.04780154,0.00000000
-5.26163082,0.26877455,0.07468675,0.00848214,0.04955059,0.03440862,0.04281982,0.00000000
-5.25562781,0.25643811,0.06615745,0.00795336,0.05336904,0.03619655,0.03810843,0.00000000
-5.24962481,0.24558432,0.05828974,0.00748751,0.05727764,0.03811104,0.03369837,0.00000000
-5.24362181,0.23617308,0.05109966,0.00708396,0.06122973,0.04010264,0.02961247,0.00000000
-5.23761881,0.22812956,0.04459266,0.00674142,0.06517662,0.04212091,0.02586586,0.00000000
-5.23161581,0.22135086,0.03876508,0.00645817,0.06906967,0.04411571,0.02246676,0.00000000
-5.22561281,0.21571367,0.03360592,0.00623224,0.07286253,0.04603852,0.01941735,0.00000000
-5.21960980,0.21108263,0.02909872,0.00606175,0.07651341,0.04784388,0.01671495,0.00000000
-5.21360680,0.20731907,0.02522354,0.00594508,0.07998735,0.04949082,0.01435311,0.00000000
-5.20760380,0.20428963,0.02195895,0.00588120,0.08325842,0.05094426,0.01232294,0.00000000
-5.20160080,0.20187457,0.01928395,0.00586986,0.08631154,0.05217630,0.01061426,0.00000000
-5.19559780,0.19997521,0.01717991,0.00591182,0.08914401,0.05316739,0.00921686,0.00000000
-5.18959480,0.19852040,0.01563216,0.00600899,0.09176646,0.05390725,0.00812161,0.00000000
-5.18359180,0.19747158,0.01463156,0.00616458,0.09420331,0.05439558,0.00732148,0.00000000
-5.17758879,0.19682643,0.01417576,0.00638310,0.09649248,0.05464242,0.00681250,0.00000000
-5.17158579,0.19662071,0.01427018,0.00667038,0.09868446,0.05466821,0.00659445,0.00000000
-5.16558279,0.19692851,0.01492870,0.00703346,0.10084069,0.05450349,0.00667149,0.00000000
-5.15957979,0.19786070,0.01617408,0.00748041,0.10303121,0.05418826,0.00705258,0.00000000
-5.15357679,0.19956175,0.01803792,0.00802012,0.10533178,0.05377098,0.00775167,0.00000000
-5.14757379,0.20220497,0.02056042,0.00866197,0.10782045,0.05330729,0.00878773,0.00000000
-5.14157079,0.20598646,0.02378958,0.00941543,0.11057382,0.05285844,0.01018447,0.00000000
-5.13556778,0.21111791,0.02778016,0.01028969,0.11366306,0.05248945,0.01196995,0.00000000
-5.12956478,0.21781857,0.03259219,0.01129316,0.11715001,0.05226721,0.01417585,0.00000000
-5.12356178,0.22630663,0.03828914,0.01243299,0.12108340,0.05225836,0.01683652,0.00000000
-5.11755878,0.23679047,0.04493567,0.01371459,0.12549550,0.05252724,0.01998784,0.00000000
-5.11155578,0.24945986,0.05259517,0.01514115,0.13039938,0.05313383,0.02366583,0.00000000
-5.10555278,0.26447771,0.06132692,0.01671320,0.13578692,0.05413184,0.02790502,0.00000000
-5.09954977,0.28197242,0.07118317,0.01842822,0.14162774,0.05556692,0.03273674,0.00000000
-5.09354677,0.30203136,0.08220603,0.02028037,0.14786915,0.05747522,0.03818725,0.00000000
-5.08754377,0.32469553,0.09442434,0.02226026,0.15443709,0.05988215,0.04427581,0.00000000
-5.08154077,0.34995568,0.10785077,0.02435484,0.16123830,0.06280157,0.05101280,0.00000000
-5.07553777,0.37775007,0.12247898,0.02654749,0.16816332,0.06623530,0.05839789,0.00000000
-5.06953477,0.40796403,0.13828132,0.02881811,0.17509050,0.07017310,0.06641846,0.00000000
-5.06353177,0.44043114,0.15520685,0.03114350,0.18189075,0.07459300,0.07504820,0.00000000
-5.05752876,0.47493623,0.17318014,0.03349771,0.18843273,0.07946207,0.08424618,0.00000000
-5.05152576,0.51122005,0.19210061,0.03585268,0.19458847,0.08473759,0.09395630,0.00000000
-5.04552276,0.54898526,0.21184280,0.03817881,0.20023884,0.09036847,0.10410718,0.00000000
-5.03951976,0.58790379,0.23225740,0.04044580,0.20527887,0.09629708,0.11461278,0.00000000
-5.03351676,0.62762502,0.25317312,0.04262339,0.20962248,0.10246116,0.12537343,0.00000000
-5.02751376,0.66778459,0.27439940,0.04468221,0.21320641,0.10879591,0.13627750,0.00000000
-5.02151076,0.70801344,0.29572988,0.04659466,0.21599319,0.11523608,0.14720367,0.00000000
-5.01550775,0.74794662,0.31694647,0.04833564,0.21797282,0.12171801,0.15802365,0.00000000
-5.00950475,0.78723159,0.33782393,0.04988329,0.21916327,0.12818142,0.16860525,0.00000000
-5.00350175,0.82553559,0.35813481,0.05121967,0.21960956,0.13457102,0.17881589,0.00000000
-4.99749875,0.86255181,0.37765452,0.05233116,0.21938154,0.14083760,0.18852616,0.00000000
-4.99149575,0.89800402,0.39616635,0.05320888,0.21857049,0.14693889,0.19761349,0.00000000
-4.98549275,0.93164967,0.41346622,0.05384883,0.21728464,0.15283974,0.20596560,0.00000000
-4.97948974,0.96328127,0.42936709,0.05425191,0.21564382,0.15851197,0.21348385,0.00000000
-4.97348674,0.99272606,0.44370274,0.05442374,0.21377363,0.16393364,0.22008604,0.00000000
-4.96748374,1.01984429,0.45633085,0.05437434,0.21179923,0.16908797,0.22570880,0.00000000
-4.96148074,1.04452613,0.46713539,0.05411768,0.20983924,0.17396185,0.23030931,0.00000000
-4.95547774,1.06668762,0.47602810,0.05367105,0.20799998,0.17854412,0.23386642,0.00000000
-4.94947474,1.08626603,0.48294920,0.05305440,0.20637030,0.18282376,0.23638100,0.00000000
-4.94347174,1.10321505,0.48786738,0.05228959,0.20501732,0.18678807,0.23787561,0.00000000
-4.93746873,1.11750011,0.49077896,0.05139963,0.20398329,0.19042104,0.23839356,0.00000000
-4.93146573,1.12909435,0.49170659,0.05040790,0.20328367,0.19370197,0.23799721,0.00000000
-4.92546273,1.13797543,0.49069737,0.04933745,0.20290651,0.19660457,0.23676586,0.00000000
-4.91945973,1.14412356,0.48782062,0.04821032,0.20281323,0.19909659,0.23479314,0.00000000
-4.91345673,1.14752081,0.48316550,0.04704704,0.20294060,0.20113992,0.23218405,0.00000000
-4.90745373,1.14815173,0.47683834,0.04586611,0.20320393,0.20269147,0.22905181,0.00000000
-4.90145073,1.14600534,0.46896010,0.04468374,0.20350125,0.20370452,0.22551457,0.00000000
-4.89544772,1.14107813,0.45966379,0.04351362,0.20371821,0.20413064,0.22169216,0.00000000
-4.88944472,1.13337805,0.44909200,0.04236681,0.20373351,0.20392206,0.21770284,0.00000000
-4.88344172,1.12292885,0.43739460,0.04125185,0.20342458,0.20303434,0.21366039,0.00000000
-4.87743872,1.10977468,0.42472658,0.04017483,0.20267316,0.20142924,0.20967127,0.00000000
-4.87143572,1.09398443,0.41124599,0.03913960,0.20137064,0.19907752,0.20583223,0.00000000
-4.86543272,1.07565535,0.39711213,0.03814812,0.19942278,0.19596162,0.20222821,0.00000000
-4.85942971,1.05491580,0.38248374,0.03720073,0.19675373,0.19207806,0.19893066,0.00000000
-4.85342671,1.03192675,0.36751736,0.03629650,0.19330909,0.18743926,0.19599618,0.00000000
-4.84742371,1.00688185,0.35236579,0.03543364,0.18905797,0.18207495,0.19346573,0.00000000
-4.84142071,0.98000612,0.33717664,0.03460982,0.18399399,0.17603286,0.19136405,0.00000000
