energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
4.19909955,5.10731609,0.04352233,0.07390796,0.82410140,0.19459039,0.07639337,0.30597534,0.61956066,4.79208915
4.20510255,5.22278472,0.04568364,0.07428656,0.84478044,0.19901660,0.08083493,0.31454116,0.64251295,4.89336116
4.21110555,5.32553758,0.04774675,0.07482656,0.86394629,0.20345742,0.08535949,0.32307307,0.66487441,4.98048395
4.21710855,5.41469465,0.04968306,0.07552254,0.88129900,0.20787328,0.08991646,0.33153637,0.68634127,5.05274923
4.22311156,5.48950227,0.05146461,0.07636152,0.89654994,0.21221693,0.09445042,0.33989046,0.70659479,5.10961466
4.22911456,5.54933156,0.05306452,0.07732308,0.90942513,0.21643401,0.09890176,0.34808880,0.72530725,5.15069890
4.23511756,5.59367642,0.05445758,0.07837977,0.91966890,0.22046407,0.10320747,0.35607908,0.74214908,5.17577496
4.24112056,5.62215194,0.05562072,0.07949790,0.92704803,0.22424192,0.10730229,0.36380363,0.75679673,5.18476259
4.24712356,5.63449384,0.05653356,0.08063860,0.93135618,0.22769932,0.11112003,0.37120010,0.76894122,5.17772057
4.25312656,5.63055935,0.05717888,0.08175916,0.93241863,0.23076697,0.11459515,0.37820247,0.77829696,5.15483957
4.25912956,5.61032971,0.05754307,0.08281456,0.93009723,0.23337665,0.11766446,0.38474218,0.78461053,5.11643580
4.26513257,5.57391409,0.05761656,0.08375916,0.92429525,0.23546353,0.12026892,0.39074972,0.78766908,5.06294588
4.27113557,5.52155457,0.05739406,0.08454841,0.91496201,0.23696851,0.12235546,0.39615622,0.78730799,4.99492266
4.27713857,5.45363157,0.05687487,0.08514063,0.90209700,0.23784046,0.12387873,0.40089540,0.78341731,4.91303164
4.28314157,5.37066870,0.05606297,0.08549861,0.88575314,0.23803826,0.12480261,0.40490547,0.77594686,4.81804777
4.28914457,5.27333637,0.05496700,0.08559112,0.86603899,0.23753265,0.12510160,0.40813112,0.76490951,4.71085159
4.29514757,5.16245288,0.05360020,0.08539409,0.84311960,0.23630755,0.12476180,0.41052543,0.75038258,4.59242440
4.30115058,5.03898232,0.05198014,0.08489161,0.81721582,0.23436112,0.12378152,0.41205162,0.73250713,4.46384160
4.30715358,4.90402837,0.05012836,0.08407649,0.78860186,0.23170613,0.12217149,0.41268451,0.71148527,4.32626375
4.31315658,4.75882366,0.04806991,0.08295054,0.75760119,0.22836996,0.11995468,0.41241168,0.68757528,4.18092489
4.31915958,4.60471432,0.04583278,0.08152443,0.72458056,0.22439390,0.11716560,0.41123419,0.66108512,4.02911801
4.32516258,4.44314001,0.04344720,0.07981723,0.68994253,0.21983204,0.11384924,0.40916684,0.63236417,3.87217788
4.33116558,4.27560975,0.04094500,0.07785561,0.65411652,0.21474963,0.11005974,0.40623796,0.60179384,3.71146128
4.33716858,4.10367443,0.03835879,0.07567274,0.61754879,0.20922102,0.10585863,0.40248860,0.56977726,3.54832558
4.34317159,3.92889700,0.03572122,0.07330702,0.58069158,0.20332733,0.10131299,0.39797134,0.53672866,3.38410617
4.34917459,3.75282153,0.03306425,0.07080059,0.54399205,0.19715386,0.09649344,0.39274863,0.50306262,3.22009381
4.35517759,3.57694249,0.03041844,0.06819780,0.50788115,0.19078744,0.09147216,0.38689069,0.46918391,3.05751272
4.36118059,3.40267560,0.02781235,0.06554365,0.47276314,0.18431376,0.08632093,0.38047321,0.43547811,2.89750060
4.36718359,3.23133147,0.02527194,0.06288225,0.43900598,0.17781486,0.08110934,0.37357486,0.40230338,2.74109122
4.37318659,3.06409312,0.02282022,0.06025550,0.40693302,0.17136686,0.07590324,0.36627469,0.36998368,2.58920046
4.37918959,2.90199827,0.02047686,0.05770181,0.37681637,0.16503797,0.07076344,0.35864967,0.33880367,2.44261628
4.38519260,2.74592692,0.01825803,0.05525511,0.34887198,0.15888694,0.06574470,0.35077231,0.30900512,2.30199295
4.39119560,2.59659448,0.01617630,0.05294411,0.32325677,0.15296190,0.06089506,0.34270869,0.28078525,2.16784950
4.39719860,2.45455053,0.01424068,0.05079174,0.30006774,0.14729971,0.05625544,0.33451671,0.25429643,2.04057233
4.40320160,2.32018270,0.01245676,0.04881492,0.27934302,0.14192572,0.05185957,0.32624494,0.22964753,1.92042150
4.40920460,2.19372525,0.01082694,0.04702455,0.26106478,0.13685403,0.04773410,0.31793188,0.20690636,1.80754013
4.41520760,2.07527154,0.00935068,0.04542569,0.24516376,0.13208809,0.04389902,0.30960572,0.18610319,1.70196617
4.42121061,1.96478944,0.00802491,0.04401799,0.23152515,0.12762172,0.04036806,0.30128470,0.16723495,1.60364591
4.42721361,1.86213881,0.00684437,0.04279620,0.21999558,0.12344034,0.03714940,0.29297790,0.15026990,1.51244824
4.43321661,1.76709007,0.00580205,0.04175091,0.21039081,0.11952247,0.03424619,0.28468644,0.13515244,1.42817907
4.43921961,1.67934286,0.00488954,0.04086923,0.20250386,0.11584134,0.03165729,0.27640512,0.12180794,1.35059521
4.44522261,1.59854421,0.00409747,0.04013562,0.19611320,0.11236655,0.02937781,0.26812425,0.11014730,1.27941717
4.45122561,1.52430530,0.00341582,0.03953265,0.19099071,0.10906569,0.02739966,0.25983169,0.10007118,1.21434049
4.45722861,1.45621662,0.00283428,0.03904176,0.18690919,0.10590591,0.02571198,0.25151493,0.09147363,1.15504533
4.46323162,1.39386094,0.00234254,0.03864396,0.18364904,0.10285535,0.02430156,0.24316316,0.08424535,1.10120440
4.46923462,1.33682419,0.00193048,0.03832043,0.18100415,0.09988430,0.02315305,0.23476916,0.07827630,1.05248904
4.47523762,1.28470409,0.00158842,0.03805305,0.17878670,0.09696630,0.02224923,0.22633099,0.07345779,1.00857388
4.48124062,1.23711688,0.00130721,0.03782482,0.17683082,0.09407882,0.02157118,0.21785331,0.06968419,0.96914018
4.48724362,1.19370213,0.00107837,0.03762018,0.17499520,0.09120378,0.02109835,0.20934844,0.06685415,0.93387823
4.49324662,1.15412623,0.00089414,0.03742527,0.17316454,0.08832789,0.02080880,0.20083691,0.06487162,0.90248921
