energy_ev,total_up,Au_p_up,Au_d_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-5.75387694,1.21883165,0.22082241,0.80463401,0.13124637,0.12671019,0.00057906,0.05147187,0.23619253,0.00000000
-5.74787394,1.23047365,0.22654629,0.81301901,0.13063960,0.12765732,0.00048433,0.05186546,0.24115951,0.00000000
-5.74187094,1.24176730,0.23188339,0.82190531,0.12973486,0.12833432,0.00040237,0.05217078,0.24577868,0.00000000
-5.73586793,1.25255761,0.23678134,0.83107792,0.12857477,0.12876061,0.00033203,0.05240551,0.25000734,0.00000000
-5.72986493,1.26269163,0.24119107,0.84032043,0.12720211,0.12895774,0.00027214,0.05258668,0.25380603,0.00000000
-5.72386193,1.27201557,0.24506671,0.84941668,0.12565788,0.12894799,0.00022156,0.05272976,0.25713804,0.00000000
-5.71785893,1.28037219,0.24836549,0.85815237,0.12397963,0.12875290,0.00017918,0.05284795,0.25996885,0.00000000
-5.71185593,1.28759890,0.25104769,0.86631684,0.12219997,0.12839194,0.00014395,0.05295152,0.26226563,0.00000000
-5.70585293,1.29352726,0.25307661,0.87370561,0.12034551,0.12788141,0.00011492,0.05304739,0.26399688,0.00000000
-5.69984992,1.29798429,0.25441876,0.88012358,0.11843616,0.12723354,0.00009118,0.05313891,0.26513230,0.00000000
-5.69384692,1.30079580,0.25504427,0.88538939,0.11648487,0.12645596,0.00007196,0.05322584,0.26564288,0.00000000
-5.68784392,1.30179212,0.25492745,0.88934080,0.11449779,0.12555150,0.00005655,0.05330458,0.26550139,0.00000000
-5.68184092,1.30081592,0.25404772,0.89184121,0.11247495,0.12451836,0.00004436,0.05336862,0.26468315,0.00000000
-5.67583792,1.29773214,0.25239061,0.89278699,0.11041119,0.12335066,0.00003485,0.05340919,0.26316719,0.00000000
-5.66983492,1.29243945,0.24994902,0.89211552,0.10829750,0.12203932,0.00002762,0.05341609,0.26093756,0.00000000
-5.66383192,1.28488271,0.24672458,0.88981338,0.10612263,0.12057320,0.00002232,0.05337861,0.25798501,0.00000000
-5.65782891,1.27506570,0.24272903,0.88592434,0.10387479,0.11894046,0.00001869,0.05328659,0.25430860,0.00000000
-5.65182591,1.26306341,0.23798553,0.88055652,0.10154349,0.11713014,0.00001656,0.05313146,0.24991745,0.00000000
-5.64582291,1.24903286,0.23252981,0.87388827,0.09912129,0.11513367,0.00001582,0.05290728,0.24483229,0.00000000
-5.63981991,1.23322184,0.22641108,0.86617209,0.09660556,0.11294640,0.00001646,0.05261166,0.23908676,0.00000000
-5.63381691,1.21597460,0.21969259,0.85773620,0.09399985,0.11056901,0.00001852,0.05224658,0.23272842,0.00000000
-5.62781391,1.19773407,0.21245182,0.84898336,0.09131526,0.10800871,0.00002215,0.05181900,0.22581925,0.00000000
-5.62181091,1.17904000,0.20478019,0.84038658,0.08857125,0.10528009,0.00002757,0.05134125,0.21843564,0.00000000
-5.61580790,1.16052279,0.19678228,0.83248167,0.08579632,0.10240576,0.00003511,0.05083122,0.21066790,0.00000000
-5.60980490,1.14289305,0.18857464,0.82585662,0.08302825,0.09941654,0.00004519,0.05031222,0.20261911,0.00000000
-5.60380190,1.12692702,0.18028415,0.82113803,0.08031396,0.09635134,0.00005833,0.04981263,0.19440350,0.00000000
-5.59779890,1.11344836,0.17204593,0.81897496,0.07770917,0.09325668,0.00007521,0.04936530,0.18614437,0.00000000
-5.59179590,1.10330691,0.16400104,0.82002073,0.07527763,0.09018591,0.00009661,0.04900672,0.17797158,0.00000000
-5.58579290,1.09735527,0.15629387,0.82491337,0.07309019,0.08719815,0.00012347,0.04877599,0.17001874,0.00000000
-5.57978989,1.09642425,0.14906945,0.83425547,0.07122367,0.08435708,0.00015689,0.04871364,0.16242038,0.00000000
-5.57378689,1.10129813,0.14247072,0.84859424,0.06975950,0.08172962,0.00019814,0.04886042,0.15530890,0.00000000
-5.56778389,1.11269095,0.13663583,0.86840277,0.06878231,0.07938456,0.00024867,0.04925592,0.14881184,0.00000000
-5.56178089,1.13122486,0.13169559,0.89406321,0.06837843,0.07739129,0.00031009,0.04993729,0.14304919,0.00000000
-5.55577789,1.15741148,0.12777119,0.92585276,0.06863437,0.07581864,0.00038424,0.05093802,0.13813119,0.00000000
-5.54977489,1.19163723,0.12497206,0.96393312,0.06963525,0.07473396,0.00047309,0.05228675,0.13415648,0.00000000
-5.54377189,1.23415321,0.12339416,1.00834394,0.07146329,0.07420243,0.00057885,0.05400626,0.13121072,0.00000000
-5.53776888,1.28507020,0.12311849,1.05900074,0.07419629,0.07428667,0.00070386,0.05611270,0.12936582,0.00000000
-5.53176588,1.34435893,0.12421000,1.11569733,0.07790616,0.07504668,0.00085063,0.05861491,0.12867959,0.00000000
-5.52576288,1.41185572,0.12671677,1.17811286,0.08265749,0.07654008,0.00102179,0.06151404,0.12919599,0.00000000
-5.51975988,1.48727310,0.13066955,1.24582317,0.08850618,0.07882263,0.00122008,0.06480339,0.13094578,0.00000000
-5.51375688,1.57021506,0.13608153,1.31831601,0.09549815,0.08194904,0.00144834,0.06846841,0.13394761,0.00000000
-5.50775388,1.66019612,0.14294844,1.39500958,0.10366810,0.08597391,0.00170940,0.07248707,0.13820942,0.00000000
-5.50175088,1.75666341,0.15124893,1.47527352,0.11303846,0.09095286,0.00200612,0.07683027,0.14373013,0.00000000
-5.49574787,1.85902075,0.16094517,1.55845142,0.12361843,0.09694361,0.00234131,0.08146255,0.15050138,0.00000000
-5.48974487,1.96665354,0.17198374,1.64388394,0.13540329,0.10400713,0.00271766,0.08634296,0.15850944,0.00000000
-5.48374187,2.07895336,0.18429681,1.73093138,0.14837383,0.11220852,0.00313772,0.09142606,0.16773697,0.00000000
-5.47773887,2.19534108,0.19780351,1.81899477,0.16249626,0.12161771,0.00360384,0.09666301,0.17816476,0.00000000
-5.47173587,2.31528736,0.21241169,1.90753439,0.17772226,0.13230974,0.00411812,0.10200281,0.18977317,0.00000000
-5.46573287,2.43832952,0.22801981,1.99608484,0.19398946,0.14436468,0.00468231,0.10739354,0.20254337,0.00000000
-5.45972986,2.56408381,0.24451917,2.08426592,0.21122236,0.15786689,0.00529782,0.11278364,0.21645817,0.00000000
-5.45372686,2.69225232,0.26179631,2.17178876,0.22933346,0.17290370,0.00596557,0.11812321,0.23150248,0.00000000
-5.44772386,2.82262412,0.27973551,2.25845674,0.24822480,0.18956342,0.00668601,0.12336518,0.24766331,0.00000000
-5.44172086,2.95507005,0.29822142,2.34416102,0.26778979,0.20793253,0.00745896,0.12846642,0.26492927,0.00000000
-5.43571786,3.08953136,0.31714155,2.42887090,0.28791510,0.22809222,0.00828362,0.13338877,0.28328959,0.00000000
-5.42971486,3.22600212,0.33638865,2.51261914,0.30848277,0.25011407,0.00915843,0.13809978,0.30273256,0.00000000
-5.42371186,3.36450606,0.35586273,2.59548292,0.32937213,0.27405512,0.01008102,0.14257336,0.32324346,0.00000000
-5.41770885,3.50506852,0.37547260,2.67756119,0.35046163,0.29995236,0.01104809,0.14679009,0.34480208,0.00000000
-5.41170585,3.64768459,0.39513687,2.75894937,0.37163036,0.32781675,0.01205540,0.15073731,0.36737965,0.00000000
-5.40570285,3.79228460,0.41478414,2.83971262,0.39275910,0.35762707,0.01309764,0.15440892,0.39093552,0.00000000
-5.39969985,3.93869877,0.43435244,2.91985890,0.41373095,0.38932372,0.01416841,0.15780486,0.41541358,0.00000000
-5.39369685,4.08662251,0.45378784,2.99931329,0.43443137,0.42280295,0.01526014,0.16093036,0.44073856,0.00000000
-5.38769385,4.23558446,0.47304217,3.07789493,0.45474772,0.45791166,0.01636414,0.16379485,0.46681241,0.00000000
-5.38169085,4.38491901,0.49207002,3.15529795,0.47456823,0.49444326,0.01747057,0.16641073,0.49351097,0.00000000
-5.37568784,4.53374554,0.51082516,3.23107768,0.49378070,0.53213488,0.01856853,0.16879198,0.52068118,0.00000000
-5.36968484,4.68095580,0.52925648,3.30464332,0.51227082,0.57066630,0.01964612,0.17095259,0.54813906,0.00000000
-5.36368184,4.82521140,0.54730389,3.37525780,0.52992048,0.60966094,0.02069066,0.17290507,0.57566857,0.00000000
-5.35767884,4.96495225,0.56489426,3.44204553,0.54660629,0.64868902,0.02168885,0.17465902,0.60302185,0.00000000
-5.35167584,5.09841710,0.58193792,3.50400822,0.56219832,0.68727324,0.02262702,0.17621983,0.62992074,0.00000000
-5.34567284,5.22367607,0.59832598,3.56004858,0.57655959,0.72489686,0.02349145,0.17758769,0.65605988,0.00000000
-5.33966983,5.33867504,0.61392867,3.60900140,0.58954622,0.76101417,0.02426872,0.17875690,0.68111137,0.00000000
-5.33366683,5.44129075,0.62859514,3.64967093,0.60100852,0.79506320,0.02494604,0.17971553,0.70473112,0.00000000
-5.32766383,5.52939498,0.64215479,3.68087330,0.61079318,0.82648022,0.02551170,0.18044562,0.72656658,0.00000000
-5.32166083,5.60092555,0.65442021,3.70148223,0.61874641,0.85471561,0.02595540,0.18092371,0.74626586,0.00000000
-5.31565783,5.65396127,0.66519184,3.71047612,0.62471804,0.87925060,0.02626869,0.18112187,0.76348782,0.00000000
-5.30965483,5.68679780,0.67426414,3.70698428,0.62856660,0.89961409,0.02644528,0.18100910,0.77791283,0.00000000
-5.30365183,5.69802081,0.68143310,3.69033034,0.63016483,0.91539888,0.02648137,0.18055309,0.78925377,0.00000000
-5.29764882,5.68657302,0.68650470,3.66007043,0.62940577,0.92627667,0.02637589,0.17972214,0.79726677,0.00000000
-5.29164582,5.65181184,0.68930407,3.61602448,0.62620874,0.93201096,0.02613066,0.17848732,0.80176118,0.00000000
-5.28564282,5.59355439,0.68968468,3.55829866,0.62052508,0.93246733,0.02575047,0.17682455,0.80260833,0.00000000
-5.27963982,5.51210752,0.68753726,3.48729798,0.61234331,0.92762049,0.02524312,0.17471662,0.79974856,0.00000000
-5.27363682,5.40828101,0.68279773,3.40372793,0.60169325,0.91755780,0.02461925,0.17215501,0.79319613,0.00000000
-5.26763382,5.28338267,0.67545392,3.30858514,0.58864900,0.90247883,0.02389217,0.16914130,0.78304176,0.00000000
-5.26163082,5.13919543,0.66555044,3.20313705,0.57333041,0.88269116,0.02307758,0.16568826,0.76945257,0.00000000
-5.25562781,4.97793683,0.65319154,3.08889143,0.55590300,0.85860228,0.02219322,0.16182038,0.75266928,0.00000000
-5.24962481,4.80220260,0.63854159,2.96755699,0.53657630,0.83070811,0.02125838,0.15757397,0.73300087,0.00000000
-5.24362181,4.61489648,0.62182327,2.84099667,0.51560052,0.79957848,0.02029345,0.15299665,0.71081672,0.00000000
-5.23761881,4.41914933,0.60331328,2.71117560,0.49326189,0.76584018,0.01931942,0.14814641,0.68653667,0.00000000
-5.23161581,4.21823075,0.58333595,2.58010581,0.46987661,0.73015836,0.01835727,0.14309024,0.66061932,0.00000000
-5.22561281,4.01545702,0.56225485,2.44979007,0.44578395,0.69321698,0.01742749,0.13790232,0.63354905,0.00000000
-5.21960980,3.81409895,0.54046288,2.32216700,0.42133861,0.65569905,0.01654951,0.13266204,0.60582242,0.00000000
-5.21360680,3.61729342,0.51837116,2.19905956,0.39690274,0.61826761,0.01574121,0.12745174,0.57793426,0.00000000
-5.20760380,3.42796180,0.49639738,2.08212881,0.37283795,0.58154794,0.01501848,0.12235447,0.55036432,0.00000000
-5.20160080,3.24873830,0.47495392,1.97283455,0.34949764,0.54611181,0.01439479,0.11745172,0.52356465,0.00000000
-5.19559780,3.08191040,0.45443634,1.87240387,0.32721982,0.51246414,0.01388088,0.11282136,0.49794851,0.00000000
-5.18959480,2.92937320,0.43521267,1.78180863,0.30632079,0.48103261,0.01348449,0.10853569,0.47388084,0.00000000
-5.18359180,2.79259865,0.41761390,1.70175207,0.28708967,0.45216025,0.01321020,0.10465981,0.45167084,0.00000000
-5.17758879,2.67261980,0.40192585,1.63266462,0.26978396,0.42610131,0.01305928,0.10125032,0.43156667,0.00000000
-5.17158579,2.57003001,0.38838286,1.57470859,0.25462616,0.40302027,0.01302975,0.09835428,0.41375237,0.00000000
-5.16558279,2.48499588,0.37716320,1.52779078,0.24180137,0.38299375,0.01311640,0.09600850,0.39834694,0.00000000
-5.15957979,2.41728268,0.36838634,1.49158245,0.23145577,0.36601523,0.01331095,0.09423919,0.38540554,0.00000000
-5.15357679,2.36629027,0.36211207,1.46554499,0.22369591,0.35200205,0.01360233,0.09306181,0.37492244,0.00000000
-5.14757379,2.33109752,0.35834119,1.44896035,0.21858874,0.34080431,0.01397693,0.09248114,0.36683559,0.00000000
-5.14157079,2.31051285,0.35701781,1.44096464,0.21616200,0.33221528,0.01441903,0.09249162,0.36103243,0.00000000
-5.13556778,2.30312863,0.35803281,1.44058344,0.21640519,0.32598269,0.01491120,0.09307769,0.35735661,0.00000000
-5.12956478,2.30737710,0.36122841,1.44676757,0.21927067,0.32182059,0.01543482,0.09421434,0.35561535,0.00000000
-5.12356178,2.32158571,0.36640355,1.45842797,0.22467508,0.31942119,0.01597058,0.09586768,0.35558698,0.00000000
-5.11755878,2.34402999,0.37331984,1.47446846,0.23250088,0.31846628,0.01649900,0.09799556,0.35702860,0.00000000
-5.11155578,2.37298231,0.38170789,1.49381556,0.24259811,0.31863798,0.01700102,0.10054823,0.35968333,0.00000000
-5.10555278,2.40675529,0.39127391,1.51544435,0.25478630,0.31962832,0.01745849,0.10346902,0.36328723,0.00000000
-5.09954977,2.44373878,0.40170631,1.53839999,0.26885671,0.32114767,0.01785469,0.10669513,0.36757554,0.00000000
-5.09354677,2.48243006,0.41268231,1.56181443,0.28457479,0.32293156,0.01817476,0.11015839,0.37228819,0.00000000
-5.08754377,2.52145682,0.42387452,1.58491823,0.30168316,0.32474610,0.01840611,0.11378621,0.37717467,0.00000000
-5.08154077,2.55959313,0.43495721,1.60704745,0.31990493,0.32639172,0.01853873,0.11750253,0.38199801,0.00000000
-5.07553777,2.59576875,0.44561248,1.62764612,0.33894761,0.32770547,0.01856539,0.12122899,0.38653807,0.00000000
-5.06953477,2.62907247,0.45553615,1.64626446,0.35850746,0.32856181,0.01848181,0.12488613,0.39059417,0.00000000
-5.06353177,2.65875024,0.46444330,1.66255375,0.37827437,0.32887215,0.01828663,0.12839477,0.39398709,0.00000000
-5.05752876,2.68419902,0.47207348,1.67625831,0.39793704,0.32858326,0.01798139,0.13167743,0.39656048,0.00000000
-5.05152576,2.70495754,0.47819551,1.68720552,0.41718861,0.32767473,0.01757036,0.13465991,0.39818189,0.00000000
-5.04552276,2.72069472,0.48261167,1.69529471,0.43573223,0.32615572,0.01706027,0.13727278,0.39874334,0.00000000
-5.03951976,2.73119700,0.48516132,1.70048555,0.45328673,0.32406118,0.01646003,0.13945294,0.39816157,0.00000000
-5.03351676,2.73635530,0.48572377,1.70278681,0.46959198,0.32144776,0.01578029,0.14114504,0.39637802,0.00000000
-5.02751376,2.73615234,0.48422030,1.70224607,0.48441374,0.31838955,0.01503311,0.14230282,0.39335849,0.00000000
-5.02151076,2.73065091,0.48061525,1.69894082,0.49754797,0.31497386,0.01423146,0.14289012,0.38909264,0.00000000
-5.01550775,2.71998355,0.47491610,1.69297134,0.50882416,0.31129708,0.01338881,0.14288183,0.38359313,0.00000000
-5.00950475,2.70434366,0.46717248,1.68445550,0.51810786,0.30746082,0.01251870,0.14226435,0.37689466,0.00000000
-5.00350175,2.68397815,0.45747414,1.67352551,0.52530198,0.30356832,0.01163438,0.14103585,0.36905264,0.00000000
-4.99749875,2.65918157,0.44594792,1.66032643,0.53034712,0.29972123,0.01074841,0.13920615,0.36014169,0.00000000
-4.99149575,2.63029130,0.43275376,1.64501621,0.53322076,0.29601673,0.00987242,0.13679629,0.35025386,0.00000000
-4.98549275,2.59768362,0.41807996,1.62776687,0.53393548,0.29254505,0.00901689,0.13383770,0.33949667,0.00000000
-4.97948974,2.56177017,0.40213774,1.60876632,0.53253630,0.28938739,0.00819094,0.13037124,0.32799091,0.00000000
-4.97348674,2.52299467,0.38515546,1.58822046,0.52909730,0.28661421,0.00740229,0.12644588,0.31586833,0.00000000
-4.96748374,2.48182924,0.36737260,1.56635504,0.52371783,0.28428390,0.00665722,0.12211730,0.30326917,0.00000000
-4.96148074,2.43877051,0.34903381,1.54341685,0.51651831,0.28244193,0.00596061,0.11744632,0.29033972,0.00000000
-4.95547774,2.39433506,0.33038320,1.51967406,0.50763611,0.28112032,0.00531602,0.11249737,0.27722988,0.00000000
-4.94947474,2.34905440,0.31165908,1.49541531,0.49722146,0.28033765,0.00472580,0.10733690,0.26409083,0.00000000
-4.94347174,2.30346944,0.29308942,1.47094770,0.48543377,0.28009949,0.00419130,0.10203200,0.25107288,0.00000000
-4.93746873,2.25812484,0.27488800,1.44659348,0.47243837,0.28039935,0.00371305,0.09664900,0.23832354,0.00000000
-4.93146573,2.21356333,0.25725149,1.42268581,0.45840382,0.28122019,0.00329092,0.09125235,0.22598599,0.00000000
-4.92546273,2.17032049,0.24035739,1.39956374,0.44349989,0.28253639,0.00292439,0.08590370,0.21419769,0.00000000
-4.91945973,2.12892022,0.22436287,1.37756675,0.42789606,0.28431630,0.00261272,0.08066109,0.20308954,0.00000000
-4.91345673,2.08987132,0.20940439,1.35702927,0.41176063,0.28652524,0.00235515,0.07557844,0.19278524,0.00000000
-4.90745373,2.05366541,0.19559807,1.33827565,0.39526037,0.28912892,0.00215109,0.07070512,0.18340098,0.00000000
-4.90145073,2.02077625,0.18304057,1.32161571,0.37856043,0.29209709,0.00200027,0.06608580,0.17504548,0.00000000
-4.89544772,1.99166069,0.17181042,1.30734149,0.36182450,0.29540738,0.00190285,0.06176035,0.16782007,0.00000000
-4.88944472,1.96676096,0.16196957,1.29572523,0.34521514,0.29904916,0.00185956,0.05776383,0.16181901,0.00000000
-4.88344172,1.94650812,0.15356502,1.28701864,0.32889394,0.30302700,0.00187172,0.05412662,0.15712974,0.00000000
-4.87743872,1.93132634,0.14663033,1.28145375,0.31302153,0.30736389,0.00194129,0.05087450,0.15383302,0.00000000
-4.87143572,1.92163733,0.14118698,1.27924472,0.29775732,0.31210356,0.00207088,0.04802883,0.15200299,0.00000000
-4.86543272,1.91786444,0.13724540,1.28059085,0.28325880,0.31731209,0.00226365,0.04560663,0.15170684,0.00000000
-4.85942971,1.92043568,0.13480561,1.28567996,0.26968048,0.32307827,0.00252328,0.04362069,0.15300422,0.00000000
-4.85342671,1.92978495,0.13385751,1.29469198,0.25717235,0.32951281,0.00285381,0.04207968,0.15594621,0.00000000
-4.84742371,1.94635091,0.13438075,1.30780206,0.24587791,0.33674615,0.00325951,0.04098811,0.16057394,0.00000000
-4.84142071,1.97057275,0.13634430,1.32518267,0.23593185,0.34492485,0.00374466,0.04034644,0.16691680,0.00000000
-4.83541771,2.00288267,0.13970572,1.34700429,0.22745740,0.35420665,0.00431337,0.04015097,0.17499028,0.00000000
-4.82941471,2.04369454,0.14441034,1.37343405,0.22056350,0.36475423,0.00496929,0.04039394,0.18479363,0.00000000
-4.82341171,2.09338900,0.15039032,1.40463216,0.21534189,0.37672792,0.00571536,0.04106345,0.19630727,0.00000000
-4.81740870,2.15229501,0.15756386,1.44074577,0.21186419,0.39027756,0.00655357,0.04214356,0.20949027,0.00000000
-4.81140570,2.22066843,0.16583456,1.48190038,0.21017916,0.40553386,0.00748465,0.04361431,0.22427793,0.00000000
-4.80540270,2.29866838,0.17509117,1.52818883,0.21031025,0.42259969,0.00850784,0.04545184,0.24057972,0.00000000
-4.79939970,2.38633235,0.18520769,1.57965830,0.21225352,0.44154162,0.00962063,0.04762861,0.25827762,0.00000000
-4.79339670,2.48355120,0.19604398,1.63629585,0.21597612,0.46238220,0.01081858,0.05011357,0.27722518,0.00000000
-4.78739370,2.59004549,0.20744696,1.69801318,0.22141533,0.48509332,0.01209515,0.05287254,0.29724737,0.00000000
-4.78139070,2.70534444,0.21925226,1.76463152,0.22847828,0.50959124,0.01344164,0.05586847,0.31814129,0.00000000
-4.77538769,2.82876905,0.23128654,1.83586753,0.23704249,0.53573332,0.01484711,0.05906193,0.33967790,0.00000000
-4.76938469,2.95942064,0.24337022,1.91132124,0.24695709,0.56331700,0.01629845,0.06241156,0.36160480,0.00000000
-4.76338169,3.09617619,0.25532066,1.99046698,0.25804495,0.59208103,0.01778051,0.06587456,0.38364997,0.00000000
-4.75737869,3.23769118,0.26695566,2.07264813,0.27010555,0.62170912,0.01927632,0.06940724,0.40552654,0.00000000
-4.75137569,3.38241090,0.27809717,2.15707660,0.28291857,0.65183589,0.02076735,0.07296558,0.42693835,0.00000000
-4.74537269,3.52859033,0.28857506,2.24283735,0.29624829,0.68205500,0.02223388,0.07650580,0.44758619,0.00000000
-4.73936968,3.67432254,0.29823081,2.32889850,0.30984849,0.71192931,0.02365545,0.07998496,0.46717464,0.00000000
-4.73336668,3.81757510,0.30692104,2.41412692,0.32346788,0.74100251,0.02501130,0.08336154,0.48541899,0.00000000
-4.72736368,3.95623364,0.31452061,2.49730915,0.33685588,0.76881194,0.02628093,0.08659595,0.50205235,0.00000000
-4.72136068,4.08815107,0.32092538,2.57717696,0.34976857,0.79490210,0.02744458,0.08965113,0.51683237,0.00000000
-4.71535768,4.21120096,0.32605430,2.65243705,0.36197466,0.81883823,0.02848384,0.09249302,0.52954754,0.00000000
-4.70935468,4.32333307,0.32985096,2.72180351,0.37326120,0.84021947,0.02938212,0.09509106,0.54002271,0.00000000
-4.70335168,4.42262903,0.33228444,2.78403210,0.38343899,0.85869111,0.03012511,0.09741856,0.54812363,0.00000000
-4.69734867,4.50735591,0.33334945,2.83795485,0.39234735,0.87395534,0.03070124,0.09945310,0.55376038,0.00000000
-4.69134567,4.57601567,0.33306591,2.88251371,0.39985816,0.88578020,0.03110202,0.10117681,0.55688956,0.00000000
-4.68534267,4.62738857,0.33147778,2.91679175,0.40587900,0.89400630,0.03132226,0.10257663,0.55751509,0.00000000
-4.67933967,4.66056863,0.32865140,2.94004088,0.41035520,0.89855107,0.03136024,0.10364442,0.55568773,0.00000000
-4.67333667,4.67499007,0.32467338,2.95170469,0.41327088,0.89941049,0.03121778,0.10437706,0.55150326,0.00000000
-4.66733367,4.67044351,0.31964814,2.95143576,0.41464872,0.89665818,0.03090015,0.10477645,0.54509943,0.00000000
-4.66133067,4.64708154,0.31369511,2.93910676,0.41454866,0.89044202,0.03041592,0.10484945,0.53665183,0.00000000
-4.65532766,4.60541353,0.30694589,2.91481488,0.41306547,0.88097835,0.02977669,0.10460769,0.52636894,0.00000000
-4.64932466,4.54629010,0.29954133,2.87887970,0.41032524,0.86854426,0.02899674,0.10406738,0.51448634,0.00000000
-4.64332166,4.47087797,0.29162868,2.83183462,0.40648111,0.85346806,0.02809261,0.10324899,0.50126052,0.00000000
