energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
2.96848424,3.72888564,0.09831659,0.82836808,1.27711599,0.02426264,2.11673290,1.33942247,0.16740712,0.74031032
2.97448724,3.70759748,0.10047469,0.81616937,1.29444244,0.02416624,2.07748499,1.33313858,0.16561685,0.74135026
2.98049025,3.69135085,0.10307998,0.80525395,1.31311046,0.02407878,2.03845389,1.32892594,0.16405081,0.74329097
2.98649325,3.68058609,0.10611710,0.79579839,1.33294873,0.02399994,2.00024893,1.32689762,0.16275676,0.74609928
2.99249625,3.67554842,0.10956354,0.78791957,1.35373964,0.02392865,1.96339289,1.32709744,0.16177676,0.74969927
2.99849925,3.67628378,0.11338996,0.78167250,1.37522624,0.02386310,1.92831356,1.32949949,0.16114561,0.75397488
3.00450225,3.68264361,0.11756078,0.77705061,1.39712175,0.02380086,1.89534042,1.33401071,0.16088949,0.75877470
3.01050525,3.69429794,0.12203501,0.77398834,1.41912119,0.02373895,1.86470619,1.34047621,0.16102492,0.76391846
3.01650825,3.71075558,0.12676721,0.77236596,1.44091412,0.02367404,1.83655250,1.34868700,0.16155810,0.76920487
3.02251126,3.73138985,0.13170862,0.77201627,1.46219799,0.02360263,1.81093897,1.35838938,0.16248456,0.77442034
3.02851426,3.75546811,0.13680836,0.77273282,1.48269086,0.02352124,1.78785458,1.36929555,0.16378914,0.77934819
3.03451726,3.78218326,0.14201465,0.77427922,1.50214293,0.02342660,1.76723059,1.38109476,0.16544640,0.78377759
3.04052026,3.81068530,0.14727601,0.77639911,1.52034591,0.02331581,1.74895359,1.39346426,0.16742122,0.78751195
3.04652326,3.84011144,0.15254232,0.77882640,1.53713974,0.02318651,1.73287823,1.40607957,0.16966976,0.79037628
3.05252626,3.86961313,0.15776584,0.78129517,1.55241610,0.02303698,1.71883857,1.41862373,0.17214063,0.79222312
3.05852926,3.89837931,0.16290191,0.78354912,1.56611866,0.02286619,1.70665769,1.43079488,0.17477623,0.79293687
3.06453227,3.92565487,0.16790957,0.78535005,1.57823994,0.02267386,1.69615512,1.44231240,0.17751429,0.79243637
3.07053527,3.95075439,0.17275195,0.78648509,1.58881525,0.02246038,1.68715218,1.45292118,0.18028951,0.79067577
3.07653827,3.97307114,0.17739638,0.78677272,1.59791395,0.02222684,1.67947516,1.46239443,0.18303519,0.78764365
3.08254127,3.99208204,0.18181449,0.78606723,1.60562897,0.02197484,1.67295684,1.47053506,0.18568501,0.78336084
3.08854427,4.00734907,0.18598204,0.78426171,1.61206523,0.02170647,1.66743660,1.47717604,0.18817474,0.77787703
3.09454727,4.01851844,0.18987872,0.78128970,1.61732777,0.02142410,1.66275984,1.48218006,0.19044384,0.77126657
3.10055028,4.02531820,0.19348799,0.77712534,1.62151068,0.02113033,1.65877714,1.48543886,0.19243713,0.76362389
3.10655328,4.02755552,0.19679683,0.77178241,1.62468748,0.02082780,1.65534367,1.48687263,0.19410617,0.75505881
3.11255628,4.02511438,0.19979562,0.76531228,1.62690362,0.02051914,1.65231938,1.48642974,0.19541062,0.74569213
3.11855928,4.01795428,0.20247814,0.75780101,1.62817182,0.02020684,1.64957022,1.48408689,0.19631939,0.73565177
3.12456228,4.00611040,0.20484163,0.74936576,1.62847039,0.01989323,1.64697053,1.47985005,0.19681155,0.72506965
3.13056528,3.98969530,0.20688700,0.74015061,1.62774471,0.01958046,1.64440671,1.47375580,0.19687704,0.71407948
3.13656828,3.96890181,0.20861911,0.73032213,1.62591183,0.01927048,1.64178185,1.46587325,0.19651710,0.70281539
3.14257129,3.94400677,0.21004717,0.72006464,1.62286766,0.01896507,1.63902126,1.45630605,0.19574448,0.69141152
3.14857429,3.91537472,0.21118503,0.70957540,1.61849649,0.01866591,1.63607820,1.44519436,0.19458330,0.68000220
3.15457729,3.88346091,0.21205157,0.69905973,1.61268187,0.01837464,1.63293960,1.43271626,0.19306866,0.66872276
3.16058029,3.84881242,0.21267082,0.68872627,1.60531833,0.01809293,1.62963099,1.41908834,0.19124594,0.65771055
3.16658329,3.81206684,0.21307203,0.67878223,1.59632304,0.01782251,1.62622033,1.40456507,0.18916983,0.64710605
3.17258629,3.77394739,0.21328940,0.66942888,1.58564648,0.01756530,1.62282016,1.38943663,0.18690313,0.63705364
3.17858929,3.73525422,0.21336165,0.66085723,1.57328164,0.01732337,1.61958770,1.37402508,0.18451521,0.62770203
3.18459230,3.69685141,0.21333120,0.65324390,1.55927089,0.01709902,1.61672274,1.35867870,0.18208041,0.61920385
3.19059530,3.65964968,0.21324311,0.64674736,1.54371019,0.01689471,1.61446319,1.34376465,0.17967616,0.61171458
3.19659830,3.62458523,0.21314380,0.64150450,1.52675031,0.01671306,1.61307824,1.32966003,0.17738106,0.60539049
3.20260130,3.59259514,0.21307945,0.63762757,1.50859501,0.01655677,1.61285950,1.31674158,0.17527287,0.60038572
3.20860430,3.56459045,0.21309436,0.63520168,1.48949609,0.01642851,1.61411045,1.30537462,0.17342648,0.59684853
3.21460730,3.54142772,0.21322922,0.63428281,1.46974596,0.01633084,1.61713449,1.29590146,0.17191193,0.59491691
3.22061031,3.52388060,0.21351939,0.63489651,1.44966770,0.01626605,1.62222238,1.28862992,0.17079256,0.59471361
3.22661331,3.51261247,0.21399335,0.63703721,1.42960350,0.01623604,1.62963946,1.28382249,0.17012325,0.59634102
3.23261631,3.50815156,0.21467133,0.64066834,1.40990202,0.01624218,1.63961337,1.28168651,0.16994892,0.59987595
3.23861931,3.51086964,0.21556426,0.64572314,1.39090521,0.01628521,1.65232277,1.28236602,0.17030319,0.60536477
3.24462231,3.52096528,0.21667314,0.65210630,1.37293548,0.01636508,1.66788763,1.28593542,0.17120739,0.61281904
3.25062531,3.53845247,0.21798868,0.65969626,1.35628360,0.01648094,1.68636145,1.29239534,0.17266983,0.62221198
3.25662831,3.56315505,0.21949152,0.66834821,1.34119809,0.01663102,1.70772570,1.30167085,0.17468536,0.63347592
3.26263132,3.59470716,0.22115269,0.67789762,1.32787647,0.01681263,1.73188678,1.31361201,0.17723532,0.64650096
3.26863432,3.63255963,0.22293462,0.68816427,1.31645858,0.01702219,1.75867550,1.32799676,0.18028779,0.66113489
3.27463732,3.67599204,0.22479232,0.69895655,1.30702240,0.01725523,1.78784894,1.34453582,0.18379816,0.67718455
3.28064032,3.72412983,0.22667488,0.71007597,1.29958228,0.01750654,1.81909486,1.36287960,0.18771006,0.69441849
3.28664332,3.77596570,0.22852713,0.72132163,1.29408963,0.01777020,1.85203810,1.38262658,0.19195656,0.71257103
3.29264632,3.83038461,0.23029138,0.73249458,1.29043592,0.01803978,1.88624898,1.40333290,0.19646167,0.73134754
3.29864932,3.88619136,0.23190912,0.74340192,1.28845779,0.01830849,1.92125324,1.42452294,0.20114206,0.75043072
3.30465233,3.94213982,0.23332272,0.75386047,1.28794400,0.01856931,1.95654329,1.44570032,0.20590903,0.76948795
3.31065533,3.99696312,0.23447689,0.76370002,1.28864400,0.01881526,1.99159046,1.46635916,0.21067060,0.78817913
3.31665833,4.04940378,0.23532002,0.77276598,1.29027765,0.01903951,2.02585786,1.48599532,0.21533375,0.80616506
3.32266133,4.09824319,0.23580532,0.78092152,1.29254597,0.01923563,2.05881362,1.50411728,0.21980671,0.82311599
3.32866433,4.14232982,0.23589164,0.78804921,1.29514247,0.01939771,2.08994424,1.52025663,0.22400125,0.83871998
3.33466733,4.18060565,0.23554420,0.79405203,1.29776484,0.01952058,2.11876765,1.53397786,0.22783492,0.85269097
3.34067034,4.21213021,0.23473499,0.79885402,1.30012667,0.01959993,2.14484581,1.54488741,0.23123320,0.86477619
3.34667334,4.23610213,0.23344311,0.80240052,1.30196896,0.01963241,2.16779642,1.55264188,0.23413139,0.87476265
3.35267634,4.25187757,0.23165490,0.80465806,1.30307112,0.01961574,2.18730353,1.55695530,0.23647637,0.88248257
3.35867934,4.25898541,0.22936398,0.80561403,1.30326120,0.01954878,2.20312658,1.55760529,0.23822801,0.88781756
3.36468234,4.25713872,0.22657121,0.80527614,1.30242499,0.01943154,2.21510756,1.55443820,0.23936021,0.89070128
3.37068534,4.24624237,0.22328463,0.80367174,1.30051382,0.01926518,2.22317603,1.54737286,0.23986166,0.89112066
3.37668834,4.22639640,0.21951928,0.80084702,1.29755052,0.01905197,2.22735147,1.53640314,0.23973608,0.88911556
3.38269135,4.19789488,0.21529707,0.79686607,1.29363352,0.01879521,2.22774282,1.52159884,0.23900212,0.88477684
3.38869435,4.16122015,0.21064651,0.79180981,1.28893847,0.01849914,2.22454490,1.50310520,0.23769278,0.87824293
3.39469735,4.11703225,0.20560246,0.78577482,1.28371728,0.01816881,2.21803174,1.48114059,0.23585445,0.86969513
3.40070035,4.06615367,0.20020573,0.77887194,1.27829439,0.01780993,2.20854664,1.45599258,0.23354552,0.85935160
3.40670335,4.00954944,0.19450262,0.77122473,1.27305993,0.01742870,2.19648933,1.42801221,0.23083470,0.84746053
3.41270635,3.94830311,0.18854429,0.76296768,1.26845995,0.01703160,2.18230045,1.39760672,0.22779897,0.83429244
3.41870935,3.88358897,0.18238608,0.75424430,1.26498356,0.01662527,2.16644398,1.36523065,0.22452137,0.82013220
3.42471236,3.81664145,0.17608653,0.74520492,1.26314738,0.01621624,2.14938820,1.33137560,0.22108852,0.80527088
3.43071536,3.74872246,0.16970644,0.73600455,1.26347762,0.01581082,2.13158603,1.29655905,0.21758824,0.78999771
3.43671836,3.68108788,0.16330770,0.72680051,1.26649020,0.01541486,2.11345573,1.26131234,0.21410693,0.77459264
3.44272136,3.61495427,0.15695205,0.71775021,1.27266975,0.01503366,2.09536280,1.22616837,0.21072726,0.75931953
3.44872436,3.55146718,0.15069979,0.70900901,1.28244812,0.01467182,2.07760416,1.19164939,0.20752587,0.74442032
3.45472736,3.49167215,0.14460848,0.70072832,1.29618339,0.01433311,2.06039541,1.15825528,0.20457139,0.73011036
3.46073037,3.43648960,0.13873174,0.69305394,1.31414031,0.01402045,2.04386197,1.12645276,0.20192270,0.71657495
3.46673337,3.38669461,0.13311806,0.68612481,1.33647308,0.01373581,2.02803466,1.09666596,0.19962761,0.70396723
3.47273637,3.34290232,0.12780984,0.68007207,1.36321148,0.01348029,2.01285009,1.06926853,0.19772189,0.69240733
3.47873937,3.30555946,0.12284263,0.67501855,1.39425109,0.01325408,1.99815596,1.04457769,0.19622876,0.68198279
3.48474237,3.27494224,0.11824455,0.67107849,1.42934834,0.01305653,1.98372097,1.02285024,0.19515881,0.67275011
3.49074537,3.25116045,0.11403604,0.66835754,1.46812092,0.01288629,1.96924911,1.00428062,0.19451031,0.66473719
3.49674837,3.23416729,0.11022989,0.66695279,1.51005368,0.01274137,1.95439734,0.98900096,0.19427004,0.65794658
