energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
5.56778389,0.62605172,0.46166895,0.02040856,0.00033365,0.08093013,0.02849946,0.15060578,0.24334095,0.13775393
5.57378689,0.65019228,0.45916649,0.02119829,0.00043267,0.08630266,0.02671737,0.16116571,0.25337775,0.14737635
5.57978989,0.67621546,0.45829720,0.02207132,0.00055732,0.09175208,0.02518980,0.17190137,0.26468726,0.15699570
5.58579290,0.70370578,0.45882714,0.02301515,0.00071294,0.09719330,0.02392495,0.18267890,0.27719824,0.16646371
5.59179590,0.73221953,0.46048462,0.02401614,0.00090561,0.10253692,0.02292820,0.19336258,0.29083738,0.17562875
5.59779890,0.76130652,0.46297615,0.02506013,0.00114220,0.10769210,0.02220303,0.20382022,0.30553766,0.18434080
5.60380190,0.79053250,0.46600284,0.02613324,0.00143033,0.11256964,0.02175193,0.21392873,0.32124662,0.19245670
5.60980490,0.81950136,0.46927649,0.02722251,0.00177833,0.11708514,0.02157726,0.22357960,0.33793411,0.19984525
5.61580790,0.84787549,0.47253443,0.02831666,0.00219517,0.12116199,0.02168190,0.23268388,0.35559897,0.20639212
5.62181091,0.87539347,0.47555246,0.02940663,0.00269028,0.12473429,0.02206985,0.24117650,0.37427399,0.21200425
