energy_ev,total_up,Bi_p_up,Bi_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-5.44772386,1.20701988,0.00994748,0.01502420,0.18866068,0.91202856,0.33331471,0.00000000
-5.44172086,1.24429558,0.00953486,0.01559967,0.19290505,0.94309311,0.34458868,0.00000000
-5.43571786,1.28272809,0.00943740,0.01619114,0.19747163,0.97504202,0.35638669,0.00000000
-5.42971486,1.32236281,0.00963058,0.01679811,0.20231732,1.00792930,0.36877272,0.00000000
-5.42371186,1.36325319,0.01009295,0.01741989,0.20740663,1.04180787,0.38180820,0.00000000
-5.41770885,1.40544072,0.01080550,0.01805545,0.21270857,1.07671497,0.39554486,0.00000000
-5.41170585,1.44893525,0.01175091,0.01870325,0.21819363,1.11265792,0.41001776,0.00000000
-5.40570285,1.49369689,0.01291283,0.01936105,0.22383083,1.14960104,0.42523890,0.00000000
-5.39969985,1.53962013,0.01427498,0.02002582,0.22958530,1.18745448,0.44119176,0.00000000
-5.39369685,1.58652155,0.01582045,0.02069365,0.23541612,1.22606552,0.45782702,0.00000000
-5.38769385,1.63413137,0.01753094,0.02135971,0.24127493,1.26521303,0.47505980,0.00000000
-5.38169085,1.68208982,0.01938619,0.02201829,0.24710508,1.30460545,0.49276859,0.00000000
-5.37568784,1.72994839,0.02136351,0.02266289,0.25284146,1.34388248,0.51079598,0.00000000
-5.36968484,1.77717628,0.02343747,0.02328628,0.25841112,1.38262074,0.52895130,0.00000000
-5.36368184,1.82317185,0.02557981,0.02388077,0.26373443,1.42034319,0.54701515,0.00000000
-5.35767884,1.86727882,0.02775953,0.02443838,0.26872695,1.45653215,0.56474557,0.00000000
-5.35167584,1.90880657,0.02994317,0.02495113,0.27330182,1.49064542,0.58188587,0.00000000
-5.34567284,1.94705385,0.03209532,0.02541131,0.27737251,1.52213493,0.59817362,0.00000000
-5.33966983,1.98133482,0.03417928,0.02581184,0.28085594,1.55046722,0.61335052,0.00000000
-5.33366683,2.01100646,0.03615789,0.02614652,0.28367575,1.57514475,0.62717273,0.00000000
-5.32766383,2.03549581,0.03799442,0.02641034,0.28576548,1.59572717,0.63942115,0.00000000
-5.32166083,2.05432599,0.03965365,0.02659978,0.28707169,1.61185143,0.64991116,0.00000000
-5.31565783,2.06713949,0.04110288,0.02671300,0.28755666,1.62324978,0.65850122,0.00000000
-5.30965483,2.07371748,0.04231295,0.02675002,0.28720063,1.62976454,0.66510004,0.00000000
-5.30365183,2.07399402,0.04325918,0.02671282,0.28600341,1.63135880,0.66967163,0.00000000
-5.29764882,2.06806408,0.04392222,0.02660533,0.28398522,1.62812231,0.67223810,0.00000000
-5.29164582,2.05618488,0.04428871,0.02643339,0.28118669,1.62027195,0.67287980,0.00000000
-5.28564282,2.03876990,0.04435176,0.02620457,0.27766800,1.60814651,0.67173270,0.00000000
-5.27963982,2.01637576,0.04411116,0.02592796,0.27350709,1.59219580,0.66898316,0.00000000
-5.27363682,1.98968215,0.04357346,0.02561379,0.26879709,1.57296428,0.66486002,0.00000000
-5.26763382,1.95946564,0.04275171,0.02527311,0.26364294,1.55106993,0.65962452,0.00000000
-5.26163082,1.92656854,0.04166504,0.02491729,0.25815738,1.52717916,0.65355831,0.00000000
-5.25562781,1.89186401,0.04033801,0.02455760,0.25245657,1.50197895,0.64695035,0.00000000
-5.24962481,1.85621944,0.03879981,0.02420469,0.24665544,1.47614754,0.64008310,0.00000000
-5.24362181,1.82045961,0.03708334,0.02386815,0.24086298,1.45032515,0.63321888,0.00000000
-5.23761881,1.78533182,0.03522418,0.02355605,0.23517790,1.42508629,0.62658708,0.00000000
-5.23161581,1.75147474,0.03325958,0.02327462,0.22968464,1.40091515,0.62037286,0.00000000
-5.22561281,1.71939260,0.03122740,0.02302795,0.22445010,1.37818535,0.61470815,0.00000000
-5.21960980,1.68943641,0.02916516,0.02281781,0.21952132,1.35714538,0.60966521,0.00000000
-5.21360680,1.66179302,0.02710922,0.02264358,0.21492403,1.33791030,0.60525345,0.00000000
-5.20760380,1.63648287,0.02509397,0.02250230,0.21066239,1.32046055,0.60141941,0.00000000
-5.20160080,1.61336645,0.02315131,0.02238885,0.20671984,1.30464767,0.59805023,0.00000000
-5.19559780,1.59215921,0.02131021,0.02229625,0.20306097,1.29020689,0.59498021,0.00000000
-5.18959480,1.57245416,0.01959643,0.02221597,0.19963444,1.27677572,0.59200033,0.00000000
-5.18359180,1.55375067,0.01803242,0.02213848,0.19637666,1.26391769,0.58887007,0.00000000
-5.17758879,1.53548814,0.01663737,0.02205368,0.19321615,1.25114980,0.58533102,0.00000000
-5.17158579,1.51708243,0.01542728,0.02195149,0.19007824,1.23797212,0.58112146,0.00000000
