energy_ev,total_up,Ge_p_up,Ge_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
2.40420210,0.94218398,0.24830988,0.00000000,0.64485826,0.16619410,0.50089448,0.00000000
2.41020510,0.94693275,0.25019128,0.00000000,0.65116846,0.17106105,0.49846691,0.00000000
2.41620810,0.95398218,0.25303588,0.00000000,0.65924822,0.17672614,0.49574987,0.00000000
2.42221111,0.96314853,0.25675359,0.00000000,0.66889522,0.18310748,0.49276586,0.00000000
2.42821411,0.97416952,0.26122805,0.00000000,0.67985387,0.19010203,0.48952583,0.00000000
2.43421711,0.98670928,0.26631939,0.00000000,0.69182031,0.19758733,0.48602781,0.00000000
2.44022011,1.00036585,0.27186759,0.00000000,0.70444906,0.20542393,0.48225640,0.00000000
2.44622311,1.01468121,0.27769663,0.00000000,0.71736134,0.21345834,0.47818299,0.00000000
2.45222611,1.02915338,0.28361914,0.00000000,0.73015470,0.22152647,0.47376692,0.00000000
2.45822911,1.04325043,0.28944143,0.00000000,0.74241374,0.22945753,0.46895747,0.00000000
2.46423212,1.05642576,0.29496881,0.00000000,0.75372152,0.23707814,0.46369651,0.00000000
2.47023512,1.06813417,0.30001091,0.00000000,0.76367128,0.24421661,0.45792193,0.00000000
2.47623812,1.07784817,0.30438699,0.00000000,0.77187802,0.25070720,0.45157136,0.00000000
2.48224112,1.08507383,0.30793085,0.00000000,0.77798952,0.25639436,0.44458628,0.00000000
2.48824412,1.08936568,0.31049531,0.00000000,0.78169636,0.26113654,0.43691609,0.00000000
2.49424712,1.09033999,0.31195611,0.00000000,0.78274064,0.26480974,0.42852201,0.00000000
2.50025013,1.08768609,0.31221495,0.00000000,0.78092297,0.26731051,0.41938055,0.00000000
2.50625313,1.08117512,0.31120179,0.00000000,0.77610753,0.26855829,0.40948647,0.00000000
2.51225613,1.07066613,0.30887617,0.00000000,0.76822511,0.26849720,0.39885486,0.00000000
