energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.63381691,5.18090566,2.41983843,0.97136701,0.00719720,1.44214440,0.09419049,2.13953257,1.01367589,0.89246909
-5.62781391,5.11976296,2.43733433,0.97645503,0.00741731,1.45894692,0.09042766,2.08160922,0.98142469,0.86045047
-5.62181091,5.06507446,2.46246991,0.98358390,0.00766889,1.47703592,0.08669650,2.02744248,0.95036280,0.82821828
-5.61580790,5.01773766,2.49477075,0.99258073,0.00795285,1.49614858,0.08303259,1.97797106,0.92080194,0.79633804
-5.60980490,4.97858002,2.53375470,1.00328357,0.00826939,1.51606081,0.07946898,1.93403426,0.89301643,0.76533835
-5.60380190,4.94831777,2.57892366,1.01553814,0.00861786,1.53658241,0.07603550,1.89634687,0.86723474,0.73569870
-5.59779890,4.92751326,2.62975094,1.02919265,0.00899680,1.55754887,0.07275810,1.86547681,0.84363213,0.70783926
-5.59179590,4.91653340,2.68566554,1.04409147,0.00940383,1.57881069,0.06965825,1.84182632,0.82232482,0.68211253
-5.58579290,4.91551170,2.74603541,1.06006797,0.00983577,1.60022117,0.06675258,1.82561755,0.80336591,0.65879733
-5.57978989,4.92431661,2.81015138,1.07693770,0.01028856,1.62162397,0.06405249,1.81688325,0.78674353,0.63809505
-5.57378689,4.94252848,2.87721387,1.09449226,0.01075741,1.64284131,0.06156416,1.81546293,0.77238120,0.62012818
-5.56778389,4.96942725,2.94632387,1.11249462,0.01123689,1.66366416,0.05928850,1.82100499,0.76014067,0.60494121
-5.56178089,5.00399231,3.01647991,1.13067657,0.01172101,1.68384507,0.05722148,1.83297475,0.74982712,0.59250357
-5.55577789,5.04491571,3.08658195,1.14873847,0.01220343,1.70309468,0.05535449,1.85066842,0.74119661,0.58271461
-5.54977489,5.09062878,3.15544292,1.16635173,0.01267760,1.72108215,0.05367491,1.87323253,0.73396554,0.57541036
-5.54377189,5.13934192,3.22180808,1.18316395,0.01313695,1.73743989,0.05216688,1.89968851,0.72782181,0.57037173
-5.53776888,5.18909643,3.28438177,1.19880676,0.01357511,1.75177249,0.05081204,1.92896144,0.72243716,0.56733399
-5.53176588,5.23782653,3.34186076,1.21290580,0.01398607,1.76366948,0.04959051,1.95991226,0.71748031,0.56599705
-5.52576288,5.28342921,3.39297279,1.22509270,0.01436440,1.77272120,0.04848176,1.99137233,0.71263030,0.56603640
-5.51975988,5.32383912,3.43651866,1.23501811,0.01470545,1.77853707,0.04746561,2.02217925,0.70758947,0.56711425
-5.51375688,5.35710513,3.47141573,1.24236537,0.01500543,1.78076514,0.04652306,2.05121261,0.70209557,0.56889061
-5.50775388,5.38146533,3.49674080,1.24686396,0.01526161,1.77911172,0.04563718,2.07742861,0.69593251,0.57103393
-5.50175088,5.39541691,3.51177006,1.24830184,0.01547239,1.77336000,0.04479370,2.09989229,0.68893920,0.57323113
-5.49574787,5.39777779,3.51601386,1.24653627,0.01563736,1.76338638,0.04398165,2.11780613,0.68101627,0.57519659
-5.48974487,5.38773693,3.50924456,1.24150211,0.01575729,1.74917363,0.04319367,2.13053419,0.67213032,0.57668004
-5.48374187,5.36489104,3.49151555,1.23321730,0.01583413,1.73081980,0.04242621,2.13762073,0.66231547,0.57747294
-5.47773887,5.32926565,3.46317041,1.22178514,0.01587094,1.70854238,0.04167954,2.13880276,0.65167229,0.57741341
-5.47173587,5.28131954,3.42484136,1.20739298,0.01587177,1.68267721,0.04095752,2.13401594,0.64036407,0.57638938
-5.46573287,5.22193201,3.37743662,1.19030751,0.01584151,1.65367206,0.04026721,2.12339366,0.62861070,0.57434006
-5.45972986,5.15237340,3.32211719,1.17086662,0.01578575,1.62207507,0.03961839,2.10725925,0.61668025,0.57125559
-5.45372686,5.07426001,3.26026355,1.14946834,0.01571052,1.58851848,0.03902283,2.08611167,0.60487885,0.56717492
-5.44772386,4.98949517,3.19343373,1.12655712,0.01562214,1.55369830,0.03849359,2.06060504,0.59353899,0.56218213
-5.44172086,4.90019898,3.12331422,1.10260823,0.01552695,1.51835090,0.03804416,2.03152297,0.58300703,0.55640114
-5.43571786,4.80862965,3.05166583,1.07811097,0.01543112,1.48322752,0.03768766,1.99974851,0.57363005,0.54998915
-5.42971486,4.71709964,2.98026659,1.05355130,0.01534040,1.44906788,0.03743600,1.96623082,0.56574287,0.54312897
-5.42371186,4.62789025,2.91085400,1.02939482,0.01525995,1.41657404,0.03729919,1.93195002,0.55965549,0.53602065
-5.41770885,4.54316811,2.84506903,1.00607082,0.01519414,1.38638578,0.03728464,1.89788137,0.55564150,0.52887256
-5.41170585,4.46490699,2.78440399,0.98395802,0.01514643,1.35905838,0.03739669,1.86496036,0.55392784,0.52189239
-5.40570285,4.39481812,2.73015641,0.96337264,0.01511921,1.33504395,0.03763619,1.83404984,0.55468630,0.51527840
-5.39969985,4.33429177,2.68339055,0.94455928,0.01511378,1.31467690,0.03800032,1.80591067,0.55802693,0.50921116
-5.39369685,4.28435217,2.64490813,0.92768497,0.01513028,1.29816423,0.03848256,1.78117690,0.56399368,0.50384635
-5.38769385,4.24562748,2.61522910,0.91283648,0.01516771,1.28558076,0.03907281,1.76033634,0.57256228,0.49930857
-5.38169085,4.21833570,2.59458306,0.90002093,0.01522395,1.27686962,0.03975767,1.74371733,0.58364050,0.49568668
-5.37568784,4.20228651,2.58291155,0.88916967,0.01529586,1.27184761,0.04052091,1.73148202,0.59707058,0.49303068
-5.36968484,4.19689885,2.57988059,0.88014496,0.01537939,1.27021521,0.04134397,1.72362630,0.61263387,0.49135035
-5.36368184,4.20123272,2.58490298,0.87274922,0.01546973,1.27157052,0.04220665,1.71998624,0.63005738,0.49061547
-5.35767884,4.21403375,2.59716901,0.86673621,0.01556146,1.27542664,0.04308780,1.72025048,0.64902192,0.49075782
-5.35167584,4.23378806,2.61568412,0.86182364,0.01564871,1.28123138,0.04396603,1.72397800,0.66917172,0.49167463
-5.34567284,4.25878492,2.63931183,0.85770657,0.01572541,1.28838859,0.04482047,1.73062023,0.69012483,0.49323336
-5.33966983,4.28718433,2.66682008,0.85407103,0.01578541,1.29628024,0.04563141,1.73954640,0.71148429,0.49527757
-5.33366683,4.31708660,2.69692887,0.85060717,0.01582273,1.30428808,0.04638097,1.75007099,0.73284935,0.49763350
-5.32766383,4.34660099,2.72835736,0.84702144,0.01583168,1.31181438,0.04705354,1.76148191,0.75382648,0.50011718
-5.32166083,4.37391070,2.75986855,0.84304741,0.01580709,1.31830085,0.04763629,1.77306823,0.77403981,0.50254151
-5.31565783,4.39733180,2.79030983,0.83845472,0.01574439,1.32324504,0.04811934,1.78414621,0.79314056,0.50472331
-5.30965483,4.41536397,2.81864800,0.83305594,0.01563977,1.32621398,0.04849596,1.79408258,0.81081513,0.50648969
-5.30365183,4.42673160,2.84399760,0.82671130,0.01549026,1.32685454,0.04876258,1.80231428,0.82679176,0.50768379
-5.29764882,4.43041397,2.86564171,0.81933098,0.01529382,1.32490042,0.04891863,1.80836386,0.84084529,0.50816953
-5.29164582,4.42566411,2.88304489,0.81087528,0.01504935,1.32017579,0.04896629,1.81185011,0.85280025,0.50783516
-5.28564282,4.41201624,2.89585802,0.80135266,0.01475673,1.31259553,0.04891016,1.81249391,0.86253185,0.50659583
-5.27963982,4.38928217,2.90391540,0.79081589,0.01441681,1.30216250,0.04875684,1.81011913,0.86996534,0.50439473
-5.27363682,4.35753769,2.90722470,0.77935670,0.01403135,1.28896199,0.04851439,1.80464907,0.87507347,0.50120329
-5.26763382,4.31710002,2.90595045,0.76709913,0.01360298,1.27315386,0.04819186,1.79609885,0.87787253,0.49702015
-5.26163082,4.26849805,2.90039235,0.75419202,0.01313513,1.25496266,0.04779874,1.78456446,0.87841708,0.49186931
