energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,V_p_up,V_d_up
1.19759880,3.92573166,0.00952058,0.07332444,0.12779498,0.13403072,0.04005580,0.72664682,0.15562187,3.02395642
1.20360180,3.79155819,0.00982265,0.07374491,0.12289810,0.13117862,0.04000427,0.70865573,0.15480379,2.90551358
1.20960480,3.68927489,0.01020144,0.07486837,0.11904910,0.12942409,0.04019983,0.69637567,0.15545421,2.81145815
1.21560780,3.61937314,0.01066279,0.07672561,0.11631817,0.12877668,0.04066130,0.69020946,0.15753378,2.74190635
1.22161081,3.58219161,0.01121255,0.07934340,0.11477440,0.12924147,0.04140709,0.69051167,0.16100038,2.69686805
1.22761381,3.57791496,0.01185643,0.08274445,0.11448491,0.13081909,0.04245480,0.69758226,0.16581104,2.67625012
1.23361681,3.60657726,0.01259997,0.08694754,0.11551410,0.13350563,0.04382101,0.71166077,0.17192363,2.67986398
1.23961981,3.66806849,0.01344844,0.09196762,0.11792309,0.13729251,0.04552108,0.73292076,0.17929845,2.70743600
1.24562281,3.76214218,0.01440681,0.09781588,0.12176911,0.14216627,0.04756915,0.76146446,0.18789937,2.75861887
1.25162581,3.88842213,0.01547966,0.10449982,0.12710498,0.14810836,0.04997807,0.79731772,0.19769459,2.83300226
1.25762881,4.04640619,0.01667110,0.11202309,0.13397847,0.15509472,0.05275939,0.84042494,0.20865681,2.93012092
1.26363182,4.23546546,0.01798468,0.12038519,0.14243147,0.16309535,0.05592339,0.89064441,0.22076280,3.04945846
1.26963482,4.45483744,0.01942326,0.12958097,0.15249905,0.17207379,0.05947887,0.94774397,0.23399232,3.19044577
1.27563782,4.70361260,0.02098877,0.13959983,0.16420815,0.18198655,0.06343298,1.01139730,0.24832635,3.35245302
1.28164082,4.98071410,0.02268204,0.15042475,0.17757599,0.19278252,0.06779078,1.08118127,0.26374469,3.53477503
1.28764382,5.28487133,0.02450250,0.16203102,0.19260829,0.20440238,0.07255469,1.15657448,0.28022304,3.73661036
1.29364682,5.61458879,0.02644785,0.17438481,0.20929700,0.21677813,0.07772375,1.23695774,0.29772960,3.95703499
1.29964982,5.96811223,0.02851373,0.18744170,0.22761802,0.22983268,0.08329273,1.32161651,0.31622146,4.19497224
1.30565283,6.34339467,0.03069337,0.20114506,0.24752864,0.24347967,0.08925102,1.40974599,0.33564094,4.44916085
1.31165583,6.73806546,0.03297723,0.21542471,0.26896498,0.25762350,0.09558163,1.50045901,0.35591207,4.71812385
1.31765883,7.14940559,0.03535272,0.23019558,0.29183959,0.27215966,0.10225994,1.59279689,0.37693752,5.00014080
1.32366183,7.57433265,0.03780392,0.24535697,0.31603928,0.28697530,0.10925278,1.68574337,0.39859625,5.29322640
1.32966483,8.00939827,0.04031148,0.26079206,0.34142343,0.30195024,0.11651744,1.77824156,0.42074198,5.59511799
1.33566783,8.45080094,0.04285256,0.27636818,0.36782291,0.31695823,0.12400108,1.86921348,0.44320282,5.90327437
1.34167084,8.89441590,0.04540097,0.29193770,0.39503984,0.33186863,0.13164049,1.95758188,0.46578214,6.21488794
1.34767384,9.33584312,0.04792742,0.30733963,0.42284821,0.34654833,0.13936214,2.04229363,0.48826076,6.52691115
1.35367684,9.77047352,0.05039999,0.32240205,0.45099565,0.36086396,0.14708286,2.12234403,0.51040052,6.83609782
1.35967984,10.19357213,0.05278473,0.33694526,0.47920633,0.37468434,0.15471096,2.19680107,0.53194908,7.13905882
1.36568284,10.60037616,0.05504638,0.35078560,0.50718490,0.38788295,0.16214783,2.26482870,0.55264595,7.43233066
1.37168584,10.98620460,0.05714930,0.36373981,0.53462172,0.40034059,0.16929014,2.32570834,0.57222937,7.71245474
1.37768884,11.34657524,0.05905844,0.37562989,0.56119898,0.41194786,0.17603238,2.37885752,0.59044390,7.97606434
1.38369185,11.67732426,0.06074037,0.38628813,0.58659774,0.42260757,0.18226979,2.42384484,0.60704829,8.21997546
1.38969485,11.97472304,0.06216432,0.39556216,0.61050555,0.43223689,0.18790155,2.46040075,0.62182331,8.44127752
1.39569785,12.23558683,0.06330319,0.40331983,0.63262447,0.44076913,0.19283405,2.48842331,0.63457917,8.63741962
1.40170085,12.45736980,0.06413452,0.40945370,0.65267913,0.44815523,0.19698411,2.50797893,0.64516219,8.80628800
1.40770385,12.63824188,0.06464118,0.41388482,0.67042442,0.45436465,0.20028207,2.51929773,0.65346026,8.94627081
1.41370685,12.77714312,0.06481205,0.41656578,0.68565261,0.45938586,0.20267442,2.52276382,0.65940702,9.05630672
1.41970985,12.87381272,0.06464240,0.41748280,0.69819948,0.46322624,0.20412613,2.51890082,0.66298433,9.13591475
1.42571286,12.92879074,0.06413406,0.41665666,0.70794907,0.46591145,0.20462220,2.50835310,0.66422315,9.18520351
1.43171586,12.94339208,0.06329535,0.41414263,0.71483700,0.46748435,0.20416865,2.49186371,0.66320251,9.20485919
1.43771886,12.91965349,0.06214077,0.41002920,0.71885195,0.46800331,0.20279274,2.47024951,0.66004682,9.19611267
1.44372186,12.86025565,0.06069050,0.40443571,0.72003543,0.46754024,0.20054241,2.44437489,0.65492162,9.16068704
1.44972486,12.76842380,0.05896969,0.39750908,0.71847953,0.46617814,0.19748496,2.41512470,0.64802788,9.10072797
1.45572786,12.64781088,0.05700760,0.38941957,0.71432302,0.46400849,0.19370508,2.38337767,0.63959525,9.01872007
1.46173087,12.50236844,0.05483663,0.38035594,0.70774573,0.46112834,0.18930216,2.34998100,0.62987438,8.91739302
1.46773387,12.33621055,0.05249126,0.37052005,0.69896163,0.45763738,0.18438720,2.31572715,0.61912886,8.79962164
1.47373687,12.15347634,0.05000708,0.36012118,0.68821074,0.45363499,0.17907922,2.28133338,0.60762693,8.66832426
1.47973987,11.95819667,0.04741970,0.34937027,0.67575040,0.44921736,0.17350148,2.24742464,0.59563331,8.52636379
1.48574287,11.75417002,0.04476387,0.33847423,0.66184622,0.44447480,0.16777760,2.21452017,0.58340153,8.37645527
1.49174587,11.54485201,0.04207263,0.32763050,0.64676312,0.43948926,0.16202771,2.18302403,0.57116689,8.22108374
1.49774887,11.33326235,0.03937663,0.31702214,0.63075683,0.43433220,0.15636482,2.15321956,0.55914033,8.06243515
1.50375188,11.12191198,0.03670360,0.30681341,0.61406628,0.42906281,0.15089146,2.12526780,0.54750330,7.90234268
1.50975488,10.91275238,0.03407798,0.29714607,0.59690716,0.42372666,0.14569688,2.09920958,0.53640377,7.74224981
1.51575788,10.70714793,0.03152070,0.28813643,0.57946683,0.41835480,0.14085466,2.07497105,0.52595347,7.58319095
1.52176088,10.50587135,0.02904910,0.27987328,0.56190089,0.41296333,0.13642100,2.05237232,0.51622626,7.42578940
1.52776388,10.30912143,0.02667702,0.27241657,0.54433132,0.40755353,0.13243364,2.03113879,0.50725774,7.27027204
1.53376688,10.11656151,0.02441497,0.26579707,0.52684635,0.40211242,0.12891150,2.01091479,0.49904595,7.11649910
1.53976988,9.92737642,0.02227039,0.26001681,0.50950183,0.39661389,0.12585489,1.99127911,0.49155317,6.96400744
1.54577289,9.74034526,0.02024798,0.25505035,0.49232408,0.39102031,0.12324649,1.97176196,0.48470866,6.81206471
1.55177589,9.55392680,0.01835006,0.25084689,0.47531384,0.38528453,0.12105284,1.95186298,0.47841234,6.65973202
1.55777889,9.36635414,0.01657694,0.24733303,0.45845128,0.37935234,0.11922635,1.93106979,0.47253912,6.50593228
1.56378189,9.17573497,0.01492729,0.24441624,0.44170147,0.37316518,0.11770782,1.90887664,0.46694401,6.34952136
1.56978489,8.98015379,0.01339847,0.24198884,0.42502029,0.36666316,0.11642920,1.88480276,0.46146764,6.18935927
1.57578789,8.77777242,0.01198688,0.23993245,0.40836024,0.35978813,0.11531667,1.85840983,0.45594217,6.02437867
1.58179090,8.56692524,0.01068819,0.23812278,0.39167604,0.35248680,0.11429379,1.82931805,0.45019737,5.85364815
1.58779390,8.34620590,0.00949756,0.23643460,0.37492962,0.34471373,0.11328463,1.79722052,0.44406679,5.67642824
1.59379690,8.11454251,0.00840988,0.23474675,0.35809436,0.33643404,0.11221681,1.76189522,0.43739370,5.49221793
1.59979990,7.87125870,0.00741986,0.23294705,0.34115837,0.32762584,0.11102435,1.72321433,0.43003673,5.30079055
1.60580290,7.61611866,0.00652214,0.23093696,0.32412678,0.31828204,0.10965015,1.68115039,0.42187495,5.10221767
1.61180590,7.34935454,0.00571140,0.22863573,0.30702289,0.30841167,0.10804805,1.63577922,0.41281233,4.89688056
1.61780890,7.07167562,0.00498240,0.22598404,0.28988829,0.29804056,0.10618452,1.58727922,0.40278127,4.68546904
1.62381191,6.78425902,0.00433000,0.22294683,0.27278194,0.28721124,0.10403971,1.53592716,0.39174517,4.46896808
1.62981491,6.48872271,0.00374925,0.21951536,0.25577833,0.27598223,0.10160807,1.48209058,0.37969998,4.24863302
1.63581791,6.18708201,0.00323533,0.21570819,0.23896492,0.26442662,0.09889836,1.42621696,0.36667458,4.02595454
1.64182091,5.88169173,0.00278366,0.21157128,0.22243900,0.25263004,0.09593313,1.36882016,0.35273009,3.80261517
1.64782391,5.57517620,0.00238988,0.20717694,0.20630406,0.24068813,0.09274780,1.31046462,0.33795807,3.58043907
1.65382691,5.27035037,0.00204987,0.20262181,0.19066607,0.22870360,0.08938916,1.25174791,0.32247779,3.36133728
1.65982991,4.97013505,0.00175982,0.19802388,0.17562967,0.21678302,0.08591366,1.19328242,0.30643263,3.14725068
