energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-5.07553777,1.09449966,0.42288328,0.26144795,0.06653785,0.15438033,0.24360791,0.00000000
-5.06953477,1.08774553,0.42136005,0.26104329,0.06558996,0.15190995,0.24356411,0.00000000
-5.06353177,1.08453071,0.42205517,0.26098627,0.06508070,0.14960703,0.24521868,0.00000000
-5.05752876,1.08538919,0.42513533,0.26141966,0.06503532,0.14757654,0.24862676,0.00000000
-5.05152576,1.09075552,0.43070679,0.26247210,0.06547089,0.14591326,0.25380513,0.00000000
-5.04552276,1.10096125,0.43881673,0.26425551,0.06639687,0.14470026,0.26073437,0.00000000
-5.03951976,1.11623627,0.44945702,0.26686360,0.06781592,0.14400811,0.26936230,0.00000000
-5.03351676,1.13671453,0.46257023,0.27037134,0.06972488,0.14389484,0.27960850,0.00000000
-5.02751376,1.16244390,0.47805747,0.27483551,0.07211587,0.14440647,0.29136952,0.00000000
-5.02151076,1.19339928,0.49578766,0.28029608,0.07497745,0.14557830,0.30452477,0.00000000
-5.01550775,1.22949793,0.51560752,0.28677839,0.07829570,0.14743647,0.31894262,0.00000000
-5.00950475,1.27061594,0.53735194,0.29429578,0.08205529,0.14999996,0.33448632,0.00000000
-5.00350175,1.31660448,0.56085370,0.30285244,0.08624031,0.15328261,0.35101970,0.00000000
-4.99749875,1.36730457,0.58595232,0.31244622,0.09083486,0.15729508,0.36841194,0.00000000
-4.99149575,1.42255906,0.61250115,0.32307103,0.09582340,0.16204654,0.38654150,0.00000000
-4.98549275,1.48222074,0.64037235,0.33471861,0.10119067,0.16754590,0.40529877,0.00000000
-4.97948974,1.54615585,0.66945938,0.34737942,0.10692136,0.17380242,0.42458728,0.00000000
-4.97348674,1.61424231,0.69967680,0.36104251,0.11299934,0.18082567,0.44432353,0.00000000
-4.96748374,1.68636261,0.73095725,0.37569429,0.11940660,0.18862469,0.46443535,0.00000000
-4.96148074,1.76239164,0.76324599,0.39131618,0.12612191,0.19720644,0.48485897,0.00000000
-4.95547774,1.84218012,0.79649306,0.40788130,0.13311932,0.20657360,0.50553493,0.00000000
-4.94947474,1.92553478,0.83064384,0.42535039,0.14036653,0.21672177,0.52640326,0.00000000
-4.94347174,2.01219658,0.86562851,0.44366726,0.14782332,0.22763632,0.54739815,0.00000000
-4.93746873,2.10181879,0.90135136,0.46275413,0.15544013,0.23928919,0.56844270,0.00000000
-4.93146573,2.19394660,0.93768052,0.48250720,0.16315693,0.25163563,0.58944390,0.00000000
-4.92546273,2.28800025,0.97443931,0.50279296,0.17090248,0.26461149,0.61028865,0.00000000
-4.91945973,2.38326320,1.01139971,0.52344558,0.17859418,0.27813104,0.63084076,0.00000000
-4.91345673,2.47887697,1.04827877,0.54426572,0.18613842,0.29208565,0.65093962,0.00000000
-4.90745373,2.57384368,1.08473842,0.56502101,0.19343170,0.30634361,0.67040048,0.00000000
-4.90145073,2.66703695,1.12038905,0.58544846,0.20036231,0.32075108,0.68901657,0.00000000
-4.89544772,2.75722128,1.15479685,0.60525878,0.20681271,0.33513428,0.70656300,0.00000000
-4.88944472,2.84307955,1.18749473,0.62414255,0.21266248,0.34930297,0.72280234,0.00000000
-4.88344172,2.92324754,1.21799642,0.64177806,0.21779170,0.36305505,0.73749150,0.00000000
-4.87743872,2.99635409,1.24581305,0.65784050,0.22208473,0.37618208,0.75038967,0.00000000
-4.87143572,3.06106503,1.27047133,0.67201216,0.22543401,0.38847562,0.76126689,0.00000000
-4.86543272,3.11612858,1.29153237,0.68399297,0.22774400,0.39973390,0.76991259,0.00000000
-4.85942971,3.16041997,1.30861000,0.69351103,0.22893475,0.40976859,0.77614389,0.00000000
-4.85342671,3.19298284,1.32138753,0.70033256,0.22894518,0.41841137,0.77981287,0.00000000
-4.84742371,3.21306525,1.32963197,0.70427062,0.22773572,0.42551973,0.78081270,0.00000000
-4.84142071,3.22014829,1.33320474,0.70519229,0.22529024,0.43098199,0.77908203,0.00000000
-4.83541771,3.21396576,1.33206827,0.70302383,0.22161721,0.43472095,0.77460757,0.00000000
-4.82941471,3.19451396,1.32628797,0.69775357,0.21674995,0.43669625,0.76742467,0.00000000
-4.82341171,3.16205094,1.31602946,0.68943249,0.21074594,0.43690506,0.75761586,0.00000000
-4.81740870,3.11708552,1.30155115,0.67817224,0.20368532,0.43538128,0.74530759,0.00000000
-4.81140570,3.06035664,1.28319253,0.66414097,0.19566857,0.43219318,0.73066526,0.00000000
-4.80540270,2.99280421,1.26135894,0.64755711,0.18681349,0.42743964,0.71388691,0.00000000
-4.79939970,2.91553328,1.23650354,0.62868136,0.17725162,0.42124524,0.69519602,0.00000000
-4.79339670,2.82977320,1.20910765,0.60780743,0.16712436,0.41375451,0.67483361,0.00000000
-4.78739370,2.73683416,1.17966037,0.58525204,0.15657875,0.40512555,0.65305035,0.00000000
-4.78139070,2.63806316,1.14863888,0.56134446,0.14576336,0.39552353,0.63009885,0.00000000
-4.77538769,2.53480158,1.11649017,0.53641631,0.13482427,0.38511427,0.60622665,0.00000000
-4.76938469,2.42834621,1.08361547,0.51079203,0.12390132,0.37405830,0.58167006,0.00000000
-4.76338169,2.31991540,1.05035783,0.48478023,0.11312489,0.36250575,0.55664923,0.00000000
-4.75737869,2.21062155,1.01699364,0.45866647,0.10261313,0.35059206,0.53136442,0.00000000
-4.75137569,2.10145071,0.98372831,0.43270757,0.09246986,0.33843502,0.50599371,0.00000000
-4.74537269,1.99324961,0.95069605,0.40712757,0.08278305,0.32613289,0.48069192,0.00000000
-4.73936968,1.88672012,0.91796370,0.38211538,0.07362406,0.31376379,0.45559077,0.00000000
-4.73336668,1.78242057,0.88553801,0.35782406,0.06504735,0.30138631,0.43080004,0.00000000
-4.72736368,1.68077318,0.85337583,0.33437164,0.05709086,0.28904100,0.40640958,0.00000000
-4.72136068,1.58207641,0.82139646,0.31184313,0.04977687,0.27675290,0.38249188,0.00000000
-4.71535768,1.48652117,0.78949519,0.29029361,0.04311324,0.26453451,0.35910502,0.00000000
-4.70935468,1.39420937,0.75755723,0.26975208,0.03709497,0.25238922,0.33629563,0.00000000
-4.70335168,1.30517360,0.72547116,0.25022571,0.03170596,0.24031493,0.31410186,0.00000000
-4.69734867,1.21939666,0.69314114,0.23170431,0.02692088,0.22830743,0.29255603,0.00000000
-4.69134567,1.13682993,0.66049721,0.21416479,0.02270715,0.21636359,0.27168679,0.00000000
-4.68534267,1.05740958,0.62750319,0.19757523,0.01902673,0.20448402,0.25152089,0.00000000
-4.67933967,0.98107010,0.59416194,0.18189859,0.01583792,0.19267512,0.23208433,0.00000000
-4.67333667,0.90775462,0.56051774,0.16709578,0.01309695,0.18095046,0.21340298,0.00000000
-4.66733367,0.83742200,0.52665600,0.15312820,0.01075935,0.16933143,0.19550267,0.00000000
-4.66133067,0.77005068,0.49270040,0.13995945,0.00878120,0.15784725,0.17840888,0.00000000
-4.65532766,0.70563947,0.45880781,0.12755656,0.00712004,0.14653428,0.16214607,0.00000000
-4.64932466,0.64420592,0.42516158,0.11589052,0.00573562,0.13543483,0.14673674,0.00000000
-4.64332166,0.58578255,0.39196355,0.10493635,0.00459050,0.12459560,0.13220039,0.00000000
-4.63731866,0.53041164,0.35942546,0.09467275,0.00365034,0.11406576,0.11855249,0.00000000
-4.63131566,0.47813923,0.32776017,0.08508141,0.00288414,0.10389498,0.10580346,0.00000000
-4.62531266,0.42900873,0.29717336,0.07614621,0.00226426,0.09413137,0.09395787,0.00000000
-4.61930965,0.38305493,0.26785593,0.06785228,0.00176638,0.08481963,0.08301382,0.00000000
-4.61330665,0.34029853,0.23997759,0.06018503,0.00136937,0.07599938,0.07296265,0.00000000
-4.60730365,0.30074182,0.21368182,0.05312939,0.00105507,0.06770377,0.06378890,0.00000000
-4.60130065,0.26436556,0.18908240,0.04666905,0.00080804,0.05995850,0.05547055,0.00000000
-4.59529765,0.23112732,0.16626141,0.04078599,0.00061532,0.05278119,0.04797962,0.00000000
-4.58929465,0.20096113,0.14526885,0.03546015,0.00046611,0.04618115,0.04128293,0.00000000
