energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-3.47873937,2.31511281,0.04148518,0.44425299,0.20663533,0.00000000,1.89974221,0.82732052,0.02054293,1.17835273
-3.47273637,2.31225919,0.04041077,0.44338885,0.20335336,0.00000000,1.85114941,0.83993314,0.01988095,1.17406760
-3.46673337,2.30934493,0.03923536,0.44143205,0.19989959,0.00000000,1.80082651,0.85454602,0.01923194,1.16903595
-3.46073037,2.30738264,0.03797839,0.43845440,0.19637518,0.00000000,1.74945052,0.87168519,0.01860246,1.16377785
-3.45472736,2.30748393,0.03665958,0.43456777,0.19288906,0.00000000,1.69772985,0.89190826,0.01799953,1.15885629
-3.44872436,2.31084119,0.03529868,0.42992687,0.18955647,0.00000000,1.64640268,0.91579142,0.01743033,1.15486672
-3.44272136,2.31870562,0.03391525,0.42473107,0.18649768,0.00000000,1.59623451,0.94391413,0.01690193,1.15242487
-3.43671836,2.33236152,0.03252845,0.41922505,0.18383664,0.00000000,1.54801488,0.97684174,0.01642113,1.15215326
-3.43071536,2.35309729,0.03115693,0.41369800,0.18169984,0.00000000,1.50255288,1.01510626,0.01599426,1.15466642
-3.42471236,2.38217349,0.02981865,0.40848156,0.18021516,0.00000000,1.46067148,1.05918582,0.01562703,1.16055517
-3.41870935,2.42078906,0.02853083,0.40394622,0.17951081,0.00000000,1.42320051,1.10948344,0.01532444,1.17037046
-3.41270635,2.47004646,0.02730981,0.40049644,0.17971431,0.00000000,1.39096854,1.16630588,0.01509072,1.18460727
-3.40670335,2.53091714,0.02617101,0.39856429,0.18095150,0.00000000,1.36479367,1.22984343,0.01492925,1.20368908
-3.40070035,2.60420863,0.02512886,0.39860196,0.18334558,0.00000000,1.34547343,1.30015155,0.01484261,1.22795381
-3.39469735,2.69053448,0.02419669,0.40107297,0.18701608,0.00000000,1.33377416,1.37713538,0.01483252,1.25764168
-3.38869435,2.79028857,0.02338678,0.40644253,0.19207786,0.00000000,1.33041986,1.46053788,0.01489994,1.29288567
-3.38269135,2.90362478,0.02271018,0.41516694,0.19864004,0.00000000,1.33608097,1.54993262,0.01504502,1.33370518
-3.37668834,3.03044302,0.02217678,0.42768236,0.20680482,0.00000000,1.35136315,1.64472171,0.01526723,1.38000324
-3.37068534,3.17038246,0.02179517,0.44439307,0.21666617,0.00000000,1.37679624,1.74413944,0.01556534,1.43156758
-3.36468234,3.32282216,0.02157262,0.46565953,0.22830843,0.00000000,1.41282363,1.84726183,0.01593748,1.48807551
-3.35867934,3.48688933,0.02151504,0.49178641,0.24180476,0.00000000,1.45979208,1.95302210,0.01638118,1.54910264
-3.35267634,3.66147487,0.02162687,0.52301096,0.25721540,0.00000000,1.51794225,2.06023185,0.01689341,1.61413507
-3.34667334,3.84525572,0.02191103,0.55949197,0.27458584,0.00000000,1.58740005,2.16760723,0.01747054,1.68258455
-3.34067034,4.03672322,0.02236887,0.60129984,0.29394486,0.00000000,1.66816896,2.27379947,0.01810840,1.75380600
-3.33466733,4.23421646,0.02300005,0.64840794,0.31530262,0.00000000,1.76012377,2.37742873,0.01880224,1.82711669
-3.32866433,4.43595941,0.02380245,0.70068593,0.33864866,0.00000000,1.86300586,2.47712002,0.01954672,1.90181628
-3.32266133,4.64010081,0.02477216,0.75789527,0.36395015,0.00000000,1.97642049,2.57154000,0.02033593,1.97720688
-3.31665833,4.84475528,0.02590335,0.81968751,0.39115037,0.00000000,2.09983651,2.65943319,0.02116332,2.05261233
-3.31065533,5.04804474,0.02718827,0.88560544,0.42016746,0.00000000,2.23258879,2.73965636,0.02202178,2.12739602
-3.30465233,5.24813863,0.02861718,0.95508772,0.45089378,0.00000000,2.37388376,2.81120977,0.02290361,2.20097653
-3.29864932,5.44329224,0.03017845,1.02747684,0.48319572,0.00000000,2.52280842,2.87326408,0.02380062,2.27284068
-3.29264632,5.63188179,0.03185854,1.10203059,0.51691420,0.00000000,2.67834268,2.92518200,0.02470415,2.34255351
-3.28664332,5.81243578,0.03364214,1.17793687,0.55186581,0.00000000,2.83937527,2.96653389,0.02560523,2.40976499
-3.28064032,5.98366160,0.03551233,1.25433139,0.58784467,0.00000000,3.00472274,2.99710690,0.02649470,2.47421341
-3.27463732,6.14446701,0.03745076,1.33031801,0.62462488,0.00000000,3.17315123,3.01690721,0.02736339,2.53572547
-3.26863432,6.29397590,0.03943789,1.40499071,0.66196359,0.00000000,3.34340015,3.02615564,0.02820233,2.59421318
-3.26263132,6.43153806,0.04145329,1.47745668,0.69960439,0.00000000,3.51420707,3.02527685,0.02900296,2.64966797
-3.25662831,6.55673276,0.04347591,1.54685939,0.73728115,0.00000000,3.68433262,3.01488253,0.02975735,2.70215229
-3.25062531,6.66936610,0.04548444,1.61240082,0.77472190,0.00000000,3.85258444,2.99574965,0.03045843,2.75178916
-3.24462231,6.76946228,0.04745758,1.67336181,0.81165272,0.00000000,4.01783896,2.96879445,0.03110019,2.79875021
-3.23861931,6.85724918,0.04937440,1.72911953,0.84780145,0.00000000,4.17905998,2.93504337,0.03167792,2.84324260
-3.23261631,6.93313867,0.05121463,1.77916156,0.88290116,0.00000000,4.33531328,2.89560218,0.03218829,2.88549555
-3.22661331,6.99770252,0.05295888,1.82309566,0.91669321,0.00000000,4.48577645,2.85162427,0.03262953,2.92574683
-3.22061031,7.05164481,0.05458894,1.86065506,0.94892988,0.00000000,4.62974368,2.80427960,0.03300146,2.96422982
-3.21460730,7.09577190,0.05608795,1.89169903,0.97937665,0.00000000,4.76662551,2.75472517,0.03330557,3.00116158
-3.20860430,7.13096132,0.05744058,1.91620892,1.00781405,0.00000000,4.89594368,2.70407816,0.03354494,3.03673246
-3.20260130,7.15813081,0.05863317,1.93428001,1.03403933,0.00000000,5.01732183,2.65339263,0.03372427,3.07109745
-3.19659830,7.17820892,0.05965384,1.94610973,1.05786785,0.00000000,5.13047288,2.60364028,0.03384969,3.10436967
-3.19059530,7.19210846,0.06049262,1.95198317,1.07913453,0.00000000,5.23518415,2.55569596,0.03392876,3.13661623
-3.18459230,7.20070380,0.06114154,1.95225666,1.09769530,0.00000000,5.33130139,2.51032804,0.03397024,3.16785648
-3.17858929,7.20481316,0.06159474,1.94734045,1.11342869,0.00000000,5.41871302,2.46819360,0.03398400,3.19806273
-3.17258629,7.20518629,0.06184855,1.93768158,1.12623771,0.00000000,5.49733565,2.42983850,0.03398086,3.22716319
-3.16658329,7.20249793,0.06190164,1.92374766,1.13605177,0.00000000,5.56710195,2.39570152,0.03397244,3.25504717
-3.16058029,7.19734695,0.06175514,1.90601250,1.14282887,0.00000000,5.62795157,2.36612239,0.03397097,3.28157198
-3.15457729,7.19026072,0.06141271,1.88494418,1.14655773,0.00000000,5.67982569,2.34135267,0.03398921,3.30657133
-3.14857429,7.18170384,0.06088068,1.86099587,1.14725981,0.00000000,5.72266529,2.32156870,0.03404020,3.32986463
-3.14257129,7.17209029,0.06016809,1.83459970,1.14499095,0.00000000,5.75641316,2.30688586,0.03413716,3.35126687
-3.13656828,7.16179748,0.05928676,1.80616350,1.13984245,0.00000000,5.78101914,2.29737290,0.03429327,3.37059848
-3.13056528,7.15118100,0.05825125,1.77607029,1.13194141,0.00000000,5.79644801,2.29306571,0.03452147,3.38769464
-3.12456228,7.14058842,0.05707873,1.74467991,1.12145001,0.00000000,5.80268925,2.29397946,0.03483422,3.40241374
-3.11855928,7.13037080,0.05578886,1.71233230,1.10856371,0.00000000,5.79976763,2.30011852,0.03524326,3.41464440
-3.11255628,7.12089074,0.05440349,1.67935183,1.09350814,0.00000000,5.78775382,2.31148341,0.03575930,3.42431088
-3.10655328,7.11252591,0.05294631,1.64605178,1.07653482,0.00000000,5.76677397,2.32807444,0.03639175,3.43137654
-3.10055028,7.10566749,0.05144243,1.61273849,1.05791563,0.00000000,5.73701750,2.34989180,0.03714837,3.43584530
-3.09454727,7.10071317,0.04991781,1.57971442,1.03793622,0.00000000,5.69874234,2.37693191,0.03803498,3.43776092
-3.08854427,7.09805472,0.04839876,1.54727973,1.01688861,0.00000000,5.65227724,2.40918037,0.03905515,3.43720426
-3.08254127,7.09806077,0.04691124,1.51573197,0.99506327,0.00000000,5.59802068,2.44660171,0.04020995,3.43428865
-3.07653827,7.10105541,0.04548025,1.48536364,0.97274101,0.00000000,5.53643643,2.48912648,0.04149773,3.42915349
-3.07053527,7.10729379,0.04412921,1.45645771,0.95018495,0.00000000,5.46804580,2.53663644,0.04291395,3.42195649
-3.06453227,7.11693599,0.04287928,1.42928120,0.92763324,0.00000000,5.39341695,2.58894863,0.04445115,3.41286483
-3.05852926,7.13002078,0.04174891,1.40407705,0.90529246,0.00000000,5.31315161,2.64579919,0.04609897,3.40204562
-3.05252626,7.14644065,0.04075327,1.38105492,0.88333246,0.00000000,5.22786986,2.70682806,0.04784426,3.38965609
-3.04652326,7.16591987,0.03990391,1.36038128,0.86188256,0.00000000,5.13819375,2.77156541,0.04967130,3.37583402
-3.04052026,7.18799698,0.03920846,1.34216950,0.84102949,0.00000000,5.04473032,2.83942097,0.05156217,3.36068873
-3.03451726,7.21201311,0.03867051,1.32647070,0.82081704,0.00000000,4.94805496,2.90967704,0.05349706,3.34429314
-3.02851426,7.23710735,0.03828953,1.31326580,0.80124751,0.00000000,4.84869581,2.98148611,0.05545484,3.32667731
-3.02251126,7.26221991,0.03806097,1.30245965,0.78228490,0.00000000,4.74712003,3.05387377,0.05741349,3.30782382
-3.01650825,7.28610378,0.03797645,1.29387753,0.76385948,0.00000000,4.64372247,3.12574721,0.05935067,3.28766522
-3.01050525,7.30734503,0.03802406,1.28726467,0.74587372,0.00000000,4.53881755,3.19590985,0.06124424,3.26608391
-3.00450225,7.32439158,0.03818875,1.28228895,0.72820916,0.00000000,4.43263467,3.26308165,0.06307276,3.24291450
-2.99849925,7.33558991,0.03845276,1.27854690,0.71073387,0.00000000,4.32531745,3.32592520,0.06481595,3.21794870
-2.99249625,7.33922868,0.03879617,1.27557310,0.69331025,0.00000000,4.21692720,3.38307657,0.06645505,3.19094271
-2.98649325,7.33358806,0.03919746,1.27285261,0.67580262,0.00000000,4.10745027,3.43318030,0.06797312,3.16162675
-2.98049025,7.31699292,0.03963405,1.26983611,0.65808445,0.00000000,3.99680936,3.47492717,0.06935530,3.12971662
-2.97448724,7.28786817,0.04008292,1.26595727,0.64004485,0.00000000,3.88487822,3.50709338,0.07058882,3.09492674
-2.96848424,7.24479389,0.04052115,1.26065153,0.62159405,0.00000000,3.77149911,3.52857961,0.07166315,3.05698402
-2.96248124,7.18655817,0.04092651,1.25337565,0.60266775,0.00000000,3.65650242,3.53844822,0.07256988,3.01564221
-2.95647824,7.11220532,0.04127790,1.24362711,0.58323010,0.00000000,3.53972735,3.53595697,0.07330263,2.97069585
-2.95047524,7.02107732,0.04155590,1.23096250,0.56327541,0.00000000,3.42104271,3.52058766,0.07385692,2.92199325
-2.94447224,6.91284657,0.04174308,1.21501409,0.54282856,0.00000000,3.30036690,3.49206816,0.07423002,2.86944790
-2.93846923,6.78753839,0.04182441,1.19550382,0.52194410,0.00000000,3.17768586,3.45038679,0.07442076,2.81304762
-2.93246623,6.64554205,0.04178750,1.17225394,0.50070432,0.00000000,3.05306812,3.39579819,0.07442946,2.75286111
-2.92646323,6.48760965,0.04162280,1.14519401,0.47921638,0.00000000,2.92667622,3.32882006,0.07425782,2.68904152
-2.92046023,6.31484277,0.04132372,1.11436372,0.45760880,0.00000000,2.79877370,3.25022105,0.07390889,2.62182675
-2.91445723,6.12866734,0.04088670,1.07991156,0.43602739,0.00000000,2.66972739,3.16099986,0.07338716,2.55153667
-2.90845423,5.93079766,0.04031118,1.04208934,0.41463106,0.00000000,2.54000482,3.06235666,0.07269863,2.47856715
-2.90245123,5.72319120,0.03959952,1.00124293,0.39358759,0.00000000,2.41016693,2.95565788,0.07185105,2.40338134
-2.89644822,5.50799607,0.03875688,0.95779960,0.37306954,0.00000000,2.28085634,2.84239590,0.07085411,2.32649864
-2.89044522,5.28749330,0.03779101,0.91225266,0.35325069,0.00000000,2.15278203,2.72414544,0.06971973,2.24848172
-2.88444222,5.06403662,0.03671198,0.86514414,0.33430277,0.00000000,2.02670092,2.60251852,0.06846231,2.16992240
-2.87843922,4.83999200,0.03553197,0.81704627,0.31639304,0.00000000,1.90339767,2.47911981,0.06709900,2.09142690
-2.87243622,4.61767951,0.03426488,0.76854271,0.29968223,0.00000000,1.78366339,2.35550426,0.06564991,2.01360104
-2.86643322,4.39931961,0.03292606,0.72021027,0.28432334,0.00000000,1.66827441,2.23313868,0.06413820,1.93703608
-2.86043022,4.18698575,0.03153190,0.67260185,0.27046081,0.00000000,1.55797214,2.11336859,0.06259008,1.86229568
-2.85442721,3.98256475,0.03009951,0.62623136,0.25823030,0.00000000,1.45344466,1.99739138,0.06103470,1.78990428
-2.84842421,3.78772580,0.02864631,0.58156109,0.24775871,0.00000000,1.35531089,1.88623659,0.05950381,1.72033735
-2.84242121,3.60389865,0.02718973,0.53899176,0.23916442,0.00000000,1.26410765,1.78075347,0.05803134,1.65401356
-2.83641821,3.43226071,0.02574679,0.49885566,0.23255753,0.00000000,1.18027999,1.68160582,0.05665270,1.59128898
-2.83041521,3.27373283,0.02433376,0.46141275,0.22803998,0.00000000,1.10417477,1.58927372,0.05540400,1.53245323
