energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.88594297,0.18343585,0.13064722,0.04430337,0.00003683,0.02390682,0.03343878,0.01368140,0.00002107,0.06990771
-5.87993997,0.20118100,0.14294883,0.04863434,0.00004721,0.02619787,0.03650600,0.01498337,0.00002513,0.07659190
-5.87393697,0.21926224,0.15536979,0.05306258,0.00006009,0.02852504,0.03957495,0.01630271,0.00002994,0.08337618
-5.86793397,0.23750820,0.16776315,0.05755001,0.00007592,0.03086439,0.04260207,0.01762504,0.00003565,0.09018948
-5.86193097,0.25574354,0.17997639,0.06205793,0.00009523,0.03319131,0.04554177,0.01893554,0.00004239,0.09695859
-5.85592796,0.27379524,0.19185610,0.06654852,0.00011861,0.03548133,0.04834768,0.02021937,0.00005033,0.10361063
-5.84992496,0.29149919,0.20325304,0.07098635,0.00014666,0.03771102,0.05097407,0.02146226,0.00005963,0.11007564
-5.84392196,0.30870676,0.21402729,0.07533993,0.00018004,0.03985883,0.05337725,0.02265095,0.00007049,0.11628923
-5.83791896,0.32529091,0.22405321,0.07958305,0.00021944,0.04190602,0.05551713,0.02377376,0.00008311,0.12219506
-5.83191596,0.34115156,0.23322414,0.08369594,0.00026555,0.04383734,0.05735859,0.02482102,0.00009767,0.12774713
-5.82591296,0.35621973,0.24145629,0.08766610,0.00031904,0.04564166,0.05887286,0.02578544,0.00011438,0.13291159
-5.81990995,0.37046029,0.24869191,0.09148879,0.00038056,0.04731243,0.06003862,0.02666241,0.00013343,0.13766816
-5.81390695,0.38387303,0.25490128,0.09516704,0.00045069,0.04884790,0.06084298,0.02745015,0.00015499,0.14201082
-5.80790395,0.39649186,0.26008361,0.09871120,0.00052993,0.05025112,0.06128219,0.02814981,0.00017920,0.14594800
-5.80190095,0.40838229,0.26426666,0.10213806,0.00061866,0.05152972,0.06136205,0.02876529,0.00020619,0.14950199
-5.79589795,0.41963710,0.26750515,0.10546953,0.00071709,0.05269544,0.06109807,0.02930314,0.00023601,0.15270774
-5.78989495,0.43037059,0.26987805,0.10873089,0.00082528,0.05376355,0.06051537,0.02977213,0.00026868,0.15561116
-5.78389195,0.44071165,0.27148491,0.11194885,0.00094303,0.05475199,0.05964834,0.03018292,0.00030416,0.15826688
-5.77788894,0.45079620,0.27244152,0.11514941,0.00106997,0.05568053,0.05854010,0.03054756,0.00034232,0.16073586
-5.77188594,0.46075945,0.27287508,0.11835570,0.00120542,0.05656982,0.05724186,0.03087898,0.00038297,0.16308271
-5.76588294,0.47072860,0.27291932,0.12158596,0.00134849,0.05744051,0.05581220,0.03119049,0.00042583,0.16537330
-5.75987994,0.48081652,0.27270989,0.12485181,0.00149800,0.05831246,0.05431630,0.03149537,0.00047053,0.16767252
-5.75387694,0.49111706,0.27238024,0.12815693,0.00165255,0.05920413,0.05282533,0.03180648,0.00051665,0.17004260
-5.74787394,0.50170224,0.27205847,0.13149631,0.00181053,0.06013224,0.05141584,0.03213603,0.00056367,0.17254204
-5.74187094,0.51262189,0.27186517,0.13485611,0.00197013,0.06111156,0.05016938,0.03249549,0.00061102,0.17522534
-5.73586793,0.52390589,0.27191264,0.13821426,0.00212946,0.06215522,0.04917232,0.03289560,0.00065808,0.17814353
-5.72986493,0.53556885,0.27230533,0.14154169,0.00228654,0.06327511,0.04851577,0.03334660,0.00070419,0.18134559
-5.72386193,0.54761739,0.27314170,0.14480436,0.00243944,0.06448271,0.04829574,0.03385859,0.00074869,0.18488058
-5.71785893,0.56005943,0.27451720,0.14796577,0.00258634,0.06579007,0.04861342,0.03444202,0.00079093,0.18880058
-5.71185593,0.57291507,0.27652822,0.15098998,0.00272563,0.06721109,0.04957544,0.03510824,0.00083029,0.19316390
-5.70585293,0.58622835,0.27927671,0.15384502,0.00285601,0.06876272,0.05129424,0.03587012,0.00086623,0.19803876
-5.69984992,0.60007918,0.28287506,0.15650625,0.00297656,0.07046638,0.05388814,0.03674275,0.00089827,0.20350671
-5.69384692,0.61459450,0.28745088,0.15895980,0.00308688,0.07234910,0.05748129,0.03774394,0.00092606,0.20966588
-5.68784392,0.62995780,0.29315114,0.16120561,0.00318713,0.07444458,0.06220323,0.03889472,0.00094938,0.21663342
-5.68184092,0.64641618,0.30014536,0.16325994,0.00327811,0.07679385,0.06818796,0.04021964,0.00096816,0.22454711
-5.67583792,0.66428414,0.30862728,0.16515724,0.00336130,0.07944562,0.07557244,0.04174686,0.00098247,0.23356559
-5.66983492,0.68394358,0.31881491,0.16695110,0.00343889,0.08245603,0.08449447,0.04350798,0.00099258,0.24386725
-5.66383192,0.70583930,0.33094843,0.16871420,0.00351379,0.08588798,0.09508989,0.04553757,0.00099888,0.25564749
-5.65782891,0.73047011,0.34528602,0.17053723,0.00358957,0.08980981,0.10748902,0.04787244,0.00100197,0.26911422
-5.65182591,0.75837525,0.36209743,0.17252676,0.00367043,0.09429346,0.12181248,0.05055059,0.00100256,0.28448188
-5.64582291,0.79011651,0.38165543,0.17480198,0.00376106,0.09941207,0.13816639,0.05360989,0.00100149,0.30196371
-5.63981991,0.82625653,0.40422539,0.17749060,0.00386658,0.10523712,0.15663706,0.05708649,0.00099973,0.32176286
-5.63381691,0.86733397,0.43005322,0.18072390,0.00399236,0.11183516,0.17728540,0.06101308,0.00099827,0.34406242
-5.62781391,0.91383646,0.45935218,0.18463113,0.00414382,0.11926433,0.20014119,0.06541705,0.00099817,0.36901471
-5.62181091,0.96617250,0.49228906,0.18933366,0.00432628,0.12757069,0.22519743,0.07031848,0.00100048,0.39673047
-5.61580790,1.02464340,0.52897031,0.19493879,0.00454471,0.13678461,0.25240512,0.07572833,0.00100620,0.42726822
-5.60980490,1.08941657,0.56942877,0.20153388,0.00480352,0.14691735,0.28166865,0.08164662,0.00101626,0.46062443
-5.60380190,1.16050145,0.61361162,0.20918075,0.00510637,0.15795799,0.31284214,0.08806091,0.00103144,0.49672491
-5.59779890,1.23772933,0.66137018,0.21791075,0.00545589,0.16987086,0.34572690,0.09494502,0.00105241,0.53541794
-5.59179590,1.32073806,0.71245221,0.22772075,0.00585356,0.18259367,0.38007041,0.10225818,0.00107961,0.57646959
-5.58579290,1.40896271,0.76649718,0.23857016,0.00629946,0.19603637,0.41556683,0.10994460,0.00111330,0.61956154
-5.57978989,1.50163291,0.82303483,0.25037925,0.00679219,0.21008098,0.45185930,0.11793349,0.00115348,0.66429168
-5.57378689,1.59777737,0.88148765,0.26302881,0.00732876,0.22458229,0.48854407,0.12613971,0.00119994,0.71017771
-5.56778389,1.69623579,0.94117701,0.27636124,0.00790452,0.23936960,0.52517647,0.13446483,0.00125220,0.75666373
-5.56178089,1.79567824,1.00133335,0.29018318,0.00851320,0.25424947,0.56127868,0.14279880,0.00130957,0.80312982
-5.55577789,1.89463142,1.06111010,0.30426942,0.00914695,0.26900939,0.59634905,0.15102214,0.00137112,0.84890432
-5.54977489,1.99151151,1.11960110,0.31836823,0.00979652,0.28342229,0.62987288,0.15900848,0.00143573,0.89327867
-5.54377189,2.08466231,1.17586101,0.33220777,0.01045140,0.29725183,0.66133428,0.16662759,0.00150212,0.93552420
-5.53776888,2.17239785,1.22892830,0.34550352,0.01110007,0.31025829,0.69022873,0.17374858,0.00156890,0.97491054
-5.53176588,2.25304787,1.27784988,0.35796639,0.01173037,0.32220482,0.71607602,0.18024341,0.00163459,1.01072489
-5.52576288,2.32500472,1.32170677,0.36931119,0.01232973,0.33286389,0.73843302,0.18599037,0.00169770,1.04229165
-5.51975988,2.38677002,1.35963977,0.37926537,0.01288565,0.34202375,0.75690596,0.19087754,0.00175677,1.06899162
-5.51375688,2.43699947,1.39087433,0.38757738,0.01338598,0.34949461,0.77116158,0.19480610,0.00181044,1.09028013
-5.50775388,2.47454397,1.41474358,0.39402471,0.01381941,0.35511430,0.78093697,0.19769330,0.00185751,1.10570345
-5.50175088,2.49848575,1.43070879,0.39842093,0.01417574,0.35875327,0.78604749,0.19947507,0.00189699,1.11491280
-5.49574787,2.50816784,1.43837627,0.40062179,0.01444628,0.36031866,0.78639260,0.20010807,0.00192814,1.11767549
-5.48974487,2.50321604,1.43751020,0.40052990,0.01462413,0.35975733,0.78195928,0.19957124,0.00195056,1.11388275
-5.48374187,2.48355222,1.42804071,0.39809795,0.01470438,0.35705773,0.77282298,0.19786660,0.00196418,1.10355391
-5.47773887,2.44939859,1.41006703,0.39333029,0.01468432,0.35225040,0.75914594,0.19501943,0.00196931,1.08683674
-5.47173587,2.40127277,1.38385530,0.38628280,0.01456346,0.34540736,0.74117301,0.19107777,0.00196668,1.06400406
-5.46573287,2.33997372,1.34983140,0.37706115,0.01434360,0.33664004,0.71922507,0.18611121,0.00195742,1.03544648
-5.45972986,2.26655924,1.30856883,0.36581741,0.01402871,0.32609615,0.69369038,0.18020909,0.00194308,1.00166189
-5.45372686,2.18231582,1.26077219,0.35274524,0.01362477,0.31395546,0.66501401,0.17347808,0.00192559,0.96324175
-5.44772386,2.08872205,1.20725700,0.33807391,0.01313959,0.30042464,0.63368599,0.16603934,0.00190726,0.92085495
-5.44172086,1.98740707,1.14892647,0.32206126,0.01258248,0.28573142,0.60022834,0.15802531,0.00189072,0.87522975
-5.43571786,1.88010554,1.08674630,0.30498598,0.01196398,0.27011831,0.56518167,0.14957619,0.00187888,0.82713437
-5.42971486,1.76861088,1.02171829,0.28713957,0.01129547,0.25383601,0.52909171,0.14083636,0.00187488,0.77735710
-5.42371186,1.65472838,0.95485396,0.26881815,0.01058880,0.23713687,0.49249624,0.13195074,0.00188198,0.72668652
-5.41770885,1.54022987,0.88714893,0.25031451,0.00985597,0.22026859,0.45591285,0.12306126,0.00190350,0.67589237
-5.41170585,1.42681134,0.81955899,0.23191067,0.00910875,0.20346830,0.41982791,0.11430358,0.00194274,0.62570795
-5.40570285,1.31605474,0.75297870,0.21387112,0.00835839,0.18695737,0.38468692,0.10580409,0.00200286,0.57681421
-5.39969985,1.20939511,0.68822297,0.19643696,0.00761532,0.17093685,0.35088674,0.09767727,0.00208680,0.52982619
-5.39369685,1.10809363,0.62601226,0.17982118,0.00688896,0.15558389,0.31876951,0.09002356,0.00219714,0.48528196
-5.38769385,1.01321708,0.56696142,0.16420496,0.00618753,0.14104907,0.28861855,0.08292762,0.00233603,0.44363435
-5.38169085,0.92562399,0.51157256,0.14973518,0.00551795,0.12745463,0.26065614,0.07645715,0.00250509,0.40524535
-5.37568784,0.84595724,0.46023164,0.13652309,0.00488579,0.11489374,0.23504304,0.07066218,0.00270526,0.37038336
-5.36968484,0.77464301,0.41320870,0.12464410,0.00429523,0.10343053,0.21187979,0.06557486,0.00293680,0.33922300
-5.36368184,0.71189537,0.37066135,0.11413846,0.00374914,0.09310103,0.19120937,0.06120965,0.00319912,0.31184730
-5.35767884,0.65772609,0.33264109,0.10501302,0.00324915,0.08391472,0.17302112,0.05756401,0.00349079,0.28825211
-5.35167584,0.61195886,0.29910205,0.09724353,0.00279577,0.07585674,0.15725577,0.05461938,0.00380951,0.26835231
-5.34567284,0.57424719,0.26991149,0.09077777,0.00238849,0.06889049,0.14381113,0.05234256,0.00415204,0.25198957
-5.33966983,0.54409522,0.24486170,0.08553898,0.00202599,0.06296056,0.13254838,0.05068729,0.00451428,0.23894139
-5.33366683,0.52088065,0.22368271,0.08142976,0.00170625,0.05799598,0.12329869,0.04959612,0.00489129,0.22893094
-5.32766383,0.50387912,0.20605528,0.07833612,0.00142672,0.05391337,0.11586995,0.04900239,0.00527738,0.22163762
-5.32166083,0.49228938,0.19162398,0.07613162,0.00118447,0.05062029,0.11005342,0.04883239,0.00566623,0.21670790
-5.31565783,0.48525857,0.18000973,0.07468157,0.00097634,0.04801837,0.10563020,0.04900755,0.00605099,0.21376628
-5.30965483,0.48190711,0.17082172,0.07384701,0.00079903,0.04600632,0.10237744,0.04944666,0.00642452,0.21242599
-5.30365183,0.48135270,0.16366838,0.07348867,0.00064926,0.04448276,0.10007398,0.05006811,0.00677952,0.21229949
-5.29764882,0.48273292,0.15816729,0.07347051,0.00052379,0.04334875,0.09850564,0.05079199,0.00710875,0.21300822
-5.29164582,0.48522612,0.15395378,0.07366310,0.00041956,0.04250999,0.09746981,0.05154216,0.00740527,0.21419177
-5.28564282,0.48807012,0.15068836,0.07394651,0.00033367,0.04187881,0.09677952,0.05224806,0.00766263,0.21551598
-5.27963982,0.49057849,0.14806269,0.07421289,0.00026346,0.04137571,0.09626681,0.05284642,0.00787506,0.21668013
-5.27363682,0.49215406,0.14580435,0.07436857,0.00020655,0.04093066,0.09578544,0.05328269,0.00803770,0.21742285
-5.26763382,0.49229958,0.14368016,0.07433567,0.00016077,0.04048400,0.09521297,0.05351218,0.00814671,0.21752685
-5.26163082,0.49062521,0.14149835,0.07405326,0.00012424,0.03998703,0.09445203,0.05350093,0.00819946,0.21682221
-5.25562781,0.48685287,0.13910946,0.07347802,0.00009533,0.03940229,0.09343108,0.05322626,0.00819455,0.21518839
-5.24962481,0.48081743,0.13640614,0.07258440,0.00007263,0.03870355,0.09210441,0.05267701,0.00813190,0.21255478
-5.24362181,0.47246489,0.13332195,0.07136429,0.00005494,0.03787550,0.09045160,0.05185345,0.00801275,0.20889993
-5.23761881,0.46184759,0.12982925,0.06982634,0.00004126,0.03691317,0.08847635,0.05076691,0.00783959,0.20424960
-5.23161581,0.44911688,0.12593631,0.06799470,0.00003077,0.03582122,0.08620485,0.04943906,0.00761611,0.19867350
-5.22561281,0.43451352,0.12168376,0.06590761,0.00002279,0.03461299,0.08368370,0.04790108,0.00734706,0.19228119
-5.21960980,0.41835617,0.11714058,0.06361552,0.00001676,0.03330938,0.08097744,0.04619249,0.00703809,0.18521705
-5.21360680,0.40102847,0.11239972,0.06117909,0.00001225,0.03193769,0.07816579,0.04435989,0.00669561,0.17765467
-5.20760380,0.38296521,0.10757344,0.05866696,0.00000890,0.03053036,0.07534067,0.04245561,0.00632658,0.16979083
-5.20160080,0.36463801,0.10278860,0.05615344,0.00000643,0.02912370,0.07260307,0.04053628,0.00593834,0.16183919
-5.19559780,0.34654088,0.09818202,0.05371616,0.00000464,0.02775663,0.07005989,0.03866138,0.00553840,0.15402400
-5.18959480,0.32917627,0.09389581,0.05143377,0.00000335,0.02646941,0.06782065,0.03689185,0.00513431,0.14657401
-5.18359180,0.31304176,0.09007310,0.04938363,0.00000244,0.02530253,0.06599436,0.03528883,0.00473347,0.13971654
-5.17758879,0.29861778,0.08685387,0.04763972,0.00000181,0.02429555,0.06468645,0.03391235,0.00434305,0.13367210
-5.17158579,0.28635654,0.08437121,0.04627062,0.00000140,0.02348620,0.06399576,0.03282034,0.00396986,0.12864947
-5.16558279,0.27667228,0.08274793,0.04533774,0.00000116,0.02290940,0.06401176,0.03206765,0.00362033,0.12484133
-5.15957979,0.26993304,0.08209348,0.04489364,0.00000106,0.02259656,0.06481195,0.03170522,0.00330044,0.12242054
-5.15357679,0.26645375,0.08250133,0.04498073,0.00000107,0.02257489,0.06645947,0.03177946,0.00301575,0.12153697
-5.14757379,0.26649085,0.08404672,0.04563003,0.00000118,0.02286686,0.06900093,0.03233168,0.00277140,0.12231496
-5.14157079,0.27023824,0.08678483,0.04686028,0.00000141,0.02348973,0.07246459,0.03339766,0.00257217,0.12485136
-5.13556778,0.27782455,0.09074936,0.04867730,0.00000175,0.02445528,0.07685885,0.03500735,0.00242253,0.12921412
-5.12956478,0.28931167,0.09595155,0.05107352,0.00000224,0.02576952,0.08217109,0.03718457,0.00232667,0.13544136
-5.12356178,0.30469438,0.10237962,0.05402790,0.00000291,0.02743261,0.08836696,0.03994681,0.00228857,0.14354100
-5.11755878,0.32390121,0.10999875,0.05750611,0.00000381,0.02943886,0.09539016,0.04330510,0.00231203,0.15349081
-5.11155578,0.34679627,0.11875148,0.06146094,0.00000500,0.03177679,0.10316276,0.04726386,0.00240065,0.16523895
-5.10555278,0.37318217,0.12855869,0.06583313,0.00000658,0.03442936,0.11158610,0.05182076,0.00255788,0.17870497
-5.09954977,0.40280385,0.13932107,0.07055247,0.00000868,0.03737428,0.12054227,0.05696664,0.00278691,0.19378123
-5.09354677,0.43535347,0.15092110,0.07553917,0.00001145,0.04058444,0.12989632,0.06268537,0.00309063,0.21033471
-5.08754377,0.47047608,0.16322558,0.08070563,0.00001512,0.04402843,0.13949895,0.06895378,0.00347150,0.22820935
-5.08154077,0.50777610,0.17608854,0.08595839,0.00001996,0.04767115,0.14918993,0.07574156,0.00393139,0.24722860
-5.07553777,0.54682459,0.18935458,0.09120033,0.00002636,0.05147451,0.15880193,0.08301120,0.00447144,0.26719840
-5.06953477,0.58716692,0.20286244,0.09633314,0.00003478,0.05539817,0.16816481,0.09071800,0.00509185,0.28791046
-5.06353177,0.62833101,0.21644877,0.10125977,0.00004584,0.05940034,0.17711020,0.09881006,0.00579170,0.30914564
-5.05752876,0.66983573,0.22995191,0.10588705,0.00006033,0.06343855,0.18547622,0.10722847,0.00656873,0.33067758
-5.05152576,0.71119935,0.24321545,0.11012815,0.00007922,0.06747042,0.19311214,0.11590753,0.00741918,0.35227636
-5.04552276,0.75194790,0.25609166,0.11390507,0.00010378,0.07145442,0.19988291,0.12477517,0.00833765,0.37371208
-5.03951976,0.79162326,0.26844434,0.11715078,0.00013553,0.07535048,0.20567316,0.13375353,0.00931698,0.39475849
-5.03351676,0.82979077,0.28015123,0.11981115,0.00017637,0.07912060,0.21039081,0.14275979,0.01034824,0.41519634
-5.02751376,0.86604641,0.29110577,0.12184656,0.00022863,0.08272927,0.21396986,0.15170719,0.01142074,0.43481667
-5.02151076,0.90002335,0.30121816,0.12323304,0.00029512,0.08614384,0.21637242,0.16050640,0.01252213,0.45342389
-5.01550775,0.93139785,0.31041573,0.12396306,0.00037918,0.08933478,0.21758986,0.16906713,0.01363863,0.47083860
-5.00950475,0.95989468,0.31864274,0.12404583,0.00048479,0.09227583,0.21764303,0.17730004,0.01475527,0.48690031
-5.00350175,0.98529189,0.32585954,0.12350713,0.00061662,0.09494406,0.21658159,0.18511894,0.01585627,0.50147001
-4.99749875,1.00742506,0.33204137,0.12238881,0.00078006,0.09731992,0.21448245,0.19244318,0.01692548,0.51443257
-4.99149575,1.02619116,0.33717686,0.12074781,0.00098132,0.09938726,0.21144755,0.19920028,0.01794685,0.52569907
-4.98549275,1.04155188,0.34126638,0.11865487,0.00122738,0.10113333,0.20760089,0.20532862,0.01890497,0.53520906
-4.97948974,1.05353645,0.34432056,0.11619303,0.00152609,0.10254884,0.20308518,0.21078012,0.01978562,0.54293266
-4.97348674,1.06224398,0.34635889,0.11345577,0.00188609,0.10362804,0.19805812,0.21552280,0.02057630,0.54887257
-4.96748374,1.06784505,0.34740878,0.11054510,0.00231674,0.10436894,0.19268856,0.21954311,0.02126676,0.55306575
-4.96148074,1.07058242,0.34750495,0.10756950,0.00282810,0.10477352,0.18715257,0.22284780,0.02184941,0.55558488
-4.95547774,1.07077060,0.34668942,0.10464175,0.00343072,0.10484801,0.18162971,0.22546532,0.02231970,0.55653924
-4.94947474,1.06879405,0.34501177,0.10187683,0.00413548,0.10460326,0.17629947,0.22744645,0.02267639,0.55607494
-4.94347174,1.06510359,0.34252998,0.09938973,0.00495338,0.10405506,0.17133803,0.22886422,0.02292166,0.55437442
-4.93746873,1.06021099,0.33931141,0.09729336,0.00589522,0.10322443,0.16691536,0.22981288,0.02306110,0.55165481
-4.93146573,1.05468120,0.33543392,0.09569642,0.00697128,0.10213788,0.16319263,0.23040602,0.02310359,0.54816533
-4.92546273,1.04912236,0.33098699,0.09470140,0.00819098,0.10082748,0.16032005,0.23077367,0.02306100,0.54418332
-4.91945973,1.04417343,0.32607246,0.09440257,0.00956244,0.09933080,0.15843491,0.23105856,0.02294779,0.54000899
-4.91345673,1.04048944,0.32080491,0.09488410,0.01109211,0.09769064,0.15765993,0.23141154,0.02278048,0.53595903
-4.90745373,1.03872490,0.31531142,0.09621825,0.01278430,0.09595450,0.15810188,0.23198638,0.02257702,0.53235881
-4.90145073,1.03951538,0.30973054,0.09846358,0.01464083,0.09417380,0.15985025,0.23293400,0.02235616,0.52953378
-4.89544772,1.04345815,0.30421045,0.10166350,0.01666060,0.09240289,0.16297613,0.23439657,0.02213667,0.52779992
-4.88944472,1.05109231,0.29890636,0.10584477,0.01883932,0.09069779,0.16753117,0.23650148,0.02193670,0.52745389
-4.88344172,1.06287932,0.29397695,0.11101641,0.02116924,0.08911469,0.17354662,0.23935565,0.02177304,0.52876294
-4.87743872,1.07918467,0.28958029,0.11716875,0.02363898,0.08770842,0.18103248,0.24304034,0.02166054,0.53195526
-4.87143572,1.10026152,0.28586906,0.12427295,0.02623351,0.08653065,0.18997682,0.24760674,0.02161156,0.53721099
-4.86543272,1.12623723,0.28298554,0.13228072,0.02893422,0.08562825,0.20034520,0.25307259,0.02163553,0.54465444
-4.85942971,1.15710327,0.28105638,0.14112467,0.03171908,0.08504155,0.21208037,0.25942001,0.02173867,0.55434776
-4.85342671,1.19270929,0.28018766,0.15071889,0.03456300,0.08480282,0.22510224,0.26659464,0.02192386,0.56628652
-4.84742371,1.23276160,0.28046014,0.16096016,0.03743825,0.08493487,0.23930811,0.27450621,0.02219054,0.58039738
-4.84142071,1.27682637,0.28192532,0.17172958,0.04031504,0.08545005,0.25457337,0.28303054,0.02253487,0.59653788
-4.83541771,1.32433743,0.28460222,0.18289454,0.04316212,0.08634937,0.27075250,0.29201287,0.02294996,0.61449868
-4.82941471,1.37460848,0.28847520,0.19431122,0.04594753,0.08762214,0.28768055,0.30127244,0.02342619,0.63400789
-4.82341171,1.42684927,0.29349289,0.20582731,0.04863932,0.08924594,0.30517492,0.31060810,0.02395163,0.65473747
-4.81740870,1.48018509,0.29956835,0.21728505,0.05120633,0.09118692,0.32303767,0.31980470,0.02451253,0.67631152
-4.81140570,1.53367884,0.30658032,0.22852433,0.05361892,0.09340061,0.34105807,0.32864005,0.02509383,0.69831595
-4.80540270,1.58635473,0.31437578,0.23938591,0.05584963,0.09583289,0.35901548,0.33689203,0.02567971,0.72030932
-4.79939970,1.63722288,0.32277342,0.24971458,0.05787379,0.09842151,0.37668251,0.34434568,0.02625409,0.74183431
-4.79339670,1.68530364,0.33156816,0.25936214,0.05966999,0.10109763,0.39382835,0.35079988,0.02680114,0.76242949
-4.78739370,1.72965108,0.34053636,0.26819014,0.06122048,0.10378779,0.41022224,0.35607338,0.02730567,0.78164090
-4.78139070,1.76937465,0.34944164,0.27607234,0.06251133,0.10641584,0.42563698,0.36000995,0.02775356,0.79903311
-4.77538769,1.80365856,0.35804110,0.28289675,0.06353259,0.10890502,0.43985251,0.36248250,0.02813206,0.81419945
-4.76938469,1.83177834,0.36609166,0.28856733,0.06427818,0.11118008,0.45265945,0.36339598,0.02842997,0.82677106
-4.76338169,1.85311432,0.37335643,0.29300522,0.06474579,0.11316922,0.46386250,0.36268913,0.02863787,0.83642461
-4.75737869,1.86716181,0.37961079,0.29614957,0.06493660,0.11480603,0.47328385,0.36033495,0.02874817,0.84288866
-4.75137569,1.87353816,0.38464817,0.29795798,0.06485493,0.11603118,0.48076628,0.35633998,0.02875517,0.84594836
-4.74537269,1.87198662,0.38828518,0.29840658,0.06450788,0.11679388,0.48617613,0.35074263,0.02865504,0.84544872
-4.73936968,1.86237739,0.39036612,0.29748980,0.06390492,0.11705311,0.48940605,0.34361055,0.02844575,0.84129637
-4.73336668,1.84470606,0.39076671,0.29521986,0.06305750,0.11677856,0.49037730,0.33503731,0.02812702,0.83345992
-4.72736368,1.81908980,0.38939685,0.29162600,0.06197869,0.11595121,0.48904179,0.32513857,0.02770020,0.82196902
-4.72136068,1.78576160,0.38620259,0.28675361,0.06068283,0.11456366,0.48538358,0.31404790,0.02716815,0.80691224
-4.71535768,1.74506286,0.38116701,0.28066310,0.05918528,0.11262009,0.47941990,0.30191254,0.02653515,0.78843393
-4.70935468,1.69743461,0.37431022,0.27342872,0.05750219,0.11013593,0.47120155,0.28888920,0.02580676,0.76673013
-4.70335168,1.64340763,0.36568838,0.26513724,0.05565040,0.10713727,0.46081263,0.27513997,0.02498967,0.74204370
-4.69734867,1.58359156,0.35539181,0.25588649,0.05364726,0.10365995,0.44836959,0.26082866,0.02409164,0.71465879
-4.69134567,1.51866327,0.34354233,0.24578388,0.05151063,0.09974851,0.43401952,0.24611748,0.02312132,0.68489475
-4.68534267,1.44935462,0.33028981,0.23494475,0.04925883,0.09545486,0.41793777,0.23116420,0.02208815,0.65309966
-4.67933967,1.37643973,0.31580817,0.22349068,0.04691060,0.09083689,0.40032476,0.21611975,0.02100218,0.61964350
-4.67333667,1.30072193,0.30029092,0.21154772,0.04448504,0.08595692,0.38140230,0.20112638,0.01987397,0.58491122
-4.66733367,1.22302068,0.28394632,0.19924452,0.04200162,0.08088023,0.36140930,0.18631623,0.01871442,0.54929580
-4.66133067,1.14415848,0.26699252,0.18671046,0.03948003,0.07567343,0.34059711,0.17181037,0.01753457,0.51319146
-4.65532766,1.06494833,0.24965255,0.17407378,0.03694007,0.07040304,0.31922460,0.15771818,0.01634548,0.47698714
-4.64932466,0.98618168,0.23214970,0.16145974,0.03440149,0.06513414,0.29755329,0.14413724,0.01515800,0.44106057
-4.64332166,0.90861753,0.21470305,0.14898889,0.03188380,0.05992911,0.27584246,0.13115332,0.01398263,0.40577284
