energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
0.31515758,1.22349753,-1.22350287,0.21761818,-0.21761820,0.06591451,-0.06591475,0.00916337,-0.00916336,0.20453139,-0.20453049,0.21028820,-0.21028934,0.33109333,-0.33109605,0.03722733,-0.03722721,0.43453509,-0.43453823
0.32116058,1.23215585,-1.23216099,0.22328613,-0.22328618,0.06696243,-0.06696266,0.00944618,-0.00944617,0.21314557,-0.21314479,0.21027212,-0.21027313,0.32795101,-0.32795372,0.03871403,-0.03871393,0.43306516,-0.43306792
0.32716358,1.24089121,-1.24089596,0.22867881,-0.22867886,0.06807829,-0.06807850,0.00968094,-0.00968094,0.22107073,-0.22107006,0.21070688,-0.21070771,0.32460374,-0.32460636,0.04005097,-0.04005090,0.43316090,-0.43316316
0.33316658,1.25003015,-1.25003434,0.23377533,-0.23377538,0.06927204,-0.06927222,0.00986456,-0.00986457,0.22822240,-0.22822185,0.21170178,-0.21170239,0.32119478,-0.32119726,0.04122357,-0.04122352,0.43510091,-0.43510256
0.33916958,1.25988472,-1.25988818,0.23856297,-0.23856300,0.07054999,-0.07055013,0.00999485,-0.00999487,0.23452772,-0.23452730,0.21335426,-0.21335460,0.31786931,-0.31787160,0.04222013,-0.04222010,0.43912678,-0.43912773
0.34517259,1.27073952,-1.27074208,0.24303697,-0.24303698,0.07191419,-0.07191428,0.01007056,-0.01007059,0.23992709,-0.23992679,0.21574597,-0.21574602,0.31476968,-0.31477172,0.04303208,-0.04303208,0.44543396,-0.44543413
0.35117559,1.28283973,-1.28284126,0.24720038,-0.24720035,0.07336212,-0.07336216,0.01009140,-0.01009144,0.24437552,-0.24437534,0.21893919,-0.21893891,0.31203072,-0.31203247,0.04365416,-0.04365419,0.45416380,-0.45416311
0.35717859,1.29638055,-1.29638095,0.25106368,-0.25106359,0.07488646,-0.07488644,0.01005799,-0.01005803,0.24784392,-0.24784385,0.22297373,-0.22297310,0.30977530,-0.30977671,0.04408450,-0.04408454,0.46539708,-0.46539550
0.36318159,1.31149842,-1.31149760,0.25464449,-0.25464433,0.07647513,-0.07647505,0.00997183,-0.00997188,0.25032003,-0.25032006,0.22786446,-0.22786349,0.30811015,-0.30811120,0.04432461,-0.04432468,0.47914930,-0.47914681
0.36918459,1.32826430,-1.32826222,0.25796715,-0.25796691,0.07811148,-0.07811133,0.00983523,-0.00983529,0.25180917,-0.25180930,0.23359955,-0.23359822,0.30712225,-0.30712293,0.04437941,-0.04437949,0.49536784,-0.49536443
0.37518759,1.34667942,-1.34667606,0.26106240,-0.26106206,0.07977465,-0.07977444,0.00965124,-0.00965131,0.25233480,-0.25233500,0.24013941,-0.24013774,0.30687579,-0.30687608,0.04425706,-0.04425715,0.51393102,-0.51392673
0.38119060,1.36667351,-1.36666890,0.26396692,-0.26396648,0.08144020,-0.08143993,0.00942351,-0.00942358,0.25193867,-0.25193894,0.24741658,-0.24741458,0.30740985,-0.30740975,0.04396881,-0.04396891,0.53464930,-0.53464418
0.38719360,1.38810576,-1.38809995,0.26672303,-0.26672248,0.08308074,-0.08308042,0.00915622,-0.00915629,0.25068082,-0.25068114,0.25533639,-0.25533409,0.30873691,-0.30873643,0.04352878,-0.04352889,0.55726852,-0.55726265
0.39319660,1.41076838,-1.41076148,0.26937823,-0.26937755,0.08466686,-0.08466649,0.00885394,-0.00885402,0.24863913,-0.24863947,0.26377863,-0.26377609,0.31084228,-0.31084144,0.04295368,-0.04295378,0.58147507,-0.58146855
0.39919960,1.43439277,-1.43438490,0.27198473,-0.27198393,0.08616797,-0.08616756,0.00852155,-0.00852162,0.24590854,-0.24590890,0.27260005,-0.27259730,0.31368439,-0.31368322,0.04226246,-0.04226256,0.60690302,-0.60689597
0.40520260,1.45865800,-1.45864931,0.27459898,-0.27459804,0.08755334,-0.08755290,0.00816409,-0.00816417,0.24259989,-0.24260024,0.28163766,-0.28163476,0.31719612,-0.31719467,0.04147599,-0.04147608,0.63314299,-0.63313554
