energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-5.83191596,3.11207006,0.84314110,0.47857033,0.01166871,0.14203871,0.96705286,1.63730622,1.19488028,0.00000000
-5.82591296,3.01633907,0.82927490,0.46212577,0.01101783,0.13927020,0.94931983,1.57859209,1.15813676,0.00000000
-5.81990995,2.92188285,0.81641729,0.44619692,0.01036064,0.13668373,0.93336400,1.51928563,1.12257801,0.00000000
-5.81390695,2.82994370,0.80469545,0.43096392,0.00970681,0.13430022,0.91935451,1.46024071,1.08860215,0.00000000
-5.80790395,2.74163272,0.79419615,0.41657513,0.00906519,0.13213260,0.90739466,1.40227011,1.05654469,0.00000000
-5.80190095,2.65790115,0.78496266,0.40314410,0.00844351,0.13018545,0.89751855,1.34612434,1.02667016,0.00000000
-5.79589795,2.57951699,0.77699262,0.39074784,0.00784832,0.12845489,0.88968956,1.29247293,0.99916588,0.00000000
-5.78989495,2.50704785,0.77023706,0.37942623,0.00728478,0.12692865,0.88380082,1.24188877,0.97413798,0.00000000
-5.78389195,2.44085056,0.76460075,0.36918265,0.00675670,0.12558648,0.87967781,1.19483608,0.95160989,0.00000000
-5.77788894,2.38106777,0.75994388,0.35998567,0.00626649,0.12440075,0.87708293,1.15166232,0.93152332,0.00000000
-5.77188594,2.32763177,0.75608524,0.35177181,0.00581529,0.12333731,0.87572210,1.11259418,0.91374186,0.00000000
-5.76588294,2.28027511,0.75280668,0.34444913,0.00540299,0.12235658,0.87525312,1.07773764,0.89805691,0.00000000
-5.75987994,2.23854754,0.74985898,0.33790160,0.00502849,0.12141480,0.87529567,1.04708197,0.88419584,0.00000000
-5.75387694,2.20183853,0.74696890,0.33199400,0.00468975,0.12046548,0.87544260,1.02050723,0.87183219,0.00000000
-5.74787394,2.16940444,0.74384712,0.32657728,0.00438408,0.11946089,0.87527212,0.99779485,0.86059737,0.00000000
-5.74187094,2.14039910,0.74019706,0.32149407,0.00410829,0.11835368,0.87436055,0.97864065,0.85009373,0.00000000
-5.73586793,2.11390664,0.73572401,0.31658424,0.00385887,0.11709837,0.87229520,0.96266976,0.83990829,0.00000000
-5.72986493,2.08897531,0.73014447,0.31169035,0.00363220,0.11565292,0.86868685,0.94945268,0.82962679,0.00000000
-5.72386193,2.06465092,0.72319525,0.30666273,0.00342469,0.11398010,0.86318158,0.93852176,0.81884764,0.00000000
-5.71785893,2.04000877,0.71464201,0.30136417,0.00323293,0.11204863,0.85547125,0.92938761,0.80719507,0.00000000
-5.71185593,2.01418300,0.70428692,0.29567401,0.00305378,0.10983426,0.84530261,0.92155477,0.79433132,0.00000000
-5.70585293,1.98639227,0.69197517,0.28949146,0.00288448,0.10732046,0.83248449,0.91453607,0.77996712,0.00000000
-5.69984992,1.95596122,0.67760002,0.28273829,0.00272271,0.10449888,0.81689284,0.90786555,0.76387048,0.00000000
-5.69384692,1.92233706,0.66110632,0.27536051,0.00256657,0.10136957,0.79847373,0.90110933,0.74587319,0.00000000
-5.68784392,1.88510094,0.64249223,0.26732937,0.00241464,0.09794083,0.77724388,0.89387460,0.72587504,0.00000000
-5.68184092,1.84397422,0.62180919,0.25864138,0.00226591,0.09422887,0.75328906,0.88581639,0.70384562,0.00000000
-5.67583792,1.79881952,0.59916014,0.24931752,0.00211981,0.09025717,0.72676031,0.87664232,0.67982364,0.00000000
-5.66983492,1.74963708,0.57469606,0.23940178,0.00197608,0.08605566,0.69786826,0.86611545,0.65391390,0.00000000
-5.66383192,1.69655676,0.54861107,0.22895886,0.00183480,0.08165965,0.66687573,0.85405520,0.62628217,0.00000000
-5.65782891,1.63982645,0.52113621,0.21807140,0.00169624,0.07710873,0.63408904,0.84033690,0.59714806,0.00000000
-5.65182591,1.57979741,0.49253218,0.20683670,0.00156089,0.07244552,0.59984834,0.82488983,0.56677637,0.00000000
-5.64582291,1.51690747,0.46308153,0.19536309,0.00142930,0.06771441,0.56451725,0.80769424,0.53546728,0.00000000
-5.63981991,1.45166275,0.43308027,0.18376613,0.00130212,0.06296027,0.52847242,0.78877751,0.50354564,0.00000000
-5.63381691,1.38461865,0.40282952,0.17216473,0.00117998,0.05822731,0.49209315,0.76820956,0.47135002,0.00000000
-5.62781391,1.31636088,0.37262745,0.16067731,0.00106348,0.05355794,0.45575155,0.74609787,0.43922171,0.00000000
-5.62181091,1.24748712,0.34276162,0.14941823,0.00095316,0.04899182,0.41980359,0.72258209,0.40749430,0.00000000
-5.61580790,1.17858972,0.31350218,0.13849448,0.00084946,0.04456501,0.38458112,0.69782847,0.37648393,0.00000000
-5.60980490,1.11024019,0.28509603,0.12800279,0.00075270,0.04030935,0.35038524,0.67202417,0.34648084,0.00000000
-5.60380190,1.04297553,0.25776209,0.11802725,0.00066312,0.03625195,0.31748108,0.64537164,0.31774215,0.00000000
-5.59779890,0.97728676,0.23168772,0.10863746,0.00058079,0.03241495,0.28609404,0.61808300,0.29048631,0.00000000
-5.59179590,0.91360989,0.20702650,0.09988728,0.00050571,0.02881535,0.25640755,0.59037465,0.26488918,0.00000000
-5.58579290,0.85231927,0.18389713,0.09181415,0.00043776,0.02546506,0.22856222,0.56246217,0.24108178,0.00000000
-5.57978989,0.79372339,0.16238352,0.08443902,0.00037672,0.02237112,0.20265643,0.53455559,0.21914975,0.00000000
-5.57378689,0.73806307,0.14253592,0.07776684,0.00032230,0.01953597,0.17874802,0.50685514,0.19913441,0.00000000
-5.56778389,0.68551196,0.12437302,0.07178754,0.00027416,0.01695788,0.15685708,0.47954768,0.18103519,0.00000000
-5.56178089,0.63617903,0.10788467,0.06647745,0.00023189,0.01463144,0.13696949,0.45280378,0.16481333,0.00000000
-5.55577789,0.59011311,0.09303530,0.06180115,0.00019506,0.01254810,0.11904122,0.42677573,0.15039658,0.00000000
-5.54977489,0.54730900,0.07976764,0.05771352,0.00016325,0.01069672,0.10300285,0.40159638,0.13768470,0.00000000
-5.54377189,0.50771508,0.06800670,0.05416210,0.00013600,0.00906418,0.08876451,0.37737905,0.12655539,0.00000000
-5.53776888,0.47124203,0.05766380,0.05108943,0.00011289,0.00763592,0.07622073,0.35421842,0.11687063,0.00000000
-5.53176588,0.43777246,0.04864050,0.04843552,0.00009352,0.00639649,0.06525520,0.33219241,0.10848291,0.00000000
-5.52576288,0.40717105,0.04083233,0.04614024,0.00007751,0.00533004,0.05574527,0.31136501,0.10124134,0.00000000
-5.51975988,0.37929499,0.03413217,0.04414551,0.00006453,0.00442073,0.04756609,0.29178996,0.09499738,0.00000000
-5.51375688,0.35400436,0.02843337,0.04239739,0.00005429,0.00365319,0.04059430,0.27351510,0.08961002,0.00000000
-5.50775388,0.33117216,0.02363228,0.04084785,0.00004656,0.00301280,0.03471117,0.25658723,0.08495029,0.00000000
-5.50175088,0.31069366,0.01963052,0.03945623,0.00004117,0.00248593,0.02980531,0.24105723,0.08090497,0.00000000
-5.49574787,0.29249488,0.01633661,0.03819044,0.00003801,0.00206023,0.02577475,0.22698526,0.07737960,0.00000000
-5.48974487,0.27653979,0.01366733,0.03702776,0.00003703,0.00172470,0.02252852,0.21444567,0.07430045,0.00000000
-5.48374187,0.26283616,0.01154860,0.03595529,0.00003824,0.00146982,0.01998774,0.20353149,0.07161582,0.00000000
-5.47773887,0.25143970,0.00991598,0.03497010,0.00004174,0.00128761,0.01808625,0.19435813,0.06929637,0.00000000
-5.47173587,0.24245642,0.00871484,0.03407897,0.00004769,0.00117163,0.01677071,0.18706608,0.06733475,0.00000000
-5.46573287,0.23604295,0.00790027,0.03329791,0.00005631,0.00111694,0.01600045,0.18182237,0.06574442,0.00000000
-5.45972986,0.23240477,0.00743673,0.03265131,0.00006792,0.00112003,0.01574682,0.17882069,0.06455788,0.00000000
-5.45372686,0.23179231,0.00729744,0.03217086,0.00008287,0.00117875,0.01599228,0.17827978,0.06382430,0.00000000
-5.44772386,0.23449471,0.00746366,0.03189426,0.00010161,0.00129213,0.01672922,0.18044024,0.06360654,0.00000000
-5.44172086,0.24083148,0.00792373,0.03186372,0.00012464,0.00146029,0.01795844,0.18555949,0.06397789,0.00000000
-5.43571786,0.25114193,0.00867211,0.03212432,0.00015249,0.00168422,0.01968751,0.19390501,0.06501842,0.00000000
-5.42971486,0.26577261,0.00970818,0.03272219,0.00018575,0.00196557,0.02192887,0.20574576,0.06681100,0.00000000
-5.42371186,0.28506300,0.01103502,0.03370268,0.00022503,0.00230646,0.02469774,0.22134216,0.06943729,0.00000000
-5.41770885,0.30932954,0.01265815,0.03510848,0.00027095,0.00270921,0.02801001,0.24093449,0.07297357,0.00000000
-5.41170585,0.33884867,0.01458415,0.03697762,0.00032409,0.00317611,0.03187999,0.26473043,0.07748664,0.00000000
-5.40570285,0.37383916,0.01681932,0.03934168,0.00038503,0.00370911,0.03631814,0.29289170,0.08302989,0.00000000
-5.39969985,0.41444435,0.01936833,0.04222393,0.00045424,0.00430959,0.04132888,0.32552062,0.08963952,0.00000000
-5.39369685,0.46071505,0.02223285,0.04563771,0.00053212,0.00497807,0.04690850,0.36264692,0.09733128,0.00000000
-5.38769385,0.51259367,0.02541037,0.04958493,0.00061893,0.00571394,0.05304328,0.40421549,0.10609758,0.00000000
-5.38169085,0.56990063,0.02889299,0.05405487,0.00071478,0.00651526,0.05970792,0.45007570,0.11590527,0.00000000
-5.37568784,0.63232355,0.03266652,0.05902326,0.00081956,0.00737853,0.06686426,0.49997300,0.12669420,0.00000000
-5.36968484,0.69941031,0.03670964,0.06445173,0.00093298,0.00829854,0.07446051,0.55354340,0.13837656,0.00000000
-5.36368184,0.77056645,0.04099340,0.07028765,0.00105449,0.00926825,0.08243103,0.61031137,0.15083717,0.00000000
-5.35767884,0.84505764,0.04548100,0.07646449,0.00118327,0.01027877,0.09069658,0.66969177,0.16393486,0.00000000
-5.35167584,0.92201758,0.05012784,0.08290260,0.00131825,0.01131940,0.09916527,0.73099606,0.17750476,0.00000000
-5.34567284,1.00046155,0.05488197,0.08951050,0.00145809,0.01237771,0.10773410,0.79344297,0.19136168,0.00000000
-5.33966983,1.07930551,0.05968483,0.09618671,0.00160118,0.01343974,0.11629108,0.85617356,0.20530447,0.00000000
-5.33366683,1.15739045,0.06447241,0.10282200,0.00174570,0.01449030,0.12471789,0.91827045,0.21912113,0.00000000
-5.32766383,1.23351123,0.06917664,0.10930205,0.00188961,0.01551326,0.13289303,0.97878067,0.23259473,0.00000000
-5.32166083,1.30644909,0.07372711,0.11551043,0.00203069,0.01649199,0.14069526,1.03674135,0.24550966,0.00000000
-5.31565783,1.37500654,0.07805298,0.12133186,0.00216664,0.01740980,0.14800727,1.09120727,0.25765824,0.00000000
-5.30965483,1.43804324,0.08208503,0.12665552,0.00229510,0.01825043,0.15471940,1.14127928,0.26884716,0.00000000
-5.30365183,1.49451133,0.08575776,0.13137839,0.00241371,0.01899855,0.16073312,1.18613218,0.27890361,0.00000000
-5.29764882,1.54348853,0.08901147,0.13540839,0.00252024,0.01964022,0.16596436,1.22504083,0.28768082,0.00000000
-5.29164582,1.58420751,0.09179411,0.13866725,0.00261258,0.02016341,0.17034618,1.25740330,0.29506254,0.00000000
-5.28564282,1.61608003,0.09406305,0.14109293,0.00268885,0.02055831,0.17383092,1.28275980,0.30096650,0.00000000
-5.27963982,1.63871457,0.09578636,0.14264154,0.00274749,0.02081775,0.17639156,1.30080650,0.30534647,0.00000000
-5.27363682,1.65192662,0.09694383,0.14328856,0.00278725,0.02093740,0.17802225,1.31140345,0.30819281,0.00000000
-5.26763382,1.65574105,0.09752750,0.14302946,0.00280728,0.02091590,0.17873802,1.31457616,0.30953163,0.00000000
-5.26163082,1.65038632,0.09754168,0.14187952,0.00280716,0.02075491,0.17857349,1.31051086,0.30942234,0.00000000
-5.25562781,1.63628094,0.09700260,0.13987297,0.00278689,0.02045905,0.17758101,1.29954346,0.30795401,0.00000000
-5.24962481,1.61401285,0.09593752,0.13706148,0.00274690,0.02003568,0.17582786,1.28214301,0.30524041,0.00000000
-5.24362181,1.58431277,0.09438350,0.13351205,0.00268805,0.01949463,0.17339310,1.25889039,0.30141432,0.00000000
-5.23761881,1.54802297,0.09238575,0.12930438,0.00261157,0.01884788,0.17036394,1.23045337,0.29662114,0.00000000
-5.23161581,1.50606301,0.08999587,0.12452798,0.00251906,0.01810908,0.16683192,1.19755940,0.29101232,0.00000000
-5.22561281,1.45939429,0.08726977,0.11927892,0.00241237,0.01729310,0.16288920,1.16096744,0.28473889,0.00000000
-5.21960980,1.40898516,0.08426567,0.11365669,0.00229362,0.01641556,0.15862492,1.12144033,0.27794539,0.00000000
-5.21360680,1.35577813,0.08104205,0.10776095,0.00216506,0.01549229,0.15412210,1.07971892,0.27076460,0.00000000
-5.20760380,1.30066089,0.07765585,0.10168867,0.00202903,0.01453892,0.14945498,1.03649923,0.26331324,0.00000000
-5.20160080,1.24444214,0.07416075,0.09553148,0.00188789,0.01357041,0.14468703,0.99241356,0.25568882,0.00000000
-5.19559780,1.18783324,0.07060587,0.08937350,0.00174396,0.01260071,0.13986975,0.94801618,0.24796784,0.00000000
-5.18959480,1.13143611,0.06703474,0.08328960,0.00159944,0.01164242,0.13504208,0.90377407,0.24020524,0.00000000
-5.18359180,1.07573745,0.06348459,0.07734426,0.00145637,0.01070661,0.13023070,0.86006272,0.23243515,0.00000000
-5.17758879,1.02110916,0.05998610,0.07159090,0.00131657,0.00980263,0.12545087,0.81716679,0.22467273,0.00000000
-5.17158579,0.96781414,0.05656337,0.06607168,0.00118164,0.00893807,0.12070787,0.77528509,0.21691702,0.00000000
-5.16558279,0.91601685,0.05323425,0.06081787,0.00105293,0.00811874,0.11599889,0.73453925,0.20915443,0.00000000
-5.15957979,0.86579733,0.05001095,0.05585047,0.00093150,0.00734876,0.11131515,0.69498520,0.20136273,0.00000000
-5.15357679,0.81716770,0.04690073,0.05118122,0.00081816,0.00663065,0.10664427,0.65662645,0.19351519,0.00000000
-5.14757379,0.77008976,0.04390686,0.04681387,0.00071345,0.00596555,0.10197246,0.61942822,0.18558462,0.00000000
-5.14157079,0.72449263,0.04102947,0.04274545,0.00061768,0.00535335,0.09728672,0.58333159,0.17754709,0.00000000
-5.13556778,0.68028934,0.03826654,0.03896773,0.00053092,0.00479292,0.09257664,0.54826668,0.16938514,0.00000000
-5.12956478,0.63739155,0.03561476,0.03546859,0.00045307,0.00428234,0.08783593,0.51416426,0.16109020,0.00000000
-5.12356178,0.59572167,0.03307032,0.03223330,0.00038386,0.00381911,0.08306346,0.48096529,0.15266434,0.00000000
-5.11755878,0.55522209,0.03062949,0.02924571,0.00032289,0.00340031,0.07826391,0.44862801,0.14412112,0.00000000
-5.11155578,0.51586112,0.02828920,0.02648919,0.00026965,0.00302281,0.07344794,0.41713249,0.13548563,0.00000000
-5.10555278,0.47763606,0.02604731,0.02394748,0.00022357,0.00268345,0.06863198,0.38648267,0.12679382,0.00000000
-5.09954977,0.44057318,0.02390284,0.02160529,0.00018404,0.00237908,0.06383760,0.35670610,0.11809115,0.00000000
-5.09354677,0.40472548,0.02185603,0.01944873,0.00015041,0.00210679,0.05909071,0.32785171,0.10943074,0.00000000
-5.08754377,0.37016836,0.01990827,0.01746560,0.00012204,0.00186387,0.05442048,0.29998603,0.10087124,0.00000000
-5.08154077,0.33699407,0.01806202,0.01564556,0.00009831,0.00164797,0.04985819,0.27318837,0.09247446,0.00000000
-5.07553777,0.30530540,0.01632060,0.01398014,0.00007863,0.00145710,0.04543607,0.24754533,0.08430303,0.00000000
-5.06953477,0.27520916,0.01468804,0.01246276,0.00006243,0.00128968,0.04118626,0.22314523,0.07641821,0.00000000
-5.06353177,0.24681012,0.01316894,0.01108870,0.00004922,0.00114457,0.03713980,0.20007287,0.06887792,0.00000000
-5.05752876,0.22020568,0.01176829,0.00985504,0.00003852,0.00102113,0.03332597,0.17840482,0.06173519,0.00000000
-5.05152576,0.19548176,0.01049147,0.00876065,0.00002994,0.00091920,0.02977181,0.15820569,0.05503707,0.00000000
-5.04552276,0.17270994,0.00934426,0.00780624,0.00002310,0.00083920,0.02650184,0.13952537,0.04882394,0.00000000
-5.03951976,0.15194613,0.00833296,0.00699445,0.00001769,0.00078213,0.02353822,0.12239754,0.04312938,0.00000000
-5.03351676,0.13323069,0.00746456,0.00633005,0.00001345,0.00074966,0.02090100,0.10683917,0.03798044,0.00000000
-5.02751376,0.11658982,0.00674708,0.00582010,0.00001016,0.00074421,0.01860872,0.09285117,0.03339838,0.00000000
-5.02151076,0.10203826,0.00618987,0.00547433,0.00000762,0.00076899,0.01667914,0.08041997,0.02939973,0.00000000
-5.01550775,0.08958280,0.00580406,0.00530544,0.00000567,0.00082809,0.01513011,0.06951980,0.02599758,0.00000000
-5.00950475,0.07922648,0.00560297,0.00532945,0.00000420,0.00092662,0.01398060,0.06011553,0.02320308,0.00000000
-5.00350175,0.07097318,0.00560259,0.00556609,0.00000309,0.00107071,0.01325161,0.05216589,0.02102700,0.00000000
-4.99749875,0.06483210,0.00582198,0.00603910,0.00000226,0.00126763,0.01296715,0.04562670,0.01948122,0.00000000
-4.99149575,0.06082209,0.00628360,0.00677651,0.00000166,0.00152582,0.01315501,0.04045408,0.01858010,0.00000000
-4.98549275,0.05897523,0.00701360,0.00781076,0.00000122,0.00185489,0.01384739,0.03660735,0.01834168,0.00000000
-4.97948974,0.05933966,0.00804193,0.00917865,0.00000092,0.00226565,0.01508121,0.03405144,0.01878846,0.00000000
-4.97348674,0.06198113,0.00940226,0.01092119,0.00000072,0.00276997,0.01689820,0.03275879,0.01994791,0.00000000
-4.96748374,0.06698342,0.01113173,0.01308312,0.00000060,0.00338070,0.01934445,0.03271049,0.02185242,0.00000000
-4.96148074,0.07444708,0.01327041,0.01571218,0.00000056,0.00411143,0.02246977,0.03389671,0.02453888,0.00000000
-4.95547774,0.08448674,0.01586055,0.01885813,0.00000059,0.00497623,0.02632639,0.03631635,0.02804765,0.00000000
-4.94947474,0.09722676,0.01894552,0.02257143,0.00000069,0.00598931,0.03096741,0.03997588,0.03242108,0.00000000
-4.94347174,0.11279535,0.02256840,0.02690157,0.00000088,0.00716453,0.03644467,0.04488745,0.03770147,0.00000000
-4.93746873,0.13131721,0.02677042,0.03189522,0.00000116,0.00851494,0.04280634,0.05106636,0.04392866,0.00000000
-4.93146573,0.15290497,0.03158902,0.03759399,0.00000158,0.01005217,0.05009411,0.05852786,0.05113718,0.00000000
-4.92546273,0.17764964,0.03705580,0.04403207,0.00000215,0.01178582,0.05834019,0.06728365,0.05935312,0.00000000
-4.91945973,0.20561056,0.04319428,0.05123376,0.00000293,0.01372278,0.06756415,0.07733802,0.06859090,0.00000000
-4.91345673,0.23680507,0.05001756,0.05921090,0.00000398,0.01586657,0.07776986,0.08868396,0.07884995,0.00000000
-4.90745373,0.27119875,0.05752614,0.06796046,0.00000538,0.01821670,0.08894252,0.10129937,0.09011169,0.00000000
-4.90145073,0.30869642,0.06570574,0.07746236,0.00000723,0.02076814,0.10104614,0.11514372,0.10233669,0.00000000
-4.89544772,0.34913486,0.07452554,0.08767758,0.00000965,0.02351076,0.11402153,0.13015523,0.11546258,0.00000000
-4.88944472,0.39227751,0.08393672,0.09854692,0.00001279,0.02642913,0.12778502,0.14624892,0.12940251,0.00000000
-4.88344172,0.43781192,0.09387158,0.10999026,0.00001683,0.02950226,0.14222815,0.16331573,0.14404465,0.00000000
-4.87743872,0.48535038,0.10424328,0.12190671,0.00002200,0.03270372,0.15721830,0.18122280,0.15925268,0.00000000
-4.87143572,0.53443404,0.11494637,0.13417552,0.00002856,0.03600196,0.17260055,0.19981512,0.17486751,0.00000000
-4.86543272,0.58454070,0.12585805,0.14665805,0.00003681,0.03936083,0.18820073,0.21891857,0.19071011,0.00000000
-4.85942971,0.63509653,0.13684033,0.15920050,0.00004711,0.04274041,0.20382965,0.23834442,0.20658572,0.00000000
-4.85342671,0.68549124,0.14774298,0.17163774,0.00005987,0.04609812,0.21928844,0.25789504,0.22228906,0.00000000
-4.84742371,0.73509656,0.15840731,0.18379781,0.00007555,0.04938998,0.23437491,0.27737087,0.23761069,0.00000000
-4.84142071,0.78328730,0.16867050,0.19550720,0.00009467,0.05257210,0.24889068,0.29657817,0.25234408,0.00000000
-4.83541771,0.82946423,0.17837065,0.20659659,0.00011779,0.05560234,0.26264877,0.31533745,0.26629325,0.00000000
-4.82941471,0.87307781,0.18735199,0.21690687,0.00014554,0.05844197,0.27548145,0.33349192,0.27928067,0.00000000
-4.82341171,0.91365164,0.19547033,0.22629517,0.00017857,0.06105743,0.28724777,0.35091578,0.29115491,0.00000000
-4.81740870,0.95080443,0.20259837,0.23464059,0.00021756,0.06342190,0.29784069,0.36752167,0.30179786,0.00000000
-4.81140570,0.98426940,0.20863066,0.24184943,0.00026320,0.06551676,0.30719304,0.38326693,0.31113092,0.00000000
-4.80540270,1.01390973,0.21348792,0.24785948,0.00031620,0.06733283,0.31528237,0.39815818,0.31911997,0.00000000
-4.79939970,1.03972943,0.21712064,0.25264332,0.00037721,0.06887127,0.32213397,0.41225390,0.32577870,0.00000000
-4.79339670,1.06187840,0.21951153,0.25621029,0.00044686,0.07014407,0.32782211,0.42566460,0.33117004,0.00000000
-4.78739370,1.08065148,0.22067696,0.25860697,0.00052567,0.07117417,0.33246915,0.43855061,0.33540553,0.00000000
-4.78139070,1.09648100,0.22066702,0.25991628,0.00061409,0.07199510,0.33624253,0.45111718,0.33864267,0.00000000
-4.77538769,1.10992312,0.21956443,0.26025493,0.00071238,0.07265019,0.33934963,0.46360722,0.34107999,0.00000000
-4.76938469,1.12163817,0.21748214,0.25976951,0.00082067,0.07319132,0.34203075,0.47629183,0.34295027,0.00000000
-4.76338169,1.13236592,0.21455984,0.25863129,0.00093888,0.07367733,0.34455025,0.48945890,0.34451204,0.00000000
-4.75737869,1.14289683,0.21095946,0.25702993,0.00106670,0.07417199,0.34718653,0.50340052,0.34603965,0.00000000
-4.75137569,1.15404043,0.20685997,0.25516641,0.00120358,0.07474188,0.35022092,0.51839960,0.34781238,0.00000000
-4.74537269,1.16659253,0.20245161,0.25324553,0.00134871,0.07545397,0.35392633,0.53471639,0.35010316,0.00000000
-4.73936968,1.18130268,0.19792994,0.25146817,0.00150102,0.07637326,0.35855588,0.55257576,0.35316721,0.00000000
-4.73336668,1.19884355,0.19348983,0.25002392,0.00165918,0.07756040,0.36433239,0.57215574,0.35723136,0.00000000
-4.72736368,1.21978369,0.18931989,0.24908413,0.00182161,0.07906952,0.37143889,0.59357805,0.36248442,0.00000000
-4.72136068,1.24456506,0.18559730,0.24879587,0.00198652,0.08094634,0.38001095,0.61690114,0.36906906,0.00000000
-4.71535768,1.27348636,0.18248352,0.24927698,0.00215195,0.08322660,0.39013104,0.64211612,0.37707572,0.00000000
-4.70935468,1.30669292,0.18012078,0.25061244,0.00231580,0.08593491,0.40182520,0.66914592,0.38653868,0.00000000
-4.70335168,1.34417360,0.17862967,0.25285212,0.00247590,0.08908407,0.41506236,0.69784762,0.39743459,0.00000000
-4.69734867,1.38576465,0.17810770,0.25601005,0.00263005,0.09267491,0.42975611,0.72801785,0.40968346,0.00000000
-4.69134567,1.43116021,0.17862888,0.26006509,0.00277613,0.09669653,0.44576901,0.75940110,0.42315210,0.00000000
-4.68534267,1.47992866,0.18024416,0.26496300,0.00291213,0.10112707,0.46291912,0.79170023,0.43765977,0.00000000
-4.67933967,1.53153373,0.18298273,0.27061963,0.00303625,0.10593480,0.48098831,0.82458877,0.45298574,0.00000000
-4.67333667,1.58535918,0.18685377,0.27692522,0.00314694,0.11107954,0.49973207,0.85772414,0.46887834,0.00000000
-4.66733367,1.64073541,0.19184869,0.28374928,0.00324295,0.11651433,0.51889002,0.89076106,0.48506513,0.00000000
-4.66133067,1.69696641,0.19794343,0.29094605,0.00332340,0.12218716,0.53819676,0.92336440,0.50126347,0.00000000
-4.65532766,1.75335573,0.20510075,0.29836014,0.00338780,0.12804274,0.55739226,0.95522057,0.51719111,0.00000000
-4.64932466,1.80922975,0.21327225,0.30583201,0.00343602,0.13402419,0.57623130,0.98604697,0.53257614,0.00000000
-4.64332166,1.86395715,0.22239988,0.31320330,0.00346838,0.14007446,0.59449143,1.01559880,0.54716597,0.00000000
