energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,V_p_up,V_d_up
-2.59629815,2.00744479,0.00007703,0.23877960,0.00121671,1.49502331,0.27644529,0.13327189,0.61781742,0.29851673
-2.59029515,1.86914652,0.00006133,0.21382458,0.00103765,1.40028250,0.24936897,0.13276942,0.55751378,0.27664260
-2.58429215,1.74418796,0.00004854,0.19119979,0.00087968,1.31373398,0.22408973,0.13282541,0.50095363,0.25797258
-2.57828914,1.63255038,0.00003820,0.17083724,0.00074126,1.23559478,0.20077401,0.13331367,0.44838008,0.24239199
-2.57228614,1.53402192,0.00002990,0.15265588,0.00062081,1.16590358,0.17954635,0.13410428,0.39995403,0.22977787
-2.56628314,1.44822029,0.00002327,0.13656189,0.00051674,1.10454010,0.16049016,0.13506746,0.35575579,0.22000175
-2.56028014,1.37462040,0.00001801,0.12244980,0.00042745,1.05124860,0.14364974,0.13607746,0.31578969,0.21293256
-2.55427714,1.31258511,0.00001387,0.11020430,0.00035141,1.00566359,0.12903320,0.13701632,0.27999116,0.20843953
-2.54827414,1.26139663,0.00001063,0.09970241,0.00028712,0.96733626,0.11661591,0.13777727,0.24823562,0.20639458
-2.54227114,1.22028685,0.00000812,0.09081594,0.00023318,0.93576004,0.10634440,0.13826777,0.22034857,0.20667422
-2.53626813,1.18846489,0.00000618,0.08341387,0.00018825,0.91039389,0.09814030,0.13841184,0.19611610,0.20916068
-2.53026513,1.16514038,0.00000471,0.07736462,0.00015114,0.89068244,0.09190413,0.13815187,0.17529544,0.21374214
-2.52426213,1.14954177,0.00000359,0.07253809,0.00012071,0.87607212,0.08751887,0.13744958,0.15762500,0.22031224
-2.51825913,1.14092916,0.00000276,0.06880726,0.00009599,0.86602297,0.08485313,0.13628621,0.14283348,0.22876871
-2.51225613,1.13860163,0.00000215,0.06604942,0.00007607,0.86001618,0.08376396,0.13466208,0.13064792,0.23901139
-2.50625313,1.14189965,0.00000172,0.06414705,0.00006017,0.85755758,0.08409917,0.13259531,0.12080042,0.25093986
-2.50025013,1.15020324,0.00000143,0.06298827,0.00004760,0.85817780,0.08569933,0.13012004,0.11303358,0.26445080
-2.49424712,1.16292700,0.00000126,0.06246705,0.00003779,0.86142983,0.08839957,0.12728406,0.10710461,0.27943546
-2.48824412,1.17951330,0.00000118,0.06248316,0.00003023,0.86688509,0.09203107,0.12414616,0.10278831,0.29577739
-2.48224112,1.19942486,0.00000118,0.06294201,0.00002449,0.87412886,0.09642262,0.12077317,0.09987894,0.31335075
-2.47623812,1.22213805,0.00000124,0.06375438,0.00002023,0.88275615,0.10140220,0.11723703,0.09819131,0.33201938
-2.47023512,1.24713785,0.00000137,0.06483633,0.00001715,0.89236898,0.10679861,0.11361181,0.09756110,0.35163674
-2.46423212,1.27391547,0.00000155,0.06610902,0.00001500,0.90257550,0.11244347,0.10997102,0.09784480,0.37204684
-2.45822911,1.30196915,0.00000179,0.06749883,0.00001361,0.91299171,0.11817332,0.10638517,0.09891917,0.39308616
-2.45222611,1.33080819,0.00000207,0.06893761,0.00001280,0.92324569,0.12383199,0.10291974,0.10068058,0.41458638
-2.44622311,1.35996029,0.00000241,0.07036303,0.00001245,0.93298439,0.12927320,0.09963355,0.10304414,0.43637802
-2.44022011,1.38898152,0.00000280,0.07171917,0.00001247,0.94188255,0.13436325,0.09657760,0.10594283,0.45829444
-2.43421711,1.41746826,0.00000325,0.07295718,0.00001278,0.94965307,0.13898367,0.09379436,0.10932642,0.48017637
-2.42821411,1.44507013,0.00000374,0.07403598,0.00001330,0.95605810,0.14303381,0.09131742,0.11316045,0.50187630
-2.42221111,1.47150275,0.00000428,0.07492291,0.00001400,0.96091991,0.14643315,0.08917157,0.11742503,0.52326279
-2.41620810,1.49655930,0.00000487,0.07559435,0.00001482,0.96413041,0.14912320,0.08737313,0.12211344,0.54422429
-2.41020510,1.52011965,0.00000550,0.07603612,0.00001575,0.96565865,0.15106885,0.08593047,0.12723061,0.56467231
-2.40420210,1.54215635,0.00000618,0.07624362,0.00001676,0.96555522,0.15225917,0.08484477,0.13279128,0.58454385
-2.39819910,1.56273661,0.00000688,0.07622176,0.00001781,0.96395303,0.15270733,0.08411073,0.13881794,0.60380286
-2.39219610,1.58202000,0.00000762,0.07598454,0.00001889,0.96106408,0.15244995,0.08371735,0.14533848,0.62244092
-2.38619310,1.60025165,0.00000837,0.07555427,0.00001999,0.95717203,0.15154553,0.08364877,0.15238365,0.64047703
-2.38019010,1.61775136,0.00000913,0.07496055,0.00002109,0.95262077,0.15007223,0.08388487,0.15998429,0.65795659
-2.37418709,1.63489891,0.00000990,0.07423891,0.00002217,0.94779951,0.14812499,0.08440193,0.16816853,0.67494984
-2.36818409,1.65211657,0.00001065,0.07342925,0.00002321,0.94312492,0.14581210,0.08517319,0.17695893,0.69154968
-2.36218109,1.66984954,0.00001138,0.07257414,0.00002421,0.93902153,0.14325140,0.08616928,0.18636985,0.70786924
-2.35617809,1.68854565,0.00001208,0.07171703,0.00002515,0.93590113,0.14056622,0.08735870,0.19640500,0.72403905
-2.35017509,1.70863505,0.00001273,0.07090048,0.00002602,0.93414263,0.13788125,0.08870819,0.20705542,0.74020409
-2.34417209,1.73051131,0.00001332,0.07016448,0.00002682,0.93407327,0.13531853,0.09018312,0.21829796,0.75652061
-2.33816908,1.75451440,0.00001385,0.06954492,0.00002753,0.93595244,0.13299366,0.09174796,0.23009431,0.77315271
-2.33216608,1.78091665,0.00001430,0.06907241,0.00002815,0.93995878,0.13101242,0.09336672,0.24239068,0.79026864
-2.32616308,1.80991182,0.00001467,0.06877126,0.00002868,0.94618154,0.12946787,0.09500343,0.25511820,0.80803664
-2.32016008,1.84160769,0.00001495,0.06865888,0.00002912,0.95461626,0.12843799,0.09662273,0.26819384,0.82662037
-2.31415708,1.87602207,0.00001513,0.06874549,0.00002948,0.96516517,0.12798394,0.09819041,0.28152206,0.84617359
-2.30815408,1.91308195,0.00001522,0.06903416,0.00002978,0.97764207,0.12814899,0.09967402,0.29499679,0.86683426
-2.30215108,1.95262550,0.00001522,0.06952115,0.00003003,0.99178116,0.12895794,0.10104342,0.30850393,0.88871796
-2.29614807,1.99440618,0.00001512,0.07019652,0.00003025,1.00724922,0.13041713,0.10227132,0.32192396,0.91191080
-2.29014507,2.03809866,0.00001494,0.07104490,0.00003049,1.02366035,0.13251497,0.10333376,0.33513466,0.93646199
-2.28414207,2.08330570,0.00001467,0.07204644,0.00003079,1.04059209,0.13522280,0.10421040,0.34801377,0.96237643
-2.27813907,2.12956582,0.00001433,0.07317780,0.00003119,1.05760213,0.13849613,0.10488482,0.36044140,0.98960771
-2.27213607,2.17636118,0.00001392,0.07441311,0.00003176,1.07424448,0.14227611,0.10534458,0.37230213,1.01805211
-2.26613307,2.22312561,0.00001345,0.07572493,0.00003258,1.09008429,0.14649118,0.10558121,0.38348671,1.04754405
-2.26013007,2.26925284,0.00001294,0.07708509,0.00003375,1.10471047,0.15105881,0.10559001,0.39389331,1.07785365
-2.25412706,2.31410493,0.00001240,0.07846535,0.00003537,1.11774583,0.15588744,0.10536981,0.40342840,1.10868699
-2.24812406,2.35702133,0.00001182,0.07983800,0.00003757,1.12885417,0.16087832,0.10492255,0.41200714,1.13968932
-2.24212106,2.39732885,0.00001123,0.08117627,0.00004052,1.13774451,0.16592758,0.10425287,0.41955356,1.17045188
-2.23611806,2.43435299,0.00001064,0.08245460,0.00004438,1.14417253,0.17092817,0.10336764,0.42600055,1.20052214
-2.23011506,2.46743088,0.00001004,0.08364885,0.00004937,1.14793958,0.17577204,0.10227554,0.43128971,1.22941765
-2.22411206,2.49592620,0.00000946,0.08473643,0.00005573,1.14888989,0.18035221,0.10098665,0.43537134,1.25664312
-2.21810905,2.51924592,0.00000889,0.08569645,0.00006372,1.14690652,0.18456501,0.09951213,0.43820458,1.28171016
-2.21210605,2.53685891,0.00000834,0.08650976,0.00007366,1.14190680,0.18831231,0.09786402,0.43975776,1.30415902
-2.20610305,2.54831579,0.00000781,0.08715924,0.00008588,1.13383777,0.19150378,0.09605512,0.44000915,1.32358136
-2.20010005,2.55326953,0.00000732,0.08762993,0.00010075,1.12267234,0.19405912,0.09409904,0.43894794,1.33964290
