energy_ev,total_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up,Zr_p_up,Zr_d_up
0.90945473,2.21435281,0.01440024,0.28497662,0.29306560,0.00000000,0.79660489,1.59253026
0.91545773,2.19073882,0.01416253,0.28194701,0.28591107,0.00000000,0.79455999,1.58086873
0.92146073,2.16747829,0.01395005,0.27903539,0.27900120,0.00000000,0.79353981,1.56958062
0.92746373,2.14483590,0.01376838,0.27627707,0.27250064,0.00000000,0.79361669,1.55875086
0.93346673,2.12307776,0.01362271,0.27370206,0.26657131,0.00000000,0.79483729,1.54846937
0.93946973,2.10246293,0.01351760,0.27133443,0.26136721,0.00000000,0.79722052,1.53882774
0.94547274,2.08323376,0.01345691,0.26919172,0.25702919,0.00000000,0.80075606,1.52991449
0.95147574,2.06560533,0.01344359,0.26728453,0.25367981,0.00000000,0.80540346,1.52180924
0.95747874,2.04975431,0.01347955,0.26561614,0.25141854,0.00000000,0.81109174,1.51457593
0.96348174,2.03580775,0.01356556,0.26418228,0.25031757,0.00000000,0.81771936,1.50825537
0.96948474,2.02383222,0.01370114,0.26297089,0.25041822,0.00000000,0.82515476,1.50285766
0.97548774,2.01382402,0.01388449,0.26196208,0.25172829,0.00000000,0.83323723,1.49835471
0.98149075,2.00570085,0.01411245,0.26112811,0.25422047,0.00000000,0.84177828,1.49467363
0.98749375,1.99929579,0.01438048,0.26043357,0.25783178,0.00000000,0.85056352,1.49169123
0.99349675,1.99435402,0.01468274,0.25983565,0.26246432,0.00000000,0.85935519,1.48923043
0.99949975,1.99053287,0.01501212,0.25928469,0.26798721,0.00000000,0.86789536,1.48705877
1.00550275,1.98740560,0.01536040,0.25872490,0.27423967,0.00000000,0.87590993,1.48488969
1.01150575,1.98446909,0.01571839,0.25809542,0.28103540,0.00000000,0.88311350,1.48238654
1.01750875,1.98115567,0.01607617,0.25733166,0.28816781,0.00000000,0.88921522,1.47916970
1.02351176,1.97684877,0.01642329,0.25636689,0.29541617,0.00000000,0.89392538,1.47482666
1.02951476,1.97090213,0.01674913,0.25513416,0.30255244,0.00000000,0.89696289,1.46892474
1.03551776,1.96266190,0.01704313,0.25356848,0.30934839,0.00000000,0.89806337,1.46102627
1.04152076,1.95149088,0.01729519,0.25160914,0.31558295,0.00000000,0.89698751,1.45070537
1.04752376,1.93679377,0.01749593,0.24920215,0.32104926,0.00000000,0.89352964,1.43756583
1.05352676,1.91804253,0.01763707,0.24630268,0.32556145,0.00000000,0.88752584,1.42125915
1.05952976,1.89480031,0.01771166,0.24287735,0.32896057,0.00000000,0.87886145,1.40150174
1.06553277,1.86674314,0.01771441,0.23890632,0.33111961,0.00000000,0.86747740,1.37809063
1.07153577,1.83367784,0.01764186,0.23438497,0.33194738,0.00000000,0.85337506,1.35091652
1.07753877,1.79555545,0.01749253,0.22932514,0.33139112,0.00000000,0.83661922,1.31997358
1.08354177,1.75247923,0.01726702,0.22375576,0.32943763,0.00000000,0.81733901,1.28536536
1.08954477,1.70470672,0.01696799,0.21772289,0.32611306,0.00000000,0.79572649,1.24730630
1.09554777,1.65264551,0.01660012,0.21128902,0.32148127,0.00000000,0.77203294,1.20611867
1.10155078,1.59684302,0.01616996,0.20453175,0.31564088,0.00000000,0.74656284,1.16222507
1.10755378,1.53797033,0.01568570,0.19754176,0.30872115,0.00000000,0.71966572,1.11613654
1.11355678,1.47680094,0.01515691,0.19042023,0.30087693,0.00000000,0.69172630,1.06843691
1.11955978,1.41418531,0.01459419,0.18327571,0.29228279,0.00000000,0.66315301,1.01976409
1.12556278,1.35102222,0.01400885,0.17622067,0.28312670,0.00000000,0.63436568,0.97078906
1.13156578,1.28822828,0.01341248,0.16936775,0.27360344,0.00000000,0.60578260,0.92219342
1.13756878,1.22670690,0.01281657,0.16282596,0.26390798,0.00000000,0.57780774,0.87464679
1.14357179,1.16731801,0.01223214,0.15669691,0.25422915,0.00000000,0.55081840,0.82878464
1.14957479,1.11084980,0.01166938,0.15107133,0.24474377,0.00000000,0.52515401,0.78518793
1.15557779,1.05799370,0.01113732,0.14602589,0.23561140,0.00000000,0.50110629,0.74436501
1.16158079,1.00932344,0.01064357,0.14162052,0.22696996,0.00000000,0.47891135,0.70673678
1.16758379,0.96527908,0.01019410,0.13789641,0.21893228,0.00000000,0.45874382,0.67262552
1.17358679,0.92615643,0.00979312,0.13487461,0.21158367,0.00000000,0.44071338,0.64224773
1.17958979,0.89210218,0.00944301,0.13255540,0.20498050,0.00000000,0.42486356,0.61571124
1.18559280,0.86311478,0.00914428,0.13091843,0.19914998,0.00000000,0.41117301,0.59301642
1.19159580,0.83905072,0.00889570,0.12992362,0.19409082,0.00000000,0.39955892,0.57406147
1.19759880,0.81963599,0.00869439,0.12951270,0.18977493,0.00000000,0.38988258,0.55865114
1.20360180,0.80448178,0.00853600,0.12961145,0.18614999,0.00000000,0.38195668,0.54650868
1.20960480,0.79310398,0.00841497,0.13013250,0.18314274,0.00000000,0.37555410,0.53729017
1.21560780,0.78494523,0.00832479,0.13097845,0.18066281,0.00000000,0.37041768,0.53060061
