energy_ev,total_up,B_p_up,B_d_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-5.40570285,2.50421413,0.10522556,0.00000000,0.80880455,0.55020743,0.02129312,0.96753818
-5.39969985,2.52877022,0.10817163,0.00000000,0.81596509,0.55346237,0.02127187,0.97586526
-5.39369685,2.54359827,0.11097014,0.00000000,0.81986041,0.55428030,0.02114838,0.98037429
-5.38769385,2.54950560,0.11365507,0.00000000,0.82075771,0.55285202,0.02093520,0.98138555
-5.38169085,2.54750906,0.11626525,0.00000000,0.81899466,0.54942230,0.02064843,0.97929967
-5.37568784,2.53879769,0.11884266,0.00000000,0.81496685,0.54428206,0.02030742,0.97458276
-5.36968484,2.52469089,0.12143052,0.00000000,0.80911368,0.53775930,0.01993449,0.96774989
-5.36368184,2.50659424,0.12407144,0.00000000,0.80190331,0.53020927,0.01955443,0.95934783
-5.35767884,2.48595491,0.12680563,0.00000000,0.79381723,0.52200428,0.01919406,0.94993766
-5.35167584,2.46421865,0.12966927,0.00000000,0.78533537,0.51352353,0.01888160,0.94007821
-5.34567284,2.44278998,0.13269312,0.00000000,0.77692219,0.50514353,0.01864611,0.93031081
-5.33966983,2.42299698,0.13590142,0.00000000,0.76901424,0.49722911,0.01851679,0.92114591
-5.33366683,2.40606172,0.13931113,0.00000000,0.76200981,0.49012560,0.01852235,0.91305201
-5.32766383,2.39307678,0.14293146,0.00000000,0.75626065,0.48415214,0.01869023,0.90644703
-5.32166083,2.38498809,0.14676379,0.00000000,0.75206610,0.47959618,0.01904595,0.90169216
-5.31565783,2.38258373,0.15080181,0.00000000,0.74966946,0.47670938,0.01961240,0.89908801
-5.30965483,2.38648816,0.15503195,0.00000000,0.74925647,0.47570447,0.02040909,0.89887294
-5.30365183,2.39716087,0.15943395,0.00000000,0.75095564,0.47675328,0.02145157,0.90122302
-5.29764882,2.41489853,0.16398156,0.00000000,0.75484007,0.47998556,0.02275076,0.90625338
-5.29164582,2.43983949,0.16864328,0.00000000,0.76093038,0.48548837,0.02431237,0.91402035
-5.28564282,2.47196954,0.17338304,0.00000000,0.76919826,0.49330602,0.02613650,0.92452407
-5.27963982,2.51112819,0.17816090,0.00000000,0.77957037,0.50344023,0.02821717,0.93771120
-5.27363682,2.55701461,0.18293355,0.00000000,0.79193219,0.51585048,0.03054212,0.95347742
-5.26763382,2.60919303,0.18765475,0.00000000,0.80613161,0.53045448,0.03309265,0.97166961
-5.26163082,2.66709740,0.19227568,0.00000000,0.82198201,0.54712871,0.03584364,0.99208765
-5.25562781,2.73003570,0.19674518,0.00000000,0.83926499,0.56570913,0.03876380,1.01448587
