energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-5.23161581,4.48816848,0.03143398,0.55240232,0.01900308,0.00000000,2.21440524,1.28496854,0.02237797,2.11738254
-5.22561281,4.55753241,0.03013339,0.57040302,0.01863974,0.00000000,2.23406828,1.31712691,0.02322896,2.13472787
-5.21960980,4.63360320,0.02908202,0.59029374,0.01829981,0.00000000,2.25460493,1.35034457,0.02417952,2.15511472
-5.21360680,4.71711891,0.02828984,0.61237674,0.01798747,0.00000000,2.27678689,1.38482693,0.02521761,2.17870409
-5.20760380,4.80894196,0.02776053,0.63696093,0.01770787,0.00000000,2.30143157,1.42085613,0.02633026,2.20570248
-5.20160080,4.91000731,0.02749150,0.66435150,0.01746687,0.00000000,2.32936753,1.45877515,0.02750376,2.23634183
-5.19559780,5.02126462,0.02747395,0.69483835,0.01727074,0.00000000,2.36139845,1.49896828,0.02872372,2.27085771
-5.18959480,5.14361672,0.02769315,0.72868363,0.01712587,0.00000000,2.39826735,1.54183889,0.02997533,2.30946728
-5.18359180,5.27785768,0.02812880,0.76610882,0.01703852,0.00000000,2.44062235,1.58778557,0.03124360,2.35234805
-5.17758879,5.42461293,0.02875559,0.80728168,0.01701448,0.00000000,2.48898543,1.63717763,0.03251357,2.39961865
-5.17158579,5.58428450,0.02954381,0.85230358,0.01705886,0.00000000,2.54372520,1.69033128,0.03377067,2.45132251
-5.16558279,5.75700362,0.03046017,0.90119777,0.01717588,0.00000000,2.60503471,1.74748733,0.03500101,2.50741529
-5.15957979,5.94259279,0.03146864,0.95389894,0.01736866,0.00000000,2.67291509,1.80879174,0.03619172,2.56775645
-5.15357679,6.14053907,0.03253137,1.01024472,0.01763912,0.00000000,2.74716536,1.87427965,0.03733121,2.63210526
-5.14757379,6.34997957,0.03360970,1.06996959,0.01798786,0.00000000,2.82737878,1.94386377,0.03840950,2.70012126
-5.14157079,6.56969991,0.03466519,1.13270159,0.01841416,0.00000000,2.91294567,2.01732757,0.03941845,2.77136888
-5.13556778,6.79814550,0.03566063,1.19796225,0.01891592,0.00000000,3.00306263,2.09432369,0.04035186,2.84532588
-5.12956478,7.03344549,0.03656106,1.26517008,0.01948973,0.00000000,3.09674769,2.17437742,0.04120568,2.92139493
-5.12356178,7.27344824,0.03733468,1.33364765,0.02013091,0.00000000,3.19286093,2.25689531,0.04197794,2.99891772
-5.11755878,7.51576718,0.03795370,1.40263251,0.02083362,0.00000000,3.29012992,2.34117853,0.04266872,3.07719077
-5.11155578,7.75783540,0.03839509,1.47129158,0.02159097,0.00000000,3.38717913,2.42644027,0.04327997,3.15548235
-5.10555278,7.99696697,0.03864120,1.53873897,0.02239514,0.00000000,3.48256260,2.51182673,0.04381533,3.23304970
-5.09954977,8.23042316,0.03868012,1.60405657,0.02323751,0.00000000,3.57479879,2.59644076,0.04427977,3.30915587
-5.09354677,8.45548127,0.03850601,1.66631696,0.02410885,0.00000000,3.66240676,2.67936729,0.04467927,3.38308596
-5.08754377,8.66950393,0.03811913,1.72460777,0.02499941,0.00000000,3.74394259,2.75969978,0.04502043,3.45416209
-5.08154077,8.87000690,0.03752576,1.77805670,0.02589915,0.00000000,3.81803512,2.83656659,0.04531003,3.52175701
-5.07553777,9.05472336,0.03673794,1.82585618,0.02679781,0.00000000,3.88341995,2.90915673,0.04555471,3.58530627
-5.06953477,9.22166295,0.03577302,1.86728674,0.02768513,0.00000000,3.93897081,2.97674389,0.04576053,3.64431886
-5.06353177,9.36916402,0.03465310,1.90173810,0.02855093,0.00000000,3.98372745,3.03870830,0.04593272,3.69838644
-5.05752876,9.49593787,0.03340439,1.92872715,0.02938530,0.00000000,4.01691921,3.09455577,0.04607541,3.74719135
-5.05152576,9.60110389,0.03205640,1.94791186,0.03017872,0.00000000,4.03798372,3.14393345,0.04619146,3.79051342
-5.04552276,9.68421493,0.03064125,1.95910073,0.03092217,0.00000000,4.04658026,3.18664186,0.04628242,3.82823579
-5.03951976,9.74527234,0.02919276,1.96225725,0.03160728,0.00000000,4.04259730,3.22264312,0.04634855,3.86034979
-5.03351676,9.78473050,0.02774572,1.95749911,0.03222640,0.00000000,4.02615430,3.25206503,0.04638891,3.88695885
-5.02751376,9.80349077,0.02633512,1.94509242,0.03277278,0.00000000,3.99759763,3.27520097,0.04640161,3.90828119
-5.02151076,9.80288494,0.02499544,1.92544098,0.03324061,0.00000000,3.95749091,3.29250564,0.04638402,3.92465134
-5.01550775,9.78464860,0.02376005,1.89907127,0.03362515,0.00000000,3.90660014,3.30458662,0.04633314,3.93651977
-5.00950475,9.75088479,0.02266061,1.86661388,0.03392277,0.00000000,3.84587407,3.31219191,0.04624593,3.94445052
-5.00350175,9.70401857,0.02172667,1.82878211,0.03413109,0.00000000,3.77642056,3.31619353,0.04611969,3.94911611
-4.99749875,9.64674327,0.02098525,1.78634881,0.03424898,0.00000000,3.69947950,3.31756744,0.04595240,3.95128940
-4.99149575,9.58195913,0.02046048,1.74012246,0.03427662,0.00000000,3.61639331,3.31737012,0.04574303,3.95183185
-4.98549275,9.51270568,0.02017340,1.69092349,0.03421550,0.00000000,3.52857556,3.31671211,0.04549182,3.95167788
-4.97948974,9.44208875,0.02014172,1.63956185,0.03406848,0.00000000,3.43747885,3.31672901,0.04520049,3.95181515
-4.97348674,9.37320388,0.02037960,1.58681662,0.03383970,0.00000000,3.34456249,3.31855069,0.04487230,3.95326073
-4.96748374,9.30905757,0.02089751,1.53341849,0.03353456,0.00000000,3.25126109,3.32326913,0.04451211,3.95703356
-4.96148074,9.25248848,0.02170207,1.48003557,0.03315964,0.00000000,3.15895445,3.33190608,0.04412632,3.96412366
-4.95547774,9.20609052,0.02279590,1.42726294,0.03272260,0.00000000,3.06893985,3.34538122,0.04372269,3.97545901
-4.94947474,9.17214035,0.02417747,1.37561605,0.03223206,0.00000000,2.98240696,3.36448206,0.04331009,3.99187130
-4.94347174,9.15253155,0.02584098,1.32552809,0.03169742,0.00000000,2.90041628,3.38983649,0.04289824,4.01406184
