energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-2.83641821,1.73053851,0.31381395,0.67069682,0.00135083,0.03323531,0.00736583,0.28427361,0.19729052,0.45335584
-2.83041521,1.69811124,0.30106010,0.66574013,0.00143350,0.03246071,0.00767696,0.28349483,0.19383336,0.43413429
-2.82441221,1.67207729,0.28990240,0.66384287,0.00152262,0.03180245,0.00804813,0.28443805,0.19107534,0.41542536
-2.81840920,1.65238415,0.28039089,0.66492282,0.00161850,0.03126584,0.00847862,0.28704552,0.18901056,0.39729591
-2.81240620,1.63884630,0.27254832,0.66883378,0.00172137,0.03085323,0.00896671,0.29122764,0.18761718,0.37980204
-2.80640320,1.63114463,0.26636888,0.67536476,0.00183140,0.03056400,0.00950969,0.29686367,0.18685709,0.36298903
-2.80040020,1.62883140,0.26181789,0.68424222,0.00194867,0.03039456,0.01010384,0.30380372,0.18667607,0.34689152
-2.79439720,1.63134087,0.25883251,0.69513518,0.00207315,0.03033850,0.01074454,0.31187220,0.18700466,0.33153398
-2.78839420,1.63800524,0.25732335,0.70766329,0.00220471,0.03038679,0.01142634,0.32087252,0.18775960,0.31693136
-2.78239120,1.64807568,0.25717698,0.72140750,0.00234310,0.03052811,0.01214315,0.33059296,0.18884588,0.30309011
-2.77638819,1.66074757,0.25825930,0.73592292,0.00248799,0.03074924,0.01288839,0.34081360,0.19015939,0.29000947
-2.77038519,1.67518901,0.26041961,0.75075340,0.00263897,0.03103548,0.01365520,0.35131386,0.19158995,0.27768299
-2.76438219,1.69057142,0.26349525,0.76544711,0.00279559,0.03137119,0.01443667,0.36188048,0.19302483,0.26610036
-2.75837919,1.70610073,0.26731659,0.77957243,0.00295738,0.03174029,0.01522605,0.37231553,0.19435234,0.25524929
-2.75237619,1.72104780,0.27171226,0.79273339,0.00312389,0.03212677,0.01601697,0.38244406,0.19546558,0.24511757
-2.74637319,1.73477645,0.27651431,0.80458374,0.00329471,0.03251516,0.01680361,0.39212102,0.19626611,0.23569501
