energy_ev,total_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
4.32516258,1.44582736,1.17033977,0.39789701,0.06057920,0.61174459,0.39226304,0.00000000
4.33116558,1.31921282,1.07100527,0.36256424,0.05543839,0.55613271,0.36007626,0.00000000
4.33716858,1.20077409,0.97922620,0.32914396,0.05089998,0.50300760,0.32998912,0.00000000
4.34317159,1.09182892,0.89614670,0.29798828,0.04701809,0.45288475,0.30243004,0.00000000
4.34917459,0.99355618,0.82281791,0.26940647,0.04384457,0.40620123,0.27779307,0.00000000
4.35517759,0.90699107,0.76019397,0.24366357,0.04142891,0.36331361,0.25643539,0.00000000
4.36118059,0.83302462,0.70913034,0.22098032,0.03981790,0.32449841,0.23867588,0.00000000
4.36718359,0.77240612,0.67038333,0.20153439,0.03905538,0.28995502,0.22479452,0.00000000
4.37318659,0.72574742,0.64460993,0.18546241,0.03918164,0.25981019,0.21503221,0.00000000
4.37918959,0.69352760,0.63236669,0.17286243,0.04023276,0.23412394,0.20959061,0.00000000
4.38519260,0.67609705,0.63410690,0.16379664,0.04223961,0.21289611,0.20863171,0.00000000
4.39119560,0.67367969,0.65017527,0.15829380,0.04522658,0.19607309,0.21227675,0.00000000
4.39719860,0.68637277,0.68079965,0.15635137,0.04921009,0.18355446,0.22060443,0.00000000
4.40320160,0.71414363,0.72607961,0.15793687,0.05419684,0.17519900,0.23364806,0.00000000
4.40920460,0.75682351,0.78597207,0.16298867,0.06018186,0.17082991,0.25139202,0.00000000
4.41520760,0.81409849,0.86027470,0.17141591,0.06714655,0.17023915,0.27376726,0.00000000
4.42121061,0.88549840,0.94860772,0.18309778,0.07505664,0.17319080,0.30064650,0.00000000
4.42721361,0.97038454,1.05039559,0.19788229,0.08386039,0.17942359,0.33183911,0.00000000
4.43321661,1.06793744,1.16484991,0.21558465,0.09348702,0.18865262,0.36708645,0.00000000
4.43921961,1.17714612,1.29095505,0.23598562,0.10384561,0.20057074,0.40605790,0.00000000
4.44522261,1.29680037,1.42745842,0.25883010,0.11482455,0.21484954,0.44834831,0.00000000
4.45122561,1.42548738,1.57286666,0.28382624,0.12629172,0.23114059,0.49347717,0.00000000
4.45722861,1.56159417,1.72544936,0.31064539,0.13809542,0.24907688,0.54089015,0.00000000
4.46323162,1.70331696,1.88325136,0.33892316,0.15006621,0.26827493,0.58996318,0.00000000
4.46923462,1.84867809,2.04411423,0.36826178,0.16201960,0.28833771,0.64000945,0.00000000
4.47523762,1.99555098,2.20570734,0.39823388,0.17375959,0.30885843,0.69028929,0.00000000
4.48124062,2.14169302,2.36556805,0.42838780,0.18508304,0.32942538,0.74002298,0.00000000
4.48724362,2.28478575,2.52115036,0.45825432,0.19578462,0.34962763,0.78840606,0.00000000
4.49324662,2.42248147,2.66988045,0.48735473,0.20566227,0.36906165,0.83462687,0.00000000
4.49924962,2.55245456,2.80921743,0.51520999,0.21452299,0.38733845,0.87788566,0.00000000
4.50525263,2.67245594,2.93671709,0.54135072,0.22218855,0.40409122,0.91741463,0.00000000
4.51125563,2.78036849,3.05009594,0.56532763,0.22850103,0.41898291,0.95249800,0.00000000
4.51725863,2.87426115,3.14729317,0.58672206,0.23332793,0.43171359,0.98249139,0.00000000
4.52326163,2.95243953,3.22652771,0.60515608,0.23656644,0.44202725,1.00683972,0.00000000
4.52926463,3.01349087,3.28634800,0.62030186,0.23814691,0.44971753,1.02509259,0.00000000
4.53526763,3.05632136,3.32567222,0.63188993,0.23803506,0.45463235,1.03691687,0.00000000
4.54127064,3.08018427,3.34381738,0.63971583,0.23623318,0.45667704,1.04210549,0.00000000
4.54727364,3.08469767,3.34051578,0.64364503,0.23277979,0.45581577,1.04058246,0.00000000
4.55327664,3.06985109,3.31591850,0.64361591,0.22774829,0.45207138,1.03240363,0.00000000
4.55927964,3.03600085,3.27058555,0.63964053,0.22124422,0.44552346,1.01775331,0.00000000
4.56528264,2.98385440,3.20546358,0.63180337,0.21340154,0.43630473,0.99693695,0.00000000
4.57128564,2.91444450,3.12185198,0.62025800,0.20437800,0.42459604,0.97037022,0.00000000
4.57728864,2.82909438,3.02135919,0.60522178,0.19434983,0.41062003,0.93856492,0.00000000
4.58329165,2.72937546,2.90585112,0.58696901,0.18350604,0.39463386,0.90211259,0.00000000
4.58929465,2.61705958,2.77739397,0.56582261,0.17204251,0.37692123,0.86166627,0.00000000
4.59529765,2.49406741,2.63819377,0.54214478,0.16015618,0.35778399,0.81792133,0.00000000
4.60130065,2.36241546,2.49053517,0.51632695,0.14803956,0.33753382,0.77159616,0.00000000
4.60730365,2.22416324,2.33672176,0.48877949,0.13587579,0.31648406,0.72341334,0.00000000
