energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-5.46573287,6.39874153,0.02615740,0.28966500,1.29338768,1.31353691,0.05038690,3.55782513,1.29579046,0.53071006
-5.45972986,6.35950240,0.02671582,0.28416785,1.28303005,1.31177260,0.05251198,3.54522954,1.27207857,0.52766548
-5.45372686,6.32367072,0.02734198,0.27879025,1.27124560,1.31225926,0.05500754,3.53422926,1.24817377,0.52455297
-5.44772386,6.29171458,0.02803442,0.27356079,1.25816679,1.31504884,0.05784701,3.52503473,1.22440414,0.52139251
-5.44172086,6.26370877,0.02878862,0.26849640,1.24389893,1.32006815,0.06099232,3.51763596,1.20102587,0.51818506
-5.43571786,6.23932650,0.02959706,0.26360173,1.22851537,1.32712003,0.06439452,3.51179867,1.17821691,0.51491170
-5.42971486,6.21785175,0.03044931,0.25886902,1.21205515,1.33589046,0.06799484,3.50707246,1.15607488,0.51153409
-5.42371186,6.19821315,0.03133237,0.25427853,1.19452363,1.34596162,0.07172614,3.50281145,1.13461945,0.50799611
-5.41770885,6.17903894,0.03223109,0.24979953,1.17589591,1.35683044,0.07551463,3.49820706,1.11379903,0.50422690
-5.41170585,6.15873148,0.03312870,0.24539184,1.15612316,1.36793235,0.07928197,3.49233201,1.09350170,0.50014507
-5.40570285,6.13555854,0.03400755,0.24100798,1.13514150,1.37866899,0.08294763,3.48419378,1.07356961,0.49566418
-5.39969985,6.10775729,0.03484983,0.23659568,1.11288294,1.38843903,0.08643135,3.47279511,1.05381626,0.49069898
-5.39369685,6.07364630,0.03563843,0.23210087,1.08928772,1.39667043,0.08965576,3.45719889,1.03404577,0.48517243
-5.38769385,6.03174003,0.03635777,0.22747082,1.06431743,1.40285285,0.09254894,3.43659397,1.01407292,0.47902282
-5.38169085,5.98085963,0.03699462,0.22265734,1.03796793,1.40656849,0.09504687,3.41035862,0.99374320,0.47221092
-5.37568784,5.92023441,0.03753891,0.21761989,1.01028138,1.40751970,0.09709566,3.37811813,0.97295140,0.46472649
-5.36968484,5.84958800,0.03798436,0.21232843,0.98135648,1.40555207,0.09865343,3.33979321,0.95165801,0.45659395
-5.36368184,5.76920420,0.03832905,0.20676575,0.95135626,1.40067150,0.09969180,3.29563651,0.92990237,0.44787667
-5.35767884,5.67996839,0.03857569,0.20092928,0.92051288,1.39305435,0.10019688,3.24625464,0.90781178,0.43867974
-5.35167584,5.58338140,0.03873187,0.19483217,0.88912893,1.38304980,0.10016966,3.19261428,0.88560617,0.42915089
-5.34567284,5.48154414,0.03880991,0.18850357,0.85757503,1.37117418,0.09962592,3.13603122,0.86359783,0.41947933
-5.33966983,5.37711281,0.03882658,0.18198816,0.82628379,1.35809728,0.09859548,3.07814254,0.84218626,0.40989271
-5.33366683,5.27322580,0.03880262,0.17534482,0.79574011,1.34462098,0.09712099,3.02086241,0.82184822,0.40065197
-5.32766383,5.17340498,0.03876193,0.16864463,0.76646841,1.33165108,0.09525613,2.96632320,0.80312341,0.39204441
-5.32166083,5.08143511,0.03873073,0.16196820,0.73901706,1.32016336,0.09306347,2.91680420,0.78659634,0.38437519
-5.31565783,5.00122641,0.03873646,0.15540251,0.71394087,1.31116544,0.09061197,2.87465064,0.77287520,0.37795750
-5.30965483,4.93666586,0.03880660,0.14903742,0.69178217,1.30565588,0.08797431,2.84218646,0.76256862,0.37310191
-5.30365183,4.89146373,0.03896751,0.14296198,0.67305146,1.30458235,0.08522411,2.82162432,0.75626126,0.37010519
-5.29764882,4.86900148,0.03924314,0.13726085,0.65820834,1.30880077,0.08243319,2.81497669,0.75448928,0.36923915
-5.29164582,4.87218787,0.03965391,0.13201078,0.64764350,1.31903704,0.07966901,2.82397156,0.75771680,0.37073995
