energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
1.37168584,0.98588821,0.35483954,0.00000000,0.00736605,0.12902015,1.91090775,0.63904862
1.37768884,0.97312867,0.38089763,0.00000000,0.00776007,0.11997539,1.98152883,0.59806033
1.38369185,0.96585429,0.40754053,0.00000000,0.00819021,0.11148479,2.05678854,0.56245870
1.38969485,0.96422748,0.43443268,0.00000000,0.00865649,0.10369687,2.13555365,0.53276859
1.39569785,0.96836099,0.46121892,0.00000000,0.00915888,0.09675121,2.21655651,0.50948990
1.40170085,0.97832690,0.48753420,0.00000000,0.00969742,0.09077697,2.29844025,0.49309617
1.40770385,0.99416627,0.51301408,0.00000000,0.01027238,0.08589168,2.37980831,0.48403288
1.41370685,1.01589871,0.53730559,0.00000000,0.01088429,0.08220028,2.45927600,0.48271509
1.41970985,1.04353075,0.56007802,0.00000000,0.01153403,0.07979433,2.53552152,0.48952388
1.42571286,1.07706215,0.58103297,0.00000000,0.01222286,0.07875129,2.60733405,0.50480108
1.43171586,1.11648928,0.59991348,0.00000000,0.01295235,0.07913373,2.67365649,0.52884231
1.43771886,1.16180506,0.61651142,0.00000000,0.01372429,0.08098859,2.73362054,0.56188773
1.44372186,1.21299488,0.63067305,0.00000000,0.01454055,0.08434621,2.78657263,0.60411097
1.44972486,1.27002857,0.64230228,0.00000000,0.01540289,0.08921932,2.83208906,0.65560608
1.45572786,1.33284852,0.65136152,0.00000000,0.01631270,0.09560188,2.86997991,0.71637325
1.46173087,1.40135448,0.65787001,0.00000000,0.01727071,0.10346789,2.90028137,0.78630363
1.46773387,1.47538593,0.66189974,0.00000000,0.01827672,0.11277020,2.92323714,0.86516427
1.47373687,1.55470307,0.66356922,0.00000000,0.01932927,0.12343949,2.93926995,0.95258394
1.47973987,1.63896774,0.66303533,0.00000000,0.02042537,0.13538339,2.94894500,1.04804099
1.48574287,1.72772572,0.66048380,0.00000000,0.02156027,0.14848608,2.95292731,1.15085419
1.49174587,1.82039192,0.65611882,0.00000000,0.02272725,0.16260829,2.95193554,1.26017764
1.49774887,1.91623984,0.65015230,0.00000000,0.02391751,0.17758796,2.94669501,1.37500054
1.50375188,2.01439655,0.64279352,0.00000000,0.02512015,0.19324153,2.93789239,1.49415268
1.50975488,2.11384423,0.63423963,0.00000000,0.02632225,0.20936605,2.92613487,1.61631596
1.51575788,2.21342897,0.62466744,0.00000000,0.02750901,0.22574198,2.91191581,1.74004229
1.52176088,2.31187696,0.61422716,0.00000000,0.02866407,0.24213683,2.89558886,1.86377757
1.52776388,2.40781805,0.60303816,0.00000000,0.02976985,0.25830939,2.87735166,1.98589148
1.53376688,2.49981602,0.59118697,0.00000000,0.03080805,0.27401464,2.85723997,2.10471207
1.53976988,2.58640454,0.57872765,0.00000000,0.03176009,0.28900902,2.83513215,2.21856432
1.54577289,2.66612740,0.56568421,0.00000000,0.03260776,0.30305596,2.81076339,2.32581112
1.55177589,2.73758146,0.55205500,0.00000000,0.03333375,0.31593155,2.78374872,2.42489535
1.55777889,2.79946025,0.53781861,0.00000000,0.03392222,0.32742998,2.75361303,2.51438136
1.56378189,2.85059653,0.52294080,0.00000000,0.03435938,0.33736869,2.71982616,2.59299433
1.56978489,2.89000166,0.50738212,0.00000000,0.03463391,0.34559293,2.68184104,2.65965582
1.57578789,2.91690005,0.49110546,0.00000000,0.03473740,0.35197968,2.63913241,2.71351425
1.58179090,2.93075730,0.47408326,0.00000000,0.03466464,0.35644063,2.59123411,2.75396909
1.58779390,2.93130050,0.45630381,0.00000000,0.03441379,0.35892426,2.53777287,2.78068769
1.59379690,2.91853004,0.43777633,0.00000000,0.03398647,0.35941689,2.47849691,2.79361434
1.59979990,2.89272240,0.41853450,0.00000000,0.03338772,0.35794272,2.41329810,2.79297101
1.60580290,2.85442383,0.39863844,0.00000000,0.03262581,0.35456278,2.34222677,2.77924997
1.61180590,2.80443524,0.37817484,0.00000000,0.03171205,0.34937300,2.26549871,2.75319850
1.61780890,2.74378908,0.35725555,0.00000000,0.03066036,0.34250140,2.18349449,2.71579624
1.62381191,2.67371914,0.33601469,0.00000000,0.02948694,0.33410445,2.09675137,2.66822610
1.62981491,2.59562456,0.31460453,0.00000000,0.02820974,0.32436294,2.00594871,2.61183972
1.63581791,2.51102936,0.29319037,0.00000000,0.02684803,0.31347726,1.91188779,2.54811863
1.64182091,2.42153919,0.27194491,0.00000000,0.02542187,0.30166240,1.81546733,2.47863237
1.64782391,2.32879666,0.25104234,0.00000000,0.02395163,0.28914274,1.71765596,2.40499504
1.65382691,2.23443688,0.23065249,0.00000000,0.02245750,0.27614681,1.61946312,2.32882139
1.65982991,2.14004458,0.21093532,0.00000000,0.02095912,0.26290212,1.52190943,2.25168409
1.66583292,2.04711413,0.19203615,0.00000000,0.01947515,0.24963020,1.42599798,2.17507308
1.67183592,1.95701361,0.17408159,0.00000000,0.01802297,0.23654189,1.33268741,2.10035850
1.67783892,1.87095387,0.15717648,0.00000000,0.01661843,0.22383312,1.24286761,2.02875803
1.68384192,1.78996333,0.14140185,0.00000000,0.01527558,0.21168107,1.15733882,1.96130965
1.68984492,1.71486900,0.12681390,0.00000000,0.01400661,0.20024093,1.07679441,1.89885038
1.69584792,1.64628413,0.11344394,0.00000000,0.01282167,0.18964320,1.00180778,1.84200174
1.70185093,1.58460253,0.10129930,0.00000000,0.01172884,0.17999173,0.93282324,1.79116206
1.70785393,1.52999948,0.09036487,0.00000000,0.01073418,0.17136228,0.87015102,1.74650572
1.71385693,1.48243886,0.08060545,0.00000000,0.00984164,0.16380194,0.81396611,1.70798930
1.71985993,1.44168614,0.07196837,0.00000000,0.00905325,0.15732907,0.76431063,1.67536406
1.72586293,1.40732649,0.06438658,0.00000000,0.00836909,0.15193410,0.72109945,1.64819438
1.73186593,1.37878727,0.05778180,0.00000000,0.00778749,0.14758083,0.68412858,1.62588118
