energy_ev,total_up,Pb_p_up,Pb_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-4.36718359,2.92399673,0.47448948,0.00199039,1.12826468,2.10348374,0.55008462,0.00000000
-4.36118059,2.83821242,0.45285143,0.00193824,1.08186732,2.05227377,0.52483496,0.00000000
-4.35517759,2.75396642,0.43162637,0.00189688,1.03527226,2.00203206,0.49993844,0.00000000
-4.34917459,2.67241940,0.41094994,0.00186861,0.98886093,1.95359436,0.47563423,0.00000000
-4.34317159,2.59474850,0.39096576,0.00185568,0.94301646,1.90782324,0.45213709,0.00000000
-4.33716858,2.52213080,0.37182451,0.00186026,0.89811978,1.86559474,0.42963597,0.00000000
-4.33116558,2.45572364,0.35368235,0.00188440,0.85454495,1.82778213,0.40829327,0.00000000
-4.32516258,2.39664208,0.33669857,0.00192994,0.81265367,1.79523716,0.38824462,0.00000000
-4.31915958,2.34593417,0.32103270,0.00199852,0.77278918,1.76876939,0.36959904,0.00000000
-4.31315658,2.30455487,0.30684116,0.00209151,0.73526969,1.74912431,0.35243954,0.00000000
-4.30715358,2.27333984,0.29427347,0.00220994,0.70038165,1.73696129,0.33682391,0.00000000
-4.30115058,2.25298012,0.28346830,0.00235451,0.66837317,1.73283228,0.32278592,0.00000000
-4.29514757,2.24399901,0.27454949,0.00252553,0.63944791,1.73716231,0.31033669,0.00000000
-4.28914457,2.24673242,0.26762219,0.00272287,0.61375975,1.75023285,0.29946639,0.00000000
-4.28314157,2.26131378,0.26276922,0.00294598,0.59140862,1.77216884,0.29014614,0.00000000
-4.27713857,2.28766437,0.26004789,0.00319384,0.57243766,1.80293024,0.28233028,0.00000000
-4.27113557,2.32548982,0.25948735,0.00346495,0.55683199,1.84230857,0.27595875,0.00000000
-4.26513257,2.37428323,0.26108649,0.00375736,0.54451913,1.88992877,0.27095978,0.00000000
-4.25912956,2.43333480,0.26481263,0.00406868,0.53537112,1.94525643,0.26725269,0.00000000
-4.25312656,2.50174790,0.27060088,0.00439606,0.52920829,2.00761022,0.26475079,0.00000000
-4.24712356,2.57846092,0.27835430,0.00473628,0.52580456,2.07617886,0.26336419,0.00000000
-4.24112056,2.66227394,0.28794474,0.00508579,0.52489397,2.15004210,0.26300257,0.00000000
-4.23511756,2.75187926,0.29921450,0.00544072,0.52617827,2.22819476,0.26357756,0.00000000
-4.22911456,2.84589439,0.31197855,0.00579701,0.52933514,2.30957264,0.26500490,0.00000000
-4.22311156,2.94289607,0.32602747,0.00615044,0.53402681,2.39307930,0.26720596,0.00000000
-4.21710855,3.04145397,0.34113078,0.00649673,0.53990862,2.47761248,0.27010880,0.00000000
-4.21110555,3.14016253,0.35704084,0.00683161,0.54663734,2.56208904,0.27364853,0.00000000
-4.20510255,3.23766980,0.37349693,0.00715094,0.55387879,2.64546736,0.27776704,0.00000000
-4.19909955,3.33270208,0.39022969,0.00745076,0.56131462,2.72676631,0.28241213,0.00000000
-4.19309655,3.42408358,0.40696555,0.00772738,0.56864803,2.80508024,0.28753600,0.00000000
-4.18709355,3.51075049,0.42343128,0.00797744,0.57560826,2.87958937,0.29309328,0.00000000
-4.18109055,3.59175932,0.43935839,0.00819802,0.58195388,2.94956555,0.29903875,0.00000000
-4.17508754,3.66628951,0.45448735,0.00838662,0.58747473,3.01437347,0.30532480,0.00000000
-4.16908454,3.73364073,0.46857157,0.00854126,0.59199274,3.07346758,0.31189898,0.00000000
-4.16308154,3.79322573,0.48138104,0.00866045,0.59536161,3.12638557,0.31870161,0.00000000
-4.15707854,3.84455944,0.49270562,0.00874326,0.59746554,3.17273888,0.32566386,0.00000000
-4.15107554,3.88724573,0.50235782,0.00878926,0.59821732,3.21220152,0.33270630,0.00000000
-4.14507254,3.92096296,0.51017525,0.00879851,0.59755576,3.24449815,0.33973811,0.00000000
-4.13906953,3.94544953,0.51602251,0.00877158,0.59544291,3.26939236,0.34665716,0.00000000
-4.13306653,3.96049099,0.51979266,0.00870944,0.59186112,3.28667650,0.35335083,0.00000000
-4.12706353,3.96590940,0.52140825,0.00861348,0.58681026,3.29616372,0.35969779,0.00000000
-4.12106053,3.96155634,0.52082184,0.00848539,0.58030518,3.29768309,0.36557056,0.00000000
-4.11505753,3.94730975,0.51801617,0.00832719,0.57237356,3.29107837,0.37083888,0.00000000
-4.10905453,3.92307533,0.51300383,0.00814111,0.56305424,3.27621060,0.37537373,0.00000000
-4.10305153,3.88879228,0.50582663,0.00792959,0.55239618,3.25296453,0.37905173,0.00000000
-4.09704852,3.84444302,0.49655446,0.00769518,0.54045780,3.22125853,0.38176000,0.00000000
-4.09104552,3.79006641,0.48528389,0.00744058,0.52730691,3.18105739,0.38340092,0.00000000
-4.08504252,3.72577321,0.47213632,0.00716852,0.51302098,3.13238721,0.38389682,0.00000000
-4.07903952,3.65176286,0.45725582,0.00688179,0.49768768,3.07535114,0.38319429,0.00000000
-4.07303652,3.56834011,0.44080663,0.00658320,0.48140554,3.01014508,0.38126781,0.00000000
-4.06703352,3.47593010,0.42297031,0.00627553,0.46428454,2.93707187,0.37812261,0.00000000
-4.06103052,3.37509052,0.40394260,0.00596157,0.44644658,2.85655288,0.37379656,0.00000000
-4.05502751,3.26651974,0.38393009,0.00564404,0.42802555,2.76913594,0.36836091,0.00000000
-4.04902451,3.15105959,0.36314664,0.00532563,0.40916690,2.67549862,0.36191984,0.00000000
-4.04302151,3.02969245,0.34180963,0.00500894,0.39002678,2.57644629,0.35460877,0.00000000
-4.03701851,2.90353175,0.32013629,0.00469649,0.37077043,2.47290450,0.34659144,0.00000000
-4.03101551,2.77380633,0.29833988,0.00439066,0.35156999,2.36590574,0.33805584,0.00000000
-4.02501251,2.64183855,0.27662616,0.00409373,0.33260179,2.25657076,0.32920905,0.00000000
-4.01900950,2.50901711,0.25518999,0.00380778,0.31404300,2.14608504,0.32027130,0.00000000
-4.01300650,2.37676552,0.23421223,0.00353474,0.29606791,2.03567147,0.31146923,0.00000000
-4.00700350,2.24650745,0.21385709,0.00327630,0.27884396,1.92656003,0.30302883,0.00000000
-4.00100050,2.11963047,0.19426994,0.00303392,0.26252765,1.81995607,0.29516812,0.00000000
-3.99499750,1.99744980,0.17557557,0.00280880,0.24726044,1.71700843,0.28809002,0.00000000
-3.98899450,1.88117358,0.15787714,0.00260184,0.23316505,1.61877874,0.28197550,0.00000000
-3.98299150,1.77187139,0.14125556,0.00241369,0.22034201,1.52621356,0.27697755,0.00000000
-3.97698849,1.67044724,0.12576962,0.00224466,0.20886698,1.44012016,0.27321589,0.00000000
