energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up
1.07153577,0.33770864,0.00077959,0.15628688,0.13011321,0.01199971,0.12073293,0.00000000,0.15847087,0.00000000
1.07753877,0.36913989,0.00089659,0.16738899,0.14078067,0.01283423,0.13306024,0.00000000,0.17517176,0.00000000
1.08354177,0.40133643,0.00102577,0.17820127,0.15148053,0.01364319,0.14594570,0.00000000,0.19257415,0.00000000
1.08954477,0.43400402,0.00116733,0.18857586,0.16209496,0.01441532,0.15930727,0.00000000,0.21054043,0.00000000
1.09554777,0.46681724,0.00132142,0.19836501,0.17250017,0.01513953,0.17304831,0.00000000,0.22890858,0.00000000
1.10155078,0.49942443,0.00148826,0.20742463,0.18256873,0.01580521,0.18705839,0.00000000,0.24749369,0.00000000
1.10755378,0.53145415,0.00166812,0.21561790,0.19217223,0.01640246,0.20121481,0.00000000,0.26609045,0.00000000
1.11355678,0.56252298,0.00186144,0.22281885,0.20118417,0.01692247,0.21538496,0.00000000,0.28447670,0.00000000
1.11955978,0.59224469,0.00206886,0.22891579,0.20948303,0.01735775,0.22942943,0.00000000,0.30241792,0.00000000
1.12556278,0.62024041,0.00229138,0.23381438,0.21695549,0.01770241,0.24320583,0.00000000,0.31967272,0.00000000
1.13156578,0.64614968,0.00253042,0.23744036,0.22349960,0.01795233,0.25657342,0.00000000,0.33599908,0.00000000
1.13756878,0.66964194,0.00278798,0.23974178,0.22902788,0.01810539,0.26939821,0.00000000,0.35116125,0.00000000
1.14357179,0.69042802,0.00306673,0.24069061,0.23347019,0.01816154,0.28155849,0.00000000,0.36493697,0.00000000
1.14957479,0.70827139,0.00337014,0.24028376,0.23677633,0.01812290,0.29295050,0.00000000,0.37712492,0.00000000
1.15557779,0.72299829,0.00370258,0.23854333,0.23891812,0.01799372,0.30349399,0.00000000,0.38755183,0.00000000
1.16158079,0.73450665,0.00406937,0.23551624,0.23989105,0.01778035,0.31313747,0.00000000,0.39607917,0.00000000
1.16758379,0.74277295,0.00447687,0.23127313,0.23971518,0.01749111,0.32186253,0.00000000,0.40260892,0.00000000
1.17358679,0.74785678,0.00493243,0.22590657,0.23843542,0.01713608,0.32968735,0.00000000,0.40708821,0.00000000
1.17958979,0.74990255,0.00544433,0.21952869,0.23612100,0.01672691,0.33666868,0.00000000,0.40951241,0.00000000
1.18559280,0.74913822,0.00602169,0.21226825,0.23286417,0.01627647,0.34290232,0.00000000,0.40992665,0.00000000
1.19159580,0.74587063,0.00667425,0.20426730,0.22877803,0.01579853,0.34852172,0.00000000,0.40842538,0.00000000
1.19759880,0.74047759,0.00741212,0.19567743,0.22399368,0.01530745,0.35369468,0.00000000,0.40515007,0.00000000
1.20360180,0.73339676,0.00824543,0.18665586,0.21865662,0.01481768,0.35861807,0.00000000,0.40028496,0.00000000
1.20960480,0.72511155,0.00918391,0.17736140,0.21292250,0.01434345,0.36351066,0.00000000,0.39405105,0.00000000
1.21560780,0.71613452,0.01023646,0.16795044,0.20695249,0.01389831,0.36860424,0.00000000,0.38669840,0.00000000
1.22161081,0.70698884,0.01141060,0.15857308,0.20090821,0.01349474,0.37413338,0.00000000,0.37849725,0.00000000
1.22761381,0.69818853,0.01271194,0.14936954,0.19494658,0.01314378,0.38032408,0.00000000,0.36972806,0.00000000
1.23361681,0.69021823,0.01414359,0.14046693,0.18921473,0.01285471,0.38738200,0.00000000,0.36067112,0.00000000
1.23961981,0.68351341,0.01570568,0.13197648,0.18384510,0.01263470,0.39548069,0.00000000,0.35159604,0.00000000
1.24562281,0.67844197,0.01739486,0.12399132,0.17895103,0.01248862,0.40475041,0.00000000,0.34275171,0.00000000
