energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up
-2.27813907,2.98578510,0.02705027,0.42459559,0.84211518,0.09732603,1.78239840,1.86167278,0.35391921,0.00000000
-2.27213607,2.94347129,0.02663049,0.41905109,0.83196799,0.09525926,1.75367174,1.84101765,0.34482256,0.00000000
-2.26613307,2.89925223,0.02632020,0.41267708,0.82058634,0.09310775,1.72365888,1.81984475,0.33631219,0.00000000
-2.26013007,2.85362162,0.02611755,0.40553537,0.80799755,0.09089465,1.69236336,1.79845096,0.32854336,0.00000000
-2.25412706,2.80706194,0.02601757,0.39769863,0.79423507,0.08864227,1.65981682,1.77711290,0.32164887,0.00000000
-2.24812406,2.76004968,0.02601249,0.38925123,0.77934262,0.08637205,1.62609453,1.75609057,0.31573676,0.00000000
-2.24212106,2.71305850,0.02609199,0.38028941,0.76337741,0.08410450,1.59132768,1.73563027,0.31088842,0.00000000
-2.23611806,2.66656002,0.02624363,0.37092058,0.74641241,0.08185910,1.55571187,1.71596654,0.30715734,0.00000000
-2.23011506,2.62102159,0.02645326,0.36126181,0.72853724,0.07965417,1.51951124,1.69732277,0.30456834,0.00000000
-2.22411206,2.57690132,0.02670551,0.35143754,0.70985802,0.07750668,1.48305828,1.67991041,0.30311738,0.00000000
-2.21810905,2.53464047,0.02698430,0.34157657,0.69049601,0.07543208,1.44674932,1.66392694,0.30277209,0.00000000
-2.21210605,2.49465397,0.02727337,0.33180847,0.67058526,0.07344402,1.41103646,1.64955277,0.30347283,0.00000000
-2.20610305,2.45731987,0.02755689,0.32225974,0.65026964,0.07155413,1.37641631,1.63694759,0.30513450,0.00000000
-2.20010005,2.42296864,0.02781996,0.31304973,0.62969933,0.06977178,1.34341678,1.62624655,0.30764910,0.00000000
-2.19409705,2.39187343,0.02804919,0.30428680,0.60902732,0.06810398,1.31258249,1.61755687,0.31088895,0.00000000
-2.18809405,2.36424234,0.02823324,0.29606481,0.58840588,0.06655515,1.28446015,1.61095529,0.31471061,0.00000000
-2.18209105,2.34021341,0.02836328,0.28846019,0.56798361,0.06512723,1.25958444,1.60648688,0.31895944,0.00000000
-2.17608804,2.31985320,0.02843343,0.28152983,0.54790297,0.06381964,1.23846548,1.60416547,0.32347473,0.00000000
-2.17008504,2.30315919,0.02844115,0.27530990,0.52829859,0.06262957,1.22157825,1.60397591,0.32809524,0.00000000
-2.16408204,2.29006636,0.02838742,0.26981563,0.50929634,0.06155222,1.20935444,1.60587816,0.33266499,0.00000000
-2.15807904,2.28045743,0.02827701,0.26504219,0.49101318,0.06058123,1.20217690,1.60981312,0.33703913,0.00000000
-2.15207604,2.27417662,0.02811846,0.26096646,0.47355765,0.05970918,1.20037654,1.61570984,0.34108968,0.00000000
-2.14607304,2.27104589,0.02792409,0.25754981,0.45703095,0.05892818,1.20423149,1.62349381,0.34471095,0.00000000
-2.14007004,2.27088295,0.02770977,0.25474149,0.44152834,0.05823043,1.21396800,1.63309558,0.34782429,0.00000000
-2.13406703,2.27351978,0.02749464,0.25248266,0.42714070,0.05760892,1.22976256,1.64445945,0.35038221,0.00000000
-2.12806403,2.27882056,0.02730073,0.25071069,0.41395607,0.05705801,1.25174463,1.65755132,0.35237136,0.00000000
-2.12206103,2.28669786,0.02715243,0.24936351,0.40206097,0.05657395,1.27999938,1.67236537,0.35381453,0.00000000
-2.11605803,2.29712612,0.02707589,0.24838392,0.39154133,0.05615541,1.31456971,1.68892889,0.35477139,0.00000000
-2.11005503,2.31015135,0.02709834,0.24772337,0.38248294,0.05580377,1.35545737,1.70730505,0.35533791,0.00000000
-2.10405203,2.32589650,0.02724737,0.24734524,0.37497129,0.05552337,1.40262257,1.72759311,0.35564457,0.00000000
-2.09804902,2.34456205,0.02755016,0.24722734,0.36909089,0.05532155,1.45598205,1.74992619,0.35585326,0.00000000
-2.09204602,2.36642159,0.02803266,0.24736352,0.36492394,0.05520853,1.51540574,1.77446647,0.35615311,0.00000000
-2.08604302,2.39181249,0.02871885,0.24776432,0.36254852,0.05519712,1.58071198,1.80139803,0.35675525,0.00000000
-2.08004002,2.42112216,0.02962995,0.24845660,0.36203633,0.05530230,1.65166198,1.83091779,0.35788673,0.00000000
-2.07403702,2.45477036,0.03078370,0.24948223,0.36345009,0.05554057,1.72795374,1.86322475,0.35978390,0.00000000
-2.06803402,2.49318837,0.03219375,0.25089580,0.36684074,0.05592928,1.80921635,1.89850832,0.36268520,0.00000000
-2.06203102,2.53679612,0.03386902,0.25276161,0.37224458,0.05648575,1.89500505,1.93693611,0.36682381,0.00000000
-2.05602801,2.58597814,0.03581331,0.25514986,0.37968037,0.05722643,1.98479798,1.97864199,0.37242031,0.00000000
-2.05002501,2.64105942,0.03802487,0.25813248,0.38914663,0.05816592,2.07799500,2.02371482,0.37967547,0.00000000
-2.04402201,2.70228244,0.04049619,0.26177850,0.40061916,0.05931609,2.17391924,2.07218848,0.38876341,0.00000000
-2.03801901,2.76978600,0.04321389,0.26614940,0.41404882,0.06068521,2.27182159,2.12403373,0.39982533,0.00000000
-2.03201601,2.84358712,0.04615872,0.27129454,0.42935977,0.06227712,2.37088839,2.17915210,0.41296388,0.00000000
-2.02601301,2.92356635,0.04930575,0.27724678,0.44644806,0.06409062,2.47025226,2.23737221,0.42823834,0.00000000
-2.02001001,3.00945735,0.05262465,0.28401867,0.46518074,0.06611890,2.56900576,2.29844847,0.44566077,0.00000000
-2.01400700,3.10084096,0.05608013,0.29159924,0.48539552,0.06834922,2.66621743,2.36206234,0.46519302,0.00000000
-2.00800400,3.19714396,0.05963253,0.29995152,0.50690091,0.07076273,2.76094976,2.42782581,0.48674504,0.00000000
-2.00200100,3.29764256,0.06323847,0.30901110,0.52947704,0.07333458,2.85227805,2.49528703,0.51017420,0.00000000
-1.99599800,3.40147052,0.06685170,0.31868548,0.55287709,0.07603410,2.93930960,2.56393762,0.53528588,0.00000000
