energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.36968484,4.45146101,1.07361519,3.19144125,0.01666526,0.15064946,0.01298459,0.49569199,0.69800106,0.37790188
-5.36368184,4.44798655,1.07612112,3.19375227,0.01635788,0.14897012,0.01310385,0.49795677,0.69199323,0.37500051
-5.35767884,4.43394394,1.07614406,3.18845520,0.01598165,0.14697914,0.01322535,0.49934343,0.68494745,0.37077538
-5.35167584,4.40891273,1.07355698,3.17518408,0.01553896,0.14468809,0.01334412,0.49975534,0.67686311,0.36524670
-5.34567284,4.37259896,1.06825098,3.15366502,0.01503350,0.14211192,0.01345487,0.49910493,0.66773729,0.35845553
-5.33966983,4.32484753,1.06013872,3.12372778,0.01447020,0.13926859,0.01355202,0.49731598,0.65756631,0.35046272
-5.33366683,4.26565324,1.04915825,3.08531618,0.01385505,0.13617858,0.01362991,0.49432585,0.64634767,0.34134736
-5.32766383,4.19516956,1.03527705,3.03849688,0.01319504,0.13286443,0.01368291,0.49008772,0.63408216,0.33120486
-5.32166083,4.11371457,1.01849593,2.98346565,0.01249788,0.12935013,0.01370560,0.48457260,0.62077612,0.32014467
-5.31565783,4.02177320,0.99885249,2.92055063,0.01177187,0.12566062,0.01369294,0.47777106,0.60644362,0.30828778
-5.30965483,3.91999546,0.97642381,2.85021205,0.01102560,0.12182128,0.01364039,0.46969448,0.59110851,0.29576403
-5.30365183,3.80919004,0.95132813,2.77303810,0.01026777,0.11785755,0.01354412,0.46037584,0.57480609,0.28270934
-5.29764882,3.69031340,0.92372528,2.68973663,0.00950696,0.11379456,0.01340110,0.44986985,0.55758446,0.26926298
-5.29164582,3.56445427,0.89381581,2.60112308,0.00875139,0.10965693,0.01320927,0.43825245,0.53950527,0.25556494
-5.28564282,3.43281398,0.86183858,2.50810460,0.00800876,0.10546868,0.01296754,0.42561971,0.52064400,0.24175340
-5.27963982,3.29668328,0.82806708,2.41166108,0.00728611,0.10125327,0.01267593,0.41208602,0.50108967,0.22796256
-5.27363682,3.15741634,0.79280445,2.31282369,0.00658964,0.09703365,0.01233557,0.39778181,0.48094397,0.21432062
