energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-5.86193097,4.69493864,2.42715116,0.65221346,0.01179899,0.56282710,1.31472965,1.16452281,0.01992478,2.29661021
-5.85592796,4.67165461,2.41552892,0.65114130,0.01231523,0.54635783,1.30042441,1.16351386,0.02037107,2.28972286
-5.84992496,4.63129801,2.39340880,0.64762551,0.01279269,0.52770237,1.28019453,1.15885165,0.02072720,2.27447519
-5.84392196,4.57450501,2.36118320,0.64169705,0.01322189,0.50712479,1.25439692,1.15063360,0.02098369,2.25115791
-5.83791896,4.50212844,2.31938951,0.63342523,0.01359378,0.48491016,1.22347266,1.13899829,0.02113265,2.22017184
-5.83191596,4.41522785,2.26869869,0.62291790,0.01389999,0.46135781,1.18793668,1.12412577,0.02116805,2.18202347
-5.82591296,4.31505594,2.20990106,0.61032060,0.01413315,0.43677463,1.14836585,1.10623748,0.02108601,2.13731841
-5.81990995,4.20304121,2.14388980,0.59581472,0.01428714,0.41146846,1.10538572,1.08559559,0.02088496,2.08675281
-5.81390695,4.08076683,2.07164235,0.57961459,0.01435731,0.38574179,1.05965643,1.06250153,0.02056574,2.03110272
-5.80790395,3.94994606,1.99420053,0.56196359,0.01434064,0.35988597,1.01185822,1.03729363,0.02013166,1.97121151
-5.80190095,3.81239429,1.91264961,0.54312938,0.01423592,0.33417598,0.96267679,1.01034374,0.01958836,1.90797549
-5.79589795,3.66999841,1.82809688,0.52339833,0.01404374,0.30886600,0.91278923,0.98205276,0.01894371,1.84232804
-5.78989495,3.52468378,1.74165046,0.50306935,0.01376655,0.28418584,0.86285056,0.95284503,0.01820756,1.77522246
-5.78389195,3.37837975,1.65439849,0.48244738,0.01340853,0.26033813,0.81348147,0.92316162,0.01739145,1.70761398
-5.77788894,3.23298423,1.56738950,0.46183653,0.01297553,0.23749651,0.76525748,0.89345276,0.01650825,1.64044137
-5.77188594,3.09032848,1.48161414,0.44153333,0.01247481,0.21580465,0.71869955,0.86416930,0.01557178,1.57460857
-5.76588294,2.95214266,1.39798884,0.42182014,0.01191487,0.19537605,0.67426666,0.83575368,0.01459641,1.51096678
-5.75987994,2.82002332,1.31734148,0.40295889,0.01130515,0.17629471,0.63235004,0.80863048,0.01359668,1.45029770
-5.75387694,2.69540355,1.24039967,0.38518552,0.01065575,0.15861628,0.59326936,0.78319701,0.01258684,1.39329809
-5.74787394,2.57952667,1.16778140,0.36870502,0.00997711,0.14236993,0.55727071,0.75981400,0.01158060,1.34056635
-5.74187094,2.47342409,1.09998863,0.35368740,0.00927974,0.12756057,0.52452630,0.73879701,0.01059071,1.29259131
-5.73586793,2.37789805,1.03740347,0.34026459,0.00857391,0.11417139,0.49513584,0.72040853,0.00962878,1.24974373
-5.72986493,2.29350960,0.98028722,0.32852835,0.00786938,0.10216667,0.46912925,0.70485136,0.00870505,1.21227053
-5.72386193,2.22057226,0.92878207,0.31852922,0.00717522,0.09149462,0.44647078,0.69226324,0.00782828,1.18029214
-5.71785893,2.15915133,0.88291530,0.31027652,0.00649955,0.08209036,0.42706418,0.68271312,0.00700564,1.15380286
-5.71185593,2.10906909,0.84260588,0.30373935,0.00584946,0.07387867,0.41075876,0.67619909,0.00624278,1.13267431
-5.70585293,2.06991549,0.80767317,0.29884859,0.00523089,0.06677680,0.39735627,0.67264822,0.00554381,1.11666186
-5.69984992,2.04106424,0.77784743,0.29549979,0.00464857,0.06069695,0.38661823,0.67191813,0.00491145,1.10541382
-5.69384692,2.02169378,0.75278192,0.29355682,0.00410603,0.05554866,0.37827376,0.67380050,0.00434713,1.09848316
-5.68784392,2.01081257,0.73206612,0.29285624,0.00360563,0.05124085,0.37202758,0.67802629,0.00385123,1.09534150
-5.68184092,2.00728805,0.71523988,0.29321228,0.00314864,0.04768371,0.36756813,0.68427268,0.00342318,1.09539487
-5.67583792,2.00987860,0.70180796,0.29442219,0.00273530,0.04479024,0.36457559,0.69217137,0.00306171,1.09800088
-5.66983492,2.01726753,0.69125469,0.29627194,0.00236499,0.04247763,0.36272974,0.70131825,0.00276505,1.10248687
-5.66383192,2.02809827,0.68305842,0.29854204,0.00203631,0.04066826,0.36171743,0.71128405,0.00253105,1.10816842
-5.65782891,2.04100989,0.67670522,0.30101334,0.00174727,0.03929058,0.36123954,0.72162558,0.00235742,1.11436782
-5.65182591,2.05467179,0.67170164,0.30347279,0.00149535,0.03827965,0.36101735,0.73189749,0.00224180,1.12043187
-5.64582291,2.06781682,0.66758620,0.30571869,0.00127774,0.03757753,0.36079811,0.74166396,0.00218186,1.12574862
-5.63981991,2.07927164,0.66393914,0.30756569,0.00109137,0.03713337,0.36035966,0.75051005,0.00217543,1.12976241
-5.63381691,2.08798368,0.66039044,0.30884903,0.00093306,0.03690337,0.35951406,0.75805238,0.00222046,1.13198684
-5.62781391,2.09304371,0.65662572,0.30942823,0.00079965,0.03685050,0.35811014,0.76394879,0.00231505,1.13201532
-5.62181091,2.09370342,0.65238996,0.30918979,0.00068802,0.03694405,0.35603478,0.76790654,0.00245739,1.12952882
-5.61580790,2.08938759,0.64748903,0.30804917,0.00059520,0.03715906,0.35321304,0.76968899,0.00264575,1.12430061
-5.60980490,2.07970037,0.64178897,0.30595172,0.00051842,0.03747561,0.34960700,0.76912036,0.00287831,1.11619794
-5.60380190,2.06442569,0.63521319,0.30287273,0.00045512,0.03787791,0.34521355,0.76608847,0.00315311,1.10518055
-5.59779890,2.04352187,0.62773777,0.29881651,0.00040301,0.03835348,0.34006104,0.76054550,0.00346791,1.09129630
-5.59179590,2.01711077,0.61938508,0.29381465,0.00036006,0.03889216,0.33420499,0.75250652,0.00382007,1.07467399
-5.58579290,1.98546213,0.61021613,0.28792345,0.00032448,0.03948520,0.32772314,0.74204627,0.00420646,1.05551379
-5.57978989,1.94897374,0.60032198,0.28122077,0.00029476,0.04012429,0.32070995,0.72929394,0.00462332,1.03407579
-5.57378689,1.90814853,0.58981460,0.27380228,0.00026964,0.04080083,0.31327078,0.71442663,0.00506621,1.01066704
-5.56778389,1.86356956,0.57881775,0.26577743,0.00024807,0.04150513,0.30551606,0.69766148,0.00552997,0.98562782
-5.56178089,1.81587404,0.56745815,0.25726522,0.00022920,0.04222591,0.29755571,0.67924706,0.00600869,0.95931754
-5.55577789,1.76572763,0.55585751,0.24839001,0.00021239,0.04294989,0.28949401,0.65945428,0.00649575,0.93210114
-5.54977489,1.71380001,0.54412560,0.23927745,0.00019713,0.04366161,0.28142505,0.63856739,0.00698387,0.90433622
-5.54377189,1.66074286,0.53235485,0.23005080,0.00018308,0.04434343,0.27342915,0.61687532,0.00746526,0.87636170
-5.53776888,1.60717098,0.52061653,0.22082765,0.00016999,0.04497580,0.26557018,0.59466376,0.00793175,0.84848818
-5.53176588,1.55364734,0.50895865,0.21171726,0.00015772,0.04553762,0.25789388,0.57220837,0.00837496,0.82099057
-5.52576288,1.50067234,0.49740574,0.20281850,0.00014621,0.04600685,0.25042736,0.54976927,0.00878656,0.79410286
-5.51975988,1.44867766,0.48596020,0.19421843,0.00013544,0.04636122,0.24317953,0.52758696,0.00915844,0.76801544
-5.51375688,1.39802436,0.47460522,0.18599159,0.00012548,0.04657909,0.23614249,0.50587981,0.00948302,0.74287464
-5.50775388,1.34900524,0.46330897,0.17819986,0.00011640,0.04664025,0.22929378,0.48484306,0.00975346,0.71878444
-5.50175088,1.30185062,0.45202971,0.17089285,0.00010832,0.04652686,0.22259923,0.46464914,0.00996387,0.69581006
-5.49574787,1.25673709,0.44072151,0.16410880,0.00010139,0.04622423,0.21601630,0.44544929,0.01010955,0.67398305
-5.48974487,1.21379827,0.42934017,0.15787574,0.00009578,0.04572155,0.20949762,0.42737609,0.01018713,0.65330740
-5.48374187,1.17313664,0.41784894,0.15221290,0.00009166,0.04501252,0.20299467,0.41054666,0.01019471,0.63376629
-5.47773887,1.13483572,0.40622381,0.14713217,0.00008923,0.04409572,0.19646119,0.39506620,0.01013193,0.61532895
-5.47173587,1.09897143,0.39445781,0.14263956,0.00008871,0.04297487,0.18985640,0.38103163,0.00999997,0.59795722
-5.46573287,1.06562211,0.38256435,0.13873644,0.00009033,0.04165888,0.18314763,0.36853487,0.00980156,0.58161136
-5.45972986,1.03487641,0.37057920,0.13542063,0.00009433,0.04016161,0.17631241,0.35766564,0.00954083,0.56625486
-5.45372686,1.00683855,0.35856115,0.13268714,0.00010098,0.03850154,0.16933999,0.34851350,0.00922322,0.55185793
-5.44772386,0.98163075,0.34659121,0.13052862,0.00011054,0.03670120,0.16223200,0.34116887,0.00885527,0.53839960
-5.44172086,0.95939275,0.33477047,0.12893548,0.00012331,0.03478649,0.15500258,0.33572320,0.00844442,0.52586836
-5.43571786,0.94027841,0.32321682,0.12789569,0.00013957,0.03278587,0.14767781,0.33226791,0.00799874,0.51426147
-5.42971486,0.92444982,0.31206056,0.12739435,0.00015960,0.03072949,0.14029456,0.33089246,0.00752671,0.50358304
-5.42371186,0.91206935,0.30143929,0.12741316,0.00018369,0.02864827,0.13289885,0.33168150,0.00703695,0.49384115
-5.41770885,0.90329018,0.29149228,0.12792965,0.00021209,0.02657303,0.12554393,0.33471124,0.00653795,0.48504438
-5.41170585,0.89824597,0.28235465,0.12891662,0.00024504,0.02453364,0.11828800,0.34004536,0.00603789,0.47719801
-5.40570285,0.89704037,0.27415165,0.13034149,0.00028273,0.02255826,0.11119192,0.34773059,0.00554439,0.47030024
-5.39969985,0.89973708,0.26699330,0.13216603,0.00032529,0.02067267,0.10431682,0.35779225,0.00506433,0.46433891
-5.39369685,0.90635098,0.26096970,0.13434617,0.00037279,0.01889974,0.09772189,0.37023006,0.00460378,0.45928878
-5.38769385,0.91684104,0.25614719,0.13683228,0.00042522,0.01725901,0.09146233,0.38501427,0.00416784,0.45510976
-5.38169085,0.93110521,0.25256548,0.13956967,0.00048246,0.01576643,0.08558754,0.40208258,0.00376062,0.45174630
-5.37568784,0.94897776,0.25023603,0.14249948,0.00054430,0.01443419,0.08013970,0.42133785,0.00338518,0.44912771
-5.36968484,0.97022908,0.24914150,0.14555983,0.00061042,0.01327074,0.07515265,0.44264681,0.00304362,0.44716979
-5.36368184,0.99456809,0.24923650,0.14868727,0.00068035,0.01228082,0.07065114,0.46583986,0.00273704,0.44577730
-5.35767884,1.02164688,0.25044943,0.15181832,0.00075354,0.01146566,0.06665045,0.49071202,0.00246569,0.44484730
-5.35167584,1.05106755,0.25268537,0.15489120,0.00082929,0.01082322,0.06315639,0.51702501,0.00222900,0.44427298
-5.34567284,1.08239081,0.25582986,0.15784742,0.00090682,0.01034849,0.06016552,0.54451048,0.00202574,0.44394783
-5.33966983,1.11514583,0.25975336,0.16063335,0.00098521,0.01003382,0.05766573,0.57287421,0.00185410,0.44376969
-5.33366683,1.14884105,0.26431621,0.16320157,0.00106350,0.00986929,0.05563702,0.60180124,0.00171181,0.44364452
-5.32766383,1.18297532,0.26937381,0.16551192,0.00114066,0.00984308,0.05405242,0.63096176,0.00159629,0.44348955
-5.32166083,1.21704903,0.27478181,0.16753223,0.00121560,0.00994184,0.05287909,0.66001749,0.00150472,0.44323560
-5.31565783,1.25057470,0.28040111,0.16923864,0.00128728,0.01015105,0.05207944,0.68862846,0.00143418,0.44282855
-5.30965483,1.28308679,0.28610231,0.17061569,0.00135463,0.01045539,0.05161240,0.71645989,0.00138173,0.44222967
-5.30365183,1.31415025,0.29176962,0.17165586,0.00141667,0.01083909,0.05143453,0.74318899,0.00134448,0.44141502
-5.29764882,1.34336783,0.29730386,0.17235895,0.00147249,0.01128620,0.05150127,0.76851132,0.00131970,0.44037398
-5.29164582,1.37038575,0.30262455,0.17273115,0.00152132,0.01178093,0.05176801,0.79214676,0.00130481,0.43910693
-5.28564282,1.39489783,0.30767097,0.17278393,0.00156250,0.01230794,0.05219113,0.81384450,0.00129751,0.43762251
-5.27963982,1.41664796,0.31240219,0.17253287,0.00159556,0.01285255,0.05272895,0.83338728,0.00129571,0.43593443
-5.27363682,1.43543103,0.31679604,0.17199647,0.00162017,0.01340103,0.05334254,0.85059440,0.00129764,0.43405842
-5.26763382,1.45109240,0.32084711,0.17119498,0.00163621,0.01394080,0.05399645,0.86532363,0.00130178,0.43200920
-5.26163082,1.46352605,0.32456401,0.17014942,0.00164373,0.01446060,0.05465931,0.87747180,0.00130689,0.42979803
-5.25562781,1.47267158,0.32796591,0.16888080,0.00164295,0.01495070,0.05530431,0.88697422,0.00131200,0.42743075
-5.24962481,1.47851029,0.33107861,0.16740942,0.00163428,0.01540300,0.05590953,0.89380291,0.00131638,0.42490659
-5.24362181,1.48106055,0.33393044,0.16575458,0.00161822,0.01581118,0.05645824,0.89796369,0.00131948,0.42221778
-5.23761881,1.48037267,0.33654817,0.16393432,0.00159545,0.01617076,0.05693900,0.89949248,0.00132097,0.41934992
-5.23161581,1.47652356,0.33895315,0.16196547,0.00156669,0.01647918,0.05734572,0.89845080,0.00132064,0.41628300
-5.22561281,1.46961137,0.34115800,0.15986380,0.00153274,0.01673581,0.05767764,0.89492094,0.00131839,0.41299312
-5.21960980,1.45975038,0.34316393,0.15764424,0.00149444,0.01694195,0.05793915,0.88900081,0.00131421,0.40945462
-5.21360680,1.44706628,0.34495903,0.15532122,0.00145260,0.01710081,0.05813965,0.88079904,0.00130810,0.40564236
-5.20760380,1.43169212,0.34651739,0.15290891,0.00140801,0.01721743,0.05829327,0.87043032,0.00130013,0.40153423
-5.20160080,1.41376497,0.34779942,0.15042153,0.00136141,0.01729860,0.05841852,0.85801136,0.00129032,0.39711344
-5.19559780,1.39342355,0.34875306,0.14787349,0.00131347,0.01735271,0.05853794,0.84365771,0.00127868,0.39237050
-5.18959480,1.37080666,0.34931608,0.14527946,0.00126474,0.01738962,0.05867762,0.82748141,0.00126521,0.38730490
-5.18359180,1.34605265,0.34941911,0.14265434,0.00121571,0.01742046,0.05886675,0.80958971,0.00124985,0.38192610
-5.17758879,1.31929975,0.34898940,0.14001312,0.00116673,0.01745739,0.05913695,0.79008482,0.00123249,0.37625411
-5.17158579,1.29068711,0.34795502,0.13737066,0.00111809,0.01751337,0.05952172,0.76906459,0.00121302,0.37031932
-5.16558279,1.26035646,0.34624918,0.13474139,0.00106995,0.01760185,0.06005561,0.74662401,0.00119129,0.36416191
-5.15957979,1.22845422,0.34381451,0.13213894,0.00102241,0.01773646,0.06077349,0.72285742,0.00116715,0.35783061
-5.15357679,1.19513365,0.34060702,0.12957588,0.00097551,0.01793062,0.06170957,0.69786108,0.00114044,0.35138114
-5.14757379,1.16055698,0.33659938,0.12706332,0.00092923,0.01819719,0.06289648,0.67173596,0.00111105,0.34487430
-5.14157079,1.12489716,0.33178351,0.12461074,0.00088353,0.01854806,0.06436419,0.64459044,0.00107889,0.33837377
-5.13556778,1.08833904,0.32617214,0.12222575,0.00083833,0.01899372,0.06613897,0.61654269,0.00104393,0.33194399
-5.12956478,1.05107975,0.31979932,0.11991401,0.00079359,0.01954283,0.06824225,0.58772244,0.00100618,0.32564793
-5.12356178,1.01332834,0.31271993,0.11767928,0.00074925,0.02020187,0.07068962,0.55827210,0.00096577,0.31954506
-5.11755878,0.97530433,0.30500807,0.11552345,0.00070531,0.02097473,0.07348987,0.52834701,0.00092284,0.31368954
-5.11155578,0.93723549,0.29675455,0.11344684,0.00066176,0.02186242,0.07664414,0.49811475,0.00087766,0.30812881
-5.10555278,0.89935479,0.28806360,0.11144840,0.00061866,0.02286282,0.08014539,0.46775355,0.00083053,0.30290243
-5.09954977,0.86189670,0.27904905,0.10952611,0.00057610,0.02397056,0.08397803,0.43744994,0.00078183,0.29804151
-5.09354677,0.82509317,0.26983017,0.10767738,0.00053419,0.02517698,0.08811799,0.40739560,0.00073200,0.29356854
-5.08754377,0.78916946,0.26052747,0.10589950,0.00049308,0.02647023,0.09253304,0.37778370,0.00068147,0.28949773
-5.08154077,0.75434013,0.25125861,0.10419013,0.00045295,0.02783550,0.09718366,0.34880496,0.00063075,0.28583584
-5.07553777,0.72080546,0.24213486,0.10254780,0.00041397,0.02925543,0.10202419,0.32064349,0.00058032,0.28258351
-5.06953477,0.68874864,0.23325803,0.10097235,0.00037634,0.03071060,0.10700451,0.29347279,0.00053066,0.27973692
-5.06353177,0.65833372,0.22471828,0.09946544,0.00034023,0.03218020,0.11207198,0.26745206,0.00048221,0.27728992
-5.05752876,0.62970462,0.21659264,0.09803099,0.00030584,0.03364276,0.11717371,0.24272294,0.00043540,0.27523625
-5.05152576,0.60298513,0.20894448,0.09667551,0.00027329,0.03507700,0.12225905,0.21940690,0.00039059,0.27357204
-5.04552276,0.57827992,0.20182374,0.09540849,0.00024274,0.03646270,0.12728211,0.19760331,0.00034810,0.27229823
-5.03951976,0.55567629,0.19526794,0.09424253,0.00021426,0.03778158,0.13220429,0.17738833,0.00030817,0.27142283
-5.03351676,0.53524660,0.18930372,0.09319353,0.00018793,0.03901815,0.13699655,0.15881447,0.00027099,0.27096291
-5.02751376,0.51705098,0.18394880,0.09228060,0.00016377,0.04016044,0.14164142,0.14191093,0.00023669,0.27094612
-5.02151076,0.50114019,0.17921417,0.09152589,0.00014179,0.04120070,0.14613450,0.12668462,0.00020532,0.27141162
-5.01550775,0.48755809,0.17510625,0.09095424,0.00012195,0.04213581,0.15048539,0.11312162,0.00017688,0.27241030
-5.00950475,0.47634370,0.17162895,0.09059263,0.00010418,0.04296761,0.15471798,0.10118918,0.00015133,0.27400422
-5.00350175,0.46753242,0.16878534,0.09046946,0.00008841,0.04370297,0.15887003,0.09083794,0.00012858,0.27626526
-4.99749875,0.46115643,0.16657888,0.09061363,0.00007451,0.04435367,0.16299201,0.08200438,0.00010848,0.27927292
-4.99149575,0.45724402,0.16501418,0.09105355,0.00006236,0.04493601,0.16714532,0.07461332,0.00009088,0.28311143
-4.98549275,0.45581809,0.16409709,0.09181595,0.00005184,0.04547030,0.17139981,0.06858034,0.00007561,0.28786629
-4.97948974,0.45689375,0.16383439,0.09292472,0.00004279,0.04598010,0.17583096,0.06381424,0.00006246,0.29362031
-4.97348674,0.46047534,0.16423298,0.09439966,0.00003508,0.04649139,0.18051654,0.06021913,0.00005123,0.30044947
-4.96748374,0.46655315,0.16529863,0.09625536,0.00002855,0.04703157,0.18553325,0.05769658,0.00004172,0.30841887
-4.96148074,0.47510012,0.16703467,0.09850023,0.00002308,0.04762845,0.19095329,0.05614737,0.00003374,0.31757883
-4.95547774,0.48606884,0.16944044,0.10113563,0.00001852,0.04830921,0.19684116,0.05547321,0.00002709,0.32796164
-4.94947474,0.49938930,0.17250989,0.10415542,0.00001476,0.04909943,0.20325077,0.05557823,0.00002159,0.33957901
-4.94347174,0.51496751,0.17623042,0.10754563,0.00001168,0.05002216,0.21022304,0.05637036,0.00001709,0.35242037
-4.93746873,0.53268534,0.18058195,0.11128465,0.00000918,0.05109711,0.21778418,0.05776265,0.00001343,0.36645235
-4.93146573,0.55240165,0.18553642,0.11534365,0.00000716,0.05234000,0.22594454,0.05967452,0.00001048,0.38161922
-4.92546273,0.57395470,0.19105777,0.11968733,0.00000554,0.05376203,0.23469819,0.06203292,0.00000812,0.39784450
-4.91945973,0.59716593,0.19710230,0.12427511,0.00000426,0.05536956,0.24402319,0.06477352,0.00000624,0.41503350
-4.91345673,0.62184466,0.20361951,0.12906237,0.00000326,0.05716387,0.25388238,0.06784187,0.00000477,0.43307672
-4.90745373,0.64779376,0.21055320,0.13400207,0.00000247,0.05914114,0.26422481,0.07119444,0.00000362,0.45185381
-4.90145073,0.67481569,0.21784287,0.13904629,0.00000186,0.06129251,0.27498740,0.07479966,0.00000272,0.47123794
-4.89544772,0.70271871,0.22542529,0.14414794,0.00000139,0.06360432,0.28609701,0.07863881,0.00000203,0.49110023
-4.88944472,0.73132281,0.23323600,0.14926223,0.00000103,0.06605836,0.29747250,0.08270670,0.00000151,0.51131396
-4.88344172,0.76046500,0.24121079,0.15434812,0.00000076,0.06863223,0.30902687,0.08701216,0.00000111,0.53175842
-4.87743872,0.79000357,0.24928698,0.15936943,0.00000055,0.07129981,0.32066923,0.09157821,0.00000081,0.55232200
-4.87143572,0.81982122,0.25740443,0.16429568,0.00000040,0.07403167,0.33230662,0.09644188,0.00000059,0.57290446
-4.86543272,0.84982666,0.26550621,0.16910261,0.00000029,0.07679559,0.34384550,0.10165358,0.00000043,0.59341839
-4.85942971,0.87995476,0.27353896,0.17377233,0.00000021,0.07955710,0.35519311,0.10727609,0.00000031,0.61378948
-4.85342671,0.91016508,0.28145296,0.17829312,0.00000015,0.08228002,0.36625841,0.11338295,0.00000022,0.63395608
-4.84742371,0.94043901,0.28920185,0.18265894,0.00000010,0.08492707,0.37695290,0.12005639,0.00000015,0.65386771
-4.84142071,0.97077554,0.29674219,0.18686862,0.00000007,0.08746050,0.38719125,0.12738471,0.00000011,0.67348297
-4.83541771,1.00118592,0.30403278,0.19092483,0.00000005,0.08984273,0.39689175,0.13545912,0.00000008,0.69276678
-4.82941471,1.03168743,0.31103402,0.19483289,0.00000004,0.09203702,0.40597676,0.14437018,0.00000006,0.71168729
-4.82341171,1.06229651,0.31770717,0.19859950,0.00000003,0.09400824,0.41437314,0.15420374,0.00000004,0.73021263
-4.81740870,1.09302160,0.32401372,0.20223137,0.00000002,0.09572352,0.42201268,0.16503656,0.00000003,0.74830754
-4.81140570,1.12385580,0.32991490,0.20573397,0.00000002,0.09715303,0.42883253,0.17693175,0.00000003,0.76593021
-4.80540270,1.15476983,0.33537130,0.20911026,0.00000001,0.09827063,0.43477580,0.18993409,0.00000003,0.78302939
-4.79939970,1.18570531,0.34034273,0.21235960,0.00000001,0.09905449,0.43979198,0.20406542,0.00000004,0.79954186
-4.79339670,1.21656876,0.34478819,0.21547682,0.00000002,0.09948768,0.44383747,0.21932030,0.00000006,0.81539040
-4.78739370,1.24722651,0.34866608,0.21845143,0.00000002,0.09955859,0.44687600,0.23566212,0.00000008,0.83048224
-4.78139070,1.27750068,0.35193445,0.22126711,0.00000003,0.09926120,0.44887887,0.25301990,0.00000012,0.84470815
-4.77538769,1.30716655,0.35455149,0.22390134,0.00000005,0.09859528,0.44982511,0.27128587,0.00000018,0.85794212
-4.76938469,1.33595148,0.35647597,0.22632539,0.00000007,0.09756630,0.44970140,0.29031428,0.00000026,0.87004171
-4.76338169,1.36353554,0.35766781,0.22850438,0.00000010,0.09618531,0.44850180,0.30992130,0.00000037,0.88084908
-4.75737869,1.38955421,0.35808872,0.23039781,0.00000014,0.09446849,0.44622729,0.32988647,0.00000054,0.89019276
-4.75137569,1.41360305,0.35770279,0.23196018,0.00000020,0.09243668,0.44288520,0.34995556,0.00000077,0.89789022
-4.74537269,1.43524464,0.35647718,0.23314196,0.00000028,0.09011471,0.43848852,0.36984502,0.00000109,0.90375118
-4.73936968,1.45401775,0.35438284,0.23389078,0.00000040,0.08753063,0.43305519,0.38924798,0.00000154,0.90758171
-4.73336668,1.46944863,0.35139525,0.23415292,0.00000056,0.08471493,0.42660747,0.40784168,0.00000216,0.90918909
-4.72736368,1.48106421,0.34749528,0.23387494,0.00000078,0.08169965,0.41917142,0.42529609,0.00000301,0.90838743
-4.72136068,1.48840702,0.34267005,0.23300555,0.00000108,0.07851760,0.41077663,0.44128368,0.00000417,0.90500368
-4.71535768,1.49105126,0.33691390,0.23149758,0.00000148,0.07520158,0.40145610,0.45548976,0.00000572,0.89888425
-4.70935468,1.48861954,0.33022938,0.22931006,0.00000201,0.07178364,0.39124647,0.46762324,0.00000780,0.88990163
-4.70335168,1.48079962,0.32262822,0.22641022,0.00000273,0.06829458,0.38018849,0.47742721,0.00001056,0.87796100
-4.69734867,1.46736040,0.31413227,0.22277543,0.00000366,0.06476343,0.36832769,0.48468911,0.00001419,0.86300638
-4.69134567,1.44816645,0.30477434,0.21839497,0.00000489,0.06121714,0.35571519,0.48924983,0.00001893,0.84502614
-4.68534267,1.42319035,0.29459884,0.21327149,0.00000647,0.05768043,0.34240861,0.49101154,0.00002507,0.82405732
-4.67933967,1.39252205,0.28366220,0.20742208,0.00000851,0.05417564,0.32847293,0.48994378,0.00003297,0.80018877
-4.67333667,1.35637485,0.27203294,0.20087899,0.00001111,0.05072284,0.31398119,0.48608750,0.00004306,0.77356252
-4.66733367,1.31508734,0.25979139,0.19368974,0.00001440,0.04733986,0.29901494,0.47955695,0.00005582,0.74437353
-4.66133067,1.26912132,0.24702902,0.18591679,0.00001852,0.04404253,0.28366434,0.47053920,0.00007185,0.71286749
-4.65532766,1.21905534,0.23384728,0.17763665,0.00002367,0.04084485,0.26802789,0.45929134,0.00009183,0.67933671
-4.64932466,1.16557420,0.22035616,0.16893844,0.00003002,0.03775921,0.25221162,0.44613541,0.00011653,0.64411435
-4.64332166,1.10945468,0.20667220,0.15992206,0.00003780,0.03479660,0.23632790,0.43145125,0.00014681,0.60756699
