energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-5.84992496,2.22820025,0.24291862,1.00722141,0.01085715,0.08236336,0.31470202,0.93383092,0.01042846,0.18129680
-5.84392196,2.22464230,0.24169041,1.01621061,0.01130972,0.07920075,0.29979484,0.92609718,0.01011518,0.18019563
-5.83791896,2.22589014,0.24181137,1.02768617,0.01173221,0.07662004,0.28714078,0.91931050,0.00980028,0.18001932
-5.83191596,2.23157432,0.24315648,1.04137538,0.01211541,0.07458570,0.27663729,0.91350221,0.00948300,0.18069161
-5.82591296,2.24127955,0.24557886,1.05698548,0.01245041,0.07305438,0.26817336,0.90869401,0.00916260,0.18212260
-5.81990995,2.25456861,0.24891714,1.07421807,0.01272897,0.07197647,0.26163450,0.90490096,0.00883849,0.18421315
-5.81390695,2.27100589,0.25300300,1.09278315,0.01294372,0.07129782,0.25690758,0.90213442,0.00851030,0.18685924
-5.80790395,2.29017966,0.25766880,1.11241203,0.01308848,0.07096155,0.25388510,0.90040497,0.00817807,0.18995636
-5.80190095,2.31172243,0.26275491,1.13286881,0.01315846,0.07090986,0.25246894,0.89972511,0.00784222,0.19340356
-5.79589795,2.33532879,0.26811660,1.15395984,0.01315044,0.07108586,0.25257346,0.90011202,0.00750371,0.19710724
-5.78989495,2.36077019,0.27363008,1.17554101,0.01306287,0.07143532,0.25412784,0.90159009,0.00716400,0.20098440
-5.78389195,2.38790630,0.27919774,1.19752247,0.01289597,0.07190836,0.25707768,0.90419344,0.00682513,0.20496541
-5.77788894,2.41669267,0.28475220,1.21987082,0.01265170,0.07246088,0.26138593,0.90796819,0.00648967,0.20899612
-5.77188594,2.44718447,0.29025916,1.24260876,0.01233368,0.07305596,0.26703305,0.91297449,0.00616070,0.21303938
-5.76588294,2.47953635,0.29571891,1.26581220,0.01194712,0.07366484,0.27401656,0.91928820,0.00584178,0.21707578
-5.75987994,2.51399840,0.30116646,1.28960519,0.01149860,0.07426782,0.28234997,0.92700196,0.00553685,0.22110372
-5.75387694,2.55090838,0.30667030,1.31415291,0.01099589,0.07485470,0.29206110,0.93622572,0.00525019,0.22513887
-5.74787394,2.59068040,0.31232975,1.33965314,0.01044766,0.07542503,0.30318997,0.94708629,0.00498632,0.22921283
-5.74187094,2.63379050,0.31827114,1.36632654,0.00986325,0.07598794,0.31578615,0.95972597,0.00474985,0.23337128
-5.73586793,2.68075930,0.32464272,1.39440622,0.00925237,0.07656164,0.32990559,0.97429994,0.00454543,0.23767154
-5.72986493,2.73213235,0.33160861,1.42412714,0.00862482,0.07717259,0.34560719,0.99097245,0.00437761,0.24217962
-5.72386193,2.78845841,0.33934201,1.45571547,0.00799022,0.07785434,0.36294881,1.00991153,0.00425072,0.24696699
-5.71785893,2.85026638,0.34801768,1.48937860,0.00735780,0.07864604,0.38198301,1.03128245,0.00416874,0.25210690
-5.71185593,2.91804123,0.35780415,1.52529574,0.00673611,0.07959068,0.40275246,1.05523973,0.00413521,0.25767071
-5.70585293,2.99219949,0.36885582,1.56360967,0.00613294,0.08073309,0.42528508,1.08191799,0.00415310,0.26372400
-5.69984992,3.07306496,0.38130510,1.60441944,0.00555509,0.08211783,0.44958909,1.11142185,0.00422469,0.27032289
-5.69384692,3.16084513,0.39525511,1.64777441,0.00500835,0.08378687,0.47564800,1.14381508,0.00435152,0.27751045
-5.68784392,3.25560905,0.41077290,1.69366936,0.00449739,0.08577734,0.50341581,1.17910955,0.00453422,0.28531345
-5.68184092,3.35726724,0.42788372,1.74204099,0.00402579,0.08811933,0.53281247,1.21725428,0.00477252,0.29373959
-5.67583792,3.46555450,0.44656631,1.79276538,0.00359601,0.09083376,0.56371999,1.25812532,0.00506511,0.30277524
-5.66983492,3.58001622,0.46674963,1.84565673,0.00320948,0.09393061,0.59597930,1.30151691,0.00540968,0.31238382
-5.66383192,3.69999918,0.48831104,1.90046716,0.00286668,0.09740739,0.62938820,1.34713455,0.00580282,0.32250490
-5.65782891,3.82464738,0.51107623,1.95688763,0.00256720,0.10124806,0.66370058,1.39459067,0.00624010,0.33305420
-5.65182591,3.95290381,0.53482082,2.01455006,0.00230990,0.10542237,0.69862710,1.44340329,0.00671605,0.34392426
-5.64582291,4.08351868,0.55927376,2.07303067,0.00209297,0.10988583,0.73383757,1.49299829,0.00722424,0.35498617
-5.63981991,4.21506453,0.58412250,2.13185467,0.00191409,0.11458016,0.76896506,1.54271549,0.00775735,0.36609197
-5.63381691,4.34595853,0.60901983,2.19050240,0.00177055,0.11943435,0.80361176,1.59181879,0.00830734,0.37707801
-5.62781391,4.47449186,0.63359222,2.24841700,0.00165934,0.12436628,0.83735651,1.63951036,0.00886556,0.38776889
-5.62181091,4.59886579,0.65744941,2.30501363,0.00157728,0.12928485,0.86976391,1.68494858,0.00942290,0.39798216
-5.61580790,4.71723376,0.68019504,2.35969023,0.00152109,0.13409262,0.90039460,1.72726937,0.00997006,0.40753342
-5.60980490,4.82774832,0.70143789,2.41183972,0.00148752,0.13868875,0.92881655,1.76561027,0.01049770,0.41624169
-5.60380190,4.92861155,0.72080340,2.46086329,0.00147338,0.14297224,0.95461666,1.79913624,0.01099668,0.42393503
-5.59779890,5.01812711,0.73794500,2.50618465,0.00147562,0.14684527,0.97741254,1.82706656,0.01145834,0.43045593
-5.59179590,5.09475197,0.75255489,2.54726462,0.00149140,0.15021657,0.99686364,1.84870122,0.01187465,0.43566648
-5.58579290,5.15714575,0.76437369,2.58361551,0.00151812,0.15300454,1.01268144,1.86344615,0.01223849,0.43945306
-5.57978989,5.20421536,0.77319878,2.61481488,0.00155346,0.15514021,1.02463820,1.87083570,0.01254382,0.44173026
-5.57378689,5.23515309,0.77889082,2.64051784,0.00159540,0.15656962,1.03257380,1.87055161,0.01278586,0.44244402
-5.56778389,5.24946608,0.78137818,2.66046738,0.00164225,0.15725574,1.03640041,1.86243739,0.01296125,0.44157375
-5.56178089,5.24699589,0.78065916,2.67450217,0.00169266,0.15717979,1.03610489,1.84650736,0.01306812,0.43913341
-5.55577789,5.22792701,0.77680188,2.68256138,0.00174562,0.15634177,1.03174865,1.82295007,0.01310620,0.43517145
-5.54977489,5.19278386,0.76994176,2.68468614,0.00180048,0.15476040,1.02346525,1.79212559,0.01307678,0.42976969
-5.54377189,5.14241632,0.76027683,2.68101769,0.00185693,0.15247229,1.01145573,1.75455708,0.01298275,0.42304110
-5.53776888,5.07797442,0.74806096,2.67179205,0.00191500,0.14953045,0.99598206,1.71091678,0.01282849,0.41512676
-5.53176588,5.00087336,0.73359539,2.65733160,0.00197504,0.14600232,0.97735914,1.66200717,0.01261980,0.40619190
-5.52576288,4.91275047,0.71721887,2.63803393,0.00203770,0.14196721,0.95594561,1.60873824,0.01236371,0.39642142
-5.51975988,4.81541624,0.69929687,2.61435858,0.00210392,0.13751351,0.93213411,1.55210168,0.01206835,0.38601497
-5.51375688,4.71080152,0.68021030,2.58681229,0.00217488,0.13273556,0.90634136,1.49314332,0.01174273,0.37518178
-5.50775388,4.60090325,0.66034418,2.55593361,0.00225199,0.12773057,0.87899852,1.43293502,0.01139654,0.36413553
-5.50175088,4.48773129,0.64007670,2.52227750,0.00233685,0.12259554,0.85054216,1.37254689,0.01103991,0.35308935
-5.49574787,4.37325807,0.61976912,2.48640084,0.00243118,0.11742441,0.82140623,1.31302124,0.01068318,0.34225113
-5.48974487,4.25937335,0.59975686,2.44884935,0.00253684,0.11230544,0.79201509,1.25534883,0.01033671,0.33181938
-5.48374187,4.14784529,0.58034192,2.41014656,0.00265569,0.10731910,0.76277777,1.20044839,0.01001060,0.32197952
-5.47773887,4.04028893,0.56178704,2.37078511,0.00278965,0.10253628,0.73408354,1.14914974,0.00971455,0.31290093
-5.47173587,3.93814268,0.54431162,2.33122070,0.00294056,0.09801711,0.70629850,1.10218078,0.00945764,0.30473454
-5.46573287,3.84265281,0.52808932,2.29186858,0.00311016,0.09381016,0.67976327,1.06015854,0.00924814,0.29761109
-5.45972986,3.75486565,0.51324752,2.25310255,0.00330007,0.08995219,0.65479135,1.02358397,0.00909343,0.29164000
-5.45372686,3.67562672,0.49986836,2.21525611,0.00351167,0.08646834,0.63166815,0.99284018,0.00899980,0.28690877
-5.44772386,3.60558573,0.48799116,2.17862531,0.00374609,0.08337263,0.61065017,0.96819375,0.00897240,0.28348281
-5.44172086,3.54520623,0.47761619,2.14347288,0.00400417,0.08066888,0.59196445,0.94979850,0.00901517,0.28140571
-5.43571786,3.49477857,0.46870925,2.11003294,0.00428634,0.07835173,0.57580776,0.93770115,0.00913073,0.28069973
-5.42971486,3.45443481,0.46120702,2.07851591,0.00459265,0.07640793,0.56234564,0.93184824,0.00932039,0.28136658
-5.42371186,3.42416436,0.45502278,2.04911289,0.00492266,0.07481766,0.55171117,0.93209396,0.00958413,0.28338830
-5.41770885,3.40382924,0.45005224,2.02199919,0.00527543,0.07355583,0.54400335,0.93820815,0.00992060,0.28672829
-5.41170585,3.39317806,0.44617929,1.99733662,0.00564947,0.07259340,0.53928534,0.94988444,0.01032714,0.29133232
-5.40570285,3.39185829,0.44328132,1.97527427,0.00604269,0.07189853,0.53758250,0.96674804,0.01079984,0.29712967
-5.39969985,3.39942639,0.44123411,1.95594767,0.00645243,0.07143766,0.53888053,0.98836324,0.01133361,0.30403425
-5.39369685,3.41535582,0.43991599,1.93947647,0.00687538,0.07117639,0.54312381,1.01424056,0.01192226,0.31194582
-5.38769385,3.43904320,0.43921124,1.92596059,0.00730767,0.07108024,0.55021425,1.04384367,0.01255861,0.32075123
-5.38169085,3.46981307,0.43901276,1.91547540,0.00774481,0.07111526,0.56001071,1.07659618,0.01323463,0.33032579
-5.37568784,3.50692188,0.43922384,1.90806601,0.00818181,0.07124846,0.57232938,1.11188874,0.01394161,0.34053477
-5.36968484,3.54956186,0.43975923,1.90374137,0.00861319,0.07144822,0.58694515,1.14908637,0.01467027,0.35123503
-5.36368184,3.59686561,0.44054549,1.90246852,0.00903312,0.07168450,0.60359404,1.18753653,0.01541104,0.36227686
-5.35767884,3.64791202,0.44152072,1.90416756,0.00943552,0.07192908,0.62197694,1.22657785,0.01615418,0.37350603
-5.35167584,3.70173413,0.44263386,1.90870775,0.00981419,0.07215569,0.64176443,1.26554974,0.01689006,0.38476597
-5.34567284,3.75732947,0.44384361,1.91590529,0.01016297,0.07234017,0.66260277,1.30380285,0.01760933,0.39590021
-5.33966983,3.81367293,0.44511710,1.92552300,0.01047596,0.07246058,0.68412087,1.34071015,0.01830316,0.40675498
-5.33366683,3.86973236,0.44642854,1.93727229,0.01074766,0.07249741,0.70593802,1.37567851,0.01896346,0.41718183
-5.32766383,3.92448665,0.44775779,1.95081742,0.01097320,0.07243364,0.72767228,1.40816041,0.01958307,0.42704047
-5.32166083,3.97694583,0.44908918,1.96578220,0.01114853,0.07225496,0.74894908,1.43766532,0.02015592,0.43620151
-5.31565783,4.02617265,0.45041040,1.98175902,0.01127062,0.07194990,0.76940985,1.46377037,0.02067723,0.44454914
-5.30965483,4.07130484,0.45171175,1.99831980,0.01133762,0.07150998,0.78872046,1.48612979,0.02114360,0.45198371
-5.30365183,4.11157729,0.45298564,2.01502882,0.01134899,0.07092979,0.80657905,1.50448257,0.02155310,0.45842403
-5.29764882,4.14634306,0.45422638,2.03145672,0.01130566,0.07020710,0.82272297,1.51865815,0.02190537,0.46380939
-5.29164582,4.17509254,0.45543034,2.04719529,0.01121007,0.06934288,0.83693482,1.52857947,0.02220157,0.46810123
-5.28564282,4.19746964,0.45659630,2.06187240,0.01106621,0.06834121,0.84904714,1.53426355,0.02244442,0.47128426
-5.27963982,4.21328447,0.45772609,2.07516653,0.01087959,0.06720924,0.85894574,1.53581911,0.02263811,0.47336718
-5.27363682,4.22252179,0.45882529,2.08682010,0.01065720,0.06595695,0.86657159,1.53344164,0.02278822,0.47438285
-5.26763382,4.22534458,0.45990416,2.09665123,0.01040733,0.06459696,0.87192113,1.52740574,0.02290161,0.47438776
-5.26163082,4.22209269,0.46097848,2.10456310,0.01013947,0.06314418,0.87504514,1.51805533,0.02298622,0.47346105
-5.25562781,4.21327622,0.46207034,2.11055052,0.00986406,0.06161550,0.87604603,1.50579192,0.02305094,0.47170285
-5.24962481,4.19956366,0.46320879,2.11470331,0.00959223,0.06002934,0.87507384,1.49106154,0.02310539,0.46923197
-5.24362181,4.18176511,0.46443024,2.11720607,0.00933552,0.05840531,0.87232091,1.47434073,0.02315969,0.46618316
-5.23761881,4.16081078,0.46577856,2.11833423,0.00910560,0.05676369,0.86801542,1.45612230,0.02322419,0.46270367
-5.23161581,4.13772536,0.46730480,2.11844637,0.00891391,0.05512508,0.86241401,1.43690119,0.02330927,0.45894942
-5.22561281,4.11359886,0.46906649,2.11797277,0.00877133,0.05350991,0.85579360,1.41716104,0.02342502,0.45508075
-5.21960980,4.08955474,0.47112648,2.11740065,0.00868789,0.05193811,0.84844267,1.39736186,0.02358094,0.45125780
-5.21360680,4.06671613,0.47355139,2.11725655,0.00867239,0.05042869,0.84065223,1.37792911,0.02378574,0.44763570
-5.20760380,4.04617131,0.47640956,2.11808625,0.00873219,0.04899942,0.83270670,1.35924453,0.02404692,0.44435967
-5.20160080,4.02893931,0.47976869,2.12043331,0.00887285,0.04766653,0.82487505,1.34163882,0.02437062,0.44156020
-5.19559780,4.01593709,0.48369316,2.12481686,0.00909799,0.04644448,0.81740233,1.32538628,0.02476126,0.43934837
-5.18959480,4.00794925,0.48824124,2.13170967,0.00940907,0.04534572,0.81050207,1.31070152,0.02522133,0.43781168
-5.18359180,4.00560159,0.49346213,2.14151762,0.00980524,0.04438051,0.80434964,1.29773809,0.02575120,0.43701034
-5.17758879,4.00933965,0.49939322,2.15456141,0.01028333,0.04355683,0.79907701,1.28658898,0.02634895,0.43697443
-5.17158579,4.01941321,0.50605754,2.17106145,0.01083779,0.04288026,0.79476900,1.27728889,0.02701027,0.43770189
-5.16558279,4.03586758,0.51346162,2.19112684,0.01146077,0.04235401,0.79146136,1.26981801,0.02772842,0.43915762
-5.15957979,4.05854222,0.52159385,2.21474893,0.01214227,0.04197887,0.78914071,1.26410719,0.02849433,0.44127375
-5.15357679,4.08707694,0.53042351,2.24179991,0.01287029,0.04175333,0.78774642,1.26004411,0.02929668,0.44395115
-5.14757379,4.12092563,0.53990050,2.27203646,0.01363114,0.04167366,0.78717453,1.25748036,0.03012215,0.44706219
-5.14157079,4.15937688,0.54995580,2.30510846,0.01440972,0.04173410,0.78728337,1.25623908,0.03095574,0.45045466
-5.13556778,4.20158073,0.56050266,2.34057208,0.01518992,0.04192704,0.78790088,1.25612269,0.03178113,0.45395680
-5.12956478,4.24658037,0.57143845,2.37790676,0.01595504,0.04224326,0.78883324,1.25692076,0.03258115,0.45738326
-5.12356178,4.29334703,0.58264711,2.41653495,0.01668822,0.04267221,0.78987435,1.25841742,0.03333828,0.46054169
-5.11755878,4.34081668,0.59400197,2.45584363,0.01737293,0.04320227,0.79081585,1.26039813,0.03403518,0.46323974
-5.11155578,4.38792640,0.60536893,2.49520631,0.01799341,0.04382105,0.79145710,1.26265567,0.03465526,0.46529216
-5.10555278,4.43364884,0.61660964,2.53400434,0.01853517,0.04451566,0.79161459,1.26499508,0.03518316,0.46652769
-5.09954977,4.47702303,0.62758471,2.57164644,0.01898535,0.04527297,0.79113046,1.26723745,0.03560531,0.46679536
-5.09354677,4.51718010,0.63815662,2.60758528,0.01933315,0.04607987,0.78987944,1.26922254,0.03591033,0.46597002
-5.08754377,4.55336299,0.64819231,2.64133055,0.01957012,0.04692343,0.78777410,1.27081028,0.03608936,0.46395669
-5.08154077,4.58493940,0.65756533,2.67245780,0.01969040,0.04779109,0.78476802,1.27188128,0.03613637,0.46069375
-5.07553777,4.61140796,0.66615745,2.70061308,0.01969086,0.04867076,0.78085677,1.27233655,0.03604829,0.45615466
-5.06953477,4.63239784,0.67385982,2.72551320,0.01957119,0.04955090,0.77607670,1.27209666,0.03582503,0.45034821
-5.06353177,4.64766257,0.68057362,2.74694233,0.01933387,0.05042052,0.77050171,1.27110065,0.03546946,0.44331746
-5.05752876,4.65706921,0.68621037,2.76474533,0.01898404,0.05126922,0.76423807,1.26930498,0.03498719,0.43513723
-5.05152576,4.66058412,0.69069194,2.77881872,0.01852930,0.05208714,0.75741794,1.26668278,0.03438635,0.42591057
-5.04552276,4.65825685,0.69395034,2.78910040,0.01797947,0.05286493,0.75019160,1.26322361,0.03367724,0.41576423
-5.03951976,4.65020370,0.69592755,2.79555886,0.01734621,0.05359372,0.74271931,1.25893388,0.03287194,0.40484350
-5.03351676,4.63659211,0.69657537,2.79818301,0.01664269,0.05426509,0.73516293,1.25383793,0.03198387,0.39330664
-5.02751376,4.61762723,0.69585549,2.79697348,0.01588316,0.05487108,0.72767793,1.24797978,0.03102740,0.38131926
-5.02151076,4.59354135,0.69373970,2.79193592,0.01508253,0.05540425,0.72040636,1.24142524,0.03001738,0.36904875
-5.01550775,4.56458670,0.69021049,2.78307686,0.01425596,0.05585771,0.71347081,1.23426425,0.02896879,0.35665919
-5.00950475,4.53103167,0.68526180,2.77040227,0.01341845,0.05622530,0.70697002,1.22661295,0.02789636,0.34430681
-5.00350175,4.49316017,0.67890006,2.75391883,0.01258450,0.05650170,0.70097608,1.21861527,0.02681428,0.33213619
-4.99749875,4.45127358,0.67114533,2.73363753,0.01176775,0.05668271,0.69553328,1.21044342,0.02573601,0.32027718
-4.99149575,4.40569431,0.66203246,2.70957931,0.01098073,0.05676539,0.69065879,1.20229708,0.02467409,0.30884283
-4.98549275,4.35677012,0.65161224,2.68178186,0.01023460,0.05674843,0.68634470,1.19440082,0.02364004,0.29792796
-4.97948974,4.30487811,0.63995226,2.65030714,0.00953902,0.05663231,0.68256147,1.18699975,0.02264439,0.28760870
-4.97348674,4.25042731,0.62713753,2.61524873,0.00890202,0.05641964,0.67926231,1.18035310,0.02169663,0.27794255
-4.96748374,4.19385918,0.61327059,2.57673833,0.00832988,0.05611533,0.67638821,1.17472596,0.02080530,0.26896911
-4.96148074,4.13564518,0.59847116,2.53495074,0.00782718,0.05572678,0.67387322,1.17037933,0.01997807,0.26071125
-4.95547774,4.07628135,0.58287523,2.49010698,0.00739679,0.05526398,0.67164962,1.16755890,0.01922183,0.25317658
-4.94947474,4.01627946,0.56663353,2.44247495,0.00703989,0.05473951,0.66965263,1.16648301,0.01854277,0.24635912
-4.94347174,3.95615535,0.54990943,2.39236762,0.00675608,0.05416851,0.66782439,1.16733051,0.01794643,0.24024107
-4.93746873,3.89641467,0.53287634,2.34013877,0.00654347,0.05356840,0.66611694,1.17022896,0.01743773,0.23479461
-4.93146573,3.83753697,0.51571463,2.28617624,0.00639879,0.05295860,0.66449408,1.17524421,0.01702096,0.22998359
-4.92546273,3.77995897,0.49860823,2.23089326,0.00631754,0.05236010,0.66293206,1.18237161,0.01669975,0.22576513
-4.91945973,3.72405795,0.48174093,2.17471810,0.00629413,0.05179486,0.66141907,1.19152984,0.01647690,0.22209112
-4.91345673,3.67013652,0.46529267,2.11808267,0.00632199,0.05128515,0.65995368,1.20255750,0.01635430,0.21890956
-4.90745373,3.61840948,0.44943581,2.06141059,0.00639383,0.05085283,0.65854241,1.21521306,0.01633272,0.21616573
-4.90145073,3.56899383,0.43433157,2.00510539,0.00650169,0.05051852,0.65719661,1.22917812,0.01641161,0.21380337
-4.89544772,3.52190256,0.42012680,1.94953935,0.00663724,0.05030075,0.65592891,1.24406417,0.01658887,0.21176564
-4.88944472,3.47704264,0.40695111,1.89504351,0.00679188,0.05021512,0.65474958,1.25942245,0.01686070,0.20999608
-4.88344172,3.43421748,0.39491449,1.84189939,0.00695696,0.05027358,0.65366304,1.27475665,0.01722140,0.20843957
-4.87743872,3.39313376,0.38410550,1.79033263,0.00712401,0.05048363,0.65266476,1.28953797,0.01766322,0.20704313
-4.87143572,3.35341246,0.37459004,1.74050887,0.00728486,0.05084784,0.65173869,1.30322169,0.01817634,0.20575676
-4.86543272,3.31460335,0.36641068,1.69253202,0.00743191,0.05136335,0.65085558,1.31526479,0.01874888,0.20453424
-4.85942971,3.27620248,0.35958662,1.64644476,0.00755826,0.05202170,0.64997203,1.32514356,0.01936695,0.20333380
-4.85342671,3.23767164,0.35411415,1.60223135,0.00765789,0.05280875,0.64903047,1.33237068,0.02001495,0.20211869
-4.84742371,3.19845890,0.34996763,1.55982240,0.00772578,0.05370490,0.64795998,1.33651081,0.02067574,0.20085768
-4.84142071,3.15801924,0.34710088,1.51910130,0.00775806,0.05468550,0.64667788,1.33719419,0.02133112,0.19952534
-4.83541771,3.11583442,0.34544888,1.47991201,0.00775207,0.05572145,0.64509190,1.33412760,0.02196223,0.19810211
-4.82941471,3.07143102,0.34492977,1.44206781,0.00770642,0.05678001,0.64310287,1.32710235,0.02255010,0.19657428
-4.82341171,3.02439611,0.34544702,1.40536047,0.00762097,0.05782578,0.64060765,1.31599901,0.02307620,0.19493357
-4.81740870,2.97438987,0.34689163,1.36956959,0.00749680,0.05882177,0.63750223,1.30078881,0.02352302,0.19317669
-4.81140570,2.92115480,0.34914448,1.33447169,0.00733616,0.05973056,0.63368473,1.28153175,0.02387463,0.19130455
-4.80540270,2.86452138,0.35207850,1.29984862,0.00714232,0.06051552,0.62905825,1.25837173,0.02411721,0.18932143
-4.79939970,2.80441012,0.35556090,1.26549527,0.00691947,0.06114196,0.62353345,1.23152898,0.02423954,0.18723397
-4.79339670,2.74083038,0.35945525,1.23122607,0.00667247,0.06157825,0.61703072,1.20129035,0.02423335,0.18505012
-4.78739370,2.67387617,0.36362339,1.19688053,0.00640674,0.06179679,0.60948206,1.16799787,0.02409362,0.18277807
-4.78139070,2.60371959,0.36792727,1.16232753,0.00612797,0.06177490,0.60083253,1.13203644,0.02381874,0.18042533
-4.77538769,2.53060256,0.37223070,1.12746841,0.00584198,0.06149544,0.59104133,1.09382092,0.02341053,0.17799778
-4.76938469,2.45482733,0.37640090,1.09223917,0.00555444,0.06094730,0.58008267,1.05378350,0.02287415,0.17549908
-4.76338169,2.37674666,0.38031006,1.05661158,0.00527074,0.06012568,0.56794629,1.01236178,0.02221793,0.17293010
-4.75737869,2.29675415,0.38383673,1.02059366,0.00499578,0.05903210,0.55463787,0.96998799,0.02145300,0.17028880
-4.75137569,2.21527536,0.38686726,0.98422944,0.00473381,0.05767425,0.54017921,0.92707978,0.02059294,0.16757019
-4.74537269,2.13276008,0.38929712,0.94759828,0.00448836,0.05606567,0.52460837,0.88403287,0.01965325,0.16476666
-4.73936968,2.04967609,0.39103222,0.91081389,0.00426212,0.05422522,0.50797962,0.84121563,0.01865091,0.16186849
-4.73336668,1.96650452,0.39199021,0.87402306,0.00405689,0.05217646,0.49036330,0.79896566,0.01760377,0.15886463
-4.72736368,1.88373686,0.39210173,0.83740413,0.00387363,0.04994688,0.47184551,0.75758830,0.01653009,0.15574353
-4.72136068,1.80187334,0.39131161,0.80116531,0.00371241,0.04756711,0.45252760,0.71735695,0.01544803,0.15249421
-4.71535768,1.72142250,0.38957997,0.76554275,0.00357256,0.04507005,0.43252547,0.67851476,0.01437517,0.14910728
-4.70935468,1.64290153,0.38688325,0.73079826,0.00345266,0.04249004,0.41196848,0.64127762,0.01332820,0.14557602
-4.70335168,1.56683681,0.38321502,0.69721656,0.00335072,0.03986199,0.39099814,0.60583786,0.01232256,0.14189733
-4.69734867,1.49376430,0.37858663,0.66510207,0.00326431,0.03722064,0.36976643,0.57236844,0.01137226,0.13807262
-4.69134567,1.42422910,0.37302756,0.63477489,0.00319064,0.03459979,0.34843371,0.54102713,0.01048970,0.13410845
-4.68534267,1.35878378,0.36658545,0.60656609,0.00312676,0.03203172,0.32716639,0.51196044,0.00968565,0.13001708
-4.67933967,1.29798510,0.35932575,0.58081209,0.00306964,0.02954662,0.30613427,0.48530685,0.00896922,0.12581665
-4.67333667,1.24238866,0.35133095,0.55784805,0.00301637,0.02717212,0.28550769,0.46119919,0.00834795,0.12153119
-4.66733367,1.19254145,0.34269934,0.53800043,0.00296422,0.02493297,0.26545447,0.43976595,0.00782787,0.11719038
-4.66133067,1.14897216,0.33354324,0.52157860,0.00291074,0.02285080,0.24613693,0.42113136,0.00741363,0.11282894
-4.65532766,1.11217935,0.32398682,0.50886585,0.00285386,0.02094387,0.22770883,0.40541430,0.00710865,0.10848595
-4.64932466,1.08261785,0.31416334,0.50010977,0.00279196,0.01922707,0.21031256,0.39272596,0.00691524,0.10420382
-4.64332166,1.06068376,0.30421207,0.49551253,0.00272384,0.01771185,0.19407658,0.38316659,0.00683470,0.10002714
