energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.86793397,3.17066136,-3.17065721,0.01053890,-0.01053876,0.50908495,-0.50908512,0.01781268,-0.01781266,0.00000000,-0.00000000,1.57992209,-1.57991826,1.02557134,-1.02557032,0.01780289,-0.01780280,1.28525114,-1.28524905
-5.86193097,3.17715450,-3.17715699,0.01108757,-0.01108742,0.50899858,-0.50900061,0.01789375,-0.01789374,0.00000000,-0.00000000,1.59129009,-1.59128897,1.02101636,-1.02101851,0.01812653,-0.01812646,1.29203179,-1.29203127
-5.85592796,3.16963282,-3.16964191,0.01163240,-0.01163225,0.50573602,-0.50573987,0.01791517,-0.01791519,0.00000000,-0.00000000,1.59496247,-1.59496409,1.01131381,-1.01131908,0.01839227,-0.01839221,1.29422852,-1.29422959
-5.84992496,3.14820080,-3.14821630,0.01217395,-0.01217380,0.49935265,-0.49935826,0.01787510,-0.01787514,0.00000000,-0.00000000,1.59086234,-1.59086668,0.99659235,-0.99660063,0.01860038,-0.01860034,1.29180482,-1.29180746
-5.84392196,3.11326499,-3.11328657,0.01271396,-0.01271380,0.48997177,-0.48997904,0.01777284,-0.01777289,0.00000000,-0.00000000,1.57905996,-1.57906695,0.97709396,-0.97710507,0.01875288,-0.01875285,1.28482358,-1.28482773
-5.83791896,3.06552451,-3.06555170,0.01325534,-0.01325517,0.47778090,-0.47778968,0.01760891,-0.01760898,0.00000000,-0.00000000,1.55977254,-1.55978204,0.95316700,-0.95318070,0.01885348,-0.01885346,1.27344688,-1.27345244
-5.83191596,3.00595219,-3.00598438,0.01380205,-0.01380188,0.46302613,-0.46303623,0.01738510,-0.01738518,0.00000000,-0.00000000,1.53335936,-1.53337120,0.92525604,-0.92527201,0.01890747,-0.01890746,1.25793258,-1.25793943
-5.82591296,2.93576722,-2.93580371,0.01435901,-0.01435883,0.44600484,-0.44601607,0.01710444,-0.01710454,0.00000000,-0.00000000,1.50031259,-1.50032655,0.89388892,-0.89390680,0.01892154,-0.01892154,1.23862751,-1.23863549
-5.81990995,2.85640024,-2.85644024,0.01493182,-0.01493163,0.42705709,-0.42706923,0.01677116,-0.01677127,0.00000000,-0.00000000,1.46124382,-1.46125962,0.85966165,-0.85968105,0.01890360,-0.01890360,1.21595766,-1.21596658
-5.81390695,2.76945241,-2.76949506,0.01552655,-0.01552634,0.40655607,-0.40656887,0.01639058,-0.01639071,0.00000000,-0.00000000,1.41686706,-1.41688442,0.82322179,-0.82324229,0.01886244,-0.01886244,1.19041565,-1.19042531
-5.80790395,2.67665011,-2.67669450,0.01614941,-0.01614918,0.38489792,-0.38491114,0.01596899,-0.01596912,0.00000000,-0.00000000,1.36797882,-1.36799742,0.78525094,-0.78527211,0.01880746,-0.01880745,1.16254609,-1.16255626
-5.80190095,2.57979709,-2.57984231,0.01680646,-0.01680621,0.36249150,-0.36250489,0.01551344,-0.01551358,0.00000000,-0.00000000,1.31543599,-1.31545550,0.74644714,-0.74646854,0.01874833,-0.01874832,1.13292930,-1.13293976
-5.79589795,2.48072599,-2.48077111,0.01750323,-0.01750296,0.33974824,-0.33976155,0.01503163,-0.01503177,0.00000000,-0.00000000,1.26013254,-1.26015262,0.70750775,-0.70752894,0.01869468,-0.01869466,1.10216428,-1.10217479
-5.78989495,2.38125104,-2.38129518,0.01824445,-0.01824415,0.31707260,-0.31708559,0.01453160,-0.01453175,0.00000000,-0.00000000,1.20297582,-1.20299613,0.66911337,-0.66913394,0.01865571,-0.01865568,1.07085153,-1.07086187
