energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-5.51375688,2.85778755,0.43811241,1.78779213,0.00585339,0.19026865,0.32193137,0.54404017,0.01839206,0.27796225
-5.50775388,2.88343409,0.45274839,1.81751304,0.00617760,0.18781236,0.32135353,0.53363314,0.01778236,0.28211525
-5.50175088,2.91993286,0.46936047,1.85528197,0.00652928,0.18582933,0.32224837,0.52424442,0.01721065,0.28705172
-5.49574787,2.96739395,0.48790940,1.90094380,0.00690680,0.18435787,0.32467980,0.51611797,0.01668932,0.29279630
-5.48974487,3.02549648,0.50828477,1.95405106,0.00730731,0.18341039,0.32865626,0.50943703,0.01622841,0.29933820
-5.48374187,3.09349533,0.53030486,2.01387385,0.00772678,0.18297352,0.33413038,0.50432089,0.01583535,0.30663041
-5.47773887,3.17024386,0.55371907,2.07942011,0.00815999,0.18300908,0.34100062,0.50082429,0.01551476,0.31459039
-5.47173587,3.25423188,0.57821297,2.14946565,0.00860065,0.18345618,0.34911464,0.49893948,0.01526838,0.32310223
-5.46573287,3.34363734,0.60341578,2.22259291,0.00904151,0.18423400,0.35827441,0.49860054,0.01509515,0.33202017
-5.45972986,3.43638975,0.62891012,2.29723687,0.00947455,0.18524545,0.36824280,0.49968979,0.01499127,0.34117340
-5.45372686,3.53024269,0.65424381,2.37173656,0.00989122,0.18638127,0.37875143,0.50204588,0.01495051,0.35037181
-5.44772386,3.62285263,0.67894323,2.44439010,0.01028266,0.18752463,0.38950958,0.50547307,0.01496451,0.35941268
-5.44172086,3.71186079,0.70252781,2.51351111,0.01064004,0.18855589,0.40021365,0.50975130,0.01502314,0.36808782
-5.43571786,3.79497481,0.72452515,2.57748443,0.01095482,0.18935732,0.41055709,0.51464653,0.01511498,0.37619092
-5.42971486,3.87004697,0.74448620,2.63481883,0.01121903,0.18981773,0.42024020,0.51992090,0.01522776,0.38352487
-5.42371186,3.93514583,0.76199978,2.68419470,0.01142560,0.18983666,0.42897972,0.52534226,0.01534890,0.38990867
-5.41770885,3.98861859,0.77670614,2.72450495,0.01156854,0.18932810,0.43651765,0.53069281,0.01546594,0.39518371
-5.41170585,4.02914180,0.78830873,2.75488742,0.01164323,0.18822354,0.44262914,0.53577641,0.01556704,0.39921903
-5.40570285,4.05575855,0.79658395,2.77474777,0.01164653,0.18647426,0.44712911,0.54042442,0.01564138,0.40191560
-5.39969985,4.06790105,0.80138830,2.78377197,0.01157691,0.18405283,0.44987746,0.54449999,0.01567952,0.40320925
-5.39369685,4.06539794,0.80266280,2.78192807,0.01143451,0.18095376,0.45078259,0.54790064,0.01567369,0.40307225
-5.38769385,4.04846657,0.80043442,2.76945753,0.01122108,0.17719325,0.44980324,0.55055922,0.01561802,0.40151352
-5.38169085,4.01769099,0.79481454,2.74685658,0.01093999,0.17280822,0.44694860,0.55244335,0.01550860,0.39857752
-5.37568784,3.97398706,0.78599448,2.71484873,0.01059603,0.16785454,0.44227662,0.55355358,0.01534362,0.39434183
-5.36968484,3.91855667,0.77423834,2.67434992,0.01019525,0.16240464,0.43589079,0.55392027,0.01512323,0.38891365
-5.36368184,3.85283336,0.75987347,2.62642784,0.00974477,0.15654464,0.42793542,0.55359978,0.01484944,0.38242543
-5.35767884,3.77842213,0.74327904,2.57225756,0.00925250,0.15037102,0.41858972,0.55266990,0.01452597,0.37502976
-5.35167584,3.69703619,0.72487304,2.51307548,0.00872692,0.14398716,0.40806096,0.55122502,0.01415793,0.36689381
-5.34567284,3.61043361,0.70509850,2.45013361,0.00817676,0.13749969,0.39657692,0.54937125,0.01375159,0.35819366
-5.33966983,3.52035661,0.68440926,2.38465624,0.00761076,0.13101498,0.38437809,0.54722170,0.01331404,0.34910862
-5.33366683,3.42847608,0.66325599,2.31780083,0.00703746,0.12463576,0.37170988,0.54489214,0.01285285,0.33981589
-5.32766383,3.33634337,0.64207297,2.25062467,0.00646493,0.11845814,0.35881514,0.54249722,0.01237578,0.33048569
-5.32166083,3.24535133,0.62126605,2.18405854,0.00590060,0.11256899,0.34592736,0.54014742,0.01189050,0.32127719
-5.31565783,3.15670564,0.60120225,2.11888818,0.00535112,0.10704382,0.33326476,0.53794666,0.01140429,0.31233513
-5.30965483,3.07140720,0.58220134,2.05574411,0.00482227,0.10194529,0.32102548,0.53599071,0.01092388,0.30378746
-5.30365183,2.99024571,0.56452955,1.99509978,0.00431885,0.09732222,0.30938403,0.53436637,0.01045526,0.29574392
-5.29764882,2.91380403,0.54839560,1.93727766,0.00384470,0.09320927,0.29848912,0.53315131,0.01000360,0.28829563
-5.29164582,2.84247247,0.53394905,1.88246259,0.00340267,0.08962713,0.28846280,0.53241445,0.00957323,0.28151549
-5.28564282,2.77647157,0.52128090,1.83072130,0.00299471,0.08658334,0.27940095,0.53221686,0.00916761,0.27545960
-5.27963982,2.71588190,0.51042627,1.78202685,0.00262192,0.08407345,0.27137496,0.53261300,0.00878945,0.27016931
-5.27363682,2.66067887,0.50136901,1.73628643,0.00228462,0.08208271,0.26443438,0.53365214,0.00844080,0.26567384
-5.26763382,2.61077042,0.49404780,1.69337104,0.00198251,0.08058790,0.25861049,0.53537986,0.00812319,0.26199340
-5.26163082,2.56603568,0.48836358,1.65314530,0.00171473,0.07955953,0.25392028,0.53783952,0.00783779,0.25914251
-5.25562781,2.52636237,0.48418782,1.61549604,0.00148005,0.07896399,0.25037082,0.54107359,0.00758562,0.25713334
-5.24962481,2.49168114,0.48137127,1.58035798,0.00127689,0.07876577,0.24796360,0.54512475,0.00736765,0.25597899
-5.24362181,2.46199504,0.47975289,1.54773545,0.00110354,0.07892953,0.24669860,0.55003660,0.00718504,0.25569637
-5.23761881,2.43740274,0.47916847,1.51771900,0.00095817,0.07942196,0.24657780,0.55585417,0.00703918,0.25630861
-5.23161581,2.41811430,0.47945865,1.49049616,0.00083898,0.08021337,0.24760805,0.56262384,0.00693187,0.25784687
-5.22561281,2.40445876,0.48047609,1.46635585,0.00074423,0.08127893,0.24980294,0.57039298,0.00686531,0.26035127
-5.21960980,2.39688308,0.48209135,1.44568620,0.00067234,0.08259945,0.25318363,0.57920906,0.00684216,0.26387100
-5.21360680,2.39594232,0.48419744,1.42896589,0.00062190,0.08416175,0.25777869,0.58911832,0.00686545,0.26846352
-5.20760380,2.40228149,0.48671274,1.41674938,0.00059172,0.08595862,0.26362266,0.60016403,0.00693858,0.27419268
-5.20160080,2.41660947,0.48958235,1.40964653,0.00058085,0.08798822,0.27075369,0.61238422,0.00706511,0.28112597
-5.19559780,2.43966618,0.49277760,1.40829753,0.00058854,0.09025318,0.27921014,0.62580906,0.00724869,0.28933084
-5.18959480,2.47218414,0.49629410,1.41334410,0.00061429,0.09275924,0.28902636,0.64045788,0.00749280,0.29887024
-5.18359180,2.51484583,0.50014808,1.42539808,0.00065780,0.09551363,0.30022796,0.65633576,0.00780058,0.30979756
-5.17758879,2.56823873,0.50437155,1.44500870,0.00071893,0.09852320,0.31282661,0.67343003,0.00817462,0.32215112
-5.17158579,2.63280969,0.50900634,1.47262991,0.00079769,0.10179248,0.32681480,0.69170654,0.00861669,0.33594851
-5.16558279,2.70882072,0.51409731,1.50858896,0.00089419,0.10532162,0.34216074,0.71110596,0.00912758,0.35118102
-5.15957979,2.79630822,0.51968531,1.55305771,0.00100860,0.10910456,0.35880379,0.73154034,0.00970688,0.36780847
-5.15357679,2.89504751,0.52580001,1.60602788,0.00114107,0.11312725,0.37665057,0.75288997,0.01035283,0.38575480
-5.14757379,3.00452462,0.53245319,1.66729138,0.00129173,0.11736631,0.39557213,0.77500090,0.01106220,0.40490460
-5.14157079,3.12391705,0.53963284,1.73642679,0.00146061,0.12178800,0.41540231,0.79768325,0.01183017,0.42510101
-5.13556778,3.25208492,0.54729840,1.81279280,0.00164760,0.12634776,0.43593760,0.82071067,0.01265036,0.44614516
-5.12956478,3.38757368,0.55537754,1.89552917,0.00185241,0.13099015,0.45693853,0.84382096,0.01351483,0.46779732
-5.12356178,3.52862906,0.56376462,1.98356572,0.00207450,0.13564955,0.47813269,0.86671828,0.01441418,0.48977997
-5.11755878,3.67322453,0.57232111,2.07563927,0.00231310,0.14025123,0.49921943,0.88907687,0.01533765,0.51178268
-5.11155578,3.81910114,0.58087804,2.17031843,0.00256714,0.14471312,0.51987616,0.91054646,0.01627339,0.53346900
-5.10555278,3.96381876,0.58924032,2.26603560,0.00283524,0.14894799,0.53976605,0.93075940,0.01720864,0.55448486
-5.09954977,4.10481757,0.59719300,2.36112550,0.00311569,0.15286602,0.55854703,0.94933927,0.01813005,0.57446866
-5.09354677,4.23948798,0.60450900,2.45386887,0.00340649,0.15637776,0.57588161,0.96591097,0.01902400,0.59306229
-5.08754377,4.36524652,0.61095820,2.54254025,0.00370533,0.15939716,0.59144744,0.98011190,0.01987693,0.60992302
-5.08154077,4.47961524,0.61631733,2.62545788,0.00400962,0.16184468,0.60494797,0.99160385,0.02067573,0.62473564
-5.07553777,4.58030146,0.62038029,2.70103422,0.00431654,0.16365033,0.61612293,1.00008527,0.02140806,0.63722429
-5.06953477,4.66527488,0.62296838,2.76782501,0.00462309,0.16475639,0.62475809,1.00530337,0.02206272,0.64716362
-5.06353177,4.73283879,0.62393990,2.82457513,0.00492617,0.16511980,0.63069400,1.00706554,0.02262998,0.65438863
-5.05752876,4.78169246,0.62319872,2.87025929,0.00522260,0.16471409,0.63383319,1.00524955,0.02310185,0.65880281
-5.05152576,4.81098189,0.62070136,2.90411586,0.00550929,0.16353072,0.63414546,0.99981213,0.02347233,0.66038406
-5.04552276,4.82033653,0.61646221,2.92567253,0.00578325,0.16157974,0.63167113,0.99079526,0.02373764,0.65918827
-5.03951976,4.80989025,0.61055651,2.93476245,0.00604172,0.15888991,0.62652186,0.97833011,0.02389631,0.65535002
-5.03351676,4.78028536,0.60312113,2.93153008,0.00628227,0.15550806,0.61887905,0.96263800,0.02394928,0.64908063
-5.02751376,4.73265904,0.59435284,2.91642653,0.00650286,0.15149794,0.60898976,0.94402852,0.02389988,0.64066327
-5.02151076,4.66861263,0.58450423,2.89019414,0.00670194,0.14693839,0.59716034,0.92289451,0.02375381,0.63044549
-5.01550775,4.59016451,0.57387733,2.85384109,0.00687854,0.14192116,0.58374783,0.89970416,0.02351898,0.61882923
-5.00950475,4.49968838,0.56281522,2.80860669,0.00703227,0.13654832,0.56914956,0.87499034,0.02320531,0.60625881
-5.00350175,4.39983908,0.55169187,2.75591880,0.00716339,0.13092940,0.55379126,0.84933749,0.02282455,0.59320714
-4.99749875,4.29346880,0.54090071,2.69734501,0.00727284,0.12517839,0.53811412,0.82336652,0.02238987,0.58016090
-4.99149575,4.18353670,0.53084210,2.63453942,0.00736220,0.11941076,0.52256131,0.79771819,0.02191565,0.56760499
-4.98549275,4.07301557,0.52191052,2.56918711,0.00743369,0.11374054,0.50756443,0.77303560,0.02141700,0.55600696
-4.97948974,3.96479872,0.51448160,2.50294855,0.00749009,0.10827752,0.49353040,0.74994622,0.02090944,0.54580201
-4.97348674,3.86161093,0.50889973,2.43740602,0.00753470,0.10312484,0.48082926,0.72904440,0.02040845,0.53737891
-4.96748374,3.76592640,0.50546649,2.37401419,0.00757123,0.09837672,0.46978334,0.71087461,0.01992911,0.53106766
-4.96148074,3.67989687,0.50443045,2.31405660,0.00760370,0.09411667,0.46065811,0.69591620,0.01948568,0.52712894
-4.95547774,3.60529228,0.50597867,2.25860983,0.00763634,0.09041602,0.45365510,0.68457022,0.01909125,0.52574605
-4.94947474,3.54345604,0.51023011,2.20851641,0.00767342,0.08733282,0.44890702,0.67714863,0.01875740,0.52701943
-4.94347174,3.49527624,0.51723125,2.16436748,0.00771915,0.08491113,0.44647529,0.67386633,0.01849392,0.53096388
-4.93746873,3.46117347,0.52695409,2.12649561,0.00777756,0.08318056,0.44634993,0.67483637,0.01830857,0.53750876
-4.93146573,3.44110546,0.53929650,2.09497771,0.00785233,0.08215631,0.44845189,0.68006834,0.01820692,0.54650087
-4.92546273,3.43458781,0.55408492,2.06964773,0.00794670,0.08183923,0.45263756,0.68947025,0.01819222,0.55771006
-4.91945973,3.44072974,0.57107942,2.05011825,0.00806334,0.08221635,0.45870533,0.70285353,0.01826532,0.57083729
-4.91345673,3.45828305,0.58998068,2.03580977,0.00820427,0.08326148,0.46640389,0.71994132,0.01842476,0.58552477
-4.90745373,3.48570216,0.61043898,2.02598625,0.00837072,0.08493604,0.47544201,0.74037959,0.01866679,0.60136784
-4.90145073,3.52121253,0.63206448,2.01979525,0.00856314,0.08719002,0.48549925,0.76375077,0.01898554,0.61792820
-4.89544772,3.56288486,0.65443878,2.01631073,0.00878106,0.08996310,0.49623753,0.78958936,0.01937321,0.63474787
-4.88944472,3.60871182,0.67712710,2.01457667,0.00902312,0.09318585,0.50731276,0.81739924,0.01982034,0.65136353
-4.88344172,3.65668463,0.69969080,2.01364963,0.00928706,0.09678109,0.51838643,0.84667162,0.02031607,0.66732067
-4.87743872,3.70486634,0.72169968,2.01263855,0.00956968,0.10066531,0.52913668,0.87690351,0.02084852,0.68218711
-4.87143572,3.75145938,0.74274377,2.01074010,0.00986693,0.10475020,0.53926838,0.90761558,0.02140508,0.69556542
-4.86543272,3.79486488,0.76244418,2.00726846,0.01017397,0.10894429,0.54852211,0.93836908,0.02197283,0.70710387
-4.85942971,3.83373192,0.78046254,2.00167836,0.01048523,0.11315465,0.55668157,0.96878093,0.02253887,0.71650561
-4.85342671,3.86699512,0.79650902,1.99358081,0.01079456,0.11728863,0.56357938,0.99853659,0.02309069,0.72353584
-4.84742371,3.89389982,0.81034840,1.98275122,0.01109536,0.12125571,0.56910101,1.02740007,0.02361654,0.72802683
-4.84142071,3.91401413,0.82180431,1.96912984,0.01138073,0.12496928,0.57318682,1.05522078,0.02410568,0.72988067
-4.83541771,3.92722825,0.83076140,1.95281512,0.01164371,0.12834849,0.57583218,1.08193679,0.02454874,0.72906980
-4.82941471,3.93374135,0.83716556,1.93405034,0.01187741,0.13131995,0.57708568,1.10757459,0.02493789,0.72563540
-4.82341171,3.93403733,0.84102220,1.91320480,0.01207530,0.13381939,0.57704570,1.13224505,0.02526706,0.71968384
-4.81740870,3.92885068,0.84239283,1.89075036,0.01223135,0.13579309,0.57585521,1.15613601,0.02553207,0.71138135
-4.81140570,3.91912429,0.84138997,1.86723486,0.01234032,0.13719920,0.57369538,1.17950163,0.02573067,0.70094708
-4.80540270,3.90596113,0.83817090,1.84325349,0.01239789,0.13800870,0.57077786,1.20264888,0.02586262,0.68864510
-4.79939970,3.89057187,0.83293025,1.81941960,0.01240087,0.13820611,0.56733633,1.22592185,0.02592958,0.67477533
-4.79339670,3.87422056,0.82589189,1.79633619,0.01234735,0.13778984,0.56361741,1.24968437,0.02593502,0.65966393
-4.78739370,3.85817040,0.81730037,1.77456913,0.01223678,0.13677219,0.55987126,1.27430161,0.02588410,0.64365332
-4.78139070,3.84363163,0.80741222,1.75462316,0.01207007,0.13517895,0.55634228,1.30012144,0.02578344,0.62709219
-4.77538769,3.83171315,0.79648733,1.73692156,0.01184956,0.13304860,0.55326004,1.32745619,0.02564088,0.61032574
-4.76938469,3.82337944,0.78478081,1.72178988,0.01157903,0.13043121,0.55083085,1.35656551,0.02546520,0.59368635
-4.76338169,3.81941396,0.77253532,1.70944438,0.01126357,0.12738689,0.54923012,1.38764092,0.02526583,0.57748502
-4.75737869,3.82039003,0.75997437,1.69998507,0.01090947,0.12398407,0.54859592,1.42079265,0.02505254,0.56200361
-4.75137569,3.82664965,0.74729652,1.69339352,0.01052402,0.12029739,0.54902366,1.45603919,0.02483514,0.54748811
-4.74537269,3.83829078,0.73467070,1.68953521,0.01011530,0.11640555,0.55056237,1.49329992,0.02462314,0.53414314
-4.73936968,3.85516297,0.72223279,1.68816587,0.00969194,0.11238899,0.55321246,1.53239108,0.02442550,0.52212767
-4.73336668,3.87687126,0.71008345,1.68894162,0.00926282,0.10832751,0.55692518,1.57302520,0.02425039,0.51155209
-4.72736368,3.90278788,0.69828722,1.69143203,0.00883681,0.10429802,0.56160379,1.61481411,0.02410492,0.50247672
-4.72136068,3.93207120,0.68687295,1.69513571,0.00842251,0.10037239,0.56710638,1.65727533,0.02399500,0.49491171
-4.71535768,3.96369124,0.67583545,1.69949763,0.00802798,0.09661548,0.57325033,1.69984179,0.02392523,0.48881836
-4.70935468,3.99646070,0.66513830,1.70392759,0.00766048,0.09308349,0.57981826,1.74187468,0.02389879,0.48411184
-4.70335168,4.02907085,0.65471764,1.70781916,0.00732627,0.08982262,0.58656533,1.78267897,0.02391745,0.48066517
-4.69734867,4.06013098,0.64448696,1.71056849,0.00703047,0.08686809,0.59322759,1.82152125,0.02398161,0.47831441
-4.69134567,4.08821052,0.63434246,1.71159259,0.00677689,0.08424358,0.59953124,1.85764955,0.02409038,0.47686489
-4.68534267,4.11188262,0.62416906,1.71034639,0.00656799,0.08196109,0.60520238,1.89031442,0.02424175,0.47609833
-4.67933967,4.12976803,0.61384664,1.70633840,0.00640484,0.08002118,0.60997696,1.91879079,0.02443275,0.47578054
-4.67333667,4.14057814,0.60325635,1.69914444,0.00628712,0.07841363,0.61361060,1.94240000,0.02465968,0.47566960
-4.66733367,4.14315600,0.59228678,1.68841938,0.00621326,0.07711849,0.61588784,1.96053127,0.02491839,0.47552416
-4.66133067,4.13651410,0.58083981,1.67390647,0.00618045,0.07610739,0.61663054,1.97266196,0.02520453,0.47511159
-4.65532766,4.11986782,0.56883573,1.65544419,0.00618490,0.07534515,0.61570510,1.97837592,0.02551384,0.47421580
-4.64932466,4.09266345,0.55621773,1.63297063,0.00622195,0.07479155,0.61302809,1.97737925,0.02584242,0.47264433
-4.64332166,4.05459978,0.54295533,1.60652509,0.00628633,0.07440326,0.60857017,1.96951287,0.02618697,0.47023455
