energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-5.48974487,1.94978457,0.63717561,0.61143597,0.00415054,0.05189480,0.19512793,0.63579293,0.02123366,0.60638146
-5.48374187,1.89153717,0.61651416,0.59404634,0.00358006,0.05015174,0.17933624,0.62323307,0.02041876,0.58506087
-5.47773887,1.83289786,0.59589197,0.57720472,0.00311045,0.04843778,0.16493643,0.60909853,0.01959714,0.56368508
-5.47173587,1.77345126,0.57507571,0.56082824,0.00272765,0.04672692,0.15178501,0.59331032,0.01876483,0.54209828
-5.46573287,1.71298078,0.55388914,0.54491839,0.00241907,0.04499812,0.13974551,0.57584665,0.01791968,0.52019505
-5.45972986,1.65147079,0.53221523,0.52956219,0.00217372,0.04323560,0.12869156,0.55674169,0.01706134,0.49792090
-5.45372686,1.58910304,0.50999627,0.51493145,0.00198216,0.04142883,0.11850910,0.53608282,0.01619106,0.47527102
-5.44772386,1.52624766,0.48723195,0.50128006,0.00183656,0.03957247,0.10909774,0.51400641,0.01531156,0.45228746
-5.44172086,1.46344931,0.46397574,0.48893934,0.00173060,0.03766605,0.10037153,0.49069239,0.01442682,0.42905503
-5.43571786,1.40140881,0.44032977,0.47831156,0.00165937,0.03571361,0.09225890,0.46635784,0.01354189,0.40569608
-5.42971486,1.34096103,0.41643836,0.46986148,0.00161925,0.03372312,0.08470225,0.44124976,0.01266259,0.38236439
-5.42371186,1.28304948,0.39248070,0.46410622,0.00160777,0.03170592,0.07765698,0.41563737,0.01179540,0.35923851
-5.41770885,1.22869840,0.36866270,0.46160333,0.00162345,0.02967601,0.07109029,0.38980401,0.01094712,0.33651465
-5.41170585,1.17898284,0.34520860,0.46293736,0.00166566,0.02764938,0.06497964,0.36403912,0.01012478,0.31439950
-5.40570285,1.13499761,0.32235240,0.46870492,0.00173441,0.02564326,0.05931120,0.33863031,0.00933536,0.29310310
-5.39969985,1.09782547,0.30032951,0.47949848,0.00183021,0.02367548,0.05407816,0.31385592,0.00858568,0.27283202
-5.39369685,1.06850562,0.27936883,0.49588927,0.00195390,0.02176376,0.04927907,0.28997819,0.00788219,0.25378295
-5.38769385,1.04800273,0.25968547,0.51840928,0.00210651,0.01992519,0.04491627,0.26723720,0.00723090,0.23613692
-5.38169085,1.03717746,0.24147433,0.54753299,0.00228906,0.01817565,0.04099438,0.24584578,0.00663723,0.22005432
-5.37568784,1.03675891,0.22490468,0.58365903,0.00250248,0.01652944,0.03751896,0.22598550,0.00610592,0.20567067
-5.36968484,1.04731966,0.21011573,0.62709228,0.00274743,0.01499891,0.03449528,0.20780369,0.00564098,0.19309327
-5.36368184,1.06925394,0.19721348,0.67802698,0.00302420,0.01359424,0.03192730,0.19141168,0.00524559,0.18239892
-5.35767884,1.10275954,0.18626859,0.73653124,0.00333261,0.01232330,0.02981672,0.17688417,0.00492211,0.17363241
-5.35167584,1.14782390,0.17731543,0.80253371,0.00367194,0.01119158,0.02816226,0.16425963,0.00467201,0.16680605
-5.34567284,1.20421491,0.17035225,0.87581286,0.00404083,0.01020228,0.02695901,0.15354179,0.00449587,0.16190011
-5.33966983,1.27147696,0.16534232,0.95598963,0.00443729,0.00935634,0.02619801,0.14470203,0.00439337,0.15886405
-5.33366683,1.34893249,0.16221598,1.04252383,0.00485864,0.00865265,0.02586583,0.13768259,0.00436332,0.15761867
-5.32766383,1.43568952,0.16087361,1.13471505,0.00530159,0.00808827,0.02594439,0.13240050,0.00440366,0.15805891
-5.32166083,1.53065529,0.16118920,1.23170831,0.00576219,0.00765870,0.02641082,0.12875214,0.00451152,0.16005738
-5.31565783,1.63255630,0.16301457,1.33250485,0.00623600,0.00735813,0.02723753,0.12661819,0.00468329,0.16346855
-5.30965483,1.73996454,0.16618416,1.43597832,0.00671814,0.00717978,0.02839238,0.12586905,0.00491468,0.16813344
-5.30365183,1.85132989,0.17052014,1.54089620,0.00720348,0.00711621,0.02983892,0.12637046,0.00520088,0.17388479
-5.29764882,1.96501820,0.17583780,1.64594632,0.00768675,0.00715966,0.03153693,0.12798933,0.00553666,0.18055266
-5.29164582,2.07935438,0.18195118,1.74976800,0.00816278,0.00730233,0.03344302,0.13059961,0.00591659,0.18797032
-5.28564282,2.19266975,0.18867872,1.85098717,0.00862676,0.00753672,0.03551138,0.13408814,0.00633523,0.19598032
-5.27963982,2.30335230,0.19584890,1.94825445,0.00907439,0.00785591,0.03769475,0.13836038,0.00678738,0.20444064
-5.27363682,2.40989863,0.20330561,2.04028509,0.00950226,0.00825378,0.03994549,0.14334593,0.00726835,0.21323080
-5.26763382,2.51096589,0.21091333,2.12589949,0.00990802,0.00872532,0.04221677,0.14900359,0.00777430,0.22225773
-5.26163082,2.60542177,0.21856177,2.20406264,0.01029071,0.00926676,0.04446387,0.15532606,0.00830250,0.23146116
-5.25562781,2.69239072,0.22616986,2.27392099,0.01065099,0.00987573,0.04664551,0.16234388,0.00885167,0.24081853
