energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Si_p_up,Si_p_down,Si_d_up,Si_d_down
3.86293147,0.17884948,-0.62456426,0.26457284,-0.57138978,0.02678998,-0.21472031,0.00000002,-0.00278748,0.04345445,-0.10260846,0.13333395,-0.21809940,0.00000000,-0.00000000
3.86893447,0.16711273,-0.61346381,0.24720550,-0.56621461,0.02503155,-0.20861152,0.00000002,-0.00309710,0.04060958,-0.10384418,0.12458748,-0.21637318,0.00000000,-0.00000000
3.87493747,0.15508278,-0.60348790,0.22941245,-0.56255635,0.02322906,-0.20275721,0.00000002,-0.00343924,0.03768751,-0.10531468,0.11562346,-0.21520762,0.00000000,-0.00000000
3.88094047,0.14294420,-0.59476266,0.21146667,-0.56047044,0.02141012,-0.19721909,0.00000002,-0.00380981,0.03473337,-0.10702973,0.10657984,-0.21462896,0.00000000,-0.00000000
3.88694347,0.13087482,-0.58737857,0.19363168,-0.55997382,0.01960131,-0.19204937,0.00000002,-0.00420411,0.03179030,-0.10898882,0.09758964,-0.21464882,0.00000000,-0.00000000
3.89294647,0.11904167,-0.58138302,0.17615558,-0.56103893,0.01782759,-0.18728801,0.00000003,-0.00461685,0.02889846,-0.11118000,0.08877799,-0.21526188,0.00000000,-0.00000000
3.89894947,0.10759787,-0.57677495,0.15926649,-0.56358989,0.01611179,-0.18296058,0.00000004,-0.00504210,0.02609422,-0.11357923,0.08025979,-0.21644445,0.00000000,-0.00000000
3.90495248,0.09668050,-0.57350169,0.14316948,-0.56750100,0.01447434,-0.17907673,0.00000005,-0.00547339,0.02340961,-0.11615023,0.07213814,-0.21815390,0.00000000,-0.00000000
3.91095548,0.08640946,-0.57145872,0.12804500,-0.57259795,0.01293305,-0.17562962,0.00000007,-0.00590378,0.02087200,-0.11884509,0.06450359,-0.22032915,0.00000000,-0.00000000
3.91695848,0.07688743,-0.57049206,0.11404888,-0.57866183,0.01150313,-0.17259601,0.00000011,-0.00632597,0.01850401,-0.12160544,0.05743411,-0.22289216,0.00000000,-0.00000000
