energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-5.46573287,0.66978851,0.03168756,0.00834717,0.08363045,0.00696070,0.39365226,0.27013891,0.11293551
-5.45972986,0.68549652,0.03258185,0.00758768,0.08648110,0.00717798,0.40125114,0.27951167,0.11894122
-5.45372686,0.70924537,0.03378079,0.00693038,0.09026160,0.00747485,0.41372770,0.29213659,0.12618106
-5.44772386,0.74048025,0.03525221,0.00637590,0.09492317,0.00784620,0.43079067,0.30785666,0.13450251
-5.44172086,0.77851989,0.03695921,0.00592284,0.10039722,0.00828564,0.45207294,0.32644878,0.14373696
-5.43571786,0.82256758,0.03886090,0.00556799,0.10659682,0.00878562,0.47713761,0.34762702,0.15370175
-5.42971486,0.87172596,0.04091329,0.00530651,0.11341861,0.00933760,0.50548615,0.37104748,0.16420292
-5.42371186,0.92501522,0.04307050,0.00513220,0.12074525,0.00993225,0.53656857,0.39631486,0.17503873
-5.41770885,0.98139470,0.04528607,0.00503765,0.12844823,0.01055970,0.56979545,0.42299060,0.18600384
-5.41170585,1.03978744,0.04751446,0.00501452,0.13639111,0.01120983,0.60455179,0.45060262,0.19689401
-5.40570285,1.09910706,0.04971261,0.00505373,0.14443310,0.01187249,0.64021220,0.47865645,0.20751134
-5.39969985,1.15828629,0.05184157,0.00514565,0.15243277,0.01253785,0.67615709,0.50664740,0.21766971
-5.39369685,1.21630623,0.05386797,0.00528030,0.16025194,0.01319669,0.71178945,0.53407371,0.22720036
-5.38769385,1.27222536,0.05576552,0.00544758,0.16775953,0.01384064,0.74655149,0.56044997,0.23595725
-5.38169085,1.32520710,0.05751619,0.00563742,0.17483522,0.01446250,0.77994069,0.58532067,0.24382202
-5.37568784,1.37454472,0.05911120,0.00583997,0.18137283,0.01505641,0.81152440,0.60827311,0.25070829
-5.36968484,1.41968260,0.06055165,0.00604575,0.18728325,0.01561810,0.84095236,0.62894936,0.25656514
-5.36368184,1.46023254,0.06184879,0.00624588,0.19249680,0.01614492,0.86796664,0.64705662,0.26137937
-5.35767884,1.49598433,0.06302390,0.00643214,0.19696483,0.01663599,0.89240820,0.66237557,0.26517664
