energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up
-5.75987994,5.61103608,0.12195659,0.67503556,1.27880388,1.36500697,0.44555592,0.00000000,0.03274011,1.71120742
-5.75387694,5.49515218,0.11914980,0.65828578,1.24334279,1.33392307,0.43034219,0.00000000,0.03220490,1.67932676
-5.74787394,5.36995840,0.11623224,0.64036055,1.20579956,1.30045721,0.41404484,0.00000000,0.03181316,1.64482141
-5.74187094,5.23876788,0.11327764,0.62163618,1.16705727,1.26545348,0.39701070,0.00000000,0.03159522,1.60875052
-5.73586793,5.10500808,0.11035455,0.60249383,1.12803231,1.22976960,0.37959677,0.00000000,0.03157979,1.57222537
-5.72986493,4.97215560,0.10752426,0.58331283,1.08966131,1.19425786,0.36216222,0.00000000,0.03179362,1.53638867
-5.72386193,4.84367336,0.10483916,0.56446472,1.05288857,1.15974723,0.34506082,0.00000000,0.03226130,1.50239413
-5.71785893,4.72295111,0.10234143,0.54630770,1.01865364,1.12702720,0.32863367,0.00000000,0.03300500,1.47138649
-5.71185593,4.61324927,0.10006238,0.52918162,0.98787913,1.09683331,0.31320266,0.00000000,0.03404433,1.44448203
-5.70585293,4.51764621,0.09802213,0.51340338,0.96145832,1.06983476,0.29906450,0.00000000,0.03539622,1.42274969
-5.69984992,4.43898848,0.09622986,0.49926255,0.94024247,1.04662377,0.28648568,0.00000000,0.03707475,1.40719277
-5.69384692,4.37984365,0.09468448,0.48701724,0.92502765,1.02770682,0.27569810,0.00000000,0.03909093,1.39873096
-5.68784392,4.34245516,0.09337564,0.47689011,0.91654082,1.01349748,0.26689554,0.00000000,0.04145253,1.39818271
-5.68184092,4.32869894,0.09228506,0.46906439,0.91542529,1.00431063,0.26023089,0.00000000,0.04416370,1.40624785
-5.67583792,4.34004159,0.09138810,0.46368005,0.92222552,1.00035793,0.25581411,0.00000000,0.04722461,1.42349040
-5.66983492,4.37750039,0.09065534,0.46083013,0.93737149,1.00174437,0.25371082,0.00000000,0.05063102,1.45032173
-5.66383192,4.44160587,0.09005435,0.46055727,0.96116311,1.00846580,0.25394157,0.00000000,0.05437374,1.48698445
-5.65782891,4.53236794,0.08955118,0.46285079,0.99375508,1.02040746,0.25648168,0.00000000,0.05843807,1.53353722
-5.65182591,4.64924723,0.08911191,0.46764427,1.03514290,1.03734356,0.26126165,0.00000000,0.06280329,1.58984135
-5.64582291,4.79113357,0.08870389,0.47481416,1.08515084,1.05893818,0.26816820,0.00000000,0.06744213,1.65554974
-5.63981991,4.95633388,0.08829674,0.48417939,1.14342259,1.08474771,0.27704591,0.00000000,0.07232036,1.73009914
-5.63381691,5.14257168,0.08786314,0.49550248,1.20941562,1.11422504,0.28769952,0.00000000,0.07739657,1.81270662
-5.62781391,5.34700073,0.08737931,0.50849207,1.28239986,1.14672606,0.29989696,0.00000000,0.08262207,1.90237108
-5.62181091,5.56623455,0.08682529,0.52280740,1.36146162,1.18151857,0.31337315,0.00000000,0.08794113,1.99788080
-5.61580790,5.79639355,0.08618490,0.53806436,1.44551323,1.21779397,0.32783460,0.00000000,0.09329147,2.09782761
-5.60980490,6.03317057,0.08544569,0.55384358,1.53330873,1.25468174,0.34296488,0.00000000,0.09860508,2.20062809
-5.60380190,6.27191476,0.08459859,0.56970007,1.62346595,1.29126694,0.35843083,0.00000000,0.10380935,2.30455205
-5.59779890,6.50773294,0.08363756,0.58517445,1.71449446,1.32661024,0.37388965,0.00000000,0.10882861,2.40775805
-5.59179590,6.73560633,0.08255924,0.59980536,1.80482930,1.35977034,0.38899653,0.00000000,0.11358588,2.50833531
-5.58579290,6.95051983,0.08136255,0.61314264,1.89286940,1.38982820,0.40341286,0.00000000,0.11800493,2.60435108
-5.57978989,7.14759960,0.08004832,0.62476088,1.97701970,1.41591223,0.41681472,0.00000000,0.12201250,2.69390215
-5.57378689,7.32225446,0.07861905,0.63427273,2.05573573,1.43722370,0.42890138,0.00000000,0.12554063,2.77516862
-5.56778389,7.47031565,0.07707869,0.64134151,2.12756886,1.45306126,0.43940362,0.00000000,0.12852901,2.84646820
-5.56178089,7.58816922,0.07543252,0.64569246,2.19121070,1.46284373,0.44809143,0.00000000,0.13092722,2.90630879
-5.55577789,7.67287563,0.07368705,0.64712226,2.24553470,1.46612995,0.45478090,0.00000000,0.13269677,2.95343710
-5.54977489,7.72227101,0.07185003,0.64550625,2.28963336,1.46263482,0.45933992,0.00000000,0.13381285,2.98688132
-5.54377189,7.73504533,0.06993043,0.64080309,2.32284922,1.45224080,0.46169242,0.00000000,0.13426568,3.00598575
-5.53776888,7.71079388,0.06793843,0.63305653,2.34479832,1.43500411,0.46182097,0.00000000,0.13406141,3.01043582
-5.53176588,7.65003906,0.06588542,0.62239435,2.35538482,1.41115539,0.45976755,0.00000000,0.13322250,3.00027214
-5.52576288,7.55422122,0.06378392,0.60902428,2.35480611,1.38109452,0.45563235,0.00000000,0.13178752,2.97589283
-5.51975988,7.42565855,0.06164750,0.59322723,2.34354783,1.34537994,0.44957069,0.00000000,0.12981046,2.93804378
-5.51375688,7.26747730,0.05949059,0.57534805,2.32236894,1.30471270,0.44178810,0.00000000,0.12735947,2.88779711
-5.50775388,7.08351514,0.05732827,0.55578428,2.29227720,1.25991603,0.43253370,0.00000000,0.12451513,2.82651853
-5.50175088,6.87820155,0.05517605,0.53497326,2.25449595,1.21191112,0.42209213,0.00000000,0.12136828,2.75582500
-5.49574787,6.65642011,0.05304954,0.51337835,2.21042354,1.16169042,0.41077442,0.00000000,0.11801756,2.67753423
-5.48974487,6.42335839,0.05096421,0.49147467,2.16158691,1.11028919,0.39890809,0.00000000,0.11456666,2.59360804
-5.48374187,6.18435139,0.04893510,0.46973501,2.10959122,1.05875680,0.38682692,0.00000000,0.11112142,2.50609204
-5.47773887,5.94472482,0.04697661,0.44861658,2.05606763,1.00812877,0.37486082,0.00000000,0.10778698,2.41705374
-5.47173587,5.70964420,0.04510227,0.42854893,2.00262122,0.95940050,0.36332618,0.00000000,0.10466490,2.32852168
-5.46573287,5.48397522,0.04332469,0.40992355,1.95078119,0.91350389,0.35251720,0.00000000,0.10185049,2.24242777
-5.45972986,5.27216037,0.04165546,0.39308557,1.90195540,0.87128724,0.34269840,0.00000000,0.09943034,2.16055490
-5.45372686,5.07811558,0.04010524,0.37832764,1.85739068,0.83349933,0.33409873,0.00000000,0.09748020,2.08449175
-5.44772386,4.90514985,0.03868380,0.36588612,1.81814074,0.80077764,0.32690740,0.00000000,0.09606321,2.01559590
-5.44172086,4.75590958,0.03740021,0.35593965,1.78504241,0.77364110,0.32127165,0.00000000,0.09522847,1.95496660
-5.43571786,4.63234815,0.03626301,0.34860984,1.75870104,0.75248707,0.31729636,0.00000000,0.09501015,1.90342748
-5.42971486,4.53572016,0.03528042,0.34396401,1.73948524,0.73759220,0.31504553,0.00000000,0.09542687,1.86151943
-5.42371186,4.46659880,0.03446052,0.34201939,1.72753072,0.72911687,0.31454548,0.00000000,0.09648165,1.82950332
-5.41770885,4.42491384,0.03381137,0.34274873,1.72275265,0.72711234,0.31578943,0.00000000,0.09816212,1.80737185
-5.41170585,4.41000697,0.03334113,0.34608658,1.72486544,0.73153004,0.31874327,0.00000000,0.10044122,1.79486955
-5.40570285,4.42070082,0.03305799,0.35193599,1.73340871,0.74223223,0.32335203,0.00000000,0.10327814,1.79151946
-5.39969985,4.45537737,0.03297014,0.36017508,1.74777787,0.75900326,0.32954676,0.00000000,0.10661961,1.79665521
-5.39369685,4.51206189,0.03308546,0.37066313,1.76725757,0.78156069,0.33725133,0.00000000,0.11040140,1.80945669
-5.38769385,4.58850800,0.03341125,0.38324578,1.79105628,0.80956569,0.34638871,0.00000000,0.11455002,1.82898769
-5.38169085,4.68228030,0.03395374,0.39775911,1.81834036,0.84263221,0.35688652,0.00000000,0.11898459,1.85423394
-5.37568784,4.79083114,0.03471756,0.41403244,1.84826596,0.88033459,0.36868134,0.00000000,0.12361875,1.88413995
-5.36968484,4.91156891,0.03570517,0.43188972,1.88000738,0.92221329,0.38172158,0.00000000,0.12836265,1.91764324
-5.36368184,5.04191593,0.03691612,0.45114957,1.91278098,0.96777893,0.39596888,0.00000000,0.13312490,1.95370495
-5.35767884,5.17935472,0.03834648,0.47162418,1.94586366,1.01651456,0.41139774,0.00000000,0.13781452,1.99133581
-5.35167584,5.32146220,0.03998818,0.49311725,1.97860576,1.06787664,0.42799365,0.00000000,0.14234270,2.02961698
-5.34567284,5.46593242,0.04182848,0.51542134,2.01043832,1.12129507,0.44574964,0.00000000,0.14662455,2.06771528
-5.33966983,5.61058879,0.04384951,0.53831502,2.04087486,1.17617277,0.46466162,0.00000000,0.15058057,2.10489300
-5.33366683,5.75338742,0.04602806,0.56156033,2.06950868,1.23188550,0.48472276,0.00000000,0.15413801,2.14051235
-5.32766383,5.89241390,0.04833548,0.58490082,2.09600630,1.28778246,0.50591718,0.00000000,0.15723206,2.17403517
-5.32166083,6.02587577,0.05073782,0.60806080,2.12009819,1.34318823,0.52821355,0.00000000,0.15980673,2.20501853
-5.31565783,6.15209320,0.05319626,0.63074601,2.14156814,1.39740664,0.55155880,0.00000000,0.16181560,2.23310707
-5.30965483,6.26949043,0.05566768,0.65264594,2.16024218,1.44972680,0.57587252,0.00000000,0.16322239,2.25802304
-5.30365183,6.37658996,0.05810559,0.67343817,2.17597849,1.49943173,0.60104230,0.00000000,0.16400125,2.27955508
-5.29764882,6.47201137,0.06046116,0.69279439,2.18865897,1.54580941,0.62692052,0.00000000,0.16413697,2.29754657
-5.29164582,6.55447601,0.06268452,0.71038842,2.19818349,1.58816628,0.65332265,0.00000000,0.16362495,2.31188460
-5.28564282,6.62281817,0.06472616,0.72590548,2.20446714,1.62584280,0.68002746,0.00000000,0.16247106,2.32249029
-5.27963982,6.67600277,0.06653838,0.73905282,2.20744080,1.65823052,0.70677908,0.00000000,0.16069137,2.32931100
-5.27363682,6.71314894,0.06807685,0.74957084,2.20705497,1.68479002,0.73329102,0.00000000,0.15831177,2.33231502
-5.26763382,6.73355825,0.06930206,0.75724429,2.20328644,1.70506899,0.75925202,0.00000000,0.15536744,2.33148890
-5.26163082,6.73674596,0.07018068,0.76191303,2.19614731,1.71871943,0.78433352,0.00000000,0.15190223,2.32683741
-5.25562781,6.72247319,0.07068678,0.76348154,2.18569545,1.72551333,0.80819858,0.00000000,0.14796800,2.31838602
-5.24962481,6.69077766,0.07080278,0.76192676,2.17204569,1.72535575,0.83051180,0.00000000,0.14362379,2.30618549
-5.24362181,6.64200084,0.07052021,0.75730373,2.15538054,1.71829467,0.85094993,0.00000000,0.13893490,2.29031816
-5.23761881,6.57680892,0.06984011,0.74974862,2.13595962,1.70452705,0.86921269,0.00000000,0.13397193,2.27090509
-5.23161581,6.49620589,0.06877314,0.73947881,2.11412675,1.68440046,0.88503336,0.00000000,0.12880963,2.24811354
-5.22561281,6.40153677,0.06733939,0.72679010,2.09031413,1.65841018,0.89818871,0.00000000,0.12352572,2.22216399
-5.21960980,6.29448004,0.06556788,0.71205084,2.06504270,1.62719167,0.90850773,0.00000000,0.11819960,2.19333584
-5.21360680,6.17702830,0.06349579,0.69569331,2.03891862,1.59150861,0.91587893,0.00000000,0.11291098,2.16197129
-5.20760380,6.05145738,0.06116744,0.67820272,2.01262535,1.55223677,0.92025564,0.00000000,0.10773845,2.12847674
-5.20160080,5.92028414,0.05863308,0.66010406,1.98691182,1.51034437,0.92165925,0.00000000,0.10275803,2.09332123
-5.19559780,5.78621415,0.05594757,0.64194749,1.96257657,1.46686954,0.92018005,0.00000000,0.09804168,2.05703180
-5.18959480,5.65208071,0.05316891,0.62429285,1.94044874,1.42289563,0.91597569,0.00000000,0.09365584,2.02018553
-5.18359180,5.52077718,0.05035680,0.60769381,1.92136637,1.37952525,0.90926711,0.00000000,0.08966013,1.98339850
-5.17758879,5.39518494,0.04757120,0.59268223,1.90615301,1.33785382,0.90033234,0.00000000,0.08610596,1.94731191
-5.17158579,5.27809936,0.04487087,0.57975348,1.89559341,1.29894353,0.88949807,0.00000000,0.08303549,1.91257590
-5.16558279,5.17215641,0.04231213,0.56935294,1.89040936,1.26379839,0.87712952,0.00000000,0.08048065,1.87983158
-5.15957979,5.07976231,0.03994761,0.56186428,1.89123650,1.23334100,0.86361895,0.00000000,0.07846241,1.84969224
-5.15357679,5.00302875,0.03782525,0.55759978,1.89860309,1.20839171,0.84937326,0.00000000,0.07699027,1.82272430
