energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-2.43421711,5.02225376,0.33887055,1.61476974,0.01924587,0.26337957,0.94931187,2.69337797,0.01218435,0.35773737
-2.42821411,5.12226920,0.34692156,1.61382061,0.01939064,0.26722911,0.97735603,2.77083636,0.01228806,0.36702242
-2.42221111,5.22753567,0.35553452,1.61536843,0.01956729,0.27118860,1.00614305,2.85065537,0.01245682,0.37690105
-2.41620810,5.33622429,0.36453246,1.61917285,0.01977593,0.27521909,1.03522270,2.93157189,0.01269060,0.38722930
-2.41020510,5.44642593,0.37372340,1.62495108,0.02001594,0.27927817,1.06412604,3.01229192,0.01298845,0.39785384
-2.40420210,5.55620834,0.38290654,1.63239168,0.02028585,0.28332113,1.09237828,3.09152517,0.01334848,0.40861651
-2.39819910,5.66367253,0.39187881,1.64116919,0.02058338,0.28730218,1.11951181,3.16801837,0.01376785,0.41935895
-2.39219610,5.76700660,0.40044163,1.65095930,0.02090536,0.29117544,1.14507905,3.24058616,0.01424274,0.42992680
-2.38619310,5.86453470,0.40840751,1.66145364,0.02124776,0.29489580,1.16866446,3.30813838,0.01476841,0.44017363
-2.38019010,5.95475975,0.41560622,1.67237378,0.02160574,0.29841955,1.18989549,3.36970300,0.01533917,0.44996419
-2.37418709,6.03639834,0.42189043,1.68348382,0.02197370,0.30170481,1.20845188,3.42444409,0.01594846,0.45917697
-2.36818409,6.10840694,0.42714040,1.69460100,0.02234539,0.30471170,1.22407327,3.47167435,0.01658885,0.46770610
-2.36218109,6.16999890,0.43126763,1.70560387,0.02271402,0.30740242,1.23656460,3.51086232,0.01725219,0.47546236
-2.35617809,6.22065216,0.43421743,1.71643780,0.02307240,0.30974119,1.24579955,3.54163429,0.01792966,0.48237355
-2.35017509,6.26010799,0.43597016,1.72711746,0.02341316,0.31169415,1.25172169,3.56377142,0.01861192,0.48838416
-2.34417209,6.28836150,0.43654132,1.73772627,0.02372890,0.31322931,1.25434361,3.57720266,0.01928929,0.49345446
-2.33816908,6.30564503,0.43598040,1.74841292,0.02401244,0.31431659,1.25374416,3.58199431,0.01995192,0.49755915
-2.33216608,6.31240569,0.43436863,1.75938502,0.02425701,0.31492803,1.25006396,3.57833700,0.02059000,0.50068580
-2.32616308,6.30927850,0.43181577,1.77090024,0.02445649,0.31503822,1.24349955,3.56653113,0.02119402,0.50283300
-2.32016008,6.29705673,0.42845611,1.78325540,0.02460563,0.31462492,1.23429643,3.54697150,0.02175500,0.50400867
-2.31415708,6.27666081,0.42444386,1.79677386,0.02470023,0.31366991,1.22274135,3.52013219,0.02226474,0.50422839
-2.30815408,6.24910729,0.41994808,1.81179184,0.02473736,0.31216002,1.20915411,3.48655211,0.02271607,0.50351402
-2.30215108,6.21547904,0.41514747,1.82864414,0.02471545,0.31008833,1.19387923,3.44682208,0.02310307,0.50189257
-2.29614807,6.17689748,0.41022504,1.84764984,0.02463448,0.30745532,1.17727769,3.40157347,0.02342127,0.49939550
-2.29014507,6.13449771,0.40536297,1.86909848,0.02449599,0.30427015,1.15971898,3.35146885,0.02366779,0.49605831
-2.28414207,6.08940671,0.40073766,1.89323717,0.02430310,0.30055161,1.14157356,3.29719449,0.02384147,0.49192043
-2.27813907,6.04272485,0.39651529,1.92025908,0.02406050,0.29632906,1.12320591,3.23945454,0.02394289,0.48702546
-2.27213607,5.99551051,0.39284768,1.95029350,0.02377435,0.29164285,1.10496822,3.17896656,0.02397434,0.48142155
-2.26613307,5.94876751,0.38986881,1.98339793,0.02345211,0.28654454,1.08719469,3.11645805,0.02393979,0.47516189
-2.26013007,5.90343480,0.38769185,2.01955224,0.02310238,0.28109654,1.07019653,3.05266329,0.02384465,0.46830517
-2.25412706,5.86037805,0.38640676,2.05865495,0.02273464,0.27537139,1.05425757,2.98832023,0.02369565,0.46091601
-2.24812406,5.82038247,0.38607855,2.10052190,0.02235894,0.26945053,1.03963055,2.92416675,0.02350049,0.45306518
-2.24212106,5.78414645,0.38674598,2.14488707,0.02198564,0.26342267,1.02653394,2.86093605,0.02326760,0.44482949
-2.23611806,5.75227580,0.38842103,2.19140557,0.02162505,0.25738179,1.01514944,2.79935082,0.02300576,0.43629150
-2.23011506,5.72527823,0.39108875,2.23965878,0.02128710,0.25142487,1.00562007,2.74011604,0.02272378,0.42753881
-2.22411206,5.70355824,0.39470780,2.28916142,0.02098104,0.24564940,0.99804885,2.68391046,0.02243014,0.41866306
-2.21810905,5.68741238,0.39921141,2.33937038,0.02071511,0.24015092,0.99249826,2.63137700,0.02213268,0.40975862
-2.21210605,5.67702546,0.40450900,2.38969521,0.02049631,0.23502047,0.98899033,2.58311224,0.02183832,0.40092104
-2.20610305,5.67246785,0.41048819,2.43950997,0.02033018,0.23034231,0.98750750,2.53965555,0.02155279,0.39224535
-2.20010005,5.67369459,0.41701737,2.48816621,0.02022062,0.22619189,0.98799431,2.50147839,0.02128049,0.38382424
-2.19409705,5.68054663,0.42394875,2.53500684,0.02016984,0.22263414,0.99035988,2.46897433,0.02102441,0.37574630
-2.18809405,5.69275478,0.43112177,2.57938046,0.02017830,0.21972225,0.99448115,2.44245034,0.02078603,0.36809431
-2.18209105,5.70994654,0.43836696,2.62065598,0.02024481,0.21749682,1.00020687,2.42212004,0.02056542,0.36094378
-2.17608804,5.73165621,0.44551003,2.65823692,0.02036661,0.21598563,1.00736229,2.40809918,0.02036138,0.35436179
-2.17008504,5.75733791,0.45237621,2.69157517,0.02053957,0.21520380,1.01575428,2.40040383,0.02017156,0.34840609
-2.16408204,5.78638162,0.45879474,2.72018373,0.02075845,0.21515444,1.02517690,2.39895149,0.01999274,0.34312467
-2.15807904,5.81813147,0.46460324,2.74364800,0.02101716,0.21582964,1.03541706,2.40356500,0.01982113,0.33855565
-2.15207604,5.85190579,0.46965207,2.76163523,0.02130906,0.21721188,1.04626016,2.41397932,0.01965263,0.33472763
-2.14607304,5.88701800,0.47380835,2.77390185,0.02162736,0.21927552,1.05749546,2.42985071,0.01948320,0.33166031
-2.14007004,5.92279738,0.47695960,2.78029836,0.02196536,0.22198860,1.06892092,2.45076791,0.01930914,0.32936546
-2.13406703,5.95860880,0.47901683,2.78077158,0.02231681,0.22531451,1.08034734,2.47626491,0.01912739,0.32784805
-2.12806403,5.99387033,0.47991702,2.77536421,0.02267622,0.22921367,1.09160168,2.50583438,0.01893579,0.32710754
-2.12206103,6.02806787,0.47962488,2.76421167,0.02303902,0.23364507,1.10252934,2.53894141,0.01873328,0.32713913
-2.11605803,6.06076612,0.47813371,2.74753651,0.02340180,0.23856753,1.11299538,2.57503669,0.01852003,0.32793496
-2.11005503,6.09161532,0.47546556,2.72564038,0.02376241,0.24394069,1.12288475,2.61356865,0.01829755,0.32948512
-2.10405203,6.12035347,0.47167044,2.69889433,0.02411998,0.24972567,1.13210141,2.65399396,0.01806864,0.33177839
-2.09804902,6.14680408,0.46682471,2.66772747,0.02447491,0.25588538,1.14056663,2.69578607,0.01783738,0.33480260
-2.09204602,6.17086973,0.46102877,2.63261491,0.02482878,0.26238448,1.14821659,2.73844157,0.01760895,0.33854465
-2.08604302,6.19252183,0.45440400,2.59406520,0.02518416,0.26918897,1.15499935,2.78148419,0.01738948,0.34299012
-2.08004002,6.21178754,0.44708915,2.55260815,0.02554438,0.27626559,1.16087171,2.82446662,0.01718576,0.34812248
-2.07403702,6.22873458,0.43923631,2.50878327,0.02591331,0.28358086,1.16579586,2.86697029,0.01700499,0.35392192
-2.06803402,6.24345505,0.43100654,2.46312947,0.02629496,0.29110011,1.16973642,2.90860345,0.01685446,0.36036391
-2.06203102,6.25604918,0.42256539,2.41617637,0.02669323,0.29878627,1.17265776,2.94899811,0.01674122,0.36741758
-2.05602801,6.26661021,0.41407839,2.36843726,0.02711157,0.30659879,1.17452204,2.98780614,0.01667180,0.37504392
-2.05002501,6.27521111,0.40570668,2.32040411,0.02755262,0.31449262,1.17528800,3.02469522,0.01665186,0.38319413
-2.04402201,6.28189409,0.39760290,2.27254436,0.02801793,0.32241728,1.17491054,3.05934515,0.01668596,0.39180802
-2.03801901,6.28666326,0.38990744,2.22529934,0.02850773,0.33031627,1.17334120,3.09144488,0.01677733,0.40081274
-2.03201601,6.28948090,0.38274519,2.17908418,0.02902074,0.33812674,1.17052947,3.12069079,0.01692768,0.41012196
-2.02601301,6.29026745,0.37622277,2.13428866,0.02955397,0.34577949,1.16642480,3.14678639,0.01713710,0.41963550
-2.02001001,6.28890484,0.37042635,2.09127858,0.03010275,0.35319939,1.16097924,3.16944380,0.01740399,0.42923963
-2.01400700,6.28524314,0.36542011,2.05039725,0.03066069,0.36030617,1.15415040,3.18838678,0.01772508,0.43880799
-2.00800400,6.27910953,0.36124526,2.01196661,0.03121979,0.36701560,1.14590467,3.20335542,0.01809551,0.44820319
-2.00200100,6.27031924,0.35791965,1.97628751,0.03177062,0.37324102,1.13622036,3.21411216,0.01850891,0.45727915
-1.99599800,6.25868741,0.35543803,1.94363889,0.03230258,0.37889525,1.12509059,3.22044886,0.01895764,0.46588400
-1.98999500,6.24404111,0.35377277,1.91427564,0.03280417,0.38389265,1.11252575,3.22219433,0.01943296,0.47386351
-1.98399200,6.22623060,0.35287516,1.88842505,0.03326339,0.38815149,1.09855530,3.21922198,0.01992535,0.48106497
-1.97798899,6.20513910,0.35267706,1.86628191,0.03366811,0.39159634,1.08322881,3.21145694,0.02042474,0.48734133
-1.97198599,6.18069043,0.35309305,1.84800241,0.03400650,0.39416050,1.06661618,3.19888214,0.02092081,0.49255537
-1.96598299,6.15285396,0.35402285,1.83369728,0.03426746,0.39578829,1.04880700,3.18154285,0.02140338,0.49658390
-1.95997999,6.12164662,0.35535407,1.82342452,0.03444099,0.39643724,1.02990903,3.15954929,0.02186260,0.49932155
-1.95397699,6.08713181,0.35696516,1.81718222,0.03451859,0.39607991,1.01004594,3.13307697,0.02228931,0.50068416
-1.94797399,6.04941554,0.35872852,1.81490216,0.03449362,0.39470535,0.98935444,3.10236458,0.02267528,0.50061163
-1.94197099,6.00863980,0.36051367,1.81644460,0.03436147,0.39232016,0.96798089,3.06770947,0.02301347,0.49906988
-1.93596798,5.96497412,0.36219050,1.82159492,0.03411987,0.38894897,0.94607767,3.02946083,0.02329818,0.49605205
-1.92996498,5.91860554,0.36363246,1.83006254,0.03376891,0.38463442,0.92379943,2.98801078,0.02352524,0.49157881
-1.92396198,5.86972823,0.36471955,1.84148249,0.03331111,0.37943656,0.90129953,2.94378394,0.02369207,0.48569776
-1.91795898,5.81853317,0.36534124,1.85541982,0.03275134,0.37343164,0.87872670,2.89722589,0.02379781,0.47848183
-1.91195598,5.76519905,0.36539901,1.87137703,0.03209672,0.36671044,0.85622230,2.84879122,0.02384325,0.47002708
-1.90595298,5.70988487,0.36480866,1.88880434,0.03135635,0.35937602,0.83391811,2.79893172,0.02383080,0.46044965
-1.89994997,5.65272503,0.36350214,1.90711249,0.03054106,0.35154107,0.81193486,2.74808542,0.02376442,0.44988221
-1.89394697,5.59382723,0.36142903,1.92568789,0.02966307,0.34332494,0.79038143,2.69666699,0.02364944,0.43847007
-1.88794397,5.53327340,0.35855742,1.94390921,0.02873564,0.33485040,0.76935487,2.64506001,0.02349237,0.42636703
-1.88194097,5.47112381,0.35487436,1.96116506,0.02777264,0.32624029,0.74894096,2.59361149,0.02330069,0.41373129
-1.87593797,5.40742381,0.35038579,1.97687185,0.02678818,0.31761414,0.72921537,2.54262882,0.02308260,0.40072145
-1.86993497,5.34221309,0.34511587,1.99049103,0.02579618,0.30908496,0.71024521,2.49237911,0.02284672,0.38749290
-1.86393197,5.27553666,0.33910589,2.00154508,0.02481008,0.30075617,0.69209083,2.44309101,0.02260178,0.37419456
-1.85792896,5.20745673,0.33241271,2.00963137,0.02384241,0.29271905,0.67480769,2.39495853,0.02235637,0.36096634
-1.85192596,5.13806489,0.32510679,2.01443347,0.02290460,0.28505043,0.65844811,2.34814672,0.02211862,0.34793705
-1.84592296,5.06749365,0.31726991,2.01572926,0.02200668,0.27781114,0.64306283,2.30279849,0.02189592,0.33522311
-1.83991996,4.99592659,0.30899265,2.01339571,0.02115714,0.27104493,0.62870224,2.25904228,0.02169471,0.32292786
-1.83391696,4.92360652,0.30037181,2.00741002,0.02036284,0.26477809,0.61541713,2.21699992,0.02152022,0.31114148
-1.82791396,4.85084120,0.29150771,1.99784740,0.01962894,0.25901977,0.60325905,2.17679426,0.02137637,0.29994151
-1.82191096,4.77800632,0.28250162,1.98487562,0.01895890,0.25376287,0.59228022,2.13855600,0.02126560,0.28939380
-1.81590795,4.70554568,0.27345343,1.96874679,0.01835462,0.24898567,0.58253303,2.10242946,0.02118887,0.27955387
-1.80990495,4.63396855,0.26445943,1.94978694,0.01781648,0.24465387,0.57406926,2.06857692,0.02114564,0.27046840
-1.80390195,4.56384470,0.25561063,1.92838403,0.01734357,0.24072322,0.56693907,2.03718136,0.02113397,0.26217698
-1.79789895,4.49579722,0.24699127,1.90497510,0.01693385,0.23714237,0.56118996,2.00844747,0.02115063,0.25471365
-1.79189595,4.43049372,0.23867793,1.88003331,0.01658437,0.23385597,0.55686564,1.98260094,0.02119128,0.24810849
-1.78589295,4.36863627,0.23073897,1.85405535,0.01629151,0.23080788,0.55400516,1.95988609,0.02125072,0.24238879
-1.77988994,4.31095062,0.22323438,1.82755003,0.01605121,0.22794415,0.55264210,1.94056187,0.02132316,0.23757997
-1.77388694,4.25817477,0.21621603,1.80102814,0.01585918,0.22521589,0.55280405,1.92489646,0.02140246,0.23370605
-1.76788394,4.21104751,0.20972822,1.77499408,0.01571111,0.22258175,0.55451232,1.91316071,0.02148248,0.23078971
-1.76188094,4.17029666,0.20380844,1.74993924,0.01560286,0.22000983,0.55778182,1.90562041,0.02155734,0.22885179
-1.75587794,4.13662738,0.19848828,1.72633701,0.01553056,0.21747912,0.56262113,1.90252788,0.02162171,0.22791049
-1.74987494,4.11071019,0.19379433,1.70463925,0.01549078,0.21498024,0.56903261,1.90411301,0.02167102,0.22798000
-1.74387194,4.09316898,0.18974909,1.68527373,0.01548055,0.21251561,0.57701247,1.91057407,0.02170168,0.22906897
-1.73786893,4.08456860,0.18637171,1.66864230,0.01549739,0.21009886,0.58655081,1.92206854,0.02171120,0.23117866
-1.73186593,4.08540224,0.18367845,1.65511903,0.01553931,0.20775383,0.59763137,1.93870446,0.02169829,0.23430105
-1.72586293,4.09607866,0.18168300,1.64504812,0.01560476,0.20551288,0.61023118,1.96053257,0.02166289,0.23841700
-1.71985993,4.11690942,0.18039637,1.63874098,0.01569255,0.20341499,0.62431991,1.98753969,0.02160611,0.24349464
-1.71385693,4.14809656,0.17982654,1.63647229,0.01580176,0.20150347,0.63985900,2.01964374,0.02153018,0.24948806
-1.70785393,4.18972120,0.17997784,1.63847482,0.01593165,0.19982365,0.65680066,2.05669084,0.02143826,0.25633653
-1.70185093,4.24173366,0.18085003,1.64493308,0.01608149,0.19842054,0.67508685,2.09845486,0.02133429,0.26396432
