energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-4.90745373,3.43222470,0.00172308,0.84374021,0.34125783,1.01025101,0.65190252,0.00000000,1.59533887,1.09329784
-4.90145073,3.51579678,0.00172347,0.88379094,0.35074436,1.02423402,0.66699255,0.00000000,1.67324347,1.10918478
-4.89544772,3.58997680,0.00171270,0.92219734,0.35928283,1.03675758,0.68086236,0.00000000,1.74785462,1.12059186
-4.88944472,3.65331918,0.00169098,0.95840460,0.36671157,1.04725362,0.69314669,0.00000000,1.81813202,1.12734656
-4.88344172,3.70448706,0.00165875,0.99185761,0.37287780,1.05517748,0.70349459,0.00000000,1.88303851,1.12934095
-4.87743872,3.74228768,0.00161662,1.02201614,0.37764150,1.06002473,0.71157841,0.00000000,1.94156687,1.12653314
-4.87143572,3.76570601,0.00156541,1.04837047,0.38087932,1.06134714,0.71710281,0.00000000,1.99276716,1.11894747
-4.86543272,3.77393511,0.00150607,1.07045669,0.38248843,1.05876712,0.71981325,0.00000000,2.03577400,1.10667343
-4.85942971,3.76640197,0.00143968,1.08787106,0.38239000,1.05198998,0.71950385,0.00000000,2.06983218,1.08986335
-4.85342671,3.74278760,0.00136741,1.10028269,0.38053232,1.04081360,0.71602396,0.00000000,2.09431986,1.06872892
-4.84742371,3.70304039,0.00129047,1.10744409,0.37689318,1.02513499,0.70928337,0.00000000,2.10876798,1.04353657
-4.84142071,3.64738201,0.00121012,1.10919901,0.37148162,1.00495371,0.69925570,0.00000000,2.11287523,1.01460184
-4.83541771,3.57630545,0.00112756,1.10548725,0.36433877,0.98037189,0.68598001,0.00000000,2.10651784,0.98228286
-4.82941471,3.49056523,0.00104400,1.09634625,0.35553777,0.95159096,0.66956026,0.00000000,2.08975365,0.94697308
-4.82341171,3.39116005,0.00096054,1.08190948,0.34518287,0.91890543,0.65016295,0.00000000,2.06282040,0.90909348
-4.81740870,3.27930856,0.00087820,1.06240163,0.33340757,0.88269384,0.62801265,0.00000000,2.02612834,0.86908438
-4.81140570,3.15641923,0.00079791,1.03813098,0.32037200,0.84340755,0.60338602,0.00000000,1.98024753,0.82739707
-4.80540270,3.02405562,0.00072045,1.00947938,0.30625963,0.80155783,0.57660415,0.00000000,1.92589050,0.78448565
-4.79939970,2.88389843,0.00064650,0.97689017,0.29127345,0.75770178,0.54802399,0.00000000,1.86389100,0.74079901
-4.79339670,2.73770597,0.00057659,0.94085487,0.27563181,0.71242785,0.51802878,0.00000000,1.79518005,0.69677347
-4.78739370,2.58727452,0.00051111,0.90189906,0.25956407,0.66634140,0.48701831,0.00000000,1.72076012,0.65282610
-4.78139070,2.43440017,0.00045037,0.86056816,0.24330632,0.62005100,0.45539909,0.00000000,1.64167875,0.60934895
-4.77538769,2.28084351,0.00039452,0.81741367,0.22709727,0.57415585,0.42357492,0.00000000,1.55900254,0.56670436
-4.76938469,2.12829827,0.00034363,0.77298030,0.21117449,0.52923479,0.39193832,0.00000000,1.47379259,0.52522138
-4.76338169,1.97836480,0.00029766,0.72779455,0.19577111,0.48583715,0.36086281,0.00000000,1.38708210,0.48519337
-4.75737869,1.83252900,0.00025651,0.68235499,0.18111308,0.44447557,0.33069660,0.00000000,1.29985690,0.44687684
-4.75137569,1.69214684,0.00022002,0.63712433,0.16741695,0.40562090,0.30175753,0.00000000,1.21303922,0.41049128
-4.74537269,1.55843440,0.00018796,0.59252356,0.15488829,0.36969900,0.27432945,0.00000000,1.12747509,0.37622011
-4.73936968,1.43246313,0.00016008,0.54892797,0.14372050,0.33708932,0.24866010,0.00000000,1.04392530,0.34421236
-4.73336668,1.31515954,0.00013611,0.50666506,0.13409411,0.30812494,0.22496017,0.00000000,0.96305973,0.31458510
-4.72736368,1.20730855,0.00011574,0.46601402,0.12617632,0.28309365,0.20340358,0.00000000,0.88545493,0.28742621
-4.72136068,1.10955953,0.00009869,0.42720665,0.12012059,0.26223984,0.18412867,0.00000000,0.81159432,0.26279739
-4.71535768,1.02243397,0.00008468,0.39042933,0.11606631,0.24576656,0.16724012,0.00000000,0.74187071,0.24073723
-4.70935468,0.94633372,0.00007341,0.35582590,0.11413817,0.23383755,0.15281135,0.00000000,0.67659046,0.22126401
-4.70335168,0.88154894,0.00006463,0.32350096,0.11444526,0.22657875,0.14088703,0.00000000,0.61597887,0.20437809
-4.69734867,0.82826495,0.00005809,0.29352354,0.11707972,0.22407904,0.13148573,0.00000000,0.56018618,0.19006397
-4.69134567,0.78656735,0.00005355,0.26593079,0.12211483,0.22639003,0.12460219,0.00000000,0.50929398,0.17829152
-4.68534267,0.75644505,0.00005082,0.24073154,0.12960274,0.23352483,0.12020939,0.00000000,0.46332138,0.16901680
-4.67933967,0.73779120,0.00004970,0.21790969,0.13957156,0.24545569,0.11826000,0.00000000,0.42223101,0.16218217
-4.67333667,0.73040200,0.00005001,0.19742715,0.15202224,0.26211084,0.11868750,0.00000000,0.38593444,0.15771586
-4.66733367,0.73397392,0.00005159,0.17922661,0.16692512,0.28337066,0.12140667,0.00000000,0.35429715,0.15553112
-4.66133067,0.74809990,0.00005428,0.16323380,0.18421663,0.30906353,0.12631377,0.00000000,0.32714289,0.15552516
-4.65532766,0.77226519,0.00005795,0.14935951,0.20379614,0.33896197,0.13328637,0.00000000,0.30425776,0.15757786
