energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-4.67933967,3.59198636,1.02309983,0.98948146,0.26418365,0.52319612,0.65570140,0.00000000
-4.67333667,3.57358095,1.00073661,0.98279723,0.26237629,0.52215386,0.64714618,0.00000000
-4.66733367,3.53815031,0.97269123,0.97112120,0.25913149,0.51843351,0.63590957,0.00000000
-4.66133067,3.48668076,0.93944981,0.95477106,0.25456597,0.51220134,0.62211191,0.00000000
-4.65532766,3.42051805,0.90159927,0.93416342,0.24882312,0.50367245,0.60594292,0.00000000
-4.64932466,3.34132183,0.85980676,0.90979974,0.24206811,0.49310415,0.58765363,0.00000000
-4.64332166,3.25101076,0.81479718,0.88224985,0.23448229,0.48078817,0.56754647,0.00000000
-4.63731866,3.15170071,0.76732976,0.85213370,0.22625706,0.46704217,0.54596376,0.00000000
-4.63131566,3.04563862,0.71817478,0.82010213,0.21758761,0.45220064,0.52327545,0.00000000
-4.62531266,2.93513436,0.66809135,0.78681741,0.20866671,0.43660566,0.49986638,0.00000000
-4.61930965,2.82249339,0.61780716,0.75293424,0.19967875,0.42059779,0.47612373,0.00000000
-4.61330665,2.70995217,0.56800074,0.71908191,0.19079432,0.40450733,0.45242516,0.00000000
-4.60730365,2.59961867,0.51928694,0.68584808,0.18216547,0.38864625,0.42912783,0.00000000
-4.60130065,2.49341945,0.47220570,0.65376481,0.17392190,0.37330102,0.40655895,0.00000000
-4.59529765,2.39305479,0.42721448,0.62329697,0.16616801,0.35872638,0.38500781,0.00000000
-4.58929465,2.29996290,0.38468409,0.59483349,0.15898115,0.34514041,0.36471956,0.00000000
-4.58329165,2.21529365,0.34489784,0.56868130,0.15241078,0.33272071,0.34589097,0.00000000
-4.57728864,2.13989227,0.30805362,0.54506227,0.14647885,0.32160202,0.32866786,0.00000000
-4.57128564,2.07429264,0.27426854,0.52411274,0.14118102,0.31187492,0.31314443,0.00000000
-4.56528264,2.01872013,0.24358559,0.50588570,0.13648888,0.30358602,0.29936422,0.00000000
-4.55927964,1.97310291,0.21598179,0.49035520,0.13235293,0.29673911,0.28732254,0.00000000
-4.55327664,1.93709120,0.19137747,0.47742283,0.12870613,0.29129750,0.27697023,0.00000000
-4.54727364,1.91008313,0.16964603,0.46692577,0.12546797,0.28718732,0.26821852,0.00000000
-4.54127064,1.89125621,0.15062387,0.45864611,0.12254872,0.28430153,0.26094468,0.00000000
-4.53526763,1.87960310,0.13412011,0.45232115,0.11985386,0.28250467,0.25499831,0.00000000
-4.52926463,1.87397032,0.11992577,0.44765410,0.11728836,0.28163809,0.25020804,0.00000000
-4.52326163,1.87309888,0.10782231,0.44432504,0.11476074,0.28152548,0.24638842,0.00000000
-4.51725863,1.87566536,0.09758921,0.44200166,0.11218670,0.28197860,0.24334673,0.00000000
-4.51125563,1.88032257,0.08901072,0.44034960,0.10949222,0.28280300,0.24088970,0.00000000
-4.50525263,1.88573858,0.08188162,0.43904202,0.10661614,0.28380363,0.23882982,0.00000000
-4.49924962,1.89063353,0.07601208,0.43776840,0.10351191,0.28479022,0.23699131,0.00000000
-4.49324662,1.89381320,0.07123171,0.43624217,0.10014876,0.28558230,0.23521547,0.00000000
-4.48724362,1.89419900,0.06739275,0.43420725,0.09651214,0.28601373,0.23336551,0.00000000
-4.48124062,1.89085384,0.06437276,0.43144341,0.09260345,0.28593676,0.23133070,0.00000000
-4.47523762,1.88300358,0.06207658,0.42777034,0.08843922,0.28522549,0.22902985,0.00000000
-4.46923462,1.87005386,0.06043795,0.42305055,0.08404980,0.28377867,0.22641420,0.00000000
-4.46323162,1.85160232,0.05942066,0.41719108,0.07947754,0.28152192,0.22346948,0.00000000
-4.45722861,1.82744604,0.05901934,0.41014410,0.07477475,0.27840925,0.22021738,0.00000000
