energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
2.20010005,2.07146750,0.29890062,1.05540796,0.00304412,0.07125903,0.19075835,0.70367619,0.02133655,0.15165881
2.20610305,2.11775085,0.31036520,1.07951876,0.00318230,0.07389539,0.19635438,0.71468586,0.02162932,0.15568966
2.21210605,2.16977137,0.32410659,1.10773234,0.00333766,0.07683110,0.20196500,0.72607761,0.02197236,0.16038317
2.21810905,2.22700948,0.34002058,1.13950679,0.00351137,0.08004803,0.20758555,0.73799411,0.02236670,0.16574762
2.22411206,2.28895534,0.35798432,1.17429510,0.00370499,0.08352286,0.21321460,0.75060138,0.02281394,0.17178785
2.23011506,2.35511721,0.37785784,1.21155703,0.00392047,0.08722759,0.21885293,0.76408239,0.02331615,0.17850480
2.23611806,2.42502540,0.39948519,1.25076866,0.00416016,0.09113001,0.22450228,0.77862887,0.02387569,0.18589500
2.24212106,2.49823202,0.42269522,1.29142967,0.00442682,0.09519436,0.23016379,0.79443173,0.02449509,0.19394967
2.24812406,2.57430668,0.44730196,1.33306813,0.00472352,0.09938197,0.23583643,0.81167011,0.02517672,0.20265389
2.25412706,2.65282856,0.47310474,1.37524300,0.00505361,0.10365188,0.24151532,0.83049979,0.02592259,0.21198550
2.26013007,2.73337562,0.49988798,1.41754440,0.00542058,0.10796153,0.24719012,0.85104132,0.02673404,0.22191408
2.26613307,2.81551161,0.52742096,1.45959188,0.00582789,0.11226737,0.25284364,0.87336835,0.02761144,0.23239998
2.27213607,2.89877208,0.55545750,1.50103115,0.00627884,0.11652553,0.25845069,0.89749698,0.02855396,0.24339343
2.27813907,2.98265014,0.58373595,1.54152942,0.00677635,0.12069235,0.26397728,0.92337650,0.02955922,0.25483387
2.28414207,3.06658343,0.61197950,1.58077005,0.00732272,0.12472498,0.26938034,0.95088231,0.03062316,0.26664957
2.29014507,3.14994313,0.63989709,1.61844674,0.00791938,0.12858187,0.27460781,0.97981138,0.03173978,0.27875755
2.29614807,3.23202619,0.66718507,1.65425798,0.00856673,0.13222330,0.27959933,1.00988074,0.03290105,0.29106379
2.30215108,3.31205158,0.69352985,1.68790206,0.00926385,0.13561181,0.28428741,1.04072935,0.03409682,0.30346399
2.30815408,3.38916140,0.71861151,1.71907318,0.01000830,0.13871273,0.28859908,1.07192340,0.03531482,0.31584452
2.31415708,3.46242726,0.74210849,1.74745903,0.01079604,0.14149461,0.29245798,1.10296510,0.03654074,0.32808394
2.32016008,3.53086210,0.76370352,1.77274013,0.01162122,0.14392968,0.29578675,1.13330477,0.03775842,0.34005471
2.32616308,3.59343754,0.78309034,1.79459123,0.01247623,0.14599437,0.29850974,1.16235584,0.03895006,0.35162535
