energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.39969985,4.29473541,0.04106494,0.68719059,0.65166292,0.00000000,0.05001771,1.72207681,1.71326423,0.74281372
-5.39369685,4.24468891,0.04303083,0.68738922,0.63219239,0.00000000,0.05210694,1.69337294,1.68366218,0.75180974
-5.38769385,4.21856673,0.04510578,0.69014329,0.61766738,0.00000000,0.05453427,1.67614415,1.66368343,0.76340451
-5.38169085,4.21657188,0.04727968,0.69536258,0.60824452,0.00000000,0.05730344,1.67068142,1.65354278,0.77742609
-5.37568784,4.23845067,0.04954072,0.70290207,0.60399350,0.00000000,0.06041106,1.67706562,1.65325554,0.79366313
-5.36968484,4.28354676,0.05187584,0.71257328,0.60490383,0.00000000,0.06384647,1.69518423,1.66266043,0.81187769
-5.36368184,4.35085990,0.05427113,0.72415603,0.61089251,0.00000000,0.06759170,1.72475066,1.68144500,0.83181780
-5.35767884,4.43910592,0.05671233,0.73740985,0.62181233,0.00000000,0.07162167,1.76532473,1.70917217,0.85322887
-5.35167584,4.54677450,0.05918511,0.75208452,0.63746006,0.00000000,0.07590436,1.81633336,1.74530594,0.87586356
-5.34567284,4.67218223,0.06167545,0.76792909,0.65758435,0.00000000,0.08040129,1.87709034,1.78923513,0.89948940
-5.33966983,4.81351862,0.06416977,0.78469920,0.68189294,0.00000000,0.08506805,1.94681450,1.84029375,0.92389406
-5.33366683,4.96888408,0.06665511,0.80216217,0.71005890,0.00000000,0.08985501,2.02464580,1.89777743,0.94888788
-5.32766383,5.13631909,0.06911913,0.82010010,0.74172602,0.00000000,0.09470816,2.10965905,1.96095527,0.97430398
-5.32166083,5.31382503,0.07155007,0.83831081,0.77651305,0.00000000,0.09957015,2.20087547,2.02907736,0.99999593
-5.31565783,5.49937738,0.07393665,0.85660700,0.81401719,0.00000000,0.10438138,2.29727207,2.10137801,1.02583350
-5.30965483,5.69093301,0.07626793,0.87481393,0.85381678,0.00000000,0.10908128,2.39778961,2.17707562,1.05169686
-5.30365183,5.88643303,0.07853312,0.89276598,0.89547353,0.00000000,0.11360965,2.50133934,2.25536986,1.07747001
-5.29764882,6.08380342,0.08072143,0.91030269,0.93853449,0.00000000,0.11790804,2.60680935,2.33543742,1.10303378
-5.29164582,6.28095538,0.08282193,0.92726460,0.98253407,0.00000000,0.12192116,2.71307095,2.41642735,1.12825923
-5.28564282,6.47578708,0.08482340,0.94348949,1.02699634,0.00000000,0.12559821,2.81898561,2.49745725,1.15300189
-5.27963982,6.66618839,0.08671429,0.95880937,1.07143781,0.00000000,0.12889418,2.92341283,2.57761119,1.17709732
-5.27363682,6.85004966,0.08848271,0.97304844,1.11537077,0.00000000,0.13177094,3.02521922,2.65594044,1.20035834
-5.26763382,7.02527503,0.09011642,0.98602238,1.15830746,0.00000000,0.13419813,3.12328876,2.73146741,1.22257417
