energy_ev,total_up,Ge_p_up,Ge_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-1.92996498,4.08600450,0.19285035,0.00000000,1.19110539,2.45352467,2.09898815,0.00000000
-1.92396198,3.98952328,0.19755578,0.00000000,1.17935997,2.37117686,2.06211262,0.00000000
-1.91795898,3.88290120,0.20223554,0.00000000,1.16665020,2.28202613,2.02151471,0.00000000
-1.91195598,3.76844390,0.20701614,0.00000000,1.15370260,2.18748954,1.97845856,0.00000000
-1.90595298,3.64859581,0.21203927,0.00000000,1.14127328,2.08904033,1.93427285,0.00000000
-1.89994997,3.52587890,0.21745682,0.00000000,1.13012316,1.98817609,1.89031381,0.00000000
-1.89394697,3.40282681,0.22342494,0.00000000,1.12099141,1.88638596,1.84792525,0.00000000
-1.88794397,3.28191627,0.23009748,0.00000000,1.11456771,1.78511779,1.80839705,0.00000000
-1.88194097,3.16549821,0.23761901,0.00000000,1.11146452,1.68574614,1.77292346,0.00000000
-1.87593797,3.05573105,0.24611765,0.00000000,1.11219048,1.58954208,1.74256294,0.00000000
-1.86993497,2.95451861,0.25569820,0.00000000,1.11712615,1.49764602,1.71820106,0.00000000
-1.86393197,2.86345535,0.26643576,0.00000000,1.12650324,1.41104407,1.70051816,0.00000000
-1.85792896,2.78378106,0.27837010,0.00000000,1.14038852,1.33054919,1.68996326,0.00000000
-1.85192596,2.71634703,0.29150133,0.00000000,1.15867334,1.25678741,1.68673556,0.00000000
-1.84592296,2.66159524,0.30578672,0.00000000,1.18106957,1.19018979,1.69077439,0.00000000
-1.83991996,2.61955135,0.32113924,0.00000000,1.20711236,1.13099024,1.70175844,0.00000000
-1.83391696,2.58983210,0.33742762,0.00000000,1.23617007,1.07922921,1.71911434,0.00000000
-1.82791396,2.57166642,0.35447814,0.00000000,1.26746095,1.03476296,1.74203450,0.00000000
-1.82191096,2.56392976,0.37207806,0.00000000,1.30007634,0.99727796,1.76950353,0.00000000
-1.81590795,2.56518974,0.38998052,0.00000000,1.33300936,0.96630969,1.80033214,0.00000000
-1.80990495,2.57376135,0.40791081,0.00000000,1.36518795,0.94126510,1.83319735,0.00000000
-1.80390195,2.58776930,0.42557361,0.00000000,1.39551110,0.92144765,1.86668705,0.00000000
-1.79789895,2.60521475,0.44266113,0.00000000,1.42288640,0.90608394,1.89934730,0.00000000
-1.79189595,2.62404385,0.45886160,0.00000000,1.44626755,0.89435108,1.92973023,0.00000000
-1.78589295,2.64221527,0.47386792,0.00000000,1.46469012,0.88540351,1.95644074,0.00000000
-1.77988994,2.65776417,0.48738609,0.00000000,1.47730392,0.87839869,1.97818008,0.00000000
-1.77388694,2.66886043,0.49914318,0.00000000,1.48340080,0.87252063,1.99378465,0.00000000
-1.76788394,2.67385922,0.50889446,0.00000000,1.48243665,0.86700079,2.00225875,0.00000000
-1.76188094,2.67134243,0.51642956,0.00000000,1.47404678,0.86113582,2.00280021,0.00000000
-1.75587794,2.66015010,0.52157753,0.00000000,1.45805429,0.85430177,1.99481820,0.00000000
-1.74987494,2.63940140,0.52421051,0.00000000,1.43447132,0.84596480,1.97794312,0.00000000
-1.74387194,2.60850514,0.52424620,0.00000000,1.40349325,0.83568824,1.95202847,0.00000000
-1.73786893,2.56716043,0.52164892,0.00000000,1.36548670,0.82313620,1.91714531,0.00000000
-1.73186593,2.51534813,0.51642943,0.00000000,1.32097193,0.80807405,1.87357004,0.00000000
-1.72586293,2.45331440,0.50864354,0.00000000,1.27060071,0.79036599,1.82176642,0.00000000
-1.71985993,2.38154767,0.49838967,0.00000000,1.21513108,0.76997023,1.76236305,0.00000000
-1.71385693,2.30075041,0.48580542,0.00000000,1.15540002,0.74693215,1.69612750,0.00000000
-1.70785393,2.21180730,0.47106338,0.00000000,1.09229540,0.72137581,1.62393842,0.00000000
-1.70185093,2.11575119,0.45436635,0.00000000,1.02672850,0.69349448,1.54675674,0.00000000
-1.69584792,2.01372830,0.43594202,0.00000000,0.95960802,0.66354030,1.46559716,0.00000000
-1.68984492,1.90696381,0.41603741,0.00000000,0.89181665,0.63181366,1.38150097,0.00000000
-1.68384192,1.79672903,0.39491312,0.00000000,0.82419075,0.59865266,1.29551080,0.00000000
-1.67783892,1.68431086,0.37283759,0.00000000,0.75750372,0.56442276,1.20864822,0.00000000
-1.67183592,1.57098438,0.35008147,0.00000000,0.69245335,0.52950718,1.12189437,0.00000000
-1.66583292,1.45798901,0.32691222,0.00000000,0.62965303,0.49429796,1.03617414,0.00000000
-1.65982991,1.34650854,0.30358915,0.00000000,0.56962690,0.45918818,0.95234379,0.00000000
-1.65382691,1.23765529,0.28035885,0.00000000,0.51280854,0.42456523,0.87118209,0.00000000
-1.64782391,1.13245834,0.25745116,0.00000000,0.45954270,0.39080544,0.79338488,0.00000000
-1.64182091,1.03185578,0.23507586,0.00000000,0.41008978,0.35826999,0.71956258,0.00000000
-1.63581791,0.93669082,0.21341991,0.00000000,0.36463232,0.32730226,0.65024064,0.00000000
-1.62981491,0.84771133,0.19264555,0.00000000,0.32328299,0.29822651,0.58586221,0.00000000
-1.62381191,0.76557264,0.17288898,0.00000000,0.28609363,0.27134785,0.52679292,0.00000000
-1.61780890,0.69084293,0.15425991,0.00000000,0.25306458,0.24695346,0.47332710,0.00000000
-1.61180590,0.62401087,0.13684171,0.00000000,0.22415420,0.22531480,0.42569516,0.00000000
