energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-2.80040020,9.19988193,-8.57421879,2.31147794,-4.05352725,4.71701637,-2.13189447,0.01976150,-0.02138580,0.43765594,-0.40245147,0.19420881,-0.06451943,4.08599766,-5.74084887
-2.79439720,9.37029476,-8.55490320,2.36521669,-4.03789795,4.76974730,-2.12665056,0.02075096,-0.02114547,0.44585104,-0.40132860,0.20081399,-0.06322165,4.20227484,-5.73534661
-2.78839420,9.55275558,-8.51897519,2.42273254,-4.01229678,4.82821901,-2.11753112,0.02179028,-0.02081567,0.45462362,-0.39911297,0.20741852,-0.06190120,4.32414397,-5.71947624
-2.78239120,9.74684187,-8.46959480,2.48375576,-3.97840694,4.89254047,-2.10532438,0.02287972,-0.02039601,0.46389102,-0.39584197,0.21400318,-0.06056613,4.45116538,-5.69549403
-2.77638819,9.95162237,-8.41005153,2.54784327,-3.93796187,4.96259788,-2.09085042,0.02401892,-0.01988864,0.47353684,-0.39158584,0.22054115,-0.05922234,4.58266205,-5.66570999
-2.77038519,10.16564676,-8.34360150,2.61437780,-3.89266980,5.03805233,-2.07492019,0.02520686,-0.01929807,0.48341148,-0.38644145,0.22699656,-0.05787344,4.71771084,-5.63237418
-2.76438219,10.38695752,-8.27330812,2.68257506,-3.84414108,5.11834661,-2.05829552,0.02644201,-0.01863091,0.49333393,-0.38052543,0.23332351,-0.05652066,4.85514486,-5.59756635
-2.75837919,10.61312420,-8.20189429,2.75149893,-3.79382176,5.20272071,-2.04165181,0.02772240,-0.01789546,0.50309497,-0.37396692,0.23946553,-0.05516297,4.99356754,-5.56309435
-2.75237619,10.84129914,-8.13161350,2.82008413,-3.74293659,5.29023519,-2.02554566,0.02904576,-0.01710139,0.51246177,-0.36690040,0.24535569,-0.05379723,5.13137808,-5.53040652
-2.74637319,11.06829234,-8.06414636,2.88716573,-3.69244417,5.37980114,-2.01038859,0.03040961,-0.01625929,0.52118363,-0.35945876,0.25091742,-0.05241858,5.26680772,-5.50052248
-2.74037019,11.29066226,-8.00052720,2.95151393,-3.64300612,5.47021491,-1.99642847,0.03181136,-0.01538033,0.52899900,-0.35176710,0.25606593,-0.05102084,5.39796541,-5.47398564
-2.73436718,11.50481848,-7.94110416,3.01187304,-3.59497166,5.56019587,-1.98373911,0.03324839,-0.01447583,0.53564322,-0.34393742,0.26071046,-0.04959702,5.52289081,-5.45083955
-2.72836418,11.70713112,-7.88553407,3.06700237,-3.54837773,5.64842512,-1.97221868,0.03471807,-0.01355694,0.54085702,-0.33606431,0.26475704,-0.04813982,5.63961229,-5.43062923
-2.72236118,11.89404210,-7.83281189,3.11571760,-3.50296441,5.73358308,-1.96159674,0.03621775,-0.01263431,0.54439522,-0.32822197,0.26811174,-0.04664226,5.74620725,-5.41242690
-2.71635818,12.06217261,-7.78133235,3.15693022,-3.45820429,5.81438433,-1.95144931,0.03774465,-0.01171789,0.54603537,-0.32046241,0.27068423,-0.04509818,5.84086171,-5.39488059
-2.71035518,12.20842189,-7.72898014,3.18968349,-3.41334395,5.88960791,-1.94122121,0.03929578,-0.01081668,0.54558591,-0.31281494,0.27239157,-0.04350270,5.92192630,-5.37628283
-2.70435218,12.33005283,-7.67324359,3.21318311,-3.36745506,5.95812204,-1.93025441,0.04086774,-0.00993861,0.54289353,-0.30528687,0.27316173,-0.04185271,5.98796604,-5.35465579
-2.69834917,12.42476068,-7.61134554,3.22682106,-3.31949232,6.01890259,-1.91782072,0.04245651,-0.00909048,0.53784932,-0.29786529,0.27293703,-0.04014713,6.03780143,-5.32784829
-2.69234617,12.49072235,-7.54038490,3.23019189,-3.26835508,6.07104496,-1.90315743,0.04405713,-0.00827786,0.53039344,-0.29051976,0.27167690,-0.03838714,6.07053908,-5.29363995
-2.68634317,12.52662500,-7.45748153,3.22310048,-3.21294952,6.11376974,-1.88550394,0.04566352,-0.00750519,0.52051803,-0.28320576,0.26936013,-0.03657630,6.08559078,-5.24984723
-2.68034017,12.53167388,-7.35991769,3.20556149,-3.15224852,6.14642287,-1.86413770,0.04726811,-0.00677572,0.50826833,-0.27586867,0.26598620,-0.03472047,6.08268027,-5.19442638
-2.67433717,12.50558058,-7.24526949,3.17779048,-3.08534626,6.16847145,-1.83840795,0.04886168,-0.00609168,0.49374181,-0.26844798,0.26157585,-0.03282774,6.06183822,-5.12556860
-2.66833417,12.44853396,-7.11152255,3.14018778,-3.01150540,6.17949647,-1.80776559,0.05043307,-0.00545432,0.47708536,-0.26088166,0.25617063,-0.03090815,6.02338612,-5.04178331
