energy_ev,total_up,Bi_p_up,Bi_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-5.47173587,1.38891711,0.58479091,0.00491826,0.43867071,0.11942410,0.07916767,0.29918601
-5.46573287,1.38829386,0.59670631,0.00500410,0.43334074,0.11811137,0.07570183,0.28884643
-5.45972986,1.38396142,0.60639510,0.00507539,0.42673801,0.11652684,0.07205422,0.27831353
-5.45372686,1.37649160,0.61391457,0.00513314,0.41909145,0.11473746,0.06829509,0.26787776
-5.44772386,1.36652481,0.61937875,0.00517875,0.41064594,0.11281352,0.06449297,0.25782066
-5.44172086,1.35475293,0.62295507,0.00521397,0.40165597,0.11082683,0.06071296,0.24840755
-5.43571786,1.34189956,0.62485848,0.00524087,0.39237891,0.10884870,0.05701524,0.23988060
-5.42971486,1.32869803,0.62534351,0.00526171,0.38306824,0.10694797,0.05345382,0.23245267
-5.42371186,1.31586777,0.62469413,0.00527893,0.37396650,0.10518896,0.05007549,0.22630187
-5.41770885,1.30408979,0.62321207,0.00529495,0.36529862,0.10362951,0.04691914,0.22156703
-5.41170585,1.29398191,0.62120392,0.00531215,0.35726539,0.10231910,0.04401524,0.21834416
-5.40570285,1.28607490,0.61896753,0.00533272,0.35003759,0.10129719,0.04138564,0.21668399
-5.39969985,1.28079042,0.61677846,0.00535851,0.34375072,0.10059173,0.03904363,0.21659060
-5.39369685,1.27842170,0.61487696,0.00539100,0.33850079,0.10021806,0.03699416,0.21802132
-5.38769385,1.27911822,0.61345634,0.00543116,0.33434115,0.10017810,0.03523433,0.22088776
-5.38169085,1.28287500,0.61265311,0.00547939,0.33128061,0.10046000,0.03375397,0.22505812
-5.37568784,1.28952757,0.61253966,0.00553547,0.32928306,0.10103821,0.03253648,0.23036066
-5.36968484,1.29875292,0.61311977,0.00559853,0.32826854,0.10187408,0.03155966,0.23658838
-5.36368184,1.31007699,0.61432727,0.00566709,0.32811591,0.10291689,0.03079672,0.24350479
-5.35767884,1.32288845,0.61602805,0.00573905,0.32866702,0.10410539,0.03021736,0.25085056
-5.35167584,1.33645875,0.61802536,0.00581178,0.32973236,0.10536979,0.02978879,0.25835110
-5.34567284,1.34996750,0.62006819,0.00588221,0.33109795,0.10663408,0.02947688,0.26572458
-5.33966983,1.36253257,0.62186232,0.00594697,0.33253326,0.10781867,0.02924720,0.27269045
