energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
3.82691346,3.51038290,0.86480946,0.00000000,4.08775103,0.36142987,1.23611905,0.00000000
3.83291646,3.39025413,0.82062978,0.00000000,3.95493722,0.35061552,1.18478099,0.00000000
3.83891946,3.27350684,0.77672875,0.00000000,3.81779934,0.33950839,1.13260736,0.00000000
3.84492246,3.15999826,0.73336660,0.00000000,3.67677522,0.32812960,1.07983122,0.00000000
3.85092546,3.04940299,0.69075397,0.00000000,3.53225074,0.31649417,1.02666031,0.00000000
3.85692846,2.94126021,0.64905775,0.00000000,3.38459094,0.30461418,0.97328571,0.00000000
3.86293147,2.83502206,0.60840768,0.00000000,3.23416900,0.29250155,0.91988988,0.00000000
3.86893447,2.73010092,0.56890316,0.00000000,3.08139099,0.28017067,0.86665338,0.00000000
3.87493747,2.62591334,0.53061993,0.00000000,2.92671500,0.26764055,0.81375996,0.00000000
3.88094047,2.52191913,0.49361606,0.00000000,2.77066355,0.25493634,0.76139972,0.00000000
3.88694347,2.41765411,0.45793711,0.00000000,2.61382898,0.24209037,0.70977015,0.00000000
3.89294647,2.31275579,0.42362028,0.00000000,2.45687176,0.22914247,0.65907544,0.00000000
3.89894947,2.20698142,0.39069734,0.00000000,2.30051252,0.21613981,0.60952388,0.00000000
3.90495248,2.10021854,0.35919664,0.00000000,2.14551862,0.20313613,0.56132414,0.00000000
3.91095548,1.99248811,0.32914398,0.00000000,1.99268654,0.19019058,0.51468040,0.00000000
3.91695848,1.88394111,0.30056276,0.00000000,1.84282166,0.17736627,0.46978716,0.00000000
3.92296148,1.77484919,0.27347342,0.00000000,1.69671663,0.16472854,0.42682385,0.00000000
3.92896448,1.66559059,0.24789255,0.00000000,1.55512998,0.15234317,0.38594990,0.00000000
3.93496748,1.55663223,0.22383171,0.00000000,1.41876617,0.14027461,0.34730041,0.00000000
3.94097049,1.44850938,0.20129621,0.00000000,1.28825804,0.12858424,0.31098287,0.00000000
3.94697349,1.34180385,0.18028411,0.00000000,1.16415265,0.11732892,0.27707485,0.00000000
3.95297649,1.23712186,0.16078537,0.00000000,1.04690089,0.10655969,0.24562312,0.00000000
3.95897949,1.13507267,0.14278143,0.00000000,0.93685124,0.09632078,0.21664381,0.00000000
3.96498249,1.03624868,0.12624516,0.00000000,0.83424769,0.08664895,0.19012385,0.00000000
3.97098549,0.94120796,0.11114125,0.00000000,0.73923162,0.07757316,0.16602342,0.00000000
3.97698849,0.85045963,0.09742696,0.00000000,0.65184742,0.06911452,0.14427930,0.00000000
3.98299150,0.76445256,0.08505336,0.00000000,0.57205115,0.06128656,0.12480890,0.00000000
3.98899450,0.68356771,0.07396683,0.00000000,0.49972204,0.05409577,0.10751487,0.00000000
3.99499750,0.60811414,0.06411086,0.00000000,0.43467600,0.04754245,0.09228997,0.00000000
4.00100050,0.53832874,0.05542816,0.00000000,0.37668078,0.04162165,0.07902217,0.00000000
4.00700350,0.47437943,0.04786287,0.00000000,0.32547207,0.03632444,0.06759974,0.00000000
4.01300650,0.41637156,0.04136294,0.00000000,0.28077034,0.03163915,0.05791625,0.00000000
