energy_ev,total_up,Hg_p_up,Hg_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-5.15357679,2.98141923,0.94409822,0.67176128,0.27027747,0.00260128,0.15731660,0.96644561
-5.14757379,2.98496306,0.93600056,0.67473188,0.26736629,0.00260878,0.15870432,0.96305052
-5.14157079,2.98885928,0.92829468,0.67765062,0.26488548,0.00261352,0.15985124,0.95984378
-5.13556778,2.99315509,0.92110397,0.68052254,0.26288154,0.00261518,0.16072692,0.95691731
-5.12956478,2.99781807,0.91452565,0.68332850,0.26139802,0.00261348,0.16131071,0.95432473
-5.12356178,3.00272410,0.90862389,0.68602299,0.26047360,0.00260812,0.16159143,0.95207566
-5.11755878,3.00765066,0.90342490,0.68853334,0.26014069,0.00259884,0.16156670,0.95013240
-5.11155578,3.01227636,0.89891433,0.69076042,0.26042460,0.00258538,0.16124202,0.94840912
-5.10555278,3.01618697,0.89503712,0.69258104,0.26134324,0.00256752,0.16062968,0.94677385
-5.09954977,3.01888777,0.89169989,0.69385176,0.26290746,0.00254504,0.15974753,0.94505315
-5.09354677,3.01982190,0.88877555,0.69441420,0.26512181,0.00251780,0.15861770,0.94303924
-5.08754377,3.01839368,0.88611011,0.69410151,0.26798576,0.00248565,0.15726537,0.94049929
-5.08154077,3.01399563,0.88353092,0.69274568,0.27149513,0.00244855,0.15571749,0.93718635
-5.07553777,3.00603791,0.88085616,0.69018545,0.27564357,0.00240649,0.15400177,0.93285141
-5.06953477,2.99397823,0.87790473,0.68627428,0.28042388,0.00235953,0.15214561,0.92725588
-5.06353177,2.97735077,0.87450606,0.68088805,0.28582908,0.00230783,0.15017533,0.92018386
-5.05752876,2.95579234,0.87050921,0.67393205,0.29185287,0.00225161,0.14811549,0.91145361
-5.05152576,2.92906413,0.86579066,0.66534694,0.29848952,0.00219118,0.14598831,0.90092747
-5.04552276,2.89706807,0.86026050,0.65511328,0.30573311,0.00212695,0.14381335,0.88851991
-5.03951976,2.85985652,0.85386638,0.64325446,0.31357591,0.00205939,0.14160723,0.87420313
-5.03351676,2.81763489,0.84659535,0.62983779,0.32200618,0.00198905,0.13938344,0.85801004
-5.02751376,2.77075703,0.83847327,0.61497378,0.33100536,0.00191656,0.13715235,0.84003448
-5.02151076,2.71971340,0.82956202,0.59881351,0.34054485,0.00184257,0.13492121,0.82042861
-5.01550775,2.66511297,0.81995460,0.58154432,0.35058264,0.00176783,0.13269425,0.79939775
-5.00950475,2.60765945,0.80976866,0.56338394,0.36106002,0.00169306,0.13047286,0.77719289
-5.00350175,2.54812343,0.79913868,0.54457338,0.37189868,0.00161901,0.12825576,0.75410125
-4.99749875,2.48731163,0.78820737,0.52536885,0.38299840,0.00154645,0.12603937,0.73043543
-4.99149575,2.42603494,0.77711696,0.50603319,0.39423575,0.00147609,0.12381803,0.70652154
-4.98549275,2.36507693,0.76600066,0.48682702,0.40546388,0.00140860,0.12158445,0.68268717
-4.97948974,2.30516414,0.75497499,0.46800016,0.41651355,0.00134462,0.11933014,0.65924937
-4.97348674,2.24693980,0.74413329,0.44978365,0.42719563,0.00128469,0.11704582,0.63650351
-4.96748374,2.19094203,0.73354088,0.43238254,0.43730486,0.00122926,0.11472199,0.61471333
-4.96148074,2.13758743,0.72323194,0.41596999,0.44662497,0.00117870,0.11234943,0.59410260
-4.95547774,2.08716078,0.71320841,0.40068274,0.45493485,0.00113326,0.10991973,0.57484874
-4.94947474,2.03981109,0.70344081,0.38661806,0.46201558,0.00109308,0.10742583,0.55707863
-4.94347174,1.99555397,0.69387096,0.37383240,0.46765796,0.00105818,0.10486255,0.54086665
-4.93746873,1.95428010,0.68441633,0.36234168,0.47167026,0.00102848,0.10222702,0.52623503
-4.93146573,1.91576910,0.67497585,0.35212312,0.47388574,0.00100378,0.09951915,0.51315637
-4.92546273,1.87970810,0.66543671,0.34311854,0.47416956,0.00098379,0.09674195,0.50155821
-4.91945973,1.84571394,0.65568191,0.33523893,0.47242484,0.00096814,0.09390183,0.49132923
-4.91345673,1.81335799,0.64559801,0.32837008,0.46859743,0.00095638,0.09100878,0.48232701
-4.90745373,1.78219232,0.63508286,0.32237893,0.46267924,0.00094800,0.08807655,0.47438673
-4.90145073,1.75177618,0.62405283,0.31712054,0.45470998,0.00094247,0.08512265,0.46733053
-4.89544772,1.72170151,0.61244919,0.31244510,0.44477719,0.00093924,0.08216838,0.46097713
-4.88944472,1.69161663,0.60024350,0.30820501,0.43301466,0.00093776,0.07923874,0.45515128
-4.88344172,1.66124705,0.58744172,0.30426151,0.41959924,0.00093751,0.07636227,0.44969264
-4.87743872,1.63041270,0.57408684,0.30049073,0.40474635,0.00093802,0.07357092,0.44446374
-4.87143572,1.59904103,0.56026014,0.29678891,0.38870421,0.00093888,0.07089982,0.43935680
-4.86543272,1.56717558,0.54608089,0.29307661,0.37174735,0.00093973,0.06838698,0.43429913
-4.85942971,1.53497975,0.53170460,0.28930179,0.35416944,0.00094032,0.06607306,0.42925684
-4.85342671,1.50273576,0.51731999,0.28544164,0.33627586,0.00094049,0.06400094,0.42423691
-4.84742371,1.47083905,0.50314473,0.28150326,0.31837631,0.00094014,0.06221537,0.41928751
