energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,Ta_p_up,Ta_d_up
1.62381191,1.45020438,0.00719221,0.29943427,0.08649195,0.00456005,0.33623656,1.20719715
1.62981491,1.44598884,0.00665715,0.29272867,0.08749060,0.00437102,0.33883648,1.21758530
1.63581791,1.44204793,0.00619311,0.28597314,0.08830504,0.00417453,0.34106178,1.22921687
1.64182091,1.43881150,0.00579634,0.27926309,0.08897652,0.00397283,0.34305319,1.24235440
1.64782391,1.43670832,0.00546262,0.27269925,0.08955632,0.00376845,0.34496755,1.25722910
1.65382691,1.43614661,0.00518741,0.26638423,0.09010467,0.00356417,0.34697229,1.27402495
1.65982991,1.43749626,0.00496602,0.26041898,0.09068942,0.00336293,0.34923983,1.29286503
1.66583292,1.44107378,0.00479375,0.25489946,0.09138463,0.00316776,0.35194241,1.31380104
1.67183592,1.44713126,0.00466599,0.24991388,0.09226899,0.00298173,0.35524754,1.33680691
1.67783892,1.45584994,0.00457835,0.24554038,0.09342427,0.00280786,0.35931436,1.36177720
1.68384192,1.46733912,0.00452671,0.24184569,0.09493383,0.00264912,0.36429107,1.38853047
1.68984492,1.48164015,0.00450732,0.23888439,0.09688122,0.00250836,0.37031358,1.41681768
1.69584792,1.49873538,0.00451685,0.23669914,0.09934896,0.00238832,0.37750524,1.44633515
1.70185093,1.51856117,0.00455244,0.23532149,0.10241746,0.00229156,0.38597770,1.47674128
1.70785393,1.54102402,0.00461175,0.23477336,0.10616410,0.00222054,0.39583251,1.50767610
1.71385693,1.56601835,0.00469293,0.23506888,0.11066243,0.00217754,0.40716332,1.53878222
1.71985993,1.59344455,0.00479468,0.23621635,0.11598145,0.00216469,0.42005829,1.56972599
1.72586293,1.62322568,0.00491616,0.23822017,0.12218492,0.00218400,0.43460227,1.60021718
1.73186593,1.65532134,0.00505698,0.24108249,0.12933060,0.00223728,0.45087844,1.63002600
1.73786893,1.68973737,0.00521715,0.24480429,0.13746934,0.00232618,0.46896889,1.65899609
1.74387194,1.72653039,0.00539692,0.24938588,0.14664407,0.00245215,0.48895402,1.68705254
1.74987494,1.76580628,0.00559674,0.25482653,0.15688844,0.00261634,0.51091039,1.71420424
1.75587794,1.80771258,0.00581705,0.26112340,0.16822534,0.00281964,0.53490682,1.74054019
1.76188094,1.85242464,0.00605823,0.26826960,0.18066509,0.00306252,0.56099893,1.76621993
1.76788394,1.90012639,0.00632034,0.27625167,0.19420347,0.00334499,0.58922209,1.79145837
1.77388694,1.95098657,0.00660307,0.28504646,0.20881965,0.00366653,0.61958314,1.81650603
1.77988994,2.00513188,0.00690553,0.29461788,0.22447407,0.00402595,0.65205125,1.84162564
1.78589295,2.06261874,0.00722616,0.30491350,0.24110651,0.00442138,0.68654851,1.86706668
1.79189595,2.12340551,0.00756263,0.31586157,0.25863445,0.00485011,0.72294090,1.89303921
1.79789895,2.18732716,0.00791175,0.32736861,0.27695190,0.00530864,0.76103015,1.91968881
1.80390195,2.25407421,0.00826952,0.33931781,0.29592886,0.00579256,0.80054755,1.94707415
1.80990495,2.32317780,0.00863107,0.35156864,0.31541161,0.00629660,0.84115001,1.97514871
1.81590795,2.39400220,0.00899077,0.36395767,0.33522394,0.00681466,0.88241923,2.00374789
1.82191096,2.46574586,0.00934236,0.37630089,0.35516935,0.00733986,0.92386435,2.03258259
1.82791396,2.53745157,0.00967908,0.38839732,0.37503430,0.00786470,0.96492838,2.06123968
1.83391696,2.60802574,0.00999387,0.40003410,0.39459249,0.00838114,1.00499850,2.08918983
1.83991996,2.67626640,0.01027959,0.41099271,0.41361003,0.00888086,1.04342014,2.11580231
1.84592296,2.74089868,0.01052929,0.42105611,0.43185135,0.00935540,1.07951443,2.14036620
1.85192596,2.80061653,0.01073643,0.43001652,0.44908561,0.00979645,1.11259836,2.16211703
1.85792896,2.85412847,0.01089513,0.43768353,0.46509340,0.01019609,1.14200705,2.18026752
1.86393197,2.90020538,0.01100042,0.44389188,0.47967335,0.01054699,1.16711687,2.19404087
1.86993497,2.93772778,0.01104843,0.44850882,0.49264840,0.01084273,1.18736851,2.20270477
1.87593797,2.96573036,0.01103656,0.45144044,0.50387136,0.01107796,1.20228888,2.20560457
1.88194097,2.98344123,0.01096363,0.45263656,0.51322948,0.01124860,1.21151056,2.20219359
1.88794397,2.99031409,0.01082992,0.45209418,0.52064784,0.01135202,1.21478785,2.19205924
1.89394697,2.98605150,0.01063724,0.44985885,0.52609134,0.01138711,1.21200854,2.17494347
1.89994997,2.97061814,0.01038888,0.44602424,0.52956514,0.01135433,1.20320065,2.15075661
1.90595298,2.94424342,0.01008957,0.44072963,0.53111355,0.01125570,1.18853378,2.11958387
1.91195598,2.90741331,0.00974535,0.43415549,0.53081755,0.01109476,1.16831480,2.08168437
1.91795898,2.86085209,0.00936343,0.42651735,0.52879079,0.01087639,1.14297816,2.03748286
1.92396198,2.80549483,0.00895202,0.41805829,0.52517455,0.01060668,1.11307114,1.98755460
1.92996498,2.74245232,0.00852018,0.40904022,0.52013183,0.01029270,1.07923478,1.93260445
1.93596798,2.67297021,0.00807757,0.39973459,0.51384078,0.00994225,1.04218136,1.87344135
1.94197099,2.59838446,0.00763430,0.39041273,0.50648791,0.00956359,1.00266957,1.81094946
1.94797399,2.52007538,0.00720074,0.38133647,0.49826139,0.00916519,0.96147850,1.74605764
1.95397699,2.43942237,0.00678734,0.37274928,0.48934465,0.00875541,0.91938160,1.67970864
1.95997999,2.35776141,0.00640450,0.36486838,0.47991071,0.00834229,0.87712197,1.61282960
1.96598299,2.27634700,0.00606239,0.35787821,0.47011728,0.00793327,0.83538983,1.54630494
1.97198599,2.19632014,0.00577092,0.35192534,0.46010297,0.00753502,0.79480325,1.48095289
1.97798899,2.11868306,0.00553955,0.34711510,0.44998460,0.00715329,0.75589281,1.41750636
1.98399200,2.04428155,0.00537726,0.34351005,0.43985567,0.00679278,0.71909075,1.35659867
1.98999500,1.97379487,0.00529246,0.34113002,0.42978606,0.00645708,0.68472467,1.29875429
1.99599800,1.90773296,0.00529287,0.33995397,0.41982270,0.00614864,0.65301612,1.24438457
2.00200100,1.84644042,0.00538550,0.33992326,0.40999129,0.00586883,0.62408354,1.19378815
2.00800400,1.79010623,0.00557647,0.34094609,0.40029881,0.00561799,0.59794932,1.14715531
2.01400700,1.73877828,0.00587093,0.34290302,0.39073660,0.00539554,0.57455032,1.10457583
2.02001001,1.69238122,0.00627296,0.34565310,0.38128391,0.00520011,0.55375119,1.06604937
2.02601301,1.65073669,0.00678535,0.34904036,0.37191170,0.00502967,0.53535954,1.03149766
2.03201601,1.61358446,0.00740950,0.35290032,0.36258640,0.00488175,0.51914232,1.00077764
2.03801901,1.58060361,0.00814523,0.35706632,0.35327363,0.00475354,0.50484243,0.97369491
2.04402201,1.55143258,0.00899060,0.36137533,0.34394151,0.00464209,0.49219477,0.95001684
2.05002501,1.52568767,0.00994179,0.36567309,0.33456368,0.00454447,0.48094112,0.92948472
2.05602801,1.50297914,0.01099298,0.36981838,0.32512164,0.00445786,0.47084319,0.91182493
2.06203102,1.48292486,0.01213621,0.37368642,0.31560664,0.00437971,0.46169328,0.89675850
2.06803402,1.46516124,0.01336144,0.37717124,0.30602079,0.00430779,0.45332240,0.88400932
2.07403702,1.44935151,0.01465647,0.38018707,0.29637766,0.00424026,0.44560547,0.87331080
2.08004002,1.43519155,0.01600714,0.38266886,0.28670210,0.00417573,0.43846374,0.86441117
2.08604302,1.42241350,0.01739744,0.38457190,0.27702961,0.00411322,0.43186426,0.85707749
2.09204602,1.41078746,0.01880979,0.38587074,0.26740511,0.00405219,0.42581686,0.85109859
2.09804902,1.40012159,0.02022536,0.38655755,0.25788127,0.00399248,0.42036879,0.84628700
2.10405203,1.39026094,0.02162448,0.38663993,0.24851653,0.00393424,0.41559744,0.84248018
2.11005503,1.38108525,0.02298708,0.38613845,0.23937286,0.00387790,0.41160154,0.83954089
2.11605803,1.37250591,0.02429316,0.38508402,0.23051342,0.00382406,0.40849150,0.83735701
2.12206103,1.36446238,0.02552336,0.38351509,0.22200020,0.00377343,0.40637912,0.83584068
2.12806403,1.35691797,0.02665941,0.38147496,0.21389168,0.00372672,0.40536740,0.83492684
2.13406703,1.34985526,0.02768462,0.37900916,0.20624080,0.00368461,0.40554089,0.83457114
2.14007004,1.34327114,0.02858438,0.37616302,0.19909308,0.00364763,0.40695691,0.83474716
2.14607304,1.33717153,0.02934645,0.37297942,0.19248507,0.00361613,0.40963817,0.83544306
2.15207604,1.33156586,0.02996132,0.36949698,0.18644326,0.00359022,0.41356709,0.83665757
2.15807904,1.32646151,0.03042239,0.36574838,0.18098328,0.00356974,0.41868197,0.83839551
2.16408204,1.32185823,0.03072607,0.36175919,0.17610956,0.00355426,0.42487535,0.84066291
2.17008504,1.31774284,0.03087177,0.35754703,0.17181536,0.00354304,0.43199447,0.84346198
2.17608804,1.31408438,0.03086181,0.35312110,0.16808325,0.00353511,0.43984393,0.84678606
2.18209105,1.31082999,0.03070123,0.34848221,0.16488576,0.00352922,0.44819041,0.85061490
2.18809405,1.30790185,0.03039750,0.34362313,0.16218652,0.00352395,0.45676922,0.85491055
2.19409705,1.30519528,0.02996024,0.33852946,0.15994146,0.00351773,0.46529240,0.85961408
2.20010005,1.30257849,0.02940082,0.33318083,0.15810030,0.00350891,0.47345818,0.86464344
2.20610305,1.29989382,0.02873196,0.32755247,0.15660806,0.00349583,0.48096113,0.86989278
2.21210605,1.29696096,0.02796739,0.32161717,0.15540672,0.00347691,0.48750281,0.87523316
2.21810905,1.29358187,0.02712145,0.31534735,0.15443681,0.00345069,0.49280234,0.88051509
2.22411206,1.28954753,0.02620876,0.30871749,0.15363900,0.00341592,0.49660650,0.88557268
2.23011506,1.28464629,0.02524398,0.30170644,0.15295557,0.00337162,0.49869893,0.89022941
2.23611806,1.27867358,0.02424153,0.29429987,0.15233184,0.00331713,0.49890799,0.89430547
2.24212106,1.27144270,0.02321545,0.28649252,0.15171740,0.00325216,0.49711315,0.89762633
2.24812406,1.26279627,0.02217931,0.27829021,0.15106728,0.00317685,0.49324948,0.90003240
2.25412706,1.25261791,0.02114615,0.26971158,0.15034289,0.00309171,0.48731022,0.90138921
2.26013007,1.24084362,0.02012853,0.26078938,0.14951289,0.00299773,0.47934734,0.90159792
2.26613307,1.22747246,0.01913852,0.25157131,0.14855390,0.00289629,0.46947020,0.90060557
2.27213607,1.21257596,0.01818783,0.24212033,0.14745105,0.00278918,0.45784225,0.89841465
2.27813907,1.19630571,0.01728791,0.23251444,0.14619840,0.00267856,0.44467625,0.89509148
2.28414207,1.17889883,0.01645001,0.22284588,0.14479921,0.00256690,0.43022794,0.89077292
2.29014507,1.16068073,0.01568532,0.21321981,0.14326606,0.00245695,0.41478869,0.88567097
2.29614807,1.14206485,0.01500500,0.20375248,0.14162073,0.00235165,0.39867729,0.88007478
2.30215108,1.12354910,0.01442022,0.19456891,0.13989400,0.00225409,0.38223128,0.87434976
2.30815408,1.10570869,0.01394213,0.18580018,0.13812501,0.00216741,0.36579799,0.86893334
2.31415708,1.08918524,0.01358179,0.17758037,0.13636060,0.00209473,0.34972560,0.86432744
2.32016008,1.07467229,0.01334998,0.17004323,0.13465415,0.00203909,0.33435453,0.86108721
2.32616308,1.06289703,0.01325708,0.16331860,0.13306419,0.00200333,0.32000915,0.85980637
2.33216608,1.05459880,0.01331270,0.15752878,0.13165277,0.00199007,0.30699006,0.86109913
2.33816908,1.05050461,0.01352541,0.15278484,0.13048338,0.00200158,0.29556711,0.86557917
2.34417209,1.05130238,0.01390235,0.14918291,0.12961870,0.00203971,0.28597306,0.87383615
2.35017509,1.05761259,0.01444878,0.14680070,0.12911806,0.00210588,0.27839808,0.88641044
2.35617809,1.06995931,0.01516767,0.14569423,0.12903481,0.00220093,0.27298511,0.90376698
2.36218109,1.08874179,0.01605927,0.14589487,0.12941362,0.00232514,0.26982608,0.92626925
2.36818409,1.11420770,0.01712067,0.14740692,0.13028777,0.00247814,0.26895915,0.95415452
2.37418709,1.14642929,0.01834543,0.15020565,0.13167675,0.00265888,0.27036696,0.98751146
2.38019010,1.18528397,0.01972330,0.15423612,0.13358410,0.00286563,0.27397600,1.02626154
2.38619310,1.23044026,0.02124004,0.15941272,0.13599573,0.00309597,0.27965723,1.07014517
2.39219610,1.28135043,0.02287730,0.16561959,0.13887889,0.00334676,0.28722794,1.11871370
2.39819910,1.33725073,0.02461271,0.17271198,0.14218175,0.00361427,0.29645504,1.17132826
2.40420210,1.39716973,0.02642010,0.18051861,0.14583381,0.00389412,0.30705974,1.22716584
2.41020510,1.45994517,0.02826986,0.18884493,0.14974715,0.00418144,0.31872365,1.28523309
2.41620810,1.52424922,0.03012951,0.19747741,0.15381847,0.00447096,0.33109624,1.34438772
2.42221111,1.58862161,0.03196436,0.20618862,0.15793196,0.00475706,0.34380358,1.40336706
2.42821411,1.65150973,0.03373837,0.21474303,0.16196286,0.00503400,0.35645809,1.46082300
2.43421711,1.71131439,0.03541506,0.22290337,0.16578163,0.00529599,0.36866917,1.51536209
2.44022011,1.76643953,0.03695852,0.23043735,0.16925855,0.00553740,0.38005430,1.56558940
2.44622311,1.81534390,0.03833451,0.23712438,0.17226855,0.00575287,0.39025026,1.61015422
2.45222611,1.85659266,0.03951144,0.24276218,0.17469612,0.00593753,0.39892409,1.64779589
2.45822911,1.88890661,0.04046143,0.24717296,0.17644000,0.00608708,0.40578340,1.67738757
2.46423212,1.91120685,0.04116114,0.25020884,0.17741750,0.00619795,0.41058547,1.69797616
2.47023512,1.92265299,0.04159262,0.25175637,0.17756827,0.00626744,0.41314497,1.70881643
2.47623812,1.92267309,0.04174380,0.25173990,0.17685729,0.00629375,0.41333976,1.70939791
2.48224112,1.91098403,0.04160896,0.25012368,0.17527703,0.00627604,0.41111469,1.69946331
2.48824412,1.88760151,0.04118889,0.24691260,0.17284861,0.00621451,0.40648309,1.67901761
2.49424712,1.85283917,0.04049078,0.24215152,0.16962202,0.00611030,0.39952598,1.64832758
2.50025013,1.80729713,0.03952803,0.23592329,0.16567528,0.00596549,0.39038902,1.60791172
2.50625313,1.75184065,0.03831968,0.22834547,0.16111273,0.00578302,0.37927733,1.55852136
2.51225613,1.68756986,0.03688981,0.21956608,0.15606247,0.00556658,0.36644839,1.50111385
2.51825913,1.61578234,0.03526671,0.20975841,0.15067307,0.00532047,0.35220343,1.43681915
2.52426213,1.53793016,0.03348192,0.19911528,0.14510973,0.00504945,0.33687764,1.36690157
2.53026513,1.45557353,0.03156930,0.18784288,0.13955006,0.00475864,0.32082957,1.29271833
2.53626813,1.37033300,0.02956397,0.17615463,0.13417963,0.00445327,0.30443029,1.21567686
2.54227114,1.28384227,0.02750133,0.16426515,0.12918744,0.00413864,0.28805256,1.13719265
2.54827414,1.19770353,0.02541614,0.15238467,0.12476150,0.00381986,0.27206058,1.05864933
2.55427714,1.11344667,0.02334168,0.14071407,0.12108455,0.00350183,0.25680056,0.98136233
2.56028014,1.03249394,0.02130904,0.12944059,0.11833016,0.00318904,0.24259241,0.90654750
2.56628314,0.95613064,0.01934653,0.11873453,0.11665912,0.00288554,0.22972280,0.83529528
2.57228614,0.88548264,0.01747927,0.10874672,0.11621623,0.00259486,0.21843964,0.76855116
2.57828914,0.82150062,0.01572891,0.09960692,0.11712759,0.00231996,0.20894816,0.70710242
2.58429215,0.76495100,0.01411349,0.09142315,0.11949810,0.00206321,0.20140838,0.65157111
2.59029515,0.71641293,0.01264743,0.08428161,0.12340954,0.00182643,0.19593412,0.60241276
2.59629815,0.67628073,0.01134161,0.07824738,0.12891880,0.00161084,0.19259325,0.55992025
2.60230115,0.64477074,0.01020360,0.07336550,0.13605650,0.00141716,0.19140899,0.52423202
2.60830415,0.62193174,0.00923787,0.06966248,0.14482588,0.00124564,0.19236229,0.49534372
2.61430715,0.60765791,0.00844606,0.06714798,0.15520187,0.00109609,0.19539475,0.47312228
2.62031016,0.60170331,0.00782731,0.06581650,0.16713048,0.00096797,0.20041220,0.45732170
2.62631316,0.60369719,0.00737851,0.06564911,0.18052843,0.00086041,0.20728852,0.44759951
2.63231616,0.61315935,0.00709461,0.06661496,0.19528312,0.00077231,0.21586970,0.44353329
2.63831916,0.62951502,0.00696880,0.06867258,0.21125289,0.00070239,0.22597787,0.44463660
2.64432216,0.65210903,0.00699275,0.07177100,0.22826783,0.00064920,0.23741535,0.45037395
2.65032516,0.68021896,0.00715674,0.07585051,0.24613106,0.00061121,0.24996842,0.46017441
2.65632816,0.71306743,0.00744980,0.08084324,0.26462061,0.00058682,0.26341109,0.47344377
2.66233117,0.74983340,0.00785978,0.08667355,0.28349198,0.00057440,0.27750855,0.48957521
2.66833417,0.78966305,0.00837347,0.09325825,0.30248147,0.00057231,0.29202050,0.50795856
2.67433717,0.83168011,0.00897661,0.10050677,0.32131019,0.00057892,0.30670433,0.52798827
2.68034017,0.87499627,0.00965404,0.10832129,0.33968885,0.00059266,0.32131813,0.54907032
2.68634317,0.91872160,0.01038976,0.11659708,0.35732324,0.00061196,0.33562368,0.57062830
