energy_ev,total_up,Ga_p_up,Ga_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
1.67783892,0.85615898,0.01992548,0.00000000,0.22879207,0.26334302,0.70169872,0.00000000
1.68384192,0.81781108,0.01896290,0.00000000,0.21449363,0.25016797,0.66859802,0.00000000
1.68984492,0.77988991,0.01822298,0.00000000,0.20068511,0.23718183,0.63558343,0.00000000
1.69584792,0.74290799,0.01773285,0.00000000,0.18749279,0.22452710,0.60306855,0.00000000
1.70185093,0.70737226,0.01751934,0.00000000,0.17503052,0.21234014,0.57146376,0.00000000
1.70785393,0.67378060,0.01760891,0.00000000,0.16340041,0.20075070,0.54117353,0.00000000
1.71385693,0.64261738,0.01802755,0.00000000,0.15269332,0.18988115,0.51259299,0.00000000
1.71985993,0.61434783,0.01880046,0.00000000,0.14298934,0.17984561,0.48610335,0.00000000
1.72586293,0.58941134,0.01995160,0.00000000,0.13435789,0.17074876,0.46206641,0.00000000
1.73186593,0.56821381,0.02150303,0.00000000,0.12685765,0.16268442,0.44081806,0.00000000
1.73786893,0.55111925,0.02347410,0.00000000,0.12053612,0.15573403,0.42266103,0.00000000
1.74387194,0.53844097,0.02588051,0.00000000,0.11542890,0.14996505,0.40785709,0.00000000
1.74987494,0.53043286,0.02873318,0.00000000,0.11155887,0.14542928,0.39661899,0.00000000
1.75587794,0.52728088,0.03203711,0.00000000,0.10893506,0.14216140,0.38910261,0.00000000
1.76188094,0.52909558,0.03579017,0.00000000,0.10755163,0.14017770,0.38539959,0.00000000
1.76788394,0.53590567,0.03998198,0.00000000,0.10738682,0.13947505,0.38553088,0.00000000
1.77388694,0.54765334,0.04459286,0.00000000,0.10840214,0.14003036,0.38944170,0.00000000
1.77988994,0.56419142,0.04959299,0.00000000,0.11054173,0.14180042,0.39699816,0.00000000
1.78589295,0.58528269,0.05494183,0.00000000,0.11373227,0.14472226,0.40798588,0.00000000
1.79189595,0.61060156,0.06058786,0.00000000,0.11788314,0.14871395,0.42211097,0.00000000
1.79789895,0.63973807,0.06646872,0.00000000,0.12288729,0.15367601,0.43900337,0.00000000
1.80390195,0.67220423,0.07251176,0.00000000,0.12862250,0.15949317,0.45822279,0.00000000
1.80990495,0.70744266,0.07863503,0.00000000,0.13495335,0.16603656,0.47926710,0.00000000
1.81590795,0.74483715,0.08474875,0.00000000,0.14173363,0.17316632,0.50158307,0.00000000
1.82191096,0.78372509,0.09075720,0.00000000,0.14880935,0.18073440,0.52457923,0.00000000
1.82791396,0.82341123,0.09656096,0.00000000,0.15602209,0.18858755,0.54764045,0.00000000
1.83391696,0.86318259,0.10205950,0.00000000,0.16321279,0.19657050,0.57014379,0.00000000
1.83991996,0.90232395,0.10715397,0.00000000,0.17022574,0.20452904,0.59147512,0.00000000
1.84592296,0.94013364,0.11175014,0.00000000,0.17691258,0.21231317,0.61104590,0.00000000
1.85192596,0.97593908,0.11576126,0.00000000,0.18313644,0.21978003,0.62830947,0.00000000
1.85792896,1.00911178,0.11911083,0.00000000,0.18877569,0.22679673,0.64277630,0.00000000
1.86393197,1.03908130,0.12173516,0.00000000,0.19372751,0.23324289,0.65402753,0.00000000
1.86993497,1.06534792,0.12358549,0.00000000,0.19791088,0.23901295,0.66172630,0.00000000
1.87593797,1.08749363,0.12462966,0.00000000,0.20126906,0.24401811,0.66562652,0.00000000
1.88194097,1.10519109,0.12485324,0.00000000,0.20377127,0.24818800,0.66557858,0.00000000
1.88794397,1.11821056,0.12426008,0.00000000,0.20541374,0.25147188,0.66153191,0.00000000
1.89394697,1.12642432,0.12287218,0.00000000,0.20621973,0.25383955,0.65353439,0.00000000
1.89994997,1.12980872,0.12072900,0.00000000,0.20623887,0.25528173,0.64172858,0.00000000
1.90595298,1.12844351,0.11788614,0.00000000,0.20554557,0.25581000,0.62634507,0.00000000
1.91195598,1.12250878,0.11441354,0.00000000,0.20423659,0.25545638,0.60769332,0.00000000
1.91795898,1.11227914,0.11039325,0.00000000,0.20242796,0.25427224,0.58615040,0.00000000
1.92396198,1.09811569,0.10591683,0.00000000,0.20025122,0.25232687,0.56214821,0.00000000
1.92996498,1.08045558,0.10108260,0.00000000,0.19784908,0.24970551,0.53615974,0.00000000
1.93596798,1.05979967,0.09599280,0.00000000,0.19537084,0.24650692,0.50868499,0.00000000
1.94197099,1.03669852,0.09075072,0.00000000,0.19296747,0.24284050,0.48023712,0.00000000
1.94797399,1.01173713,0.08545809,0.00000000,0.19078671,0.23882316,0.45132932,0.00000000
1.95397699,0.98551884,0.08021264,0.00000000,0.18896835,0.23457582,0.42246294,0.00000000
1.95997999,0.95864901,0.07510603,0.00000000,0.18763973,0.23021981,0.39411720,0.00000000
1.96598299,0.93171892,0.07022218,0.00000000,0.18691179,0.22587321,0.36674073,0.00000000
1.97198599,0.90529055,0.06563600,0.00000000,0.18687572,0.22164736,0.34074511,0.00000000
1.97798899,0.87988262,0.06141260,0.00000000,0.18760044,0.21764352,0.31650041,0.00000000
1.98399200,0.85595868,0.05760691,0.00000000,0.18913085,0.21395005,0.29433276,0.00000000
