energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-5.57978989,6.81314738,0.02087338,0.72983407,5.68511861,3.71396390,1.68286006,0.00000000,0.94617112,0.46893388
-5.57378689,6.90991449,0.02128549,0.73539340,5.77479400,3.76653487,1.71229815,0.00000000,0.94372934,0.48443532
-5.56778389,7.00593752,0.02169503,0.73990331,5.86124161,3.81901169,1.74232373,0.00000000,0.94101483,0.50041141
-5.56178089,7.10090758,0.02209542,0.74323938,5.94307034,3.87151427,1.77278037,0.00000000,0.93815946,0.51674434
-5.55577789,7.19445798,0.02247949,0.74528635,6.01882224,3.92414973,1.80347260,0.00000000,0.93527135,0.53330037
-5.54977489,7.28613703,0.02283964,0.74594018,6.08699583,3.97698555,1.83416100,0.00000000,0.93243025,0.54992916
-5.54377189,7.37538685,0.02316800,0.74511019,6.14607507,4.03002474,1.86456011,0.00000000,0.92968453,0.56646412
-5.53776888,7.46153002,0.02345669,0.74272115,6.19456325,4.08318494,1.89433928,0.00000000,0.92704982,0.58272370
-5.53176588,7.54376529,0.02369798,0.73871550,6.23102112,4.13628259,1.92312672,0.00000000,0.92450930,0.59851381
-5.52576288,7.62117343,0.02388463,0.73305551,6.25410810,4.18902349,1.95051661,0.00000000,0.92201567,0.61363120
-5.51975988,7.69273350,0.02401008,0.72572533,6.26262515,4.24100042,1.97607914,0.00000000,0.91949454,0.62786785
-5.51375688,7.75734932,0.02406872,0.71673299,6.25555778,4.29169862,1.99937320,0.00000000,0.91684916,0.64101612
-5.50775388,7.81388560,0.02405608,0.70611211,6.23211740,4.34050893,2.01996106,0.00000000,0.91396622,0.65287451
-5.50175088,7.86121223,0.02396908,0.69392342,6.19177926,4.38674856,2.03742467,0.00000000,0.91072240,0.66325393
-5.49574787,7.89825511,0.02380614,0.68025578,6.13431536,4.42968862,2.05138274,0.00000000,0.90699152,0.67198402
-5.48974487,7.92405138,0.02356732,0.66522687,6.05982060,4.46858735,2.06150800,0.00000000,0.90265183,0.67891945
-5.48374187,7.93780644,0.02325437,0.64898315,5.96873095,4.50272767,2.06754373,0.00000000,0.89759328,0.68394588
-5.47773887,7.93895009,0.02287075,0.63169937,5.86183247,4.53145723,2.06931908,0.00000000,0.89172441,0.68698524
-5.47173587,7.92718904,0.02242158,0.61357719,5.74026061,4.55422899,2.06676214,0.00000000,0.88497857,0.68800029
-5.46573287,7.90255299,0.02191357,0.59484320,5.60548923,4.57064038,2.05991050,0.00000000,0.87731928,0.68699804
-5.45972986,7.86543168,0.02135487,0.57574607,5.45930974,4.58046885,2.04891849,0.00000000,0.86874460,0.68403204
-5.45372686,7.81660070,0.02075492,0.55655304,5.30380049,4.58370194,2.03406087,0.00000000,0.85929006,0.67920329
-5.44772386,7.75723425,0.02012420,0.53754554,5.14128759,4.58055998,2.01573265,0.00000000,0.84903046,0.67265983
-5.44172086,7.68890341,0.01947405,0.51901430,4.97429810,4.57151003,1.99444487,0.00000000,0.83808000,0.66459486
-5.43571786,7.61355941,0.01881643,0.50125382,4.80550711,4.55727002,1.97081650,0.00000000,0.82659114,0.65524346
-5.42971486,7.53350164,0.01816363,0.48455642,4.63768050,4.53880231,1.94556250,0.00000000,0.81475191,0.64487812
-5.42371186,7.45133120,0.01752805,0.46920601,4.47361486,4.51729671,1.91947849,0.00000000,0.80278191,0.63380293
-5.41770885,7.36989110,0.01692199,0.45547177,4.31607669,4.49414315,1.89342238,0.00000000,0.79092710,0.62234691
-5.41170585,7.29219504,0.01635737,0.44360183,4.16774243,4.47089501,1.86829365,0.00000000,0.77945349,0.61085646
-5.40570285,7.22134708,0.01584560,0.43381728,4.03114106,4.44922430,1.84501076,0.00000000,0.76864001,0.59968718
-5.39969985,7.16045496,0.01539733,0.42630654,3.90860074,4.43087043,1.82448757,0.00000000,0.75877072,0.58919546
-5.39369685,7.11254014,0.01502234,0.42122037,3.80220084,4.41758450,1.80760939,0.00000000,0.75012671,0.57972985
-5.38769385,7.08044762,0.01472940,0.41866771,3.71373020,4.41107134,1.79520945,0.00000000,0.74297778,0.57162259
-5.38169085,7.06675883,0.01452614,0.41871225,3.64465257,4.41293150,1.78804646,0.00000000,0.73757440,0.56518158
-5.37568784,7.07371036,0.01441899,0.42137023,3.59607955,4.42460544,1.78678395,0.00000000,0.73413994,0.56068282
-5.36968484,7.10312153,0.01441305,0.42660915,3.56875138,4.44732203,1.79197193,0.00000000,0.73286360,0.55836371
-5.36368184,7.15633290,0.01451210,0.43434771,3.56302549,4.48205322,1.80403136,0.00000000,0.73389414,0.55841720
-5.35767884,7.23415776,0.01471851,0.44445684,3.57887262,4.52947640,1.82324184,0.00000000,0.73733467,0.56098706
-5.35167584,7.33684786,0.01503323,0.45676188,3.61588021,4.58994588,1.84973273,0.00000000,0.74323851,0.56616426
-5.34567284,7.46407434,0.01545574,0.47104578,3.67326248,4.66347406,1.88347786,0.00000000,0.75160636,0.57398453
-5.33966983,7.61492407,0.01598405,0.48705330,3.74987686,4.74972295,1.92429395,0.00000000,0.76238475,0.58442725
-5.33366683,7.78791137,0.01661466,0.50449598,3.84424588,4.84800608,1.97184258,0.00000000,0.77546589,0.59741549
-5.32766383,7.98100429,0.01734262,0.52305794,3.95458428,4.95730045,2.02563566,0.00000000,0.79068874,0.61281731
-5.32166083,8.19166466,0.01816147,0.54240213,4.07883059,5.07626802,2.08504420,0.00000000,0.80784150,0.63044825
-5.31565783,8.41690048,0.01906332,0.56217703,4.21468265,5.20328581,2.14931002,0.00000000,0.82666522,0.65007488
-5.30965483,8.65332910,0.02003889,0.58202358,4.35963672,5.33648366,2.21756029,0.00000000,0.84685862,0.67141944
-5.30365183,8.89724950,0.02107752,0.60158213,4.51102952,5.47378830,2.28882435,0.00000000,0.86808390,0.69416537
-5.29764882,9.14472185,0.02216735,0.62049937,4.66608289,5.61297252,2.36205262,0.00000000,0.88997342,0.71796367
-5.29164582,9.39165228,0.02329536,0.63843490,4.82195050,5.75170803,2.43613715,0.00000000,0.91213719,0.74244000
-5.28564282,9.63388117,0.02444758,0.65506755,4.97576611,5.88762061,2.50993345,0.00000000,0.93417086,0.76720231
-5.27963982,9.86727279,0.02560925,0.67010104,5.12469281,6.01834615,2.58228323,0.00000000,0.95566418,0.79184890
-5.27363682,10.08780441,0.02676503,0.68326913,5.26597248,6.14158624,2.65203751,0.00000000,0.97620969,0.81597676
-5.26763382,10.29165310,0.02789927,0.69434003,5.39697478,6.25516201,2.71807983,0.00000000,0.99541144,0.83918999
-5.26163082,10.47527826,0.02899626,0.70312003,5.51524479,6.35706490,2.77934901,0.00000000,1.01289350,0.86110816
-5.25562781,10.63549804,0.03004056,0.70945631,5.61854825,6.44550333,2.83486108,0.00000000,1.02830822,0.88137438
-5.24962481,10.76955815,0.03101729,0.71323895,5.70491344,6.51894411,2.88372976,0.00000000,1.04134377,0.89966287
-5.24362181,10.87519129,0.03191245,0.71440199,5.77266867,6.57614754,2.92518519,0.00000000,1.05173109,0.91568596
-5.23761881,10.95066580,0.03271325,0.71292375,5.82047422,6.61619561,2.95859041,0.00000000,1.05924972,0.92920020
-5.23161581,10.99482236,0.03340843,0.70882618,5.84734777,6.63851229,2.98345500,0.00000000,1.06373265,0.94001149
-5.22561281,11.00709752,0.03398849,0.70217356,5.85268251,6.64287562,2.99944570,0.00000000,1.06506982,0.94797904
-5.21960980,10.98753348,0.03444601,0.69307036,5.83625707,6.62942113,3.00639346,0.00000000,1.06321023,0.95301808
-5.21360680,10.93677353,0.03477579,0.68165839,5.79823689,6.59863637,3.00429682,0.00000000,1.05816265,0.95510120
-5.20760380,10.85604310,0.03497501,0.66811341,5.73916659,6.55134677,2.99332126,0.00000000,1.04999479,0.95425831
-5.20160080,10.74711661,0.03504335,0.65264108,5.65995357,6.48869301,2.97379455,0.00000000,1.03883093,0.95057507
-5.19559780,10.61227088,0.03498294,0.63547254,5.56184289,6.41210036,2.94619806,0.00000000,1.02484821,0.94419006
-5.18959480,10.45422603,0.03479840,0.61685947,5.44638424,6.32324090,2.91115423,0.00000000,1.00827143,0.93529054
-5.18359180,10.27607541,0.03449662,0.59706901,5.31539173,6.22398944,2.86941039,0.00000000,0.98936678,0.92410700
-5.17758879,10.08120632,0.03408664,0.57637830,5.17089766,6.11637440,2.82181937,0.00000000,0.96843444,0.91090669
-5.17158579,9.87321367,0.03357937,0.55506902,5.01510161,6.00252498,2.76931744,0.00000000,0.94580046,0.89598629
-5.16558279,9.65580893,0.03298727,0.53342188,4.85031632,5.88461610,2.71290012,0.00000000,0.92180803,0.87966385
-5.15957979,9.43272716,0.03232402,0.51171116,4.67891207,5.76481277,2.65359653,0.00000000,0.89680850,0.86227042
-5.15357679,9.20763457,0.03160412,0.49019949,4.50326104,5.64521550,2.59244320,0.00000000,0.87115237,0.84414142
-5.14757379,8.98403973,0.03084251,0.46913291,4.32568347,5.52780843,2.53045789,0.00000000,0.84518055,0.82560821
-5.14157079,8.76521091,0.03005412,0.44873629,4.14839707,5.41441190,2.46861456,0.00000000,0.81921621,0.80698991
-5.13556778,8.55410217,0.02925352,0.42920935,3.97347126,5.30664077,2.40781989,0.00000000,0.79355735,0.78858593
-5.12956478,8.35329068,0.02845451,0.41072323,3.80278735,5.20586998,2.34889254,0.00000000,0.76847046,0.77066924
-5.12356178,8.16492696,0.02766979,0.39341771,3.63800588,5.11320842,2.29254541,0.00000000,0.74418538,0.75348075
-5.11755878,7.99069979,0.02691072,0.37739937,3.48054180,5.02948182,2.23937182,0.00000000,0.72089143,0.73722481
-5.11155578,7.83181660,0.02618702,0.36274044,3.33154795,4.95522525,2.18983575,0.00000000,0.69873512,0.72206609
-5.10555278,7.68899986,0.02550665,0.34947864,3.19190717,4.89068525,2.14426665,0.00000000,0.67781922,0.70812784
-5.09954977,7.56249913,0.02487571,0.33761788,3.06223287,4.83583136,2.10285872,0.00000000,0.65820339,0.69549149
-5.09354677,7.45211799,0.02429840,0.32712991,2.94287748,4.79037628,2.06567471,0.00000000,0.63990610,0.68419774
-5.08754377,7.35725422,0.02377710,0.31795679,2.83394833,4.75380365,2.03265391,0.00000000,0.62290795,0.67424879
-5.08154077,7.27695138,0.02331239,0.31001410,2.73532984,4.72540215,2.00362391,0.00000000,0.60715593,0.66561185
-5.07553777,7.20995903,0.02290330,0.30319495,2.64671078,4.70430399,1.97831548,0.00000000,0.59256871,0.65822344
-5.06953477,7.15479890,0.02254742,0.29737436,2.56761540,4.68952623,1.95637984,0.00000000,0.57904242,0.65199454
-5.06353177,7.10983370,0.02224120,0.29241416,2.49743697,4.68001282,1.93740761,0.00000000,0.56645688,0.64681615
-5.05752876,7.07333571,0.02198014,0.28816797,2.43547207,4.67467537,1.92094836,0.00000000,0.55468191,0.64256501
-5.05152576,7.04355187,0.02175908,0.28448626,2.38095447,4.67243099,1.90653004,0.00000000,0.54358342,0.63910929
-5.04552276,7.01876285,0.02157242,0.28122120,2.33308710,4.67223547,1.89367746,0.00000000,0.53302914,0.63631399
-5.03951976,6.99733378,0.02141436,0.27823116,2.29107102,4.67311074,1.88192895,0.00000000,0.52289366,0.63404576
-5.03351676,6.97775512,0.02127911,0.27538467,2.25413041,4.67416555,1.87085076,0.00000000,0.51306267,0.63217700
