energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.32166083,7.81833937,2.62382854,2.95252000,0.04239343,1.32400422,0.20232024,1.95587439
-5.31565783,7.76229399,2.61492079,2.95647572,0.04045878,1.33279892,0.20553221,1.91053881
-5.30965483,7.73056964,2.61482444,2.96883157,0.03863032,1.34449914,0.20917521,1.87363766
-5.30365183,7.72433761,2.62503556,2.98986794,0.03692655,1.35924132,0.21317052,1.84564315
-5.29764882,7.74422287,2.64693861,3.01966545,0.03536227,1.37708437,0.21742504,1.82686420
-5.29164582,7.79032997,2.68178154,3.05811439,0.03394849,1.39801082,0.22183432,1.81745645
-5.28564282,7.86228008,2.73065315,3.10492848,0.03269240,1.42193012,0.22628593,1.81743479
-5.27963982,7.95925667,2.79446287,3.15966202,0.03159738,1.44868373,0.23066313,1.82668764
-5.27363682,8.08005672,2.87392306,3.22172914,0.03066322,1.47805180,0.23484854,1.84499191
-5.26763382,8.22314468,2.96953405,3.29042423,0.02988626,1.50976095,0.23872782,1.87202771
-5.26163082,8.38670591,3.08157178,3.36494221,0.02925968,1.54349287,0.24219317,1.90739194
-5.25562781,8.56869719,3.21007788,3.44439779,0.02877387,1.57889322,0.24514643,1.95061012
-5.24962481,8.76689165,3.35485212,3.52784260,0.02841675,1.61558038,0.24750186,2.00114597
-5.24362181,8.97891649,3.51544693,3.61427966,0.02817419,1.65315369,0.24918832,2.05840827
-5.23761881,9.20228232,3.69116374,3.70267482,0.02803044,1.69120083,0.25015084,2.12175499
-5.23161581,9.43440363,3.88105121,3.79196492,0.02796856,1.72930404,0.25035161,2.19049490
-5.22561281,9.67261094,4.08390514,3.88106309,0.02797084,1.76704504,0.24977025,2.26388685
-5.21960980,9.91415570,4.29827031,3.96886169,0.02801922,1.80400863,0.24840354,2.34113741
-5.21360680,10.15620990,4.52244440,4.05423367,0.02809570,1.83978500,0.24626445,2.42139764
-5.20760380,10.39586284,4.75448457,4.13603346,0.02818274,1.87397084,0.24338079,2.50375977
-5.20160080,10.63011794,4.99221725,4.21309856,0.02826359,1.90616976,0.23979337,2.58725493
-5.19559780,10.85589261,5.23325166,4.28425300,0.02832262,1.93599203,0.23555383,2.67085278
-5.18959480,11.07002424,5.47499810,4.34831376,0.02834567,1.96305429,0.23072241,2.75346400
-5.18359180,11.26928499,5.71469150,4.40410109,0.02832025,1.98697944,0.22536544,2.83394648
-5.17758879,11.45040745,5.94942105,4.45045344,0.02823582,2.00739715,0.21955304,2.91111587
-5.17158579,11.61012273,6.17616622,4.48624710,0.02808401,2.02394532,0.21335686,2.98376068
-5.16558279,11.74521137,6.39183958,4.51042063,0.02785876,2.03627268,0.20684804,3.05066213
-5.15957979,11.85256670,6.59333616,4.52200340,0.02755648,2.04404272,0.20009547,3.11061853
-5.15357679,11.92926899,6.77758886,4.52014716,0.02717618,2.04693891,0.19316436,3.16247337
-5.14757379,11.97266813,6.94162910,4.50415962,0.02671947,2.04467122,0.18611517,3.20514647
-5.14157079,11.98047118,7.08265118,4.47353799,0.02619064,2.03698367,0.17900289,3.23766678
-5.13556778,11.95083103,7.19807865,4.42800090,0.02559658,2.02366259,0.17187664,3.25920558
-5.12956478,11.88243146,7.28563063,4.36751678,0.02494674,2.00454536,0.16477965,3.26910836
-5.12356178,11.77456398,7.34338541,4.29232663,0.02425294,1.97952889,0.15774938,3.26692374
-5.11755878,11.62719166,7.36983908,4.20295973,0.02352919,1.94857767,0.15081803,3.25242795
-5.11155578,11.44099599,7.36395624,4.10024071,0.02279140,1.91173074,0.14401302,3.22564315
-5.10555278,11.21740288,7.32521058,3.98528696,0.02205705,1.86910708,0.13735773,3.18684845
-5.09954977,10.95858514,7.25361291,3.85949597,0.02134482,1.82090922,0.13087215,3.13658255
-5.09354677,10.66743995,7.14972482,3.72452231,0.02067408,1.76742455,0.12457362,3.07563741
-5.08754377,10.34754064,7.01465692,3.58224492,0.02006443,1.70902420,0.11847742,3.00504263
-5.08154077,10.00306365,6.85005065,3.43472552,0.01953515,1.64615943,0.11259729,2.92604094
-5.07553777,9.63869277,6.65804411,3.28415960,0.01910460,1.57935551,0.10694580,2.84005523
-5.06953477,9.25950372,6.44122240,3.13282191,0.01878967,1.50920319,0.10153461,2.74864836
-5.06353177,8.87083330,6.20255423,2.98300828,0.01860516,1.43634813,0.09637452,2.65347719
-5.05752876,8.47813817,5.94531676,2.83697633,0.01856326,1.36147854,0.09147538,2.55624250
-5.05152576,8.08684874,5.67301160,2.69688721,0.01867300,1.28531158,0.08684589,2.45863698
-5.04552276,7.70222398,5.38927498,2.56475087,0.01893982,1.20857887,0.08249327,2.36229322
-5.03951976,7.32921314,5.09778552,2.44237677,0.01936516,1.13201180,0.07842287,2.26873404
-5.03351676,6.97232974,4.80217318,2.33133220,0.01994623,1.05632702,0.07463771,2.17932715
-5.02751376,6.63554301,4.50593270,2.23290960,0.02067582,0.98221275,0.07113807,2.09524608
-5.02151076,6.32219085,4.21234470,2.14810414,0.02154226,0.91031626,0.06792112,2.01743896
-5.01550775,6.03491764,3.92440723,2.07760218,0.02252958,0.84123297,0.06498059,1.94660646
-5.00950475,5.77563881,3.64477983,2.02178103,0.02361773,0.77549747,0.06230662,1.88318984
-5.00350175,5.54553320,3.37574182,1.98071956,0.02478300,0.71357666,0.05988569,1.82736920
-4.99749875,5.34506267,3.11916547,1.95421913,0.02599853,0.65586514,0.05770079,1.77907223
-4.99149575,5.17401735,2.87650443,1.94183364,0.02723503,0.60268288,0.05573170,1.73799252
-4.98549275,5.03158369,2.64879679,1.94290713,0.02846155,0.55427504,0.05395542,1.70361666
-4.97948974,4.91643174,2.43668153,1.95661729,0.02964630,0.51081387,0.05234679,1.67525857
-4.97348674,4.82681674,2.24042703,1.98202262,0.03075763,0.47240236,0.05087924,1.65209939
-4.96748374,4.76069035,2.05996916,2.01811120,0.03176491,0.43907946,0.04952556,1.63323093
-4.96148074,4.71581568,1.89495692,2.06384889,0.03263952,0.41082645,0.04825879,1.61770054
-4.95547774,4.68988097,1.74480299,2.11822458,0.03335569,0.38757421,0.04705306,1.60455531
-4.94947474,4.68060666,1.60873680,2.18029083,0.03389129,0.36921096,0.04588445,1.59288364
-4.94347174,4.68584106,1.48585751,2.24919795,0.03422852,0.35559029,0.04473169,1.58185207
-4.93746873,4.70364096,1.37518513,2.32422022,0.03435443,0.34653897,0.04357682,1.57073617
-4.93146573,4.73233403,1.27570764,2.40477340,0.03426125,0.34186452,0.04240565,1.55894403
-4.92546273,4.77056130,1.18642279,2.49042305,0.03394661,0.34136212,0.04120806,1.54603165
-4.91945973,4.81729896,1.10637367,2.58088371,0.03341348,0.34482100,0.03997811,1.53171008
-4.91345673,4.87186018,1.03467732,2.67600965,0.03266997,0.35202988,0.03871399,1.51584415
-4.90745373,4.93387853,0.97054636,2.77577820,0.03172899,0.36278175,0.03741778,1.49844381
-4.90145073,5.00327586,0.91330387,2.88026732,0.03060768,0.37687788,0.03609505,1.47964866
-4.89544772,5.08021818,0.86239202,2.98962931,0.02932675,0.39413122,0.03475432,1.45970736
-4.88944472,5.16506373,0.81737535,3.10406273,0.02790976,0.41436916,0.03340651,1.43895320
-4.88344172,5.25830779,0.77793956,3.22378498,0.02638226,0.43743611,0.03206422,1.41777777
-4.87743872,5.36052866,0.74388709,3.34900759,0.02477098,0.46319565,0.03074110,1.39660434
-4.87143572,5.47233917,0.71513027,3.47991625,0.02310301,0.49153269,0.02945117,1.37586253
-4.86543272,5.59434700,0.69168311,3.61665728,0.02140499,0.52235564,0.02820827,1.35596602
-4.85942971,5.72712673,0.67365260,3.75933159,0.01970241,0.55559851,0.02702552,1.33729411
-4.85342671,5.87120502,0.66122996,3.90799653,0.01801905,0.59122306,0.02591500,1.32017838
-4.84742371,6.02705923,0.65468217,4.06267554,0.01637646,0.62922080,0.02488741,1.30489466
-4.84142071,6.19512852,0.65434402,4.22337445,0.01479357,0.66961461,0.02395204,1.29166048
-4.83541771,6.37583508,0.66061028,4.39010291,0.01328653,0.71245973,0.02311669,1.28063781
-4.82941471,6.56961223,0.67392776,4.56289852,0.01186858,0.75784379,0.02238784,1.27194022
-4.82341171,6.77693505,0.69478663,4.74185092,0.01055007,0.80588537,0.02177084,1.26564368
-4.81740870,6.99834881,0.72371043,4.92712284,0.00933858,0.85673081,0.02127017,1.26179970
-4.81140570,7.23449031,0.76124393,5.11896489,0.00823917,0.91054876,0.02088986,1.26044968
-4.80540270,7.48609730,0.80793845,5.31772134,0.00725466,0.96752228,0.02063371,1.26163892
-4.79939970,7.75400201,0.86433399,5.52382432,0.00638594,1.02783820,0.02050576,1.26542912
-4.79339670,8.03910595,0.93093797,5.73777487,0.00563237,1.09167377,0.02051048,1.27190833
-4.78739370,8.34233409,1.00820062,5.96010999,0.00499216,1.15918070,0.02065309,1.28119728
-4.78139070,8.66456875,1.09648732,6.19135595,0.00446270,1.23046712,0.02093964,1.29345152
-4.77538769,9.00656477,1.19604850,6.43196940,0.00404094,1.30557782,0.02137713,1.30885916
-4.76938469,9.36884945,1.30698833,6.68226874,0.00372368,1.38447386,0.02197343,1.32763404
-4.76338169,9.75161246,1.42923316,6.94235932,0.00350781,1.46701247,0.02273712,1.35000486
-4.75737869,10.15459199,1.56250159,7.21205704,0.00339051,1.55292835,0.02367725,1.37620067
-4.75137569,10.57696438,1.70627772,7.49081512,0.00336939,1.64181776,0.02480296,1.40643383
-4.74537269,11.01724515,1.85978930,7.77765942,0.00344259,1.73312655,0.02612301,1.44088114
-4.73936968,11.47320888,2.02199279,8.07113735,0.00360871,1.82614339,0.02764530,1.47966457
-4.73336668,11.94183506,2.19156653,8.36928498,0.00386685,1.91999910,0.02937626,1.52283256
-4.72736368,12.41928571,2.36691366,8.66961605,0.00421643,2.01367293,0.03132027,1.57034303
-4.72136068,12.90091896,2.54617542,8.96913563,0.00465704,2.10600620,0.03347902,1.62204912
-4.71535768,13.38134096,2.72725546,9.26437946,0.00518830,2.19572325,0.03585097,1.67768848
-4.70935468,13.85449605,2.90785496,9.55147889,0.00580951,2.28145944,0.03843079,1.73687681
