energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-4.63131566,0.68708039,0.00868995,0.00640848,0.58855424,0.00000000,0.09605383,0.02518720
-4.62531266,0.64435260,0.00823897,0.00603482,0.55191619,0.00000000,0.08995279,0.02376541
-4.61930965,0.60106058,0.00776328,0.00564992,0.51483175,0.00000000,0.08385671,0.02233078
-4.61330665,0.55801916,0.00727143,0.00526107,0.47800357,0.00000000,0.07788410,0.02091714
-4.60730365,0.51602449,0.00677227,0.00487547,0.44211836,0.00000000,0.07215256,0.01955856
-4.60130065,0.47584215,0.00627472,0.00450004,0.40783689,0.00000000,0.06677750,0.01828900
-4.59529765,0.43819794,0.00578759,0.00414136,0.37578622,0.00000000,0.06187110,0.01714191
-4.58929465,0.40377126,0.00531937,0.00380555,0.34655410,0.00000000,0.05754178,0.01615003
-4.58329165,0.37319082,0.00487813,0.00349820,0.32068537,0.00000000,0.05389385,0.01534516
-4.57728864,0.34703240,0.00447139,0.00322438,0.29868015,0.00000000,0.05102755,0.01475801
-4.57128564,0.32581832,0.00410607,0.00298853,0.28099325,0.00000000,0.04903913,0.01441806
-4.56528264,0.31001778,0.00378846,0.00279454,0.26803452,0.00000000,0.04802107,0.01435344
-4.55927964,0.30004775,0.00352421,0.00264567,0.26016941,0.00000000,0.04806219,0.01459074
-4.55327664,0.29627365,0.00331833,0.00254463,0.25771936,0.00000000,0.04924763,0.01515480
-4.54727364,0.29900925,0.00317526,0.00249353,0.26096146,0.00000000,0.05165844,0.01606842
-4.54127064,0.30851541,0.00309884,0.00249390,0.27012706,0.00000000,0.05537095,0.01735198
-4.53526763,0.32499720,0.00309236,0.00254672,0.28539887,0.00000000,0.06045558,0.01902292
-4.52926463,0.34859932,0.00315857,0.00265236,0.30690662,0.00000000,0.06697520,0.02109521
-4.52326163,0.37939958,0.00329968,0.00281062,0.33472104,0.00000000,0.07498301,0.02357859
-4.51725863,0.41740091,0.00351732,0.00302063,0.36884652,0.00000000,0.08451993,0.02647788
-4.51125563,0.46252198,0.00381250,0.00328090,0.40921256,0.00000000,0.09561162,0.02979214
-4.50525263,0.51458705,0.00418553,0.00358921,0.45566471,0.00000000,0.10826516,0.03351387
-4.49924962,0.57331575,0.00463590,0.00394263,0.50795540,0.00000000,0.12246569,0.03762821
-4.49324662,0.63831352,0.00516222,0.00433745,0.56573544,0.00000000,0.13817291,0.04211232
-4.48724362,0.70906351,0.00576205,0.00476918,0.62854696,0.00000000,0.15531796,0.04693477
-4.48124062,0.78492100,0.00643181,0.00523255,0.69581846,0.00000000,0.17380063,0.05205524
-4.47523762,0.86511087,0.00716663,0.00572152,0.76686286,0.00000000,0.19348726,0.05742441
-4.46923462,0.94872919,0.00796030,0.00622931,0.84087899,0.00000000,0.21420950,0.06298414
-4.46323162,1.03474923,0.00880519,0.00674850,0.91695718,0.00000000,0.23576410,0.06866801
-4.45722861,1.12203246,0.00969219,0.00727111,0.99408929,0.00000000,0.25791390,0.07440214
-4.45122561,1.20934468,0.01061078,0.00778874,1.07118316,0.00000000,0.28039018,0.08010638
-4.44522261,1.29537704,0.01154910,0.00829271,1.14708149,0.00000000,0.30289630,0.08569588
-4.43921961,1.37877180,0.01249409,0.00877428,1.22058486,0.00000000,0.32511276,0.09108280
-4.43321661,1.45815191,0.01343165,0.00922479,1.29047802,0.00000000,0.34670352,0.09617843
-4.42721361,1.53215376,0.01434697,0.00963594,1.35555902,0.00000000,0.36732343,0.10089541
-4.42121061,1.59946172,0.01522479,0.00999995,1.41466978,0.00000000,0.38662659,0.10515000
-4.41520760,1.65884339,0.01604978,0.01030979,1.46672731,0.00000000,0.40427530,0.10886446
-4.40920460,1.70918403,0.01680694,0.01055939,1.51075397,0.00000000,0.41994944,0.11196925
-4.40320160,1.74951873,0.01748198,0.01074379,1.54590589,0.00000000,0.43335560,0.11440512
-4.39719860,1.77906112,0.01806177,0.01085930,1.57149797,0.00000000,0.44423593,0.11612490
-4.39119560,1.79722702,0.01853470,0.01090359,1.58702464,0.00000000,0.45237614,0.11709494
-4.38519260,1.80365230,0.01889107,0.01087576,1.59217524,0.00000000,0.45761228,0.11729615
-4.37918959,1.79820386,0.01912340,0.01077637,1.58684341,0.00000000,0.45983608,0.11672459
-4.37318659,1.78098342,0.01922667,0.01060740,1.57113002,0.00000000,0.45899858,0.11539156
-4.36718359,1.75232371,0.01919847,0.01037219,1.54533947,0.00000000,0.45511182,0.11332318
-4.36118059,1.71277736,0.01903912,0.01007530,1.50996956,0.00000000,0.44824855,0.11055958
-4.35517759,1.66309894,0.01875164,0.00972239,1.46569523,0.00000000,0.43853992,0.10715355
-4.34917459,1.60422088,0.01834167,0.00932002,1.41334709,0.00000000,0.42617137,0.10316886
-4.34317159,1.53722432,0.01781724,0.00887545,1.35388546,0.00000000,0.41137664,0.09867832
-4.33716858,1.46330616,0.01718854,0.00839644,1.28837116,0.00000000,0.39443051,0.09376155
-4.33116558,1.38374374,0.01646760,0.00789099,1.21793422,0.00000000,0.37564021,0.08850265
-4.32516258,1.29985840,0.01566786,0.00736715,1.14374179,0.00000000,0.35533626,0.08298785
-4.31915958,1.21297960,0.01480378,0.00683282,1.06696646,0.00000000,0.33386275,0.07730322
-4.31315658,1.12441067,0.01389042,0.00629553,0.98875624,0.00000000,0.31156772,0.07153247
