energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-5.49574787,2.04351312,1.37358452,0.00000000,0.00877453,0.19892947,1.37699672,0.00000000,0.49829038,0.39259804
-5.48974487,2.00718228,1.37896487,0.00000000,0.00901598,0.18751307,1.36583021,0.00000000,0.49563583,0.37645147
-5.48374187,1.97380948,1.38654770,0.00000000,0.00930061,0.17674805,1.35611901,0.00000000,0.49464014,0.36132951
-5.47773887,1.94339526,1.39597448,0.00000000,0.00962869,0.16669053,1.34773019,0.00000000,0.49534719,0.34728499
-5.47173587,1.91578545,1.40678705,0.00000000,0.00999926,0.15737296,1.34044016,0.00000000,0.49773927,0.33432945
-5.46573287,1.89069153,1.41844817,0.00000000,0.01041021,0.14880623,1.33394989,0.00000000,0.50173850,0.32243854
-5.45972986,1.86771610,1.43036549,0.00000000,0.01085829,0.14098243,1.32790346,0.00000000,0.50721076,0.31155841
-5.45372686,1.84638243,1.44191786,0.00000000,0.01133927,0.13387809,1.32190912,0.00000000,0.51397215,0.30161286
-5.44772386,1.82616649,1.45248293,0.00000000,0.01184807,0.12745759,1.31556175,0.00000000,0.52179773,0.29251082
-5.44172086,1.80653014,1.46146502,0.00000000,0.01237894,0.12167681,1.30846593,0.00000000,0.53043210,0.28415391
-5.43571786,1.78695385,1.46832191,0.00000000,0.01292564,0.11648665,1.30025831,0.00000000,0.53960155,0.27644364
-5.42971486,1.76696763,1.47258964,0.00000000,0.01348169,0.11183644,1.29062844,0.00000000,0.54902709,0.26928798
-5.42371186,1.74617867,1.47390404,0.00000000,0.01404053,0.10767703,1.27933705,0.00000000,0.55843782,0.26260715
-5.41770885,1.72429466,1.47201825,0.00000000,0.01459574,0.10396359,1.26623089,0.00000000,0.56758397,0.25633837
-5.41170585,1.70114181,1.46681533,0.00000000,0.01514122,0.10065796,1.25125351,0.00000000,0.57624892,0.25043945
-5.40570285,1.67667700,1.45831548,0.00000000,0.01567136,0.09773064,1.23445154,0.00000000,0.58425973,0.24489126
-5.39969985,1.65099359,1.44667746,0.00000000,0.01618114,0.09516222,1.21597612,0.00000000,0.59149538,0.23969892
-5.39369685,1.62432085,1.43219423,0.00000000,0.01666623,0.09294458,1.19607947,0.00000000,0.59789256,0.23489197
-5.38769385,1.59701740,1.41528287,0.00000000,0.01712301,0.09108152,1.17510692,0.00000000,0.60344853,0.23052338
-5.38169085,1.56955890,1.39646933,0.00000000,0.01754858,0.08958917,1.15348460,0.00000000,0.60822089,0.22666775
-5.37568784,1.54252095,1.37636857,0.00000000,0.01794072,0.08849603,1.13170355,0.00000000,0.61232438,0.22341873
-5.36968484,1.51655805,1.35566099,0.00000000,0.01829777,0.08784272,1.11030096,0.00000000,0.61592483,0.22088581
-5.36368184,1.49237964,1.33506627,0.00000000,0.01861859,0.08768152,1.08983949,0.00000000,0.61923054,0.21919074
-5.35767884,1.47072446,1.31531567,0.00000000,0.01890236,0.08807564,1.07088555,0.00000000,0.62248162,0.21846366
-5.35167584,1.45233435,1.29712406,0.00000000,0.01914847,0.08909832,1.05398762,0.00000000,0.62593790,0.21883912
-5.34567284,1.43792861,1.28116300,0.00000000,0.01935637,0.09083160,1.03965558,0.00000000,0.62986598,0.22045207
-5.33966983,1.42818002,1.26803588,0.00000000,0.01952547,0.09336492,1.02834198,0.00000000,0.63452621,0.22343400
-5.33366683,1.42369330,1.25825643,0.00000000,0.01965499,0.09679339,1.02042601,0.00000000,0.64016014,0.22790924
-5.32766383,1.42498687,1.25223128,0.00000000,0.01974389,0.10121572,1.01620092,0.00000000,0.64697930,0.23399144
-5.32166083,1.43247825,1.25024744,0.00000000,0.01979087,0.10673184,1.01586524,0.00000000,0.65515557,0.24178033
-5.31565783,1.44647346,1.25246510,0.00000000,0.01979435,0.11344008,1.01951814,0.00000000,0.66481380,0.25135868
