energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
1.67183592,5.83223941,0.01542894,0.29782268,0.54831601,2.77075980,0.09516514,0.60283339,1.28073642,2.32828772
1.67783892,5.88396173,0.01564944,0.29808409,0.54625336,2.79960854,0.09765292,0.60682977,1.29902159,2.34553534
1.68384192,5.92308191,0.01582794,0.29785247,0.54242419,2.82145155,0.09994569,0.60937585,1.31546677,2.35885874
1.68984492,5.94994954,0.01596460,0.29720156,0.53691454,2.83637068,0.10202066,0.61047006,1.33023808,2.36846320
1.69584792,5.96503169,0.01606030,0.29620654,0.52983987,2.84449987,0.10385729,0.61013086,1.34353588,2.37459820
1.70185093,5.96889993,0.01611660,0.29494265,0.52134217,2.84602104,0.10543777,0.60839673,1.35558813,2.37755047
1.70785393,5.96221800,0.01613565,0.29348406,0.51158665,2.84116088,0.10674741,0.60532573,1.36664282,2.37763670
1.71385693,5.94572965,0.01612012,0.29190316,0.50075792,2.83018830,0.10777502,0.60099477,1.37695953,2.37519592
1.71985993,5.92024621,0.01607307,0.29027010,0.48905576,2.81341221,0.10851327,0.59549826,1.38680023,2.37058124
1.72586293,5.88663337,0.01599785,0.28865266,0.47669046,2.79117929,0.10895887,0.58894639,1.39641936,2.36415104
1.73186593,5.84579666,0.01589799,0.28711616,0.46387792,2.76387132,0.10911272,0.58146280,1.40605372,2.35625953
1.73786893,5.79866559,0.01577705,0.28572357,0.45083457,2.73190177,0.10897990,0.57318174,1.41591215,2.34724678
1.74387194,5.74617617,0.01563853,0.28453554,0.43777214,2.69571131,0.10856958,0.56424490,1.42616580,2.33742862
1.74987494,5.68925232,0.01548572,0.28361038,0.42489269,2.65576225,0.10789481,0.55479784,1.43693910,2.32708668
1.75587794,5.62878651,0.01532162,0.28300394,0.41238371,2.61253174,0.10697218,0.54498629,1.44830218,2.31645899
1.76188094,5.56562049,0.01514885,0.28276924,0.40041381,2.56650395,0.10582147,0.53495254,1.46026516,2.30573188
1.76788394,5.50052709,0.01496960,0.28295599,0.38912891,2.51816159,0.10446513,0.52483188,1.47277469,2.29503359
1.77388694,5.43419407,0.01478561,0.28360987,0.37864928,2.46797703,0.10292783,0.51474958,1.48571325,2.28443012
1.77988994,5.36721120,0.01459810,0.28477172,0.36906737,2.41640362,0.10123593,0.50481829,1.49890141,2.27392387
1.78589295,5.30006149,0.01440787,0.28647659,0.36044673,2.36386764,0.09941695,0.49513618,1.51210309,2.26345536
