energy_ev,total_up,Pd_p_up,Pd_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
1.49774887,0.99362580,1.86683223,0.12027122,0.23272064,0.00377819,0.65712125,0.00000000
1.50375188,1.04993046,1.96689221,0.12797317,0.24187165,0.00404970,0.68991521,0.00000000
1.50975488,1.10987863,2.07131817,0.13641748,0.25136569,0.00434323,0.72339028,0.00000000
1.51575788,1.17288960,2.17918584,0.14552927,0.26109981,0.00465593,0.75718888,0.00000000
1.52176088,1.23840740,2.28964435,0.15523516,0.27098896,0.00498479,0.79098487,0.00000000
1.52776388,1.30591341,2.40193760,0.16546498,0.28096806,0.00532681,0.82449134,0.00000000
1.53376688,1.37493683,2.51542063,0.17615323,0.29099308,0.00567903,0.85746681,0.00000000
1.53976988,1.44506283,2.62957057,0.18724030,0.30104110,0.00603857,0.88971967,0.00000000
1.54577289,1.51593815,2.74399210,0.19867320,0.31110943,0.00640280,0.92111098,0.00000000
1.55177589,1.58727432,2.85841727,0.21040613,0.32121382,0.00676931,0.95155542,0.00000000
1.55777889,1.65884830,2.97270006,0.22240054,0.33138588,0.00713602,0.98102068,0.00000000
1.56378189,1.73050088,3.08680607,0.23462492,0.34166988,0.00750121,1.00952524,0.00000000
1.56978489,1.80213294,3.20079792,0.24705423,0.35211900,0.00786354,1.03713477,0.00000000
1.57578789,1.87369976,3.31481718,0.25966899,0.36279131,0.00822211,1.06395746,0.00000000
1.58179090,1.94520388,3.42906375,0.27245416,0.37374567,0.00857645,1.09013823,0.00000000
1.58779390,2.01668673,3.54377363,0.28539778,0.38503756,0.00892648,1.11585244,0.00000000
1.59379690,2.08821945,3.65919608,0.29848951,0.39671525,0.00927256,1.14129896,0.00000000
1.59979990,2.15989340,3.77557128,0.31171908,0.40881631,0.00961541,1.16669315,0.00000000
1.60580290,2.23181049,3.89310933,0.32507480,0.42136464,0.00995606,1.19225978,0.00000000
1.61180590,2.30407404,4.01197154,0.33854214,0.43436818,0.01029582,1.21822614,0.00000000
1.61780890,2.37678010,4.13225457,0.35210246,0.44781719,0.01063620,1.24481551,0.00000000
1.62381191,2.45000971,4.25397811,0.36573206,0.46168338,0.01097884,1.27224105,0.00000000
1.62981491,2.52382222,4.37707629,0.37940135,0.47591971,0.01132542,1.30070021,0.00000000
1.63581791,2.59824967,4.50139305,0.39307448,0.49046090,0.01167759,1.33036968,0.00000000
1.64182091,2.67329240,4.62668129,0.40670924,0.50522462,0.01203685,1.36140086,0.00000000
1.64782391,2.74891575,4.75260570,0.42025721,0.52011317,0.01240450,1.39391582,0.00000000
1.65382691,2.82504778,4.87874879,0.43366432,0.53501574,0.01278156,1.42800369,0.00000000
1.65982991,2.90157807,5.00461961,0.44687163,0.54981096,0.01316867,1.46371745,0.00000000
1.66583292,2.97835727,5.12966480,0.45981637,0.56436979,0.01356604,1.50107103,0.00000000
1.67183592,3.05519747,5.25328109,0.47243313,0.57855862,0.01397342,1.54003675,0.00000000
1.67783892,3.13187329,5.37482918,0.48465524,0.59224239,0.01439003,1.58054307,0.00000000
1.68384192,3.20812372,5.49364807,0.49641621,0.60528782,0.01481459,1.62247281,0.00000000
