energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-2.42821411,2.00648067,1.15839145,0.21203693,0.11994162,0.37646193,0.77509440,0.13191872,0.69730390,0.00000000
-2.42221111,1.99914190,1.14989923,0.20909476,0.12206379,0.36806884,0.74627571,0.13470281,0.68661722,0.00000000
-2.41620810,1.99202700,1.14061665,0.20630105,0.12422446,0.35906016,0.71756025,0.13754731,0.67680890,0.00000000
-2.41020510,1.98555159,1.13102445,0.20371818,0.12640261,0.34959586,0.68944617,0.14043716,0.66816843,0.00000000
-2.40420210,1.98005892,1.12159945,0.20139606,0.12857513,0.33983451,0.66239390,0.14335273,0.66093709,0.00000000
-2.39819910,1.97581810,1.11280790,0.19937196,0.13071870,0.32992980,0.63681871,0.14627054,0.65530546,0.00000000
-2.39219610,1.97302673,1.10510003,0.19767094,0.13281169,0.32002762,0.61308527,0.14916431,0.65141349,0.00000000
-2.38619310,1.97181733,1.09890581,0.19630682,0.13483611,0.31026368,0.59150431,0.15200613,0.64935252,0.00000000
-2.38019010,1.97226682,1.09463154,0.19528359,0.13677941,0.30076169,0.57233115,0.15476781,0.64916932,0.00000000
-2.37418709,1.97440813,1.09265710,0.19459710,0.13863610,0.29163202,0.55576571,0.15742229,0.65087140,0.00000000
-2.36818409,1.97824286,1.09333350,0.19423696,0.14040891,0.28297089,0.54195378,0.15994500,0.65443338,0.00000000
-2.36218109,1.98375398,1.09698049,0.19418839,0.14210966,0.27485983,0.53098921,0.16231513,0.65980369,0.00000000
-2.35617809,1.99091752,1.10388372,0.19443409,0.14375941,0.26736558,0.52291665,0.16451670,0.66691122,0.00000000
-2.35017509,1.99971219,1.11429153,0.19495574,0.14538822,0.26054008,0.51773459,0.16653942,0.67567149,0.00000000
-2.34417209,2.01012629,1.12841084,0.19573532,0.14703412,0.25442076,0.51539831,0.16837915,0.68599173,0.00000000
-2.33816908,2.02216117,1.14640228,0.19675592,0.14874167,0.24903085,0.51582277,0.17003807,0.69777478,0.00000000
-2.33216608,2.03583091,1.16837450,0.19800211,0.15055976,0.24437973,0.51888511,0.17152442,0.71092141,0.00000000
-2.32616308,2.05115817,1.19437787,0.19945993,0.15253913,0.24046335,0.52442678,0.17285188,0.72533110,0.00000000
-2.32016008,2.06816642,1.22439771,0.20111629,0.15472933,0.23726462,0.53225541,0.17403851,0.74090119,0.00000000
-2.31415708,2.08686887,1.25834760,0.20295812,0.15717554,0.23475378,0.54214638,0.17510547,0.75752471,0.00000000
-2.30815408,2.10725504,1.29606313,0.20497106,0.15991529,0.23288888,0.55384435,0.17607537,0.77508697,0.00000000
-2.30215108,2.12927578,1.33729655,0.20713810,0.16297518,0.23161621,0.56706481,0.17697052,0.79346149,0.00000000
-2.29614807,2.15282779,1.38171310,0.20943797,0.16636794,0.23087089,0.58149607,0.17781102,0.81250551,0.00000000
-2.29014507,2.17773904,1.42888932,0.21184368,0.17008992,0.23057756,0.59680167,0.17861295,0.83205567,0.00000000
-2.28414207,2.20375602,1.47831394,0.21432124,0.17411907,0.23065132,0.61262355,0.17938668,0.85192436,0.00000000
-2.27813907,2.23053418,1.52939179,0.21682861,0.17841381,0.23099885,0.62858606,0.18013538,0.87189700,0.00000000
-2.27213607,2.25763244,1.58145080,0.21931514,0.18291264,0.23151977,0.64430099,0.18085394,0.89173092,0.00000000
-2.26613307,2.28451258,1.63375238,0.22172149,0.18753475,0.23210833,0.65937356,0.18152827,0.91115589,0.00000000
-2.26013007,2.31054397,1.68550495,0.22398012,0.19218153,0.23265538,0.67340933,0.18213513,0.92987655,0.00000000
-2.25412706,2.33501390,1.73588036,0.22601631,0.19673904,0.23305054,0.68602198,0.18264245,0.94757681,0.00000000
-2.24812406,2.35714322,1.78403267,0.22774986,0.20108139,0.23318463,0.69684169,0.18301012,0.96392615,0.00000000
-2.24212106,2.37610693,1.82911871,0.22909713,0.20507474,0.23295223,0.70552379,0.18319142,0.97858743,0.00000000
-2.23611806,2.39105878,1.87031951,0.22997367,0.20858197,0.23225436,0.71175749,0.18313466,0.99122605,0.00000000
-2.23011506,2.40115877,1.90686180,0.23029702,0.21146773,0.23100104,0.71527419,0.18278538,1.00151988,0.00000000
-2.22411206,2.40560235,1.93803858,0.22998978,0.21360348,0.22911387,0.71585505,0.18208867,1.00916954,0.00000000
-2.21810905,2.40364983,1.96322784,0.22898258,0.21487262,0.22652821,0.71333748,0.18099160,1.01390835,0.00000000
-2.21210605,2.39465444,1.98190858,0.22721699,0.21517511,0.22319519,0.70762007,0.17944575,1.01551157,0.00000000
-2.20610305,2.37808774,1.99367349,0.22464807,0.21443160,0.21908319,0.69866589,0.17740945,1.01380428,0.00000000
-2.20010005,2.35356113,1.99823761,0.22124650,0.21258672,0.21417883,0.68650381,0.17484990,1.00866758,0.00000000
-2.19409705,2.32084218,1.99544275,0.21700017,0.20961147,0.20848746,0.67122773,0.17174485,1.00004275,0.00000000
-2.18809405,2.27986534,1.98525762,0.21191510,0.20550455,0.20203303,0.65299376,0.16808386,0.98793316,0.00000000
-2.18209105,2.23073627,1.96777369,0.20601570,0.20029256,0.19485732,0.63201547,0.16386909,0.97240391,0.00000000
-2.17608804,2.17372990,1.94319726,0.19934431,0.19402913,0.18701869,0.60855729,0.15911555,0.95357928,0.00000000
-2.17008504,2.10928238,1.91183830,0.19196014,0.18679302,0.17859025,0.58292643,0.15385077,0.93163814,0.00000000
-2.16408204,2.03797746,1.87409679,0.18393753,0.17868523,0.16965765,0.55546362,0.14811409,0.90680768,0.00000000
-2.15807904,1.96052824,1.83044740,0.17536374,0.16982544,0.16031646,0.52653310,0.14195546,0.87935587,0.00000000
-2.15207604,1.87775515,1.78142333,0.16633634,0.16034779,0.15066938,0.49651227,0.13543383,0.84958306,0.00000000
-2.14607304,1.79056154,1.72760027,0.15696036,0.15039638,0.14082328,0.46578141,0.12861539,0.81781321,0.00000000
-2.14007004,1.69990794,1.66958123,0.14734526,0.14012055,0.13088632,0.43471395,0.12157155,0.78438523,0.00000000
-2.13406703,1.60678638,1.60798283,0.13760203,0.12967034,0.12096508,0.40366756,0.11437690,0.74964479,0.00000000
-2.12806403,1.51219570,1.54342366,0.12784027,0.11919217,0.11116205,0.37297644,0.10710719,0.71393702,0.00000000
-2.12206103,1.41711914,1.47651493,0.11816572,0.10882495,0.10157330,0.34294500,0.09983742,0.67760031,0.00000000
-2.11605803,1.32250464,1.40785371,0.10867802,0.09869690,0.09228662,0.31384311,0.09264019,0.64096143,0.00000000
-2.11005503,1.22924873,1.33801844,0.09946890,0.08892290,0.08338006,0.28590298,0.08558423,0.60433194,0.00000000
-2.10405203,1.13818420,1.26756673,0.09062094,0.07960272,0.07492091,0.25931758,0.07873328,0.56800609,0.00000000
-2.09804902,1.05007164,1.19703499,0.08220666,0.07081997,0.06696519,0.23424060,0.07214527,0.53225976,0.00000000
-2.09204602,0.96559484,1.12693946,0.07428820,0.06264168,0.05955748,0.21078779,0.06587181,0.49735063,0.00000000
-2.08604302,0.88535953,1.05777806,0.06691737,0.05511873,0.05273124,0.18903935,0.05995799,0.46351905,0.00000000
-2.08004002,0.80989519,0.99003272,0.06013607,0.04828665,0.04650942,0.16904328,0.05444248,0.43098957,0.00000000
