energy_ev,total_up,total_down,Al_p_up,Al_p_down,Al_d_up,Al_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
4.59529765,0.41411745,-0.41411745,0.40298553,-0.40298553,0.00000000,-0.00000000,0.73319308,-0.73319308,0.00621751,-0.00621751,0.00508533,-0.00508533,0.03625580,-0.03625580
4.60130065,0.41781643,-0.41781643,0.40495186,-0.40495186,0.00000000,-0.00000000,0.73782565,-0.73782565,0.00626408,-0.00626408,0.00522598,-0.00522598,0.03677902,-0.03677902
4.60730365,0.42222379,-0.42222379,0.40719461,-0.40719461,0.00000000,-0.00000000,0.74323121,-0.74323121,0.00632315,-0.00632315,0.00540013,-0.00540013,0.03738151,-0.03738151
4.61330665,0.42751490,-0.42751490,0.40979999,-0.40979999,0.00000000,-0.00000000,0.74963517,-0.74963517,0.00639747,-0.00639747,0.00561496,-0.00561496,0.03807772,-0.03807772
4.61930965,0.43384540,-0.43384540,0.41282893,-0.41282893,0.00000000,-0.00000000,0.75722123,-0.75722123,0.00648957,-0.00648957,0.00587772,-0.00587772,0.03888090,-0.03888090
4.62531266,0.44134889,-0.44134889,0.41631612,-0.41631612,0.00000000,-0.00000000,0.76612838,-0.76612838,0.00660166,-0.00660166,0.00619563,-0.00619563,0.03980310,-0.03980310
4.63131566,0.45013598,-0.45013598,0.42027057,-0.42027057,0.00000000,-0.00000000,0.77645072,-0.77645072,0.00673571,-0.00673571,0.00657580,-0.00657580,0.04085520,-0.04085520
4.63731866,0.46029465,-0.46029465,0.42467787,-0.42467787,0.00000000,-0.00000000,0.78824003,-0.78824003,0.00689339,-0.00689339,0.00702506,-0.00702506,0.04204720,-0.04204720
4.64332166,0.47189180,-0.47189180,0.42950379,-0.42950379,0.00000000,-0.00000000,0.80151063,-0.80151063,0.00707610,-0.00707610,0.00754987,-0.00754987,0.04338848,-0.04338848
4.64932466,0.48497565,-0.48497565,0.43469903,-0.43469903,0.00000000,-0.00000000,0.81624615,-0.81624615,0.00728502,-0.00728502,0.00815616,-0.00815616,0.04488825,-0.04488825
4.65532766,0.49957874,-0.49957874,0.44020459,-0.44020459,0.00000000,-0.00000000,0.83240736,-0.83240736,0.00752112,-0.00752112,0.00884921,-0.00884921,0.04655601,-0.04655601
4.66133067,0.51572110,-0.51572110,0.44595754,-0.44595754,0.00000000,-0.00000000,0.84994068,-0.84994068,0.00778521,-0.00778521,0.00963352,-0.00963352,0.04840196,-0.04840196
4.66733367,0.53341328,-0.53341328,0.45189653,-0.45189653,0.00000000,-0.00000000,0.86878632,-0.86878632,0.00807796,-0.00807796,0.01051262,-0.01051262,0.05043748,-0.05043748
4.67333667,0.55265897,-0.55265897,0.45796685,-0.45796685,0.00000000,-0.00000000,0.88888559,-0.88888559,0.00839990,-0.00839990,0.01148896,-0.01148896,0.05267546,-0.05267546
4.67933967,0.57345687,-0.57345687,0.46412450,-0.46412450,0.00000000,-0.00000000,0.91018677,-0.91018677,0.00875144,-0.00875144,0.01256375,-0.01256375,0.05513055,-0.05513055
4.68534267,0.59580170,-0.59580170,0.47033907,-0.47033907,0.00000000,-0.00000000,0.93264909,-0.93264909,0.00913288,-0.00913288,0.01373683,-0.01373683,0.05781928,-0.05781928
4.69134567,0.61968421,-0.61968421,0.47659528,-0.47659528,0.00000000,-0.00000000,0.95624452,-0.95624452,0.00954434,-0.00954434,0.01500656,-0.01500656,0.06076003,-0.06076003
4.69734867,0.64509026,-0.64509026,0.48289302,-0.48289302,0.00000000,-0.00000000,0.98095745,-0.98095745,0.00998575,-0.00998575,0.01636971,-0.01636971,0.06397281,-0.06397281
4.70335168,0.67199910,-0.67199910,0.48924605,-0.48924606,0.00000000,-0.00000000,1.00678231,-1.00678231,0.01045680,-0.01045680,0.01782142,-0.01782142,0.06747896,-0.06747896
4.70935468,0.70038097,-0.70038097,0.49567944,-0.49567944,0.00000000,-0.00000000,1.03371938,-1.03371938,0.01095687,-0.01095687,0.01935517,-0.01935517,0.07130058,-0.07130058
4.71535768,0.73019431,-0.73019431,0.50222604,-0.50222604,0.00000000,-0.00000000,1.06176939,-1.06176939,0.01148496,-0.01148496,0.02096278,-0.02096278,0.07545990,-0.07545990
4.72136068,0.76138297,-0.76138297,0.50892232,-0.50892232,0.00000000,-0.00000000,1.09092737,-1.09092737,0.01203969,-0.01203969,0.02263451,-0.02263451,0.07997853,-0.07997853
4.72736368,0.79387355,-0.79387355,0.51580389,-0.51580389,0.00000000,-0.00000000,1.12117639,-1.12117639,0.01261919,-0.01261919,0.02435915,-0.02435915,0.08487660,-0.08487660
4.73336668,0.82757336,-0.82757336,0.52290119,-0.52290119,0.00000000,-0.00000000,1.15248173,-1.15248173,0.01322113,-0.01322113,0.02612420,-0.02612420,0.09017184,-0.09017184
4.73936968,0.86236901,-0.86236901,0.53023559,-0.53023560,0.00000000,-0.00000000,1.18478615,-1.18478615,0.01384268,-0.01384268,0.02791607,-0.02791607,0.09587869,-0.09587869
