energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-1.64182091,8.75210351,0.02224236,0.65418016,0.66731870,2.86957041,1.34532636,0.00000000,1.82093747,4.75222750
-1.63581791,8.94513245,0.02345734,0.63182800,0.65783182,2.89599461,1.32099126,0.00000000,1.86907825,4.98371401
-1.62981491,9.14119334,0.02478351,0.60812183,0.64774168,2.91988024,1.29458501,0.00000000,1.91948216,5.22306614
-1.62381191,9.33942435,0.02620734,0.58356924,0.63732002,2.94152880,1.26680651,0.00000000,1.97209511,5.46779618
-1.61780890,9.53882559,0.02771370,0.55867319,0.62683903,2.96129177,1.23837483,0.00000000,2.02682092,5.71520853
-1.61180590,9.73824693,0.02928601,0.53391763,0.61656088,2.97955941,1.21000405,0.00000000,2.08351277,5.96243736
-1.60580290,9.93639028,0.03090643,0.50975431,0.60672845,2.99674991,1.18237954,0.00000000,2.14196838,6.20649730
-1.59979990,10.13182737,0.03255612,0.48659142,0.59755751,3.01329902,1.15613675,0.00000000,2.20192951,6.44434652
-1.59379690,10.32303264,0.03421560,0.46478422,0.58923076,3.02965042,1.13184310,0.00000000,2.26308572,6.67296073
-1.58779390,10.50842993,0.03586508,0.44462797,0.58189375,3.04624683,1.10998364,0.00000000,2.32508228,6.88941552
-1.58179090,10.68645007,0.03748496,0.42635337,0.57565282,3.06352189,1.09095067,0.00000000,2.38753149,7.09097388
-1.57578789,10.85559591,0.03905624,0.41012420,0.57057494,3.08189257,1.07503753,0.00000000,2.45002684,7.27517460
-1.56978489,11.01451028,0.04056101,0.39603751,0.56668923,3.10175203,1.06243642,0.00000000,2.51215880,7.43991732
-1.56378189,11.16204207,0.04198292,0.38412568,0.56399000,3.12346254,1.05323999,0.00000000,2.57353121,7.58353919
-1.55777889,11.29730561,0.04330758,0.37436055,0.56244089,3.14734853,1.04744630,0.00000000,2.63377707,7.70487873
-1.55177589,11.41972864,0.04452295,0.36665900,0.56197982,3.17368941,1.04496664,0.00000000,2.69257253,7.80332258
-1.54577289,11.52908513,0.04561961,0.36088978,0.56252442,3.20271237,1.04563567,0.00000000,2.74964807,7.87883150
-1.53976988,11.62550973,0.04659098,0.35688127,0.56397757,3.23458506,1.04922310,0.00000000,2.80479601,7.93194337
-1.53376688,11.70949226,0.04743340,0.35442975,0.56623270,3.26940858,1.05544651,0.00000000,2.85787384,7.96375171
-1.52776388,11.78185167,0.04814610,0.35330791,0.56917873,3.30721087,1.06398454,0.00000000,2.90880280,7.97585979
-1.52176088,11.84369040,0.04873113,0.35327336,0.57270424,3.34794119,1.07448986,0.00000000,2.95756209,7.97031185
-1.51575788,11.89633137,0.04919303,0.35407672,0.57670098,3.39146593,1.08660167,0.00000000,3.00417863,7.94950412
-1.50975488,11.94124100,0.04953859,0.35546926,0.58106646,3.43756637,1.09995693,0.00000000,3.04871326,7.91607977
-1.50375188,11.97994254,0.04977641,0.35720976,0.58570557,3.48593880,1.11420039,0.00000000,3.09124398,7.87281256
-1.49774887,12.01392481,0.04991643,0.35907053,0.59053153,3.53619733,1.12899279,0.00000000,3.13184739,7.82248509
-1.49174587,12.04455148,0.04996940,0.36084245,0.59546594,3.58787970,1.14401740,0.00000000,3.17057939,7.76776755
-1.48574287,12.07297625,0.04994642,0.36233900,0.60043819,3.64045610,1.15898461,0.00000000,3.20745648,7.71110301
-1.47973987,12.10006882,0.04985837,0.36339919,0.60538443,3.69334094,1.17363469,0.00000000,3.24243856,7.65460504
-1.47373687,12.12635581,0.04971546,0.36388945,0.61024609,3.74590716,1.18773884,0.00000000,3.27541474,7.59997260
-1.46773387,12.15197992,0.04952680,0.36370450,0.61496827,3.79750277,1.20109858,0.00000000,3.30619273,7.54842629
-1.46173087,12.17667962,0.04930004,0.36276717,0.61949804,3.84746875,1.21354392,0.00000000,3.33449289,7.50066882
-1.45572786,12.19979029,0.04904111,0.36102746,0.62378286,3.89515757,1.22493040,0.00000000,3.35994730,7.45687139
-1.44972486,12.22026654,0.04875404,0.35846074,0.62776922,3.93995151,1.23513542,0.00000000,3.38210427,7.41668590
-1.44372186,12.23672438,0.04844089,0.35506530,0.63140164,3.98127969,1.24405421,0.00000000,3.40043814,7.37928215
-1.43771886,12.24750074,0.04810181,0.35085949,0.63462203,4.01863303,1.25159580,0.00000000,3.41436433,7.34340733
-1.43171586,12.25072692,0.04773513,0.34587839,0.63736962,4.05157625,1.25767919,0.00000000,3.42325884,7.30746442
-1.42571286,12.24441206,0.04733761,0.34017042,0.63958128,4.07975626,1.26223018,0.00000000,3.42648163,7.26960508
-1.41970985,12.22653217,0.04690474,0.33379384,0.64119241,4.10290646,1.26517903,0.00000000,3.42340279,7.22783204
-1.41370685,12.19512009,0.04643106,0.32681340,0.64213826,4.12084672,1.26645905,0.00000000,3.41343037,7.18010570
-1.40770385,12.14835211,0.04591061,0.31929723,0.64235563,4.13347909,1.26600629,0.00000000,3.39603849,7.12444963
-1.40170085,12.08462700,0.04533733,0.31131411,0.64178491,4.14077955,1.26376038,0.00000000,3.37079457,7.05904988
-1.39569785,12.00263407,0.04470547,0.30293114,0.64037229,4.14278635,1.25966631,0.00000000,3.33738418,6.98234360
-1.38969485,11.90140742,0.04400998,0.29421195,0.63807206,4.13958586,1.25367708,0.00000000,3.29563233,6.89309314
-1.38369185,11.78036450,0.04324689,0.28521544,0.63484883,4.13129679,1.24575707,0.00000000,3.24552012,6.79044272
-1.37768884,11.63932793,0.04241359,0.27599495,0.63067960,4.11805404,1.23588568,0.00000000,3.18719569,6.67395572
-1.37168584,11.47853050,0.04150905,0.26659804,0.62555552,4.09999336,1.22406111,0.00000000,3.12097903,6.54363173
-1.36568284,11.29860418,0.04053395,0.25706660,0.61948316,4.07723797,1.21030387,0.00000000,3.04736002,6.39990356
-1.35967984,11.10055457,0.03949079,0.24743737,0.61248536,4.04988814,1.19465975,0.00000000,2.96698986,6.24361530
-1.35367684,10.88572297,0.03838377,0.23774271,0.60460143,4.01801476,1.17720200,0.00000000,2.88066603,6.07598343
-1.34767384,10.65573870,0.03721874,0.22801157,0.59588673,3.98165737,1.15803246,0.00000000,2.78931134,5.89854367
-1.34167084,10.41246459,0.03600297,0.21827055,0.58641168,3.94082709,1.13728155,0.00000000,2.69394803,5.71308678
-1.33566783,10.15793844,0.03474495,0.20854493,0.57626010,3.89551423,1.11510694,0.00000000,2.59566794,5.52158684
-1.32966483,9.89431348,0.03345401,0.19885970,0.56552703,3.84570046,1.09169098,0.00000000,2.49559996,5.32612564
-1.32366183,9.62380026,0.03214008,0.18924041,0.55431608,3.79137457,1.06723702,0.00000000,2.39487631,5.12881680
-1.31765883,9.34861229,0.03081330,0.17971387,0.54273643,3.73255090,1.04196451,0.00000000,2.29459896,4.93173290
-1.31165583,9.07091717,0.02948370,0.17030861,0.53089951,3.66928919,1.01610347,0.00000000,2.19580760,4.73683857
-1.30565283,8.79279432,0.02816088,0.16105514,0.51891573,3.60171433,0.98988818,0.00000000,2.09945047,4.54593215
-1.29964982,8.51620017,0.02685376,0.15198599,0.50689104,3.53003462,0.96355070,0.00000000,2.00635925,4.36059753
-1.29364682,8.24294090,0.02557031,0.14313553,0.49492380,3.45455701,0.93731435,0.00000000,1.91722882,4.18216777
-1.28764382,7.97465262,0.02431743,0.13453955,0.48310189,3.37569796,0.91138741,0.00000000,1.83260264,4.01170091
-1.28164082,7.71278848,0.02310076,0.12623476,0.47150026,3.29398893,0.88595754,0.00000000,1.75286424,3.84996834
-1.27563782,7.45861190,0.02192468,0.11825808,0.46017897,3.21007559,0.86118689,0.00000000,1.67823483,3.69745511
-1.26963482,7.21319512,0.02079229,0.11064589,0.44918186,3.12471045,0.83720835,0.00000000,1.60877696,3.55437148
-1.26363182,6.97742221,0.01970544,0.10343317,0.43853583,3.03873876,0.81412295,0.00000000,1.54440400,3.42067444
-1.25762881,6.75199564,0.01866485,0.09665266,0.42825091,2.95307827,0.79199856,0.00000000,1.48489459,3.29609768
-1.25162581,6.53744577,0.01767020,0.09033407,0.41832088,2.86869354,0.77086996,0.00000000,1.42991158,3.18018843
-1.24562281,6.33414262,0.01672033,0.08450326,0.40872468,2.78656601,0.75074021,0.00000000,1.37902429,3.07234921
-1.23961981,6.14230965,0.01581338,0.07918163,0.39942839,2.70766140,0.73158326,0.00000000,1.33173337,2.97188275
-1.23361681,5.96203906,0.01494700,0.07438550,0.39038769,2.63289592,0.71334768,0.00000000,1.28749686,2.87803827
-1.22761381,5.79330867,0.01411848,0.07012578,0.38155082,2.56310340,0.69596132,0.00000000,1.24575670,2.79005715
-1.22161081,5.63600005,0.01332500,0.06640767,0.37286182,2.49900484,0.67933662,0.00000000,1.20596439,2.70721652
-1.21560780,5.48991793,0.01256368,0.06323068,0.36426395,2.44118226,0.66337648,0.00000000,1.16760504,2.62886915
-1.20960480,5.35481052,0.01183183,0.06058868,0.35570308,2.39005830,0.64798027,0.00000000,1.13021871,2.55447812
-1.20360180,5.23039066,0.01112697,0.05847029,0.34713108,2.34588272,0.63304975,0.00000000,1.09341852,2.48364538
-1.19759880,5.11635717,0.01044699,0.05685936,0.33850876,2.30872658,0.61849477,0.00000000,1.05690475,2.41613296
-1.19159580,5.01241583,0.00979013,0.05573561,0.32980863,2.27848460,0.60423828,0.00000000,1.02047460,2.35187617
-1.18559280,4.91829935,0.00915511,0.05507545,0.32101696,2.25488546,0.59022072,0.00000000,0.98402742,2.29098844
-1.17958979,4.83378522,0.00854104,0.05485287,0.31213538,2.23750954,0.57640336,0.00000000,0.94756524,2.23375740
