energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-4.90745373,9.70456715,0.65290233,4.58076520,0.02893851,0.68038777,0.01530969,2.69516900,2.17883080,1.26579064
-4.90145073,9.58558840,0.62962354,4.57701233,0.02809089,0.64002107,0.01449726,2.65531745,2.12720505,1.24359599
-4.89544772,9.46895580,0.60593831,4.57266133,0.02723878,0.60192657,0.01368156,2.61653315,2.07440927,1.22237484
-4.88944472,9.35567044,0.58216323,4.56803877,0.02638719,0.56619928,0.01286763,2.57912373,2.02079507,1.20219835
-4.88344172,9.24684479,0.55861136,4.56355486,0.02554038,0.53291227,0.01206102,2.54341856,1.96677448,1.18315357
-4.87743872,9.14368736,0.53558535,4.55969664,0.02470190,0.50212087,0.01126754,2.50976458,1.91281403,1.16534021
-4.87143572,9.04747993,0.51337132,4.55701651,0.02387467,0.47386603,0.01049307,2.47852044,1.85942629,1.14886683
-4.86543272,8.95954825,0.49223343,4.55611674,0.02306108,0.44817676,0.00974338,2.45004920,1.80715926,1.13384651
-4.85942971,8.88122704,0.47240933,4.55763020,0.02226322,0.42507152,0.00902396,2.42470972,1.75658359,1.12039231
-4.85342671,8.81382075,0.45410668,4.56219831,0.02148296,0.40455889,0.00833985,2.40284698,1.70827848,1.10861265
-4.84742371,8.75856131,0.43750057,4.57044691,0.02072215,0.38663733,0.00769553,2.38478159,1.66281630,1.09860682
-4.84142071,8.71656466,0.42273187,4.58296094,0.01998277,0.37129439,0.00709486,2.37079891,1.62074670,1.09046078
-4.83541771,8.68878745,0.40990656,4.60025910,0.01926702,0.35850548,0.00654100,2.36113806,1.58258060,1.08424340
-4.82941471,8.67598582,0.39909577,4.62276946,0.01857746,0.34823240,0.00603642,2.35598110,1.54877464,1.08000326
-4.82341171,8.67867761,0.39033648,4.65080714,0.01791699,0.34042177,0.00558285,2.35544290,1.51971645,1.07776596
-4.81740870,8.69710995,0.38363280,4.68455517,0.01728891,0.33500360,0.00518138,2.35956190,1.49571142,1.07753217
-4.81140570,8.73123335,0.37895763,4.72404955,0.01669685,0.33189012,0.00483243,2.36829217,1.47697121,1.07927622
-4.80540270,8.78068387,0.37625465,4.76916937,0.01614466,0.33097499,0.00453586,2.38149708,1.46360454,1.08294530
-4.79939970,8.84477421,0.37544044,4.81963276,0.01563628,0.33213296,0.00429103,2.39894488,1.45561050,1.08845933
-4.79339670,8.92249473,0.37640682,4.87499913,0.01517562,0.33522007,0.00409681,2.42030642,1.45287465,1.09571129
-4.78739370,9.01252464,0.37902321,4.93467799,0.01476630,0.34007437,0.00395173,2.44515524,1.45516819,1.10456807
-4.78139070,9.11325349,0.38313896,4.99794418,0.01441147,0.34651721,0.00385395,2.47297022,1.46215017,1.11487180
-4.77538769,9.22281256,0.38858582,5.06395916,0.01411362,0.35435494,0.00380139,2.50314081,1.47337292,1.12644157
-4.76938469,9.33911536,0.39518033,5.13179754,0.01387435,0.36338117,0.00379172,2.53497499,1.48829043,1.13907559
-4.76338169,9.45990594,0.40272625,5.20047780,0.01369422,0.37337929,0.00382243,2.56770980,1.50626975,1.15255366
-4.75737869,9.58281343,0.41101707,5.26899592,0.01357261,0.38412530,0.00389083,2.60052435,1.52660492,1.16664002
-4.75137569,9.70541094,0.41983856,5.33636020,0.01350760,0.39539085,0.00399410,2.63255515,1.54853325,1.18108650
-4.74537269,9.82527651,0.42897139,5.40162576,0.01349593,0.40694638,0.00412930,2.66291339,1.57125337,1.19563597
-4.73936968,9.94005411,0.43819389,5.46392688,0.01353304,0.41856431,0.00429338,2.69070391,1.59394476,1.21002606
-4.73336668,10.04751201,0.44728486,5.52250559,0.01361307,0.43002218,0.00448320,2.71504530,1.61578799,1.22399313
-4.72736368,10.14559682,0.45602653,5.57673505,0.01372906,0.44110574,0.00469556,2.73509074,1.63598527,1.23727645
-4.72136068,10.23248079,0.46420761,5.62613638,0.01387305,0.45161185,0.00492720,2.75004896,1.65378065,1.24962242
-4.71535768,10.30660108,0.47162631,5.67038832,0.01403634,0.46135126,0.00517484,2.75920481,1.66847930,1.26078901
-4.70935468,10.36668959,0.47809355,5.70932906,0.01420974,0.47015122,0.00543519,2.76193874,1.67946532,1.27055012
-4.70335168,10.41179266,0.48343593,5.74295025,0.01438385,0.47785779,0.00570500,2.75774466,1.68621758,1.27869976
-4.69734867,10.44128031,0.48749880,5.77138386,0.01454934,0.48433801,0.00598107,2.74624557,1.68832310,1.28505620
-4.69134567,10.45484526,0.49014904,5.79488241,0.01469726,0.48948171,0.00626030,2.72720638,1.68548775,1.28946566
-4.68534267,10.45249240,0.49127760,5.81379419,0.01481932,0.49320316,0.00653971,2.70054347,1.67754370,1.29180568
-4.67933967,10.43451978,0.49080175,5.82853475,0.01490813,0.49544227,0.00681646,2.66633059,1.66445374,1.29198789
-4.67333667,10.40149265,0.48866688,5.83955667,0.01495742,0.49616555,0.00708792,2.62480069,1.64631212,1.28996024
-4.66733367,10.35421198,0.48484779,5.84731932,0.01496223,0.49536661,0.00735163,2.57634369,1.62334204,1.28570854
-4.66133067,10.29367962,0.47934938,5.85226058,0.01491901,0.49306626,0.00760537,2.52149992,1.59588984,1.27925720
-4.65532766,10.22106159,0.47220675,5.85477232,0.01482568,0.48931214,0.00784713,2.46094944,1.56441604,1.27066928
-4.64932466,10.13765162,0.46348458,5.85518094,0.01468164,0.48417786,0.00807515,2.39549746,1.52948357,1.26004566
-4.64332166,10.04483622,0.45327584,5.85373439,0.01448771,0.47776161,0.00828791,2.32605618,1.49174338,1.24752358
