energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-2.57228614,0.90475619,0.00131011,0.02033093,0.00953342,0.33754912,0.00000000,0.22495418,0.60806904
-2.56628314,0.88862157,0.00135899,0.01866584,0.00955324,0.32328670,0.00000000,0.22759599,0.60577600
-2.56028014,0.87364163,0.00141199,0.01723935,0.00957984,0.31021827,0.00000000,0.22998776,0.60346928
-2.55427714,0.85967984,0.00146803,0.01603573,0.00960669,0.29829830,0.00000000,0.23206988,0.60108319
-2.54827414,0.84658271,0.00152600,0.01503691,0.00962832,0.28746390,0.00000000,0.23379055,0.59854598
-2.54227114,0.83418243,0.00158487,0.01422309,0.00964025,0.27763703,0.00000000,0.23510531,0.59577979
-2.53626813,0.82229920,0.00164357,0.01357330,0.00963889,0.26872676,0.00000000,0.23597623,0.59270058
-2.53026513,0.81074346,0.00170106,0.01306595,0.00962140,0.26063167,0.00000000,0.23637102,0.58921809
-2.52426213,0.79931802,0.00175628,0.01267928,0.00958560,0.25324221,0.00000000,0.23626190,0.58523605
-2.51825913,0.78782051,0.00180819,0.01239180,0.00952983,0.24644321,0.00000000,0.23562474,0.58065275
-2.51225613,0.77604611,0.00185574,0.01218267,0.00945287,0.24011629,0.00000000,0.23443818,0.57536228
-2.50625313,0.76379080,0.00189790,0.01203204,0.00935383,0.23414241,0.00000000,0.23268320,0.56925624
-2.50025013,0.75085521,0.00193368,0.01192130,0.00923209,0.22840435,0.00000000,0.23034289,0.56222634
-2.49424712,0.73704914,0.00196215,0.01183332,0.00908726,0.22278928,0.00000000,0.22740269,0.55416756
-2.48824412,0.72219649,0.00198247,0.01175269,0.00891915,0.21719119,0.00000000,0.22385091,0.54498195
-2.48224112,0.70614064,0.00199389,0.01166582,0.00872776,0.21151330,0.00000000,0.21967964,0.53458284
-2.47623812,0.68874994,0.00199579,0.01156110,0.00851330,0.20567022,0.00000000,0.21488588,0.52289931
-2.47023512,0.66992301,0.00198774,0.01142893,0.00827618,0.19958997,0.00000000,0.20947272,0.50988051
-2.46423212,0.64959356,0.00196945,0.01126180,0.00801710,0.19321555,0.00000000,0.20345068,0.49549975
-2.45822911,0.62773440,0.00194085,0.01105429,0.00773701,0.18650625,0.00000000,0.19683879,0.47975789
-2.45222611,0.60436023,0.00190206,0.01080296,0.00743721,0.17943832,0.00000000,0.18966559,0.46268583
-2.44622311,0.57952912,0.00185342,0.01050633,0.00711930,0.17200527,0.00000000,0.18196965,0.44434600
-2.44022011,0.55334234,0.00179546,0.01016471,0.00678523,0.16421747,0.00000000,0.17379975,0.42483245
-2.43421711,0.52594254,0.00172891,0.00978007,0.00643729,0.15610134,0.00000000,0.16521461,0.40426973
-2.42821411,0.49751033,0.00165465,0.00935580,0.00607805,0.14769785,0.00000000,0.15628206,0.38281038
-2.42221111,0.46825920,0.00157374,0.00889650,0.00571036,0.13906070,0.00000000,0.14707784,0.36063125
-2.41620810,0.43842928,0.00148733,0.00840775,0.00533727,0.13025396,0.00000000,0.13768393,0.33792873
-2.41020510,0.40827995,0.00139664,0.00789584,0.00496195,0.12134954,0.00000000,0.12818653,0.31491315
-2.40420210,0.37808188,0.00130297,0.00736749,0.00458766,0.11242439,0.00000000,0.11867389,0.29180273
-2.39819910,0.34810874,0.00120760,0.00682966,0.00421760,0.10355776,0.00000000,0.10923399,0.26881717
-2.39219610,0.31862906,0.00111178,0.00628922,0.00385489,0.09482835,0.00000000,0.09995217,0.24617144
-2.38619310,0.28989862,0.00101671,0.00575281,0.00350244,0.08631188,0.00000000,0.09090900,0.22406991
-2.38019010,0.26215363,0.00092350,0.00522662,0.00316292,0.07807876,0.00000000,0.08217829,0.20270111
-2.37418709,0.23560508,0.00083314,0.00471623,0.00283866,0.07019220,0.00000000,0.07382542,0.18223338
-2.36818409,0.21043437,0.00074648,0.00422650,0.00253163,0.06270679,0.00000000,0.06590613,0.16281157
-2.36218109,0.18679040,0.00066426,0.00376150,0.00224340,0.05566744,0.00000000,0.05846564,0.14455473
-2.35617809,0.16478810,0.00058702,0.00332446,0.00197514,0.04910887,0.00000000,0.05153822,0.12755512
-2.35017509,0.14450837,0.00051519,0.00291775,0.00172758,0.04305550,0.00000000,0.04514725,0.11187813
-2.34417209,0.12599939,0.00044904,0.00254290,0.00150106,0.03752176,0.00000000,0.03930557,0.09756335
-2.33816908,0.10927893,0.00038869,0.00220069,0.00129553,0.03251278,0.00000000,0.03401623,0.08462642
-2.33216608,0.09433766,0.00033415,0.00189117,0.00111062,0.02802526,0.00000000,0.02927351,0.07306162
-2.32616308,0.08114311,0.00028533,0.00161377,0.00094566,0.02404871,0.00000000,0.02506411,0.06284501
-2.32016008,0.06964401,0.00024203,0.00136740,0.00079970,0.02056667,0.00000000,0.02136853,0.05393774
-2.31415708,0.05977479,0.00020398,0.00115054,0.00067164,0.01755810,0.00000000,0.01816240,0.04628968
-2.30815408,0.05146006,0.00017087,0.00096138,0.00056022,0.01499869,0.00000000,0.01541793,0.03984286
-2.30215108,0.04461877,0.00014233,0.00079786,0.00046407,0.01286213,0.00000000,0.01310519,0.03453470
-2.29614807,0.03916797,0.00011797,0.00065780,0.00038178,0.01112123,0.00000000,0.01119330,0.03030099
-2.29014507,0.03502596,0.00009742,0.00053898,0.00031195,0.00974894,0.00000000,0.00965148,0.02707833
-2.28414207,0.03211489,0.00008027,0.00043924,0.00025320,0.00871913,0.00000000,0.00844992,0.02480612
-2.27813907,0.03036255,0.00006614,0.00035649,0.00020420,0.00800720,0.00000000,0.00756040,0.02342800
-2.27213607,0.02970358,0.00005469,0.00028880,0.00016370,0.00759049,0.00000000,0.00695683,0.02289271
-2.26613307,0.03007994,0.00004558,0.00023446,0.00013056,0.00744853,0.00000000,0.00661551,0.02315450
-2.26013007,0.03144082,0.00003851,0.00019199,0.00010376,0.00756304,0.00000000,0.00651527,0.02417304
-2.25412706,0.03374213,0.00003321,0.00016021,0.00008238,0.00791789,0.00000000,0.00663742,0.02591290
-2.24812406,0.03694545,0.00002944,0.00013822,0.00006564,0.00849889,0.00000000,0.00696572,0.02834279
-2.24212106,0.04101694,0.00002701,0.00012549,0.00005287,0.00929349,0.00000000,0.00748610,0.03143459
-2.23611806,0.04592599,0.00002574,0.00012184,0.00004354,0.01029049,0.00000000,0.00818645,0.03516225
-2.23011506,0.05164405,0.00002549,0.00012753,0.00003723,0.01147968,0.00000000,0.00905638,0.03950074
-2.22411206,0.05814355,0.00002615,0.00014324,0.00003366,0.01285160,0.00000000,0.01008700,0.04442518
-2.21810905,0.06539729,0.00002765,0.00017013,0.00003265,0.01439729,0.00000000,0.01127072,0.04991017
-2.21210605,0.07337817,0.00002992,0.00020993,0.00003416,0.01610819,0.00000000,0.01260121,0.05592946
-2.20610305,0.08205950,0.00003293,0.00026490,0.00003825,0.01797609,0.00000000,0.01407336,0.06245603
-2.20010005,0.09141597,0.00003669,0.00033799,0.00004511,0.01999333,0.00000000,0.01568341,0.06946270
-2.19409705,0.10142512,0.00004121,0.00043281,0.00005503,0.02215302,0.00000000,0.01742918,0.07692304
-2.18809405,0.11206945,0.00004653,0.00055369,0.00006846,0.02444944,0.00000000,0.01931038,0.08481294
-2.18209105,0.12333903,0.00005273,0.00070579,0.00008593,0.02687859,0.00000000,0.02132901,0.09311239
-2.17608804,0.13523435,0.00005988,0.00089502,0.00010814,0.02943873,0.00000000,0.02348982,0.10180768
-2.17008504,0.14776943,0.00006812,0.00112815,0.00013589,0.03213107,0.00000000,0.02580082,0.11089368
-2.16408204,0.16097478,0.00007758,0.00141273,0.00017014,0.03496037,0.00000000,0.02827363,0.12037615
-2.15807904,0.17489995,0.00008842,0.00175708,0.00021196,0.03793548,0.00000000,0.03092392,0.13027382
-2.15207604,0.18961549,0.00010083,0.00217017,0.00026259,0.04106981,0.00000000,0.03377159,0.14062009
-2.14607304,0.20521390,0.00011501,0.00266154,0.00032337,0.04438152,0.00000000,0.03684078,0.15146402
-2.14007004,0.22180932,0.00013118,0.00324106,0.00039580,0.04789349,0.00000000,0.04015962,0.16287057
-2.13406703,0.23953574,0.00014956,0.00391876,0.00048150,0.05163302,0.00000000,0.04375974,0.17491976
-2.12806403,0.25854359,0.00017038,0.00470451,0.00058223,0.05563105,0.00000000,0.04767538,0.18770467
-2.12206103,0.27899443,0.00019387,0.00560769,0.00069987,0.05992120,0.00000000,0.05194220,0.20132825
-2.11605803,0.30105406,0.00022022,0.00663684,0.00083645,0.06453825,0.00000000,0.05659578,0.21589883
-2.11005503,0.32488388,0.00024961,0.00779920,0.00099414,0.06951642,0.00000000,0.06166976,0.23152460
-2.10405203,0.35063096,0.00028218,0.00910031,0.00117525,0.07488728,0.00000000,0.06719378,0.24830692
-2.09804902,0.37841709,0.00031801,0.01054357,0.00138230,0.08067750,0.00000000,0.07319128,0.26633306
-2.09204602,0.40832745,0.00035713,0.01212977,0.00161804,0.08690648,0.00000000,0.07967719,0.28566853
-2.08604302,0.44039936,0.00039948,0.01385676,0.00188547,0.09358402,0.00000000,0.08665573,0.30634935
-2.08004002,0.47461188,0.00044491,0.01571909,0.00218797,0.10070819,0.00000000,0.09411843,0.32837490
-2.07403702,0.51087695,0.00049318,0.01770777,0.00252934,0.10826346,0.00000000,0.10204248,0.35170177
-2.06803402,0.54903283,0.00054397,0.01981013,0.00291394,0.11621943,0.00000000,0.11038960,0.37623898
-2.06203102,0.58884041,0.00059684,0.02200985,0.00334677,0.12453003,0.00000000,0.11910555,0.40184525
-2.05602801,0.62998295,0.00065125,0.02428709,0.00383365,0.13313359,0.00000000,0.12812041,0.42832843
-2.05002501,0.67206976,0.00070657,0.02661880,0.00438132,0.14195365,0.00000000,0.13734960,0.45544766
-2.04402201,0.71464393,0.00076210,0.02897917,0.00499758,0.15090066,0.00000000,0.14669589,0.48291812
-2.03801901,0.75719402,0.00081708,0.03134023,0.00569141,0.15987452,0.00000000,0.15605220,0.51041859
-2.03201601,0.79916971,0.00087068,0.03367265,0.00647308,0.16876796,0.00000000,0.16530516,0.53760158
-2.02601301,0.84000062,0.00092208,0.03594651,0.00735420,0.17747056,0.00000000,0.17433949,0.56410560
-2.02001001,0.87911773,0.00097046,0.03813231,0.00834768,0.18587333,0.00000000,0.18304272,0.58956926
-2.01400700,0.91597648,0.00101503,0.04020190,0.00946771,0.19387367,0.00000000,0.19131043,0.61364646
-2.00800400,0.95008031,0.00105508,0.04212941,0.01072958,0.20138028,0.00000000,0.19905142,0.63602190
-2.00200100,0.98100354,0.00108998,0.04389220,0.01214941,0.20831804,0.00000000,0.20619273,0.65642619
-1.99599800,1.00841234,0.00111924,0.04547157,0.01374381,0.21463236,0.00000000,0.21268422,0.67464969
-1.98999500,1.03208256,0.00114250,0.04685348,0.01552938,0.22029284,0.00000000,0.21850235,0.69055420
-1.98399200,1.05191327,0.00115957,0.04802892,0.01752216,0.22529594,0.00000000,0.22365302,0.70408192
-1.97798899,1.06793522,0.00117044,0.04899419,0.01973692,0.22966658,0.00000000,0.22817312,0.71526084
-1.97198599,1.08031339,0.00117527,0.04975086,0.02218637,0.23345833,0.00000000,0.23213078,0.72420638
-1.96598299,1.08934342,0.00117441,0.05030556,0.02488034,0.23675227,0.00000000,0.23562408,0.73111877
