energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-4.97948974,4.84240745,0.06165838,0.83375435,0.73750772,0.95101658,0.09950777,1.41193898
-4.97348674,4.75914320,0.06124793,0.81801358,0.72279281,0.93647039,0.09862318,1.39088445
-4.96748374,4.66583601,0.06067221,0.80037825,0.70653931,0.91981099,0.09753227,1.36712465
-4.96148074,4.56340630,0.05993294,0.78099449,0.68896855,0.90117307,0.09623175,1.34095265
-4.95547774,4.45269895,0.05903158,0.75999488,0.67029883,0.88067777,0.09471724,1.31264144
-4.94947474,4.33448860,0.05796967,0.73750014,0.65074312,0.85843511,0.09298401,1.28244401
-4.94347174,4.20949205,0.05674923,0.71362219,0.63050739,0.83454791,0.09102790,1.25059523
-4.93746873,4.07838586,0.05537316,0.68846810,0.60978946,0.80911659,0.08884618,1.21731505
-4.93146573,3.94182653,0.05384563,0.66214465,0.58877814,0.78224433,0.08643848,1.18281234
-4.92546273,3.80047115,0.05217252,0.63476292,0.56765240,0.75404227,0.08380764,1.14728884
-4.91945973,3.65499627,0.05036173,0.60644253,0.54658053,0.72463408,0.08096035,1.11094263
-4.91345673,3.50611322,0.04842340,0.57731521,0.52571903,0.69415963,0.07790774,1.07397069
-4.90745373,3.35457850,0.04637009,0.54752736,0.50521130,0.66277749,0.07466567,1.03657040
-4.90145073,3.20119861,0.04421675,0.51724146,0.48518623,0.63066601,0.07125482,0.99893967
-4.89544772,3.04682901,0.04198067,0.48663622,0.46575655,0.59802295,0.06770065,0.96127591
-4.88944472,2.89236769,0.03968126,0.45590552,0.44701735,0.56506381,0.06403299,0.92377394
-4.88344172,2.73874407,0.03733972,0.42525618,0.42904483,0.53201888,0.06028563,0.88662321
-4.87743872,2.58690465,0.03497872,0.39490491,0.41189545,0.49912943,0.05649564,0.85000464
-4.87143572,2.43779656,0.03262192,0.36507450,0.39560579,0.46664320,0.05270262,0.81408761
-4.86543272,2.29235099,0.03029354,0.33598966,0.38019311,0.43480964,0.04894799,0.77902748
-4.85942971,2.15146753,0.02801791,0.30787270,0.36565695,0.40387521,0.04527411,0.74496398
-4.85342671,2.01600110,0.02581899,0.28093952,0.35198154,0.37407897,0.04172359,0.71202087
-4.84742371,1.88675235,0.02372006,0.25539582,0.33913926,0.34564890,0.03833859,0.68030690
-4.84142071,1.76446216,0.02174330,0.23143408,0.32709489,0.31879893,0.03516023,0.64991830
