energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-5.72986493,4.18408508,0.76013475,2.56150123,0.00479597,0.06859012,0.34999576,1.32759604,0.38557610,0.00000000
-5.72386193,4.32983602,0.76295300,2.64463596,0.00521956,0.07099172,0.36116284,1.38175570,0.38808017,0.00000000
-5.71785893,4.47147603,0.76564899,2.72396420,0.00564339,0.07325555,0.37214169,1.43598850,0.38985256,0.00000000
-5.71185593,4.60607455,0.76791678,2.79759778,0.00606166,0.07533585,0.38268516,1.48941404,0.39081139,0.00000000
-5.70585293,4.73074325,0.76945511,2.86372591,0.00646833,0.07718996,0.39254830,1.54111351,0.39087796,0.00000000
-5.69984992,4.84271561,0.76997549,2.92066734,0.00685723,0.07877946,0.40149451,1.59015298,0.38997960,0.00000000
-5.69384692,4.93942634,0.76921067,2.96692077,0.00722221,0.08007117,0.40930161,1.63560851,0.38805263,0.00000000
-5.68784392,5.01858723,0.76692291,3.00121087,0.00755736,0.08103805,0.41576764,1.67659200,0.38504534,0.00000000
-5.68184092,5.07825586,0.76291170,3.02252792,0.00785712,0.08165990,0.42071626,1.71227683,0.38092060,0.00000000
-5.67583792,5.11689421,0.75702050,3.03015885,0.00811652,0.08192377,0.42400129,1.74192223,0.37565822,0.00000000
-5.66983492,5.13341413,0.74914197,3.02370832,0.00833127,0.08182428,0.42551061,1.76489527,0.36925672,0.00000000
-5.66383192,5.12720782,0.73922152,3.00310850,0.00849798,0.08136354,0.42516887,1.78068968,0.36173449,0.00000000
-5.65782891,5.09816156,0.72725890,2.96861720,0.00861420,0.08055091,0.42293915,1.78894067,0.35313025,0.00000000
-5.65182591,5.04665230,0.71330764,2.92080411,0.00867854,0.07940251,0.41882347,1.78943496,0.34350279,0.00000000
-5.64582291,4.97352715,0.69747243,2.86052597,0.00869071,0.07794055,0.41286199,1.78211594,0.33292994,0.00000000
-5.63981991,4.88006670,0.67990454,2.78889180,0.00865154,0.07619241,0.40513115,1.76708342,0.32150690,0.00000000
-5.63381691,4.76793420,0.66079537,2.70721967,0.00856296,0.07418968,0.39574070,1.74458823,0.30934388,0.00000000
-5.62781391,4.63911279,0.64036866,2.61698735,0.00842788,0.07196701,0.38482977,1.71502199,0.29656330,0.00000000
-5.62181091,4.49583381,0.61887147,2.51977887,0.00825019,0.06956100,0.37256219,1.67890239,0.28329660,0.00000000
-5.61580790,4.34049968,0.59656466,2.41722965,0.00803451,0.06700906,0.35912120,1.63685487,0.26968073,0.00000000
-5.60980490,4.17560454,0.57371315,2.31097257,0.00778614,0.06434827,0.34470386,1.58959149,0.25585468,0.00000000
-5.60380190,4.00365649,0.55057643,2.20258736,0.00751080,0.06161444,0.32951527,1.53788799,0.24195598,0.00000000
-5.59779890,3.82710436,0.52739985,2.09355533,0.00721451,0.05884116,0.31376297,1.48256003,0.22811748,0.00000000
-5.59179590,3.64827219,0.50440706,1.98522115,0.00690334,0.05605912,0.29765159,1.42443972,0.21446440,0.00000000
-5.58579290,3.46930373,0.48179383,1.87876311,0.00658328,0.05329552,0.28137801,1.36435333,0.20111191,0.00000000
-5.57978989,3.29211860,0.45972356,1.77517241,0.00626000,0.05057373,0.26512726,1.30310111,0.18816313,0.00000000
-5.57378689,3.11838143,0.43832460,1.67524200,0.00593875,0.04791308,0.24906910,1.24143986,0.17570779,0.00000000
-5.56778389,2.94948424,0.41768941,1.57956464,0.00562422,0.04532886,0.23335549,1.18006882,0.16382137,0.00000000
-5.56178089,2.78654163,0.39787543,1.48853959,0.00532038,0.04283250,0.21811895,1.11961921,0.15256495,0.00000000
-5.55577789,2.63039809,0.37890761,1.40238691,0.00503047,0.04043186,0.20347177,1.06064734,0.14198546,0.00000000
-5.54977489,2.48164561,0.36078226,1.32116791,0.00475694,0.03813165,0.18950603,1.00363144,0.13211642,0.00000000
-5.54377189,2.34064986,0.34347202,1.24481043,0.00450143,0.03593398,0.17629429,0.94897161,0.12297917,0.00000000
-5.53776888,2.20758263,0.32693154,1.17313697,0.00426480,0.03383886,0.16389093,0.89699269,0.11458420,0.00000000
-5.53176588,2.08245808,0.31110352,1.10589427,0.00404716,0.03184485,0.15233384,0.84794912,0.10693280,0.00000000
-5.52576288,1.96517047,0.29592487,1.04278259,0.00384799,0.02994962,0.14164652,0.80203154,0.10001872,0.00000000
-5.51975988,1.85553117,0.28133247,0.98348319,0.00366619,0.02815046,0.13184019,0.75937404,0.09382980,0.00000000
-5.51375688,1.75330272,0.26726845,0.92768300,0.00350022,0.02644478,0.12291596,0.72006167,0.08834948,0.00000000
-5.50775388,1.65822863,0.25368456,0.87509521,0.00334819,0.02483049,0.11486690,0.68413757,0.08355812,0.00000000
-5.50175088,1.57005737,0.24054565,0.82547548,0.00320800,0.02330626,0.10767972,0.65160916,0.07943402,0.00000000
-5.49574787,1.48856010,0.22783196,0.77863311,0.00307745,0.02187173,0.10133635,0.62245315,0.07595425,0.00000000
-5.48974487,1.41354160,0.21554038,0.73443732,0.00295436,0.02052752,0.09581495,0.59661916,0.07309504,0.00000000
-5.48374187,1.34484481,0.20368449,0.69281878,0.00283665,0.01927525,0.09109068,0.57403196,0.07083199,0.00000000
-5.47773887,1.28234935,0.19229372,0.65376687,0.00272243,0.01811737,0.08713604,0.55459237,0.06913995,0.00000000
-5.47173587,1.22596507,0.18141151,0.61732328,0.00261008,0.01705689,0.08392089,0.53817719,0.06799269,0.00000000
-5.46573287,1.17562178,0.17109284,0.58357272,0.00249830,0.01609719,0.08141228,0.52463838,0.06736246,0.00000000
-5.45972986,1.13125629,0.16140116,0.55263160,0.00238610,0.01524159,0.07957400,0.51380202,0.06721939,0.00000000
-5.45372686,1.09279836,0.15240506,0.52463547,0.00227286,0.01449306,0.07836609,0.50546738,0.06753090,0.00000000
-5.44772386,1.06015667,0.14417478,0.49972617,0.00215831,0.01385382,0.07774437,0.49940660,0.06826122,0.00000000
-5.44172086,1.03320602,0.13677875,0.47803924,0.00204247,0.01332503,0.07766000,0.49536531,0.06937093,0.00000000
-5.43571786,1.01177690,0.13028038,0.45969250,0.00192568,0.01290647,0.07805925,0.49306439,0.07081678,0.00000000
-5.42971486,0.99564798,0.12473517,0.44477599,0.00180848,0.01259635,0.07888349,0.49220318,0.07255165,0.00000000
-5.42371186,0.98454213,0.12018828,0.43334409,0.00169163,0.01239105,0.08006943,0.49246411,0.07452486,0.00000000
-5.41770885,0.97812616,0.11667260,0.42540958,0.00157601,0.01228514,0.08154968,0.49351864,0.07668263,0.00000000
-5.41170585,0.97601418,0.11420736,0.42094019,0.00146257,0.01227127,0.08325358,0.49503441,0.07896888,0.00000000
-5.40570285,0.97777442,0.11279732,0.41985733,0.00135229,0.01234036,0.08510839,0.49668327,0.08132623,0.00000000
-5.39969985,0.98293880,0.11243249,0.42203702,0.00124613,0.01248167,0.08704064,0.49814976,0.08369720,0.00000000
-5.39369685,0.99101494,0.11308837,0.42731286,0.00114496,0.01268313,0.08897775,0.49913970,0.08602555,0.00000000
-5.38769385,1.00149957,0.11472663,0.43548068,0.00104956,0.01293164,0.09084975,0.49938849,0.08825775,0.00000000
-5.38169085,1.01389283,0.11729622,0.44630460,0.00096057,0.01321341,0.09259104,0.49866849,0.09034436,0.00000000
-5.37568784,1.02771261,0.12073478,0.45952426,0.00087849,0.01351445,0.09414221,0.49679540,0.09224150,0.00000000
-5.36968484,1.04250829,0.12497044,0.47486273,0.00080367,0.01382096,0.09545170,0.49363306,0.09391213,0.00000000
-5.36368184,1.05787330,0.12992366,0.49203499,0.00073628,0.01411984,0.09647729,0.48909662,0.09532718,0.00000000
-5.35767884,1.07345595,0.13550943,0.51075639,0.00067636,0.01439907,0.09718741,0.48315389,0.09646648,0.00000000
-5.35167584,1.08896831,0.14163948,0.53075107,0.00062382,0.01464817,0.09756214,0.47582486,0.09731941,0.00000000
-5.34567284,1.10419281,0.14822450,0.55175987,0.00057845,0.01485855,0.09759382,0.46717946,0.09788530,0.00000000
-5.33966983,1.11898654,0.15517651,0.57354754,0.00053996,0.01502383,0.09728741,0.45733376,0.09817351,0.00000000
-5.33366683,1.13328311,0.16241106,0.59590913,0.00050799,0.01514003,0.09666042,0.44644487,0.09820325,0.00000000
-5.32766383,1.14709233,0.16984940,0.61867510,0.00048215,0.01520575,0.09574244,0.43470473,0.09800308,0.00000000
-5.32166083,1.16049768,0.17742049,0.64171530,0.00046203,0.01522223,0.09457444,0.42233327,0.09761018,0.00000000
-5.31565783,1.17365178,0.18506278,0.66494139,0.00044728,0.01519328,0.09320764,0.40957113,0.09706937,0.00000000
-5.30965483,1.18677014,0.19272580,0.68830777,0.00043755,0.01512520,0.09170214,0.39667235,0.09643197,0.00000000
-5.30365183,1.20012326,0.20037136,0.71181080,0.00043258,0.01502657,0.09012542,0.38389728,0.09575449,0.00000000
-5.29764882,1.21402736,0.20797441,0.73548638,0.00043218,0.01490795,0.08855054,0.37150590,0.09509719,0.00000000
-5.29164582,1.22883393,0.21552352,0.75940592,0.00043626,0.01478162,0.08705434,0.35975187,0.09452264,0.00000000
-5.28564282,1.24491826,0.22302086,0.78367063,0.00044482,0.01466117,0.08571557,0.34887724,0.09409426,0.00000000
-5.27963982,1.26266730,0.23048172,0.80840442,0.00045795,0.01456111,0.08461304,0.33910807,0.09387482,0.00000000
-5.27363682,1.28246691,0.23793361,0.83374562,0.00047586,0.01449654,0.08382389,0.33065090,0.09392510,0.00000000
-5.26763382,1.30468901,0.24541482,0.85983774,0.00049883,0.01448270,0.08342191,0.32368995,0.09430259,0.00000000
-5.26163082,1.32967869,0.25297262,0.88681962,0.00052719,0.01453467,0.08347611,0.31838520,0.09506033,0.00000000
-5.25562781,1.35774187,0.26066105,0.91481548,0.00056133,0.01466705,0.08404947,0.31487104,0.09624595,0.00000000
-5.24962481,1.38913370,0.26853849,0.94392522,0.00060168,0.01489369,0.08519789,0.31325560,0.09790077,0.00000000
-5.24362181,1.42404825,0.27666496,0.97421549,0.00064862,0.01522749,0.08696940,0.31362045,0.10005920,0.00000000
-5.23761881,1.46260975,0.28509935,1.00571195,0.00070253,0.01568026,0.08940358,0.31602072,0.10274822,0.00000000
-5.23161581,1.50486579,0.29389673,1.03839318,0.00076371,0.01626258,0.09253122,0.32048554,0.10598708,0.00000000
-5.22561281,1.55078279,0.30310566,1.07218663,0.00083235,0.01698378,0.09637410,0.32701859,0.10978715,0.00000000
-5.21960980,1.60024391,0.31276581,1.10696671,0.00090851,0.01785190,0.10094505,0.33559888,0.11415189,0.00000000
-5.21360680,1.65304952,0.32290584,1.14255546,0.00099211,0.01887365,0.10624795,0.34618152,0.11907692,0.00000000
-5.20760380,1.70892021,0.33354159,1.17872549,0.00108288,0.02005442,0.11227796,0.35869855,0.12455024,0.00000000
-5.20160080,1.76750212,0.34467472,1.21520535,0.00118033,0.02139827,0.11902163,0.37305980,0.13055241,0.00000000
-5.19559780,1.82837444,0.35629171,1.25168683,0.00128380,0.02290780,0.12645706,0.38915363,0.13705681,0.00000000
-5.18959480,1.89105845,0.36836321,1.28783411,0.00139241,0.02458414,0.13455399,0.40684771,0.14402988,0.00000000
-5.18359180,1.95502790,0.38084383,1.32329387,0.00150508,0.02642670,0.14327374,0.42598975,0.15143128,0.00000000
-5.17758879,2.01971993,0.39367216,1.35770627,0.00162056,0.02843303,0.15256910,0.44640822,0.15921413,0.00000000
-5.17158579,2.08454618,0.40677114,1.39071582,0.00173744,0.03059852,0.16238411,0.46791306,0.16732501,0.00000000
-5.16558279,2.14890357,0.42004858,1.42198182,0.00185423,0.03291610,0.17265376,0.49029654,0.17570417,0.00000000
-5.15957979,2.21218427,0.43339796,1.45118780,0.00196934,0.03537592,0.18330366,0.51333426,0.18428550,0.00000000
-5.15357679,2.27378464,0.44669936,1.47804944,0.00208123,0.03796500,0.19424974,0.53678642,0.19299672,0.00000000
-5.14757379,2.33311306,0.45982061,1.50232080,0.00218837,0.04066694,0.20539803,0.56039943,0.20175957,0.00000000
-5.14157079,2.38959654,0.47261864,1.52379861,0.00228941,0.04346165,0.21664473,0.58390806,0.21049014,0.00000000
-5.13556778,2.44268642,0.48494110,1.54232460,0.00238318,0.04632518,0.22787645,0.60703816,0.21909951,0.00000000
-5.12956478,2.49186339,0.49662825,1.55778610,0.00246879,0.04922971,0.23897089,0.62950999,0.22749453,0.00000000
-5.12356178,2.53664218,0.50751524,1.57011505,0.00254570,0.05214363,0.24979794,0.65104242,0.23557904,0.00000000
-5.11755878,2.57657651,0.51743483,1.57928585,0.00261378,0.05503182,0.26022131,0.67135781,0.24325543,0.00000000
-5.11155578,2.61126452,0.52622052,1.58531247,0.00267338,0.05785614,0.27010067,0.69018758,0.25042653,0.00000000
-5.10555278,2.64035514,0.53371013,1.58824527,0.00272536,0.06057605,0.27929432,0.70727853,0.25699794,0.00000000
-5.09954977,2.66355566,0.53974983,1.58816797,0.00277114,0.06314951,0.28766234,0.72239955,0.26288059,0.00000000
-5.09354677,2.68064038,0.54419856,1.58519511,0.00281272,0.06553394,0.29507017,0.73534860,0.26799367,0.00000000
-5.08754377,2.69146047,0.54693258,1.57947028,0.00285265,0.06768740,0.30139245,0.74595969,0.27226759,0.00000000
-5.08154077,2.69595438,0.54785027,1.57116532,0.00289407,0.06956983,0.30651699,0.75410952,0.27564699,0.00000000
-5.07553777,2.69415852,0.54687661,1.56048048,0.00294064,0.07114431,0.31034876,0.75972338,0.27809361,0.00000000
-5.06953477,2.68621740,0.54396757,1.54764532,0.00299651,0.07237838,0.31281360,0.76278012,0.27958888,0.00000000
-5.06353177,2.67239244,0.53911373,1.53292027,0.00306620,0.07324522,0.31386154,0.76331557,0.28013598,0.00000000
-5.05752876,2.65306855,0.53234322,1.51659841,0.00315454,0.07372477,0.31346950,0.76142448,0.27976131,0.00000000
-5.05152576,2.62875777,0.52372364,1.49900703,0.00326656,0.07380459,0.31164327,0.75726041,0.27851523,0.00000000
-5.04552276,2.60009908,0.51336280,1.48050858,0.00340730,0.07348060,0.30841858,0.75103372,0.27647190,0.00000000
-5.03951976,2.56785395,0.50140819,1.46150054,0.00358172,0.07275745,0.30386112,0.74300739,0.27372828,0.00000000
-5.03351676,2.53289722,0.48804506,1.44241394,0.00379448,0.07164872,0.29806565,0.73349102,0.27040210,0.00000000
-5.02751376,2.49620335,0.47349325,1.42371011,0.00404977,0.07017674,0.29115402,0.72283286,0.26662909,0.00000000
-5.02151076,2.45882810,0.45800270,1.40587565,0.00435116,0.06837216,0.28327225,0.71141058,0.26255927,0.00000000
-5.01550775,2.42188645,0.44184793,1.38941556,0.00470136,0.06627326,0.27458681,0.69962075,0.25835272,0.00000000
-5.00950475,2.38652732,0.42532160,1.37484474,0.00510207,0.06392504,0.26528017,0.68786788,0.25417477,0.00000000
-5.00350175,2.35390628,0.40872754,1.36267806,0.00555383,0.06137807,0.25554588,0.67655316,0.25019093,0.00000000
-4.99749875,2.32515740,0.39237340,1.35341963,0.00605582,0.05868725,0.24558333,0.66606370,0.24656181,0.00000000
-4.99149575,2.30136557,0.37656332,1.34755149,0.00660583,0.05591042,0.23559245,0.65676260,0.24343813,0.00000000
-4.98549275,2.28354047,0.36159093,1.34552267,0.00720012,0.05310700,0.22576853,0.64898019,0.24095618,0.00000000
-4.97948974,2.27259341,0.34773282,1.34773883,0.00783341,0.05033659,0.21629737,0.64300704,0.23923386,0.00000000
-4.97348674,2.26931814,0.33524296,1.35455329,0.00849892,0.04765761,0.20735091,0.63908870,0.23836739,0.00000000
-4.96748374,2.27437617,0.32434796,1.36625985,0.00918846,0.04512611,0.19908352,0.63742248,0.23842896,0.00000000
-4.96148074,2.28828723,0.31524350,1.38308766,0.00989253,0.04279463,0.19162894,0.63815608,0.23946532,0.00000000
-4.95547774,2.31142499,0.30809192,1.40519846,0.01060055,0.04071124,0.18509813,0.64138817,0.24149730,0.00000000
-4.94947474,2.34401773,0.30302088,1.43268617,0.01130110,0.03891872,0.17957774,0.64717049,0.24452027,0.00000000
-4.94347174,2.38615363,0.30012318,1.46557878,0.01198224,0.03745388,0.17512955,0.65551125,0.24850550,0.00000000
-4.93746873,2.43778991,0.29945745,1.50384220,0.01263181,0.03634708,0.17179049,0.66637944,0.25340227,0.00000000
-4.93146573,2.49876482,0.30104966,1.54738580,0.01323786,0.03562184,0.16957341,0.67970965,0.25914054,0.00000000
-4.92546273,2.56881166,0.30489534,1.59606910,0.01378899,0.03529462,0.16846835,0.69540699,0.26563417,0.00000000
-4.91945973,2.64757367,0.31096211,1.64970919,0.01427473,0.03537466,0.16844431,0.71335188,0.27278430,0.00000000
-4.91345673,2.73461885,0.31919262,1.70808831,0.01468592,0.03586401,0.16945140,0.73340416,0.28048297,0.00000000
-4.90745373,2.82945405,0.32950758,1.77096123,0.01501506,0.03675755,0.17142322,0.75540666,0.28861659,0.00000000
-4.90145073,2.93153749,0.34180876,1.83806196,0.01525655,0.03804319,0.17427944,0.77918784,0.29706928,0.00000000
-4.89544772,3.04028962,0.35598193,1.90910966,0.01540691,0.03970209,0.17792846,0.80456369,0.30572591,0.00000000
-4.88944472,3.15510190,0.37189971,1.98381348,0.01546497,0.04170900,0.18227016,0.83133883,0.31447475,0.00000000
-4.88344172,3.27534390,0.38942413,2.06187634,0.01543189,0.04403268,0.18719857,0.85930719,0.32320975,0.00000000
-4.87743872,3.40036875,0.40840908,2.14299783,0.01531115,0.04663638,0.19260448,0.88825224,0.33183233,0.00000000
-4.87143572,3.52951756,0.42870261,2.22687623,0.01510848,0.04947849,0.19837802,0.91794730,0.34025275,0.00000000
-4.86543272,3.66212320,0.45014896,2.31320999,0.01483161,0.05251326,0.20441098,0.94815600,0.34839111,0.00000000
-4.85942971,3.79751402,0.47259061,2.40169885,0.01449007,0.05569159,0.21059908,0.97863325,0.35617794,0.00000000
-4.85342671,3.93501770,0.49587006,2.49204474,0.01409485,0.05896198,0.21684397,1.00912681,0.36355453,0.00000000
-4.84742371,4.07396581,0.51983154,2.58395267,0.01365800,0.06227157,0.22305499,1.03937966,0.37047296,0.00000000
-4.84142071,4.21369885,0.54432256,2.67713163,0.01319230,0.06556718,0.22915073,1.06913308,0.37689589,0.00000000
-4.83541771,4.35357180,0.56919524,2.77129546,0.01271079,0.06879652,0.23506015,1.09813049,0.38279623,0.00000000
-4.82941471,4.49295990,0.59430744,2.86616352,0.01222634,0.07190934,0.24072351,1.12612172,0.38815656,0.00000000
-4.82341171,4.63126400,0.61952350,2.96146102,0.01175129,0.07485859,0.24609278,1.15286767,0.39296850,0.00000000
-4.81740870,4.76791517,0.64471473,3.05691874,0.01129705,0.07760150,0.25113179,1.17814489,0.39723184,0.00000000
-4.81140570,4.90237778,0.66975941,3.15227187,0.01087379,0.08010069,0.25581586,1.20174986,0.40095360,0.00000000
-4.80540270,5.03415063,0.69454246,3.24725776,0.01049010,0.08232494,0.26013110,1.22350263,0.40414688,0.00000000
-4.79939970,5.16276566,0.71895466,3.34161262,0.01015287,0.08425002,0.26407334,1.24324963,0.40682967,0.00000000
-4.79339670,5.28778425,0.74289156,3.43506687,0.00986704,0.08585915,0.26764672,1.26086532,0.40902340,0.00000000
-4.78739370,5.40879097,0.76625217,3.52733975,0.00963558,0.08714338,0.27086201,1.27625267,0.41075153,0.00000000
-4.78139070,5.52538537,0.78893752,3.61813308,0.00945944,0.08810158,0.27373478,1.28934238,0.41203794,0.00000000
-4.77538769,5.63717239,0.81084931,3.70712498,0.00933763,0.08874039,0.27628349,1.30009107,0.41290544,0.00000000
-4.76938469,5.74375239,0.83188873,3.79396412,0.00926728,0.08907376,0.27852756,1.30847839,0.41337425,0.00000000
-4.76338169,5.84471174,0.85195581,3.87826504,0.00924388,0.08912241,0.28048565,1.31450361,0.41346064,0.00000000
-4.75737869,5.93961541,0.87094931,3.95960549,0.00926144,0.08891306,0.28217408,1.31818175,0.41317586,0.00000000
-4.75137569,6.02800240,0.88876731,4.03752630,0.00931274,0.08847747,0.28360567,1.31953978,0.41252524,0.00000000
-4.74537269,6.10938520,0.90530864,4.11153448,0.00938968,0.08785146,0.28478892,1.31861318,0.41150778,0.00000000
-4.73936968,6.18325398,0.92047511,4.18110976,0.00948350,0.08707375,0.28572762,1.31544313,0.41011605,0.00000000
-4.73336668,6.24908574,0.93417453,4.24571479,0.00958516,0.08618486,0.28642099,1.31007466,0.40833664,0.00000000
-4.72736368,6.30635849,0.94632428,4.30480874,0.00968564,0.08522597,0.28686417,1.30255583,0.40615096,0.00000000
-4.72136068,6.35456990,0.95685530,4.35786391,0.00977619,0.08423781,0.28704922,1.29293799,0.40353654,0.00000000
-4.71535768,6.39325935,0.96571622,4.40438442,0.00984869,0.08325965,0.28696636,1.28127715,0.40046860,0.00000000
-4.70935468,6.42203225,0.97287716,4.44392621,0.00989582,0.08232838,0.28660547,1.26763613,0.39692194,0.00000000
-4.70335168,6.44058465,0.97833314,4.47611679,0.00991134,0.08147768,0.28595774,1.25208740,0.39287300,0.00000000
-4.69734867,6.44872671,0.98210637,4.50067378,0.00989019,0.08073735,0.28501721,1.23471614,0.38830186,0.00000000
-4.69134567,6.44640278,0.98424750,4.51742074,0.00982866,0.08013270,0.28378230,1.21562329,0.38319425,0.00000000
-4.68534267,6.43370671,0.98483537,4.52629913,0.00972443,0.07968417,0.28225693,1.19492811,0.37754325,0.00000000
-4.67933967,6.41089078,0.98397512,4.52737545,0.00957655,0.07940697,0.28045142,1.17277000,0.37135066,0.00000000
-4.67333667,6.37836720,0.98179477,4.52084286,0.00938546,0.07931091,0.27838286,1.14930932,0.36462792,0.00000000
-4.66733367,6.33670182,0.97844021,4.50701694,0.00915288,0.07940033,0.27607506,1.12472696,0.35739658,0.00000000
-4.66133067,6.28659987,0.97406891,4.48632559,0.00888165,0.07967412,0.27355794,1.09922261,0.34968814,0.00000000
-4.65532766,6.22888457,0.96884265,4.45929370,0.00857562,0.08012585,0.27086657,1.07301180,0.34154346,0.00000000
-4.64932466,6.16446950,0.96291961,4.42652321,0.00823942,0.08074402,0.26803973,1.04632176,0.33301157,0.00000000
-4.64332166,6.09432656,0.95644646,4.38866983,0.00787828,0.08151241,0.26511819,1.01938643,0.32414824,0.00000000
